geneid	dist
636	2683303
971	7249
992	1268793
1024	1243166
1326	27406
1430	445787
2011	363902
3124	361041
3150	12263
4208	6992030
4378	1755393
4475	331099
4772	6992030
4828	6992030
4841	6992030
4901	1794399
5051	572661
5059	2082379
5085	747369
5098	255937
5143	5262
5151	864365
5161	2259098
5197	1673574
5198	26082
5216	847242
5234	122203
5242	1953886
5249	753108
5264	11255121
5266	846900
5280	2365791
5291	998949
5302	732990
5331	1108251
5345	787519
5362	553030
5369	451936
5397	5441615
5401	1748889
5467	43319
5470	828201
5471	354857
5493	51805
5505	2514495
5506	1145226
5522	2060006
5546	152379
5557	748214
5562	586431
5597	304908
5599	127133
5608	2355669
5631	893884
5654	711
5659	304139
5670	1565863
5691	523356
5697	2910491
5705	326194
5730	1899234
5740	3490712
5748	2846982
5780	795687
5785	37265
5798	182605
5820	713452
5837	1774795
5841	1238099
5843	109482
5854	4635321
5877	5166483
5879	2194603
5898	872318
5912	199078
5914	1756820
5916	4579018
5921	459528
5930	52638
5939	1079680
5951	42712
5977	1108251
5993	2007340
6004	610661
6023	1610132
6050	80717
6061	7369783
6095	2809496
6101	106885
6105	427261
6106	1556526
6117	917747
6120	74195
6121	2521411
6137	1060591
6138	613459
6144	1366182
6160	214024
6179	1474674
6195	1110363
6197	1565922
6198	3423517
6201	1748889
6204	201821
6206	1957708
6215	201755
6228	1536098
6230	1046229
6253	391740
6266	4516508
6267	533042
6276	699255
6278	720299
6291	388514
6304	132473
6308	347049
6316	384202
6329	166896
6351	645560
6360	50719
6390	122020
6391	1172762
6401	982380
6416	187661
6441	123294
6469	144688
6470	982380
6474	106922
6504	1359261
6530	2782370
6538	3314222
6552	178622
6567	1028608
6597	5922560
6635	2782370
6658	1707770
6659	2782370
6663	1099102
6665	1656609
6676	145666
6689	2821221
6709	1022641
6722	1368
6723	103641
6731	1878161
6745	708824
6760	1753233
6784	297982
6808	403032
6809	405379
6816	7122439
6820	10142302
6821	1869828
6826	10868641
6834	10215857
6839	5416407
6847	8831300
6855	9402181
6861	982380
6863	401629
6890	578465
6891	88166
6898	5814558
6905	3666470
6916	7326305
6917	1279524
6918	564885
6920	5695348
6923	179457
6926	10834480
6931	1588331
6938	71592
6939	7888057
6943	88166
6946	2226640
6952	3809029
6953	666491
6974	190318
6986	4851620
6987	1918
6988	1674395
6990	359215
6997	1457518
7005	9321214
7007	216485
7013	3850746
7014	8927155
7045	56286
7052	1219061
7057	10871652
7058	4923845
7066	553030
7084	7195348
7098	120536
7108	5138180
7111	10854176
7114	422
7119	5415
7144	1308056
7148	826
7158	83577
7162	540934
7166	285820
7176	1731985
7179	984361
7183	6364120
7190	21708
7199	2782370
7222	1028489
7237	685145
7258	66761
7264	1743178
7301	1509103
7306	485701
7312	8831300
7327	576664
7333	88497
7338	1539326
7346	1360179
7353	349555
7366	27348
7387	203357
7411	528069
7425	1679480
7426	111175
7428	483367
7430	222762
7443	88660
7455	1568166
7461	379269
7462	2513368
7469	4252
7496	121411
7497	10711030
7498	2365123
7499	630990
7503	159138
7511	427446
7536	553280
7540	5677834
7546	4563591
7562	533205
7580	457800
7583	788902
7590	3746847
7595	398465
7606	98323
7611	1832644
7621	341832
7637	6004505
7648	4927415
7649	9007092
7659	2165206
7675	10761863
7688	4696008
7692	48994
7701	398213
7709	815419
7714	719
7719	799887
7733	7987511
7734	45336
7738	1665794
7739	1480922
7741	1208932
7760	566758
7761	138996
7773	578209
7776	5614574
7777	2569863
7791	163297
7808	982380
7816	8832
7829	415366
7832	163907
7834	10687563
7854	8211002
7863	1784
7882	297009
7883	1397542
7887	543595
7900	1653264
7907	509958
7910	9177510
7918	1135796
7919	55116
7923	103962
7931	5580113
7933	662369
7937	10397678
7938	1576988
7983	90288
7987	781191
7993	633877
8013	431280
8018	7530028
8019	550065
8029	19168
8031	459642
8042	72276
8044	698426
8058	1670967
8061	39143
8071	1673094
8074	6928252
8083	5661971
8096	9881156
8097	96209
8101	329763
8117	1406255
8120	180553
8143	1198419
8147	8981428
8148	75945
8153	7084595
8160	234718
8163	702876
8164	1654177
8170	3279313
8172	994991
8189	7359885
8203	69313
8207	8022053
8219	730697
8234	1498791
8236	2171549
8244	2283539
8245	829217
8247	326818
8255	2649855
8286	71977
8297	1498139
8312	4956816
8321	4443455
8332	27381
8336	828201
8341	7249
8360	226624
8378	35702
8394	762164
8397	7536293
8411	1163453
8413	9799431
8417	6859224
8430	22327
8431	1626636
8438	222762
8441	1357100
8447	615822
8450	714837
8455	745571
8458	253844
8459	172372
8462	2709647
8463	162479
8465	1175281
8481	26865
8489	1075950
8500	1244997
8510	4679613
8512	2782370
8519	1922444
8526	1592823
8547	13100
8553	6557331
8557	189799
8561	1793460
8562	651785
8563	168366
8571	947222
8577	2956137
8582	2424691
8623	1974215
8625	7281027
8635	6510320
8641	439207
8653	2739228
8656	188428
8657	840694
8662	167167
8663	2688378
8665	115275
8673	3087734
8674	1494945
8675	504554
8691	823175
8698	1456740
8708	226877
8709	7378539
8710	1234406
8716	684102
8731	1048274
8742	4688531
8745	3886850
8746	556053
8751	2440
8759	916668
8761	1773377
8768	2249072
8771	8546
8775	1727001
8782	331099
8789	1841768
8792	1535041
8795	39962
8796	180759
8805	4557500
8832	536195
8833	143417
8853	682376
8885	274284
8898	323934
8921	1709098
8928	3261774
8950	4623320
8964	631860
8965	3723924
