geneid	dist
992	12044
1024	111696
1430	11320
2011	144846
3124	22941
3855	18864
3911	348691
4202	18864
4208	73857
4275	18864
4374	18864
4378	230286
4448	5263
4475	23858
4513	18864
4676	195298
4716	31632
4717	18864
4734	5263
4747	18864
4750	5263
4772	73857
4827	5263
4828	73857
4841	73857
4857	34793
4901	42590
4919	129570
5051	79824
5059	38329
5085	293662
5098	269081
5143	51007
5151	31549
5161	7545
5198	8213
5216	264770
5249	6546
5264	21607
5266	73619
5291	384437
5302	17763
5305	365582
5357	166785
5362	75548
5401	94364
5467	96171
5470	61328
5471	39637
5505	234172
5506	62759
5522	55454
5546	86696
5562	21481
5599	195638
5608	60609
5654	18370
5670	2533
5691	44745
5697	1028
5705	123025
5740	44152
5748	74691
5780	129938
5785	30218
5798	82238
5820	164162
5837	132092
5854	179821
5877	112362
5879	75759
5898	156324
5912	175061
5913	58019
5914	5708
5916	26728
5921	170308
5930	42578
5939	13704
5951	6433
5993	133797
6004	127417
6012	28575
6050	21727
6054	60598
6061	105015
6095	28837
6101	57448
6106	13427
6117	2621
6120	299683
6121	161182
6144	293139
6160	3308
6179	45333
6195	130371
6198	11417
6201	94364
6204	75665
6206	39346
6228	16450
6230	75865
6267	110353
6276	212
6278	13051
6291	30162
6304	32547
6308	12798
6316	400248
6329	28575
6338	305
6351	94858
6360	48990
6390	324732
6391	391958
6401	84069
6416	112696
6429	192394
6441	286103
6469	45133
6470	84069
6474	111179
6504	78739
6514	121518
6538	3932
6552	576296
6567	65880
6597	4956
6653	133490
6658	36781
6663	101019
6667	126032
6676	152287
6689	4413
6709	72839
6722	37945
6723	68664
6731	117613
6745	67186
6760	8562
6771	37864
6784	16333
6808	29021
6809	343243
6816	285124
6820	9089
6821	30542
6834	84281
6861	84069
6890	90347
6916	119924
6917	745037
6918	39667
6923	25932
6931	33356
6939	198104
6946	274067
6952	214166
6953	59062
6974	23299
6986	43968
6987	75055
6988	62517
6997	336116
7005	96088
7007	21986
7013	31196
7014	2669
7045	1403
7052	115653
7058	96180
7066	75548
7084	538229
7098	71668
7108	46363
7119	569007
7144	26272
7158	106163
7166	261696
7176	56586
7179	12373
7183	10800
7190	215307
7222	37405
7237	12174
7258	16111
7264	202188
7299	2814
7301	10482
7306	24583
7327	127142
7333	51279
7338	469048
7346	47579
7353	158882
7385	1245
7411	11016
7425	48102
7426	83850
7428	15162
7430	33306
7443	79701
7455	183352
7462	334783
7469	51279
7496	22959
7498	137218
7499	96367
7503	74518
7511	41319
7525	9314
7536	483513
7540	112018
7546	231432
7580	210158
7583	113388
7590	85671
7595	716148
7606	51279
7611	100213
7637	113485
7648	70438
7649	2669
7659	116747
7688	17866
7692	5241
7701	21210
7714	12372
7733	68616
7738	93605
7739	213972
7741	107739
7760	477961
7761	10505
7773	94690
7776	89377
7777	8607
7791	37188
7808	84069
7816	54425
7829	42050
7832	58021
7834	106551
7854	7489
7863	51279
7882	98303
7887	90538
7900	60840
7918	97585
7919	34908
7923	44435
7926	69711
7933	896940
7937	40397
7938	372324
7987	3457
7993	314492
8006	30527
8007	1245
8013	34747
8018	105885
8019	254863
8031	74612
8042	99428
8044	19350
8061	78358
8071	73980
8083	100613
8096	69778
8097	529460
8101	10823
8117	496173
8120	425137
8148	15099
8153	65159
8160	200383
8163	334489
8170	17207
8172	4222
8189	34644
8203	101642
8207	31382
8219	47892
8236	38384
8244	3452
8245	75100
8247	12069
8255	168372
8286	31343
8297	25625
8312	160687
8321	9433
8336	61328
8378	2108
8394	82300
8397	79457
8413	174514
8430	517573
8431	12830
8438	33306
8447	185251
8450	392503
8455	102234
8459	198381
8462	149925
8463	101533
8465	92023
8488	13582
8489	85507
8500	21275
8505	637603
8510	47559
8526	246743
8553	203253
8561	81611
8563	15790
8571	35419
8579	294676
8582	83261
8589	661677
8600	19629
8603	51279
8623	375856
8635	201407
8636	21453
8641	21706
8656	50079
8657	26259
8662	181332
8663	14522
8665	22284
8674	6448
8675	49385
8677	632061
8691	395568
8698	157107
8702	13582
8709	10786
8710	8269
8723	55335
8730	4559
8742	57751
8745	491018
8746	58542
8751	7858
8759	89348
8761	215377
8768	51938
8771	7511
8782	23858
8789	454268
8792	327321
8795	2519
8796	15878
8805	52648
8827	4559
8832	83606
8833	16960
8850	19728
8853	437218
8862	4559
8885	40217
8898	31430
8919	11958
8921	195787
8928	132108
8950	276576
8964	488397
8965	10484
8974	288788
8986	5458
8999	39643
9007	3226
9012	3052
9019	100572
9020	219376
9026	69982
9027	676322
9040	5256
9043	104020
9045	46031
9047	135716
9052	189245
9077	12754
9079	171655
9094	3677
9095	85997
9106	107739
9108	36461
9119	508357
9155	369666
9173	49617
9178	40183
9209	33572
9214	61823
9226	5198
9228	232271
9232	25168
9238	47056
9248	68889
9260	131457
9265	7093
9267	18031
9269	71425
9270	16184
9287	234785
9288	44664
9291	5348
9317	28690
9327	36994
9338	658946
9341	103933
9345	729656
