geneid	dist
636	153
992	3730017
1024	14956128
1430	16300583
2011	6265307
3124	428275
3855	12170368
3911	7559592
4202	12170368
4208	12336832
4275	12170368
4374	12170368
4378	16596524
4416	6484107
4448	14058428
4475	273020
4513	12170368
4544	5210552
4546	5210552
4676	12601015
4716	1110043
4717	12170368
4734	14058428
4747	12170368
4750	14058428
4772	12336832
4827	14058428
4828	12336832
4841	12336832
4857	4381942
4867	6484107
4901	13171665
5051	11043480
5059	5869488
5085	7063357
5098	11934122
5143	11630122
5151	10918591
5161	1094713
5198	12343049
5216	9241829
5249	12301092
5264	1605097
5266	15341481
5291	14817265
5302	7385716
5305	11343006
5357	14502892
5362	11039085
5401	15478296
5467	13178317
5470	5239545
5471	10381270
5505	5080437
5506	12136703
5522	2114261
5546	9893795
5562	10964937
5599	4270866
5608	2104881
5654	14188081
5670	9347555
5691	7255935
5697	10882490
5705	14499785
5748	10877755
5780	5307891
5785	10646150
5798	9899719
5820	4232954
5854	845001
5877	4935860
5879	2194976
5898	2194653
5912	14484102
5913	12872652
5914	2161819
5916	1618782
5921	9045486
5930	7427359
5939	2348577
5951	7680336
5993	7549113
6004	9215325
6012	14292816
6050	10404882
6054	9021550
6061	8892097
6095	16090969
6101	5834080
6106	13727987
6117	15354465
6120	16675939
6121	4223415
6144	15113661
6160	10007498
6179	13705603
6195	2433795
6198	562230
6201	15478296
6204	18028503
6206	2154759
6228	13725021
6230	6307418
6267	1428670
6276	6334521
6278	10905875
6308	9996592
6316	11307273
6329	14292816
6338	15522302
6351	5153129
6360	18431471
6391	649979
6401	12403615
6416	661296
6429	8946986
6441	7531667
6469	13208909
6470	12403615
6504	10419274
6514	7808882
6538	6430671
6552	8912663
6567	9962032
6597	9410202
6653	7893534
6658	9862559
6663	15694779
6676	310126
6689	8697082
6709	1725666
6722	13680047
6723	12950515
6731	11171138
6745	3066321
6760	2228798
6771	9966808
6784	3860871
6808	10997920
6809	1896356
6816	15247098
6821	6782554
6834	3089199
6839	3885115
6847	12828167
6861	12403615
6890	5175338
6916	8911053
6917	3699799
6918	6534205
6923	13790684
6931	2464139
6939	4220016
6946	15124468
6952	16795368
6953	14474158
6974	10384455
6986	2447513
6987	14595629
6988	5752344
6997	19302203
7005	244078
7007	9215831
7013	4056006
7045	6577308
7052	2583667
7058	12079602
7066	11039085
7084	17027740
7098	8124392
7108	10053112
7119	3864945
7144	2324907
7158	3436669
7166	2264378
7176	2477056
7179	6604896
7183	6973833
7222	1815068
7258	8563354
7264	11483991
7301	5794789
7306	13787659
7312	12828167
7327	4619952
7333	9434263
7338	4013833
7346	4617342
7353	15554137
7385	3805759
7411	14699269
7425	2278400
7426	3119606
7428	10404557
7443	4318215
7455	5006647
7462	4109180
7469	9434263
7496	8404926
7498	10129240
7499	125942
7503	18406276
7511	10935273
7525	10891722
7536	8966218
7540	2515965
7546	10087074
7562	12828167
7580	9305134
7583	10766227
7590	2731788
7595	7671406
7606	9434263
7611	2513462
7637	2565036
7659	281882
7688	9200185
7692	4951207
7701	10394368
7709	10731129
7714	14694946
7719	10725950
7733	3439690
7738	12604287
7739	11495582
7741	13833498
7761	13197149
7773	15306156
7776	602719
7777	10859212
7791	982170
7808	12403615
7816	2751659
7829	10401828
7832	9405072
7834	2475875
7854	3518738
7863	9434263
7882	12996752
7887	120885
7900	4013707
7918	3183756
7919	3891730
7923	293360
7926	2748101
7933	8488664
7937	11245581
7938	7808638
7987	9911968
7993	14673999
8006	9335159
8007	3805759
8013	14860034
8018	16631824
8019	9953327
8031	16250561
8042	10388364
8044	11074197
8061	3439880
8071	13864893
8083	621975
8096	5741531
8097	2980379
8101	3877198
8117	3996005
8120	13854563
8148	6563317
8153	8503927
8160	4262936
8163	14693196
8170	11990286
8172	10491967
8189	4059576
8203	14521991
8207	3513872
8219	3222135
8236	7731811
8244	15930045
8245	3201685
8247	3724188
8255	3544437
8286	11418506
8297	13716927
8312	5040509
8321	9223518
8336	5239545
8378	3636729
8394	9258884
8397	16600459
8413	3134213
8415	7627741
8430	7750175
8431	15227050
8447	64564
8450	14825477
8455	215637
8459	8007
8463	3472872
8465	10799250
8488	12638
8489	4289127
8500	1473498
8505	7900462
8510	16059339
8526	11070249
8553	7934865
8561	2623802
8563	15587533
8571	318221
8579	2346456
8582	9150258
8603	9434263
8623	8836257
8635	14976131
8636	5481673
8641	717981
8656	9573228
8657	1485857
8663	2977493
8665	7062177
8674	2668561
8675	7130344
8677	7895420
8691	346437
8698	10530019
8702	12638
8709	3522414
8710	273743
8723	738783
8730	6455773
8742	11943257
8746	2507398
8751	11632125
8761	7889912
8768	11185105
8782	273020
8789	4037281
8792	16634849
8795	5274186
8796	2545025
8805	1924741
8827	6455773
8832	10741238
8833	11400732
8850	2157201
8862	6455773
8885	11533763
8898	11521445
8919	513729
8921	10575577
8928	1246653
8950	634473
8964	5327141
8965	10917286
8974	8683290
8999	6883163
9007	11387841
9012	2668125
9019	10404714
9026	8018267
9027	4169261
9040	9233804
9043	5210710
9045	62766
9047	11046191
9052	13754559
9077	11211078
9079	8734313
9094	3936491
9095	13382062
9106	13833498
9108	7744904
9119	9654209
9155	2843033
9173	6103530
9178	11548504
9209	5401247
9214	1712508
9226	11525622
9228	13497433
9232	3958753
9238	16190123
9248	6576529
9260	12064222
9265	4249572
9267	7701693
9269	11628789
9270	12665897
9287	2432838
9288	195539
9291	15566460
9299	12828167
9317	7850920
9338	7927307
9341	2720510
9345	7700853
9348	12952028
9367	11188435
9383	31464
9408	3170584
9410	5816411
9415	1452351
9442	15471292
9448	3086439
9449	5098432
9458	4114462
9466	14838273
9474	318221
9485	12185903
9495	5065793
9504	2858189
9519	11498543
9534	7684990
9539	892830
9541	8717765
9554	3805759
9577	2952374
9578	10507197
9583	830072
9602	9572147
9603	13531808
9617	5043439
9625	16711630
9636	7212546
9638	11514152
9648	19338875
9652	12536014
9655	9354537
9661	16041926
9668	439937
9670	10271630
9678	16041926
9683	8540714
9692	482714
9716	8238642
9718	7730782
9722	17579288
9729	13035648
9735	2423714
9741	16096545
9744	7612460
9752	5189008
9758	9185261
9759	5347610
9770	5299863
9772	4147252
9774	11344843
9779	4385730
9790	5698290
9793	548197
9794	15070231
9798	513729
9806	9518627
9808	3097268
9810	15897437
9811	9689605
9813	3749655
9827	513729
9853	13767722
9864	814909
9878	13075256
9880	8532918
9893	3885115
9902	18173602
9922	5055582
9930	8398341
9944	3817934
9950	2617372
9951	4062125
9954	1042958
9960	6583424
9961	714787
9986	7680300
9990	2935429
10007	443957
10008	11474570
10018	5272709
10026	14592643
10033	3817934
10037	6721553
10054	16206644
10061	6570022
10070	5236630
10071	2934502
10075	12523667
10076	7723425
10079	3157439
10086	15354465
10088	16628690
10091	11543766
10107	14778239
10112	4350433
10121	9935453
10122	6782554
10123	1997516
10127	7561356
10128	3472872
10134	598607
10167	15334024
10171	10053112
10172	2856119
10187	16302298
10195	2780200
10203	16715797
10205	10377084
10206	13273699
10209	836108
10212	16168827
10213	12141731
10233	2012538
10236	487810
10245	2420567
10254	8857384
10262	2712288
10264	5131856
10276	10225579
10282	378603
10286	8124353
10287	2845228
10293	2893082
10296	12529693
10298	36521
10307	12136599
10317	9617048
10322	9177882
10323	6755779
10324	4108759
10331	643732
10334	679554
10335	8494399
10336	12458583
10341	2908349
10346	8583078
10347	13840446
10350	12212655
10356	3857345
10357	510336
10376	1712508
10405	2924877
10406	8730687
10410	12835191
10436	7582716
10444	5868623
10447	7591465
10472	12785263
10493	2472250
10540	7254234
10566	13125937
10567	7756042
10607	16749201
10610	10227587
10611	10227727
10613	10227985
10633	16751444
10637	13647291
10664	453367
10665	9068304
10672	11707199
10685	1725666
10694	1819543
10704	513729
10713	10342151
10716	15249026
10727	885310
10739	10278000
10743	1784628
10765	7875003
10766	8860353
10772	1110541
10774	9264836
10806	4529101
10814	411526
10819	2759324
10833	8939597
10838	8761074
10845	8419161
10872	1323696
10891	262125
10900	9160689
10905	7651916
10907	1278193
10908	17764496
10912	49760
10918	9131705
10925	2407217
10928	14790829
10936	675375
10938	6741889
10967	1315489
10980	5373030
10983	15336868
10997	6516064
10998	11043480
11004	6926721
11009	15071663
11011	16074992
11021	2195545
11031	3832660
11036	5092504
11038	14834260
11040	11996145
11056	64342
11060	3847943
11061	724301
11077	5140822
11089	15469218
11093	17013014
11099	7703222
11101	9565351
11102	9135415
11106	735424
11109	10756589
11114	1393992
11120	9643376
11123	6637245
11124	9538522
11125	2111601
11131	16634849
11141	1286233
11163	4554550
11167	14398403
11172	16037153
11173	5204401
11193	5246482
11195	11141179
11197	3115245
11209	14673778
11214	3622435
11216	14768448
11225	7999807
11226	7538652
11228	11173296
11233	16993215
11236	13783385
11237	5190232
11243	3927559
11249	2850924
11250	11936111
11257	12552666
11289	6638174
11291	2965810
11297	9230862
11299	13826302
11300	6795446
11311	2221348
11322	14417178
11326	8497426
11329	8987028
11331	3393679
11335	9501674
11343	2377652
11344	2464885
11349	3686457
11351	513729
11363	5138932
11366	2463454
11371	14947113
11378	16118356
11379	7021789
11386	4211263
11396	4670073
11410	14413835
11414	3614250
11415	12976508
11417	7263729
11419	11925439
11425	9166913
11430	13948351
11433	8673504
11436	9892536
11445	2258962
11458	10602336
11459	8079714
11463	12828801
11464	8611259
11465	9437452
11481	6510676
11482	14060544
11484	15437230
11486	3342685
11487	8023181
11490	17816020
11491	3709566
11493	10449652
11497	10382929
11498	7050993
11499	7905530
11500	7438607
11504	16943529
11505	14564440
11507	3571936
11511	14426657
11513	158532
11518	11180612
11524	8714123
11528	9684586
11541	9891141
11542	3219005
11543	11218241
11546	15678509
11547	7700408
11548	1176773
11561	15754269
11564	2755382
11574	16010867
11575	13776326
11579	14667787
11585	5684092
11590	3609346
11591	10585623
11614	5149632
11617	11265948
11619	10010470
11620	380155
11625	8752636
11627	1583000
11628	1911821
11636	7764201
11638	7593976
11643	8398663
11646	5962717
11647	16648683
11650	5962717
11652	1717861
11653	5152106
11654	8893392
11657	5962717
11659	6088994
11670	8776530
11679	9488229
11680	6551198
11685	5499450
11694	1982166
11695	8209924
11704	12936429
11713	3590174
11716	2424810
11726	6575373
11727	6611539
11728	13682131
11734	3869057
11739	16322020
11741	13783385
11743	3131271
11744	579560
11775	3470444
11783	14626806
11786	9404154
11787	13504887
11789	1579256
11800	887948
11801	6468699
11805	3064349
11807	7098899
11810	15891287
11812	12154305
11821	16731533
11826	3064349
11829	4717653
11831	12039091
11832	3828294
11847	2358467
11873	6243000
11893	16025301
11900	11802300
11908	11309103
11911	14156956
11912	11490002
11917	12403713
11924	3647773
11938	14860585
11946	7129522
11954	8481310
11963	14214410
11964	14542623
11969	7408996
11987	7955030
11996	16234021
12003	13298257
12008	9462036
12011	2299903
12016	10712686
12024	12544146
12025	3512605
12027	13953321
12035	13304981
12038	9752772
12041	13297920
12044	12913588
12045	4126176
12047	12393651
12048	2620239
12049	5977215
12050	2390256
12054	9403098
12060	232440
12064	7452905
12069	12179752
12083	5671750
12087	1280307
12088	10714846
12091	11787812
12092	13445229
12095	7122655
12102	8340805
12106	11595638
12109	9619168
12111	7558396
12136	1691734
12137	8362469
12146	5630550
12166	3201685
12210	540822
12211	3980047
12222	15236005
12262	3376028
12269	1729234
12275	12948651
12293	9077503
12294	540822
12316	7592665
12325	14151311
12327	14172849
12331	5962717
12334	1681885
12341	3313499
12343	67644
12345	8135934
12350	7267465
12351	4797561
12370	12373954
12373	18035718
12379	5314356
12383	11631625
12384	10202971
12387	8925184
12388	12975596
12391	2859161
12392	4161888
12396	8124586
12402	8539765
12404	10207064
12412	10805481
12417	1000591
12421	10207064
12426	7204109
12428	15877945
12429	15877945
12430	15877945
12431	10215500
12434	543764
12435	9542245
12452	8938429
12459	6795166
12463	11663399
12464	6354279
12468	8353267
12469	12177368
12470	1204840
12478	18357420
12479	19687843
12484	6558619
12485	659448
12490	4286958
12491	16035803
12492	14283491
12493	7488024
12497	88095
12500	6823326
12501	12674607
12502	1506425
12513	14579621
12515	11982824
