geneid	dist
559	10820092
582	29726293
602	26808184
619	19064788
977	2497295
978	2497295
992	27430736
1005	40010698
1032	21379354
1238	21379354
1711	2497295
1712	2497295
2011	1387725
2932	49227
3124	1283872
4104	7050978
4208	9749304
4378	54260381
4475	3948408
4525	11847211
4530	16495634
4544	49724575
4546	49724575
4772	9749304
4828	9749304
4841	9749304
4856	18296282
4881	20699696
5007	10072726
5051	2940668
5085	2931396
5098	223317
5143	1318980
5151	5112195
5161	1519472
5197	1861151
5198	41299426
5216	7131958
5234	26176289
5242	423320
5249	1345377
5264	26086731
5266	12319212
5291	7421578
5302	5413311
5331	12157322
5345	5354918
5362	3070212
5369	7849389
5397	10804013
5401	1933231
5467	21929214
5468	10818955
5470	26879185
5471	18031486
5505	2577553
5506	960170
5522	36939801
5546	15968779
5557	5397029
5562	5649057
5570	14398116
5597	15852381
5599	18381178
5608	37229419
5631	29715925
5659	28608396
5670	15527705
5691	23782233
5697	4479250
5705	21768910
5706	34644788
5711	14480763
5730	14138917
5740	12713761
5748	4415388
5780	19363790
5785	13207136
5798	15957212
5820	37301789
5837	1950208
5841	14804139
5843	18599929
5854	11585603
5877	11121121
5879	30558352
5898	23593799
5912	22407942
5913	36969856
5914	36697940
5916	11645602
5921	18658802
5930	35480171
5939	29834076
5951	18274631
5977	12157322
5993	40281827
6004	14502592
6012	22898360
6023	16732700
6050	18224751
6054	11120314
6055	14513682
6061	8980078
6095	13276915
6101	24477769
6106	32849703
6117	34679675
6120	14114069
6121	37349377
6144	9392513
6160	25829466
6179	32777149
6195	727840
6198	32737290
6201	1933231
6204	15925790
6206	36859307
6215	22932797
6228	32833480
6230	40197716
6266	36479717
6267	23743206
6276	39026407
6278	4970792
6290	14645819
6291	26240684
6304	16054655
6308	25716932
6316	7989665
6329	22898360
6338	1345933
6351	19125245
6360	25620550
6390	28427067
6391	774944
6401	25402661
6416	797126
6441	28190044
6445	26608093
6469	22352764
6470	25402661
6504	14051196
6514	27506615
6538	42370946
6552	30431175
6567	15445031
6597	32585898
6649	26608093
6658	25897807
6663	13696731
6667	11719543
6676	26503456
6689	34098050
6709	2805077
6722	32534624
6723	35449682
6731	512939
6745	21283436
6760	30248866
6771	14742360
6784	15328349
6795	10818955
6808	5826270
6809	28638406
6813	28473641
6816	30867934
6820	27971296
6821	2052504
6826	27290848
6834	27898423
6847	29215931
6850	24795927
6855	28473641
6861	25402661
6863	13082588
6890	26636341
6898	32535054
6905	34839905
6913	24795927
6916	9031736
6917	37395281
6918	25670451
6920	32577814
6923	11368250
6926	27193514
6931	42411392
6939	30243609
6946	10186591
6952	12394830
6953	23503175
6974	15406428
6986	33593679
6987	27383578
6988	36876630
6990	11138930
6997	38058453
7005	28726163
7007	28271953
7013	12338652
7014	29132731
7045	27829535
7052	41481815
7057	27258852
7058	11540450
7066	3070212
7084	30834411
7098	24517646
7104	33349136
7108	27988166
7114	43660219
7119	38046329
7144	30025893
7146	24792630
7151	24481251
7158	14130003
7162	25683515
7166	19349519
7176	42333666
7179	24074827
7183	25998826
7190	26042007
7222	12426648
7237	22699778
7258	41887529
7264	39228246
7299	37792067
7301	37118469
7306	18792113
7312	29215931
7327	14788955
7338	39750953
7346	39405885
7353	33368434
7385	12161749
7387	23058915
7411	23899585
7425	30210025
7426	10639596
7428	43323224
7430	10548403
7443	28431143
7455	21904894
7461	22978270
7462	40679888
7496	14814798
7497	27144437
7498	30764297
7499	39936166
7503	28012437
7511	11232845
7525	4771533
7536	30090228
7540	32600310
7546	27411262
7580	40156098
7583	43683574
7590	34760784
7595	24031487
7611	42325915
7621	23455172
7637	32281605
7648	27719969
7649	29032547
7659	43048131
7688	27473474
7692	43528743
7701	43250307
7709	43563059
7714	8914718
7719	43620129
7733	7767320
7734	24792630
7738	9078399
7739	39276837
7741	11294650
7760	27999713
7761	25514652
7773	12515794
7776	32693721
7777	4243342
7791	26198776
7808	25402661
7816	315180
7829	15202743
7832	6648768
7834	27103763
7854	8153644
7882	11836135
7883	39343436
7887	39981571
7900	1846926
7907	24795927
7918	8694264
7919	73519
7923	28851063
7926	358395
7931	32709453
7933	11051743
7937	27710717
7938	41697352
7983	12274632
7987	26569987
7988	24795927
7993	23805154
8002	24795927
8006	15387518
8013	23325899
8018	24497828
8019	21451614
8028	23601693
8029	12654502
8031	15689090
8042	39307622
8044	10194637
8061	39381
8071	20616375
8082	60629722
8083	32649093
8094	43506797
8096	26429790
8097	28208614
8101	15305944
8117	39605637
8120	3436258
8143	19902729
8147	25839119
8148	6182271
8153	30838559
8160	18444043
8163	23793146
8164	40368035
8170	39132816
8172	14958817
8189	24369635
8203	24373261
8207	8334345
8219	10128643
8234	8925534
8236	40042670
8244	21039612
8245	10054352
8247	11558576
8255	21781105
8286	23235467
8297	32806542
8312	27742807
8317	27179639
8321	27274597
8332	23118775
8336	26879185
8360	23044215
8378	10897335
8380	40010698
8394	14603510
8397	24508042
8411	19878876
8413	26372945
8417	6589402
8430	325363
8431	15452448
8438	10548403
8441	20054934
8447	2076709
8450	7647246
8455	4922689
8458	2501199
8459	118184
8462	37509797
8463	24232448
8465	9705516
8481	5466106
8489	37445484
8500	17137380
8505	857542
8510	27460231
8519	10072726
8526	9610595
8553	31655006
8557	8535562
8562	19392915
8563	963635
8571	24014548
8577	25901818
8582	4287010
8600	507829
8603	43986124
8623	21837430
8625	24267067
8635	40108475
8641	7236701
8653	15398175
8656	6171540
8657	19416367
8662	291721
8663	15429351
8665	10630984
8673	15586582
8674	9471335
8675	40035310
8677	850044
8691	5489040
8698	14264139
8702	722959
8708	266590
8709	7075294
8710	13221656
8716	5824130
8742	11575147
8745	12086889
8746	17857246
8751	10809764
8759	1842779
8761	3219437
8768	25203332
8771	8380612
8775	557934
8782	3948408
8789	40090158
8792	15571853
8795	16097917
8796	43101784
8805	21985812
8832	29854710
8833	23064370
8885	621949
8898	606216
8919	26064620
8921	14171788
8928	29357746
8950	11616766
8964	34231113
8965	42768494
8974	792661
8986	4784153
8994	25983939
8999	22701744
9007	22998754
9012	29395162
9019	27568292
9020	15952706
9026	3681678
9027	15853832
9043	13237013
9045	29128214
9047	25705094
9052	15834444
9067	4479604
9079	21065685
9094	9322396
9106	11294650
9108	2649514
9119	12155557
9132	7007550
9155	17150702
9173	13071878
9178	24975483
9196	11177240
9209	18183509
9214	2851465
9216	23620258
9226	15546201
9228	20991082
9232	39498389
9238	274738
9248	16248698
9251	21500120
9265	18185350
9267	30980141
9269	4567827
9270	23670133
9287	3612309
9288	18314736
9291	939345
9317	2902228
9324	15549432
9327	18407503
9338	112109
9341	20006400
9345	23947083
9348	39580159
9366	2497295
9367	14394886
9376	2497295
9379	2497295
9383	18309769
9390	2497295
9398	40010698
9411	27826682
9414	27825933
9415	27780170
9430	30256717
9440	46436575
9443	14070943
9449	3871902
9458	25992775
9466	8649043
9474	24014548
9485	19128547
9495	3759969
9504	8809926
9519	478272
9534	11112605
9539	9211464
9541	21083786
9554	11806936
9574	39875903
9577	9169770
9578	14649467
9583	10467357
9587	445492
9588	15637043
9596	21168653
9600	8984
9602	26982568
9617	10822993
9625	20880705
9633	25398270
9636	8040562
9648	38516445
9652	23883671
9655	14075989
9657	68318
9668	2117591
9670	16422685
9678	12511648
9683	10570249
9716	4797357
9718	717142
9722	18026921
9725	12152815
9729	23855839
9732	413388
9735	14681997
9741	13286706
9744	36905096
9745	20061419
9748	709532
9751	10804013
9752	26806160
9758	3941518
9759	34409070
9770	34094298
9772	5458657
9774	1545062
9779	19415046
9790	8576715
9793	13846439
9794	14081102
9806	29759806
9808	10585206
9810	23843651
9811	11933697
9813	3637404
9821	278246
9827	26064620
9851	39533935
9852	9942605
9853	16070984
9864	10678520
9866	15364901
9870	11385702
9878	21255336
9880	8089834
9902	8688019
9922	28777698
9930	10731796
9933	8386173
9943	27989862
9944	2380028
9950	13903119
9951	1109160
9954	15595372
9960	10501771
9961	2323874
9986	14518477
9990	28145377
9994	6535447
10007	6152960
10008	434437
10018	16709692
10021	2289813
10026	27372144
10033	2274206
10037	278948
10052	7172044
10054	522780
10061	7025934
10070	28025720
10071	4866549
10075	23966125
10076	740837
10079	2175784
10086	34679675
10088	18244697
10091	15506644
10107	6790305
10112	872503
10118	38392401
10121	13886585
10122	2052504
10123	25264498
10127	12928299
10128	24232448
10133	10228823
10134	14824447
10143	13746729
10145	1950208
10156	325495
10167	8023838
10171	27870183
10172	16270246
10187	253616
10195	17035869
10203	5239051
10204	18106883
10205	16525052
10206	8681525
10209	13686059
10212	687861
10213	43208473
10228	36892768
10233	25315358
10245	41856815
10254	33792339
10262	20030942
10264	3937258
10276	26585579
10286	9607063
10287	19383246
10293	8710051
10296	23921151
10298	18080910
10301	18475514
10306	5471268
10307	20619099
10317	204486
10322	39335840
10323	25521276
10324	5310197
10326	2499400
10331	12306641
10334	15684002
10335	42213665
10336	20233668
10341	20549694
10347	15391182
10350	39205750
10356	2915489
10357	14183722
10359	25453416
10363	33244738
10374	2129407
10376	2851465
10385	43393657
10393	47708393
10405	20578794
10406	41064694
10410	39643338
10415	24023035
10436	20486803
10444	24230874
10447	40333479
10472	5577830
10479	7266755
10484	31183599
10488	4819499
10489	4819886
10493	41509647
10498	13851731
10500	28703707
10507	46922151
10516	55292066
10520	43992411
10535	375373
10540	44213178
10560	54648449
10574	33838882
10606	6222481
10607	7124424
10608	18302738
10609	18820707
10610	18302592
10611	18302441
10614	72041853
10615	11924652
10627	76507063
10633	7106842
10634	37229960
10635	46922151
10637	8900624
10645	46922151
10651	55397167
10664	2758679
10665	1970416
10670	15554012
10672	24064556
10684	42126345
10685	2805077
10694	19245017
10702	42199576
10713	17815062
10716	8349681
10718	17801174
10722	17770216
10727	9240434
10739	16917160
10743	4642710
10765	16256873
10766	314120
10771	11770056
10772	5549627
10774	42184239
10814	972166
10819	5184789
10833	2338709
10838	726641
10844	1069448
10845	4576346
10872	5258968
10875	31915363
10882	419432
10891	42073108
10900	4156000
10906	43191688
10907	5823957
10908	6492548
10912	20053664
10913	4465299
10914	13786432
10918	2749456
10919	53711838
10925	12678450
10928	7701063
10935	42524882
10936	15650024
10938	874565
10951	4319391
10953	22030989
10967	4436025
10969	31904144
10977	40244251
10980	18270182
10997	16656475
10998	2940668
11004	10697181
11009	8780080
11011	12763104
11015	8861225
11021	62092512
11023	12730501
