geneid	dist
559	3823
564	5077
572	7014
575	7862
582	7405
590	6722
594	5868
605	5160
614	3567
619	1735
624	1140
992	186096
1024	536199
1430	1960766
2011	2694884
3124	756804
3855	128098
3911	358438
4202	128098
4208	31886
4275	128098
4374	128098
4378	1650643
4416	578940
4448	337921
4475	162570
4513	128098
4676	788482
4716	173408
4717	128098
4734	337921
4747	128098
4750	337921
4772	31886
4827	337921
4828	31886
4841	31886
4857	11617
4867	578940
4901	528772
4919	237144
5051	701
5059	391512
5085	720646
5098	416016
5143	112805
5151	42453
5161	397464
5198	887139
5216	10609
5249	532214
5264	674622
5291	223192
5302	18501
5305	30271
5357	1059767
5362	55655
5467	327646
5470	738684
5471	795634
5505	56804
5506	512990
5522	103224
5546	279501
5562	9084
5599	591977
5608	77149
5631	452
5654	287590
5670	87276
5691	787
5697	64463
5705	1066190
5740	272781
5748	82524
5780	238529
5785	41478
5798	287270
5820	1361047
5837	2455722
5854	3574318
5877	1791881
5879	651420
5912	1578555
5913	2993517
5914	39628
5916	2389082
5921	71408
5930	7350
5939	902106
5951	2063658
5993	1575235
6004	713
6012	37122
6054	871177
6061	936573
6095	173511
6101	204680
6106	2365198
6117	565811
6120	1257960
6121	1353575
6144	605667
6160	4527
6179	2343220
6195	411163
6198	785299
6204	48039
6206	52034
6228	2364291
6230	2474515
6267	2483910
6276	432182
6278	47330
6291	192526
6304	895965
6308	18471
6316	61074
6329	37122
6338	1497901
6351	20527
6360	97192
6391	511551
6401	74298
6416	519937
6429	338019
6441	255366
6469	1575345
6470	74298
6474	591644
6504	85278
6514	404268
6538	2379875
6552	646714
6567	210328
6597	1359361
6653	837778
6658	5673
6663	447629
6676	109318
6689	667
6709	34359
6722	2325538
6723	525607
6731	1730662
6745	276937
6760	274843
6771	785
6784	2368400
6808	25000
6809	543214
6816	268849
6820	243866
6821	84762
6839	3008109
6847	48319
6861	74298
6890	692917
6916	898347
6917	714477
6918	28567
6923	2417302
6931	60819
6939	117473
6946	600167
6952	1199439
6953	848783
6974	249126
6986	143368
6987	991973
6988	137088
6997	1116861
7005	552859
7007	28826
7014	483162
7045	276009
7052	23592
7058	1058648
7066	55655
7084	3300437
7098	55961
7108	1278415
7119	884711
7144	910792
7158	345087
7166	649075
7176	80814
7179	475026
7183	3004
7190	439359
7222	188904
7237	125222
7258	1788936
7264	50580
7299	624323
7301	164381
7306	1595543
7312	48319
7327	103772
7333	31461
7338	984020
7346	1468328
7353	524483
7385	843798
7411	4144
7425	302565
7426	84066
7428	2148746
7430	275917
7443	183551
7455	332804
7462	1061728
7469	31461
7496	216810
7498	20720
7499	48062
7503	111930
7511	4538597
7525	60466
7536	336235
7540	177115
7546	109387
7562	48319
7580	757393
7590	243721
7606	31461
7611	638644
7637	204762
7648	1214767
7649	483162
7659	218826
7688	3476
7692	90922
7701	2150088
7714	1398984
7719	2222346
7733	699839
7738	290402
7739	61941
7741	221845
7760	171954
7761	1069092
7773	521276
7776	942755
7777	92961
7791	23304
7808	74298
7816	578033
7829	271788
7832	1214388
7834	554238
7854	662456
7863	31461
7882	198746
7887	45935
7900	1128567
7918	120570
7923	63467
7926	90126
7933	255088
7937	2459
7938	128326
7987	33016
7993	578182
8006	79489
8007	843798
8013	80649
8018	1987642
8019	70651
8031	193579
8042	266974
8044	4446651
8061	777527
8071	71117
8083	939427
8096	1412670
8097	106895
8101	2375358
8117	965203
8120	298402
8148	488725
8153	410438
8160	579105
8163	569414
8170	740135
8172	276789
8189	3320935
8203	140128
8207	676816
8219	678312
8236	1550968
8244	362918
8245	131275
8247	851476
8255	97771
8286	341822
8297	2350587
8321	125443
8336	738684
8378	796955
8394	22762
8397	2018963
8413	270831
8415	309493
8430	205319
8431	1086722
8438	275917
8447	305603
8459	833286
8462	1339674
8463	99560
8465	4598748
8488	3677
8500	34879
8510	158998
8526	67932
8553	269518
8561	455198
8563	1591
8571	489888
8579	1113129
8582	68548
8600	48083
8603	31461
8623	465047
8635	892380
8636	602724
8641	348607
8656	16987
8657	24101
8662	1417154
8663	372430
8665	81395
8674	63094
8675	1950467
8677	29201
8691	89178
8698	390212
8702	3677
8709	653387
8710	114383
8723	1225840
8730	104197
8742	1009116
8745	361860
8746	95935
8751	325469
8761	49321
8768	156667
8771	253604
8782	162570
8789	1007846
8792	1276953
8795	2392922
8796	1476918
8805	966598
8827	104197
8832	491003
8833	354724
8850	412085
8862	104197
8885	52032
8898	49850
8919	225538
8921	437541
8928	142754
8950	237100
8964	55813
8965	82388
8974	15509
8986	203095
8999	6661
9007	360054
9012	444485
9020	3103285
9026	265161
9027	981015
9045	32636
9047	91718
9052	3079834
9077	51545
9079	303296
9094	801809
9095	3887
9106	221845
9108	201324
9119	376417
9155	272901
9173	12405
9178	447078
9209	717722
9214	2749848
9226	349499
9228	377381
9232	61936
9238	6376
9248	103868
9260	162905
9265	572310
9267	327731
9269	43652
9270	204974
9287	390526
9288	44444
9291	762019
9299	48319
9317	3796
9327	35762
9338	6424
9341	108684
9345	150964
9348	967303
9367	722432
9383	62368
9410	335024
9449	638373
9458	192744
9466	459217
9474	489888
9485	1442785
9495	615747
9504	66664
9519	216471
9534	206034
9539	1978
9541	241446
9554	843798
9577	473
9578	371340
9583	3566626
9602	6174
9603	297216
9617	51212
9625	1900910
9636	27800
9638	35369
9648	1012681
9652	1469
9655	1250926
9657	20595
9661	1103
9668	93935
9670	651105
9678	1103
9683	644551
9716	156262
9718	121368
9722	169803
9729	464544
9735	513578
9741	178429
9744	56589
9748	2006123
9752	506055
9758	85409
9759	73551
9770	25677
9772	66051
9779	839353
9790	61945
9793	57119
9794	119161
9798	225538
9806	15160
9808	288431
9810	125279
9811	348411
9813	1127012
9827	225538
9851	20845
9853	481948
9864	83286
9870	63587
9878	419283
9880	25184
9893	3008109
9922	282796
9930	168957
9944	342424
9950	462215
9951	495032
9954	497675
9960	289351
9961	1074178
9986	3672480
9990	127057
10007	14084
10008	223206
10018	267665
10021	4271
10026	998945
10033	342424
10037	461
10054	29118
10061	293533
10070	137031
10071	186162
10075	413693
10076	2019702
10079	1805086
10086	565811
10088	202397
10091	375546
10107	238058
10112	612564
10121	55194
10122	84762
10123	144099
10127	2542155
10128	99560
10134	119190
10145	2455722
10167	1054180
10171	1278415
10172	291368
10187	33417
10195	263598
10203	886862
10205	239052
10209	130374
10212	60067
10213	448056
10233	135264
10236	1137730
10245	1083987
10254	1694727
10262	111942
10264	658970
10269	30579
10276	667128
10282	737421
10286	102293
10287	69538
10293	370598
10296	406139
10301	82982
10307	432783
10317	20939
10322	18019
10323	770869
10324	38967
10326	985743
10331	8954
10335	1845124
10336	96009
10341	74291
10347	115713
10350	660331
10356	225300
10357	186920
10363	33267
10376	2749848
10393	29359
10405	78726
10406	1713680
10410	261945
10436	409149
10444	239993
10447	3015534
10472	33220
10493	1053000
10540	960599
10607	297109
10610	128598
10664	117642
10672	2085
10685	34359
10702	900512
10704	225538
10713	770926
10716	64813
10727	1002307
10739	689654
10743	43089
10765	6184
10766	143187
10772	803907
10806	841107
10814	2985938
10819	247464
10833	298425
10838	93268
10844	43339
10845	208531
10872	36424
10875	985743
10879	985743
10882	46013
10900	76115
10905	909067
10908	264238
10912	2212
10914	276123
10918	10602
10925	40552
10928	417438
10936	85125
10938	1478
10967	564632
10969	3829
10980	728314
10983	73096
10997	75347
10998	701
11004	97069
11009	624053
11011	161877
11021	422963
11031	183652
11036	200210
11040	744983
11053	385785
11056	50966
11060	235590
11061	843381
11067	50608
11075	325737
11077	28918
11089	394278
11093	1524186
11099	65343
11101	269487
11102	520998
