geneid	dist
631	4572118
992	27555
1024	5158
1032	230983
1238	230983
1711	152
1712	152
2010	205153
2011	170794
2014	204227
2929	484
3124	16233
3152	293
3855	8793
3911	399453
4104	65205
4202	8793
4208	1137095
4275	8793
4374	8793
4378	61884
4416	24945
4475	2061851
4513	8793
4548	1681
4676	8640
4714	1681
4716	731
4717	8793
4742	589570
4747	8793
4772	1137095
4828	1137095
4841	1137095
4857	50399
4867	24945
4881	233530
4901	312025
4919	215270
5007	175152
5051	150769
5059	287489
5085	141265
5098	141840
5143	64131
5151	352130
5161	478425
5197	355111
5198	1556
5216	851301
5234	119336
5242	328927
5249	301204
5266	557076
5280	554153
5291	521220
5302	118247
5305	500574
5331	406714
5345	163290
5362	207634
5369	105269
5397	1624918
5401	454792
5467	488589
5468	1604916
5470	768788
5471	1725096
5505	8476
5506	76064
5522	1197052
5546	507239
5557	132046
5562	146734
5597	658329
5599	2072172
5608	1055068
5631	2019867
5654	46316
5659	123778
5670	1548764
5691	277633
5693	364423
5697	1547948
5705	719146
5730	567338
5740	719911
5748	1630887
5772	73920
5780	112754
5785	592430
5798	539963
5820	867819
5837	475792
5841	1088281
5843	243238
5854	874010
5877	1376155
5879	2661588
5895	977368
5898	91757
5901	343698
5912	21900
5913	1142469
5914	1414802
5916	827478
5921	2274773
5930	146621
5939	2161347
5951	1940366
5977	406714
5993	1057756
6004	637746
6012	7457
6023	595158
6050	1890364
6055	831123
6061	2263281
6095	1291601
6101	810980
6106	393457
6117	3848
6120	213604
6121	797678
6137	1664
6144	317498
6160	190787
6179	316485
6195	1286132
6197	769574
6198	33791
6201	454792
6204	562252
6206	1307647
6215	16191
6228	377931
6230	2050619
6253	357169
6266	167295
6267	541005
6276	1104756
6278	249233
6290	939946
6291	348037
6295	845192
6304	477044
6308	262668
6338	301993
6351	423025
6360	173737
6390	173579
6391	1190956
6401	208883
6416	1181282
6441	244703
6469	177010
6470	208883
6474	87145
6504	145990
6514	384878
6530	5745
6538	523054
6552	141540
6567	1391353
6597	107177
6635	5745
6639	814
6653	439403
6658	944
6659	5745
6663	109277
6667	744520
6676	81556
6689	406395
6722	65136
6723	118414
6731	291609
6745	1015333
6760	2686557
6764	631845
6771	1045770
6784	266728
6795	1604916
6808	327165
6809	207856
6813	40907
6816	437141
6820	444724
6821	567219
6826	637774
6834	525116
6839	239319
6847	411719
6850	320
6855	40907
6861	208883
6863	1106833
6890	550522
6898	211363
6902	814
6905	96961
6913	320
6916	2326361
6917	2236161
6918	46687
6920	250985
6923	488948
6926	566105
6931	1088132
6936	287
6938	287
6939	100619
6942	281
6946	924235
6952	401872
6953	1003245
6974	165342
6986	77572
6988	1751131
6990	656615
6997	312242
7005	240836
