geneid	dist
559	3858
564	5116
572	7053
575	7898
582	353
590	6730
594	5874
605	5166
614	3572
619	1737
624	1140
636	439121
992	224884
1024	6102873
1430	2074422
2011	1501307
3124	641509
3855	619226
3911	5266697
4202	619226
4208	2976602
4275	619226
4374	619226
4378	1562576
4416	523524
4448	139808
4475	1019031
4513	619226
4544	44038
4546	44038
4676	512686
4716	85129
4717	619226
4734	139808
4747	619226
4750	139808
4772	2976602
4827	139808
4828	2976602
4841	2976602
4857	323118
4867	523524
4901	37940
4919	394003
5051	1115258
5059	2150121
5085	49634
5098	3130773
5143	1271781
5151	984893
5161	2664105
5198	29400
5216	6566540
5249	2801290
5264	121210
5266	2857421
5291	2448551
5302	901595
5305	476586
5357	464342
5362	1112709
5401	5597001
5467	266593
5470	3824488
5471	7343967
5505	8412164
5506	2967212
5522	1727051
5546	982488
5562	1029960
5599	88296
5608	1718404
5631	618965
5654	632645
5670	642419
5691	4945771
5697	949964
5705	470319
5740	1144920
5748	944598
5780	21435
5785	1012698
5798	989135
5820	2433647
5837	660212
5854	535072
5877	1132658
5879	1308025
5898	120804
5913	1094021
5914	1766659
5916	561451
5921	465235
5930	1848598
5939	1423693
5951	447527
5993	44330
6004	557909
6012	39299
6050	7366051
6054	48018
6061	9215550
6095	1126632
6101	66484
6106	1649069
6117	357601
6120	3715608
6121	2436431
6144	2665570
6160	429743
6179	1631503
6195	664262
6198	1584818
6201	5597001
6204	3921767
6206	1755046
6228	1645278
6230	1409812
6267	466799
6276	149011
6278	751100
6291	250565
6304	4127890
6308	441203
6316	563066
6329	39299
6338	608798
6351	32764
6360	473412
6391	2086619
6401	617502
6416	2103518
6429	4468631
6441	6083867
6469	24619
6470	617502
6474	828761
6504	1093520
6514	966893
6538	1345559
6552	6336030
6567	1018927
6597	694740
6653	3341486
6658	2011893
6663	2646059
6667	909879
6676	312395
6689	1679059
6709	638583
6722	1611754
6723	1499557
6731	1699039
6745	4113126
6760	1342073
6771	1031494
6784	17253
6808	1077265
6809	1114296
6816	1200427
6820	180879
6821	4624601
6834	282505
6847	68631
6861	617502
6890	3779642
6916	9223835
6917	2957274
6918	212301
6920	9553869
6923	1689106
6931	116958
6939	659437
6946	2670119
6952	3796253
6953	92797
6974	10131360
6986	8001569
6987	357314
6988	5032938
6990	65921
7005	303727
7007	559573
7013	1086305
7014	146124
7045	98399
7052	232756
7058	348992
7066	1112709
7084	107531
7098	1370090
7108	142785
7119	3097019
7144	1413966
7158	799015
7166	174996
7176	130468
7179	721612
7183	316431
7190	11584102
7222	96975
7237	80155
7258	114344
7264	2329664
7299	2292668
7301	5086321
7306	7067431
7312	68631
7327	6647286
7333	61586
7338	3185666
7346	3717969
7353	508595
7385	597665
7411	760398
7425	1382756
7426	9325
7428	239507
7430	276031
7443	2381751
7455	535475
7462	3295763
7469	61586
7496	382533
7498	798903
7499	276800
7503	490397
7511	305397
7525	958897
7536	1761634
7540	7962955
7546	106146
7562	68631
7580	1434553
7583	623321
7590	232022
7606	61586
7611	171719
7637	7917911
7648	1174729
7649	146124
7659	42678
7688	113183
7692	568387
7701	251930
7709	601088
7714	7074264
7719	595923
7733	3331329
7738	481569
7739	2341430
7741	260464
7760	1287601
7761	50830
7773	2838689
7776	51895
7777	931461
7791	168389
7808	617502
7816	1561558
7829	10167368
7832	695172
7834	1101087
7854	3378863
7863	61586
7882	394583
7887	283242
7900	116588
7918	60924
7919	2057299
7923	335841
7926	1556926
7933	6056967
7937	1415272
7938	8788075
7987	2046705
7993	300825
8006	635200
8007	597665
8013	874645
8018	98913
8019	9867202
8031	995948
8042	5407498
8044	421143
8061	9463811
8071	345178
8083	59199
8096	441702
8097	1345047
8101	12547
8117	3170031
8120	1432883
8148	5515283
8153	848400
8160	97069
8163	321415
8170	436520
8172	1110673
8189	70748
8203	585193
8207	3373771
8219	4007512
8236	55710
8244	5224670
8245	69415
8247	613562
8255	270024
8286	1911978
8297	1641798
8312	343894
8321	91087
8336	3824488
8378	341827
8394	582602
8397	69189
8413	1721604
8415	5361518
8430	5447432
8431	2139626
8438	276031
8447	1270651
8450	2454807
8455	733819
8459	9567181
8462	2468545
8463	1943890
8465	184401
8488	41588
8489	596343
8500	559044
8505	5566644
8510	2227569
8526	738486
8553	508417
8561	1923855
8563	7989921
8571	60887
8579	56298
8582	4525276
8589	5586045
8600	283943
8603	61586
8623	1457168
8635	189133
8636	390312
8641	119720
8656	684104
8657	550038
8662	7173645
8663	150993
8665	1297
8674	110619
8675	912852
8677	5562082
8691	336447
8698	10251994
8702	41588
8709	3387878
8710	345865
8723	98952
8730	43750
8742	361458
8745	9645049
8746	2197383
8751	235183
8759	1305292
8761	7989020
8768	528634
8771	228103
8782	1019031
8789	3217951
8792	3685537
8795	561484
8796	2441835
8805	476262
8827	43750
8832	2436301
8833	1893213
8850	1061
8862	43750
8885	1103748
8898	1112563
8919	71785
8921	10302389
8928	2911986
8950	1497201
8964	8234611
8965	1331264
8974	8536030
8999	379135
9007	1870271
9012	66861
9019	273527
9020	874242
9026	8737492
9027	2108383
9040	8946024
9043	631790
9045	1768529
9047	431649
9052	852276
9077	10189466
9079	914287
9094	2885713
9095	9968414
9106	260464
9108	8585473
9119	9636404
9155	100801
9173	1122334
9178	1116272
9209	67068
9214	630977
9226	427091
9228	343151
9232	296478
9238	3162648
9248	4394532
9260	2172795
9265	106007
9267	1902689
9269	327545
9270	1336594
9287	61450
9288	54241
9291	7974645
9299	68631
9317	1420488
9327	67112
9338	5584165
9341	5301717
9345	794224
9348	2704839
9367	1459048
9383	48937
9410	609295
9411	392909
9414	2817359
9415	2808601
9442	2411712
9448	2625071
9449	3726941
9458	7531419
9466	4412775
9474	60887
9485	4459597
9495	3704903
9504	5399745
9519	8027301
9534	113658
9539	370995
9541	180158
9554	597665
9577	8015
9578	1072931
9583	519311
9587	1146041
9602	1611662
9603	228931
9617	64109
9621	2237388
9625	178929
9636	49523
9638	1131410
9652	1255744
9655	651009
9657	5573249
9661	2238698
9668	185002
9670	283066
9678	2238698
9683	74897
9692	212094
9716	8847688
9718	471740
9721	3251149
9722	586578
9729	2350978
9732	652700
9735	1702899
9741	2187239
9744	1730690
9748	467100
9752	3784057
9758	4421537
9759	8201451
9770	8283669
9772	898797
9779	32228
9790	108175
9793	437612
9794	205772
9798	71785
9806	444567
9808	4102894
9810	316057
9811	9660140
9813	13841
9827	71785
9846	7181638
9851	306621
9853	757822
9864	96258
9870	1329074
9878	2336218
9880	208645
9902	340307
9922	379156
9930	5969981
9944	901540
9950	1884850
9951	97988
9954	193878
9960	170011
9961	302815
9986	1851582
9990	1332046
10007	289150
10008	1156417
10018	3761748
10021	649231
10026	365033
10033	901540
10037	2961661
10052	206884
10054	1142363
10061	171295
10070	1317025
10071	4148831
10075	1247061
10076	470036
10079	6725913
10086	357601
10088	1494129
10091	420106
10107	2410907
10112	73173
10121	627613
10122	4624601
10123	5245055
10127	704154
10128	1943890
10134	1098227
10145	660212
10167	144531
10171	142785
10172	164842
10187	1262979
10195	78103
10205	1659100
10206	736303
10209	126664
10212	1094153
10213	650861
10228	1734970
10233	5260303
10236	2279584
10245	109196
10254	106515
10262	5294924
10264	3742178
10269	84606
10276	369072
10282	626834
10286	5730018
10287	2602039
10293	2264313
10296	1249899
10298	28487
10301	413617
10307	2153310
10317	6049926
10322	4769391
10323	2905070
10324	1411759
10326	30615
10331	72585
10334	841279
10335	155372
10336	3244637
10341	199364
10346	2086200
10347	783936
10350	2662958
10356	736801
10357	1027432
10363	132022
10374	1461344
10376	630977
10393	69769
10405	207257
10406	65898
10410	410921
10436	5314903
10444	92791
10447	710217
10472	333838
10489	961897
10493	146231
10540	710726
10561	738813
10566	133
10567	405301
10607	225461
10610	1368990
10633	221590
10637	693925
10664	170112
10665	292479
10672	1236306
10685	638583
10694	149655
10702	18520
10704	71785
10713	7315759
10716	4030530
10727	366716
10739	7264448
10743	1666049
10765	1565584
10766	351789
10772	69168
10774	655824
10806	4394
10814	396004
10819	3545388
10833	1483130
10838	444516
10844	2706381
10845	340936
10872	78900
10875	30615
10879	30615
10882	18704
10891	5275
10900	8871986
10905	2178659
10907	41711
10908	474816
10912	115566
10914	1185915
10918	5113946
10925	671480
10928	436860
10936	824377
10938	424971
10967	1416165
10969	11558
10977	1224702
10980	51383
10983	425850
10997	4331856
10998	1115258
11004	29164
11009	2623224
11011	2223920
11021	155688
11031	789238
11032	2990261
11036	1076426
11038	268325
11053	2755768
11056	40793
11060	744311
11061	382882
11067	2431415
11075	64587
11077	8356276
11089	2753026
11093	72038
11099	251081
11101	7562210
11102	1088621
11106	383040
11109	8202980
11114	134609
11120	830829
11123	3080267
11124	4472281
11125	4429166
11129	9270948
11131	3685537
11140	1419915
11141	48781
11163	5534537
11167	2221524
11169	302662
11172	2265304
11173	5887203
11177	104100
11188	48504
11193	98390
11195	467098
11197	589682
11209	708006
11214	353907
11216	71577
11225	94379
11226	46466
11228	1463365
11233	78155
11236	616940
11237	5876857
11242	8541014
11243	31103
11249	134835
11250	802191
11257	523170
11263	1574647
11291	326428
11297	4314192
11299	659757
11300	355855
11311	683852
11320	46929
11322	1282286
11326	173589
11329	4125774
11331	46042
11335	438061
11343	103465
11344	21084
11349	3540087
11351	71785
11363	3045221
11366	141492
11371	2657237
11378	575497
11379	73284
11386	467641
11396	1664624
11399	2063177
11405	30615
11410	2237457
11414	520154
11415	835433
11417	305416
11419	7076766
11425	1121860
11430	673907
11433	793683
11436	580221
11445	4551524
11458	162149
11459	3517790
11463	1314329
11464	2670302
11465	6714580
11481	5558706
11482	2718528
11484	2774309
11486	394347
11487	3472108
11490	452573
11491	359915
11493	1026182
11497	287432
11498	3908033
11499	170874
11500	35021
11504	1076531
11505	561565
11507	219571
11511	29018
11513	604991
11516	82181
11518	3850142
11524	897966
11529	160567
11541	1176646
11542	86484
11543	13740
11544	168651
11546	2202110
11547	456156
11548	224277
11561	1443768
11564	271031
11574	2272319
11575	605632
11579	2505635
11585	106254
11590	235308
11591	516017
11592	30615
11614	75843
11617	60437
11619	321277
11620	3676780
11625	999
11627	221207
11628	94492
11636	1652110
11638	387898
11643	1244543
11646	137967
11647	1141441
11650	137967
11652	416270
11653	3755346
11657	137967
11659	1383474
11670	2141922
11671	1308845
11679	517679
11680	5528681
11685	90818
11691	2329365
11694	364965
11695	5810062
11696	357451
11704	33388
11713	506187
11716	665813
11724	30615
11726	1979855
11727	105994
11728	1400786
11734	722532
11739	1282372
11741	616940
11743	556386
11744	34718
11765	4487553
11775	9608
11780	743766
11783	346902
11786	337645
11787	561769
11789	5917982
11800	326055
11801	574104
11805	190658
11807	467645
11810	456906
11812	216018
11821	46760
11826	190658
11829	1953180
11831	192238
11832	864841
11847	601572
11856	188999
11873	428998
11893	1656936
11897	828795
11900	4233
11908	1555709
11911	161746
11912	362078
11917	372755
11922	3774575
11924	178298
11938	1261346
11944	5888009
11946	35664
11954	2673394
11963	245087
11964	431463
11969	6245169
11987	2396731
11996	2502440
12003	105268
12008	1366048
12011	1401824
12013	77500
12016	967652
12019	3762901
12024	571940
12025	388446
12027	2913224
12035	1809966
12038	4291419
12041	1801575
12044	5817225
12045	1361558
12047	41001
12048	273020
12049	157813
12050	555629
12054	4882558
12060	50685
12064	640895
12069	7946837
12083	1098879
12087	332897
12088	1482579
12091	1126123
12092	610827
12095	210866
12100	143395
12102	1541826
12106	400839
12109	47322
12111	376901
12125	7192123
12136	1701185
12137	3725719
12146	515156
12157	1068875
12163	187593
12166	69415
12185	539301
12210	50713
12211	2555932
12212	2559982
12222	296527
12262	1655260
12269	284542
12275	4116430
12280	8554601
12293	57760
12294	50713
12305	573119
12316	356011
12325	181468
12327	616941
12331	137967
12334	431943
12341	3238741
12343	159729
12345	1152394
12350	95115
12351	62056
12370	1495864
12373	3927332
12379	3800513
12383	7362767
12384	79668
12387	6352700
12388	5769244
12391	235586
12396	534431
12402	6085518
12404	88545
12412	2696536
12417	657046
12421	88545
12426	41033
12428	169597
12429	169597
12430	169597
12431	201135
12434	532706
12435	955086
12452	727563
12459	164322
12463	586870
12464	66859
12468	3713977
12469	6839611
12470	464192
12478	520714
12479	610961
12484	312352
12485	259963
12490	971340
12491	667725
12492	4093405
12493	34983
12497	5219478
12498	2177633
12500	595945
12501	1868473
12502	763421
12513	6821272
12515	22065
12517	7891470
12527	497304
12530	241413
12531	985643
12534	1535584
12551	1374755
12553	363801
12556	684545
12570	1868378
12575	322765
12576	8755967
12579	3164892
12582	1447698
12583	2618038
12589	296070
12595	953455
12602	810931
12606	485213
12610	82231
12619	2864987
12624	257892
12625	1164391
12637	394976
12646	1223832
12662	3575173
12668	3819667
12670	94392
12672	796557
12682	57840
12683	1191509
12686	1444659
12688	337583
12690	980570
12698	165740
12699	1065291
12701	3027128
12707	515900
12711	904702
12717	72773
12729	160721
12734	525433
12737	3671954
12741	137967
12762	2801051
12765	623516
12766	70776
12767	235587
12779	1631855
12783	174391
12790	620473
12805	404830
12810	5323773
12817	335010
12822	574278
12829	163334
12833	507854
12845	2901225
12846	532942
12847	312751
12852	415294
12853	5550237
12863	8412164
12865	5783164
12866	226530
12877	200735
12878	2132518
12891	7715086
12892	342440
12898	180313
12900	478707
12901	578184
12905	452657
12907	5597001
12921	2986829
12925	168588
12934	311816
12936	329954
12944	619226
12947	630768
12949	844812
12950	1868642
12955	2453994
12957	1284224
12958	758955
12973	8626859
12975	1245546
12977	5692911
12987	58973
12988	2479424
12992	2945338
12998	3341486
13006	3050314
13010	4540330
13017	67
13018	67
13021	917206
13023	435882
13026	411570
13029	1223644
13033	174847
13042	409583
13048	5919
13050	148936
13053	116588
13054	30615
13058	4093405
13059	6300030
13063	645169
13067	80927
13070	1608290
13071	379952
13073	263235
13075	5837703
13086	4603344
13088	3688
13096	953590
13097	598920
