geneid	dist
559	3858
564	5116
572	7053
575	7898
582	7412
590	6729
594	5873
605	5165
614	3571
619	1736
624	1140
992	224197
1024	2051281
1430	77477
2011	625633
2932	98127
3124	36275
3152	98127
3855	382344
3911	89054
4202	382344
4208	53982
4275	382344
4374	382344
4378	117439
4416	471720
4448	32339
4475	287933
4513	382344
4676	937696
4716	84833
4717	382344
4734	32339
4747	382344
4750	32339
4772	53982
4827	32339
4828	53982
4841	53982
4857	232615
4867	471720
4901	29864
4919	257774
5051	505722
5059	421222
5085	45513
5098	122343
5143	151879
5151	381349
5161	407953
5198	452
5216	246371
5242	155798
5249	104611
5264	86695
5266	342666
5291	451176
5302	1869
5305	151153
5357	50020
5362	503168
5401	1542074
5467	498593
5470	459539
5471	32571
5505	569743
5506	56518
5522	18135
5546	68344
5562	424731
5599	254384
5608	52664
5654	692980
5670	831
5691	195589
5697	349347
5705	48540
5740	90069
5748	343640
5772	283593
5780	157012
5785	60446
5798	63802
5820	246156
5837	148647
5854	375972
5877	1812850
5879	383
5898	70117
5913	269020
5914	6203
5916	5753
5921	228806
5930	63690
5939	43784
5951	307238
5993	55359
6004	132806
6012	123693
6054	778782
6061	1279189
6095	71709
6101	486085
6106	788200
6117	358727
6120	241609
6121	233816
6144	540752
6160	2979
6179	776031
6195	417692
6198	108204
6201	1542074
6204	963338
6206	12806
6228	785586
6230	321431
6267	566145
6276	58582
6278	371300
6291	192121
6304	765918
6308	610284
6316	236911
6329	123693
6338	311
6351	14649
6360	930762
6390	279969
6391	1178
6401	134973
6416	46987
6429	1866707
6441	218296
6469	535
6470	134973
6474	179
6504	60524
6514	1053708
6538	254452
6552	454184
6567	46763
6597	749741
6653	1570226
6658	216844
6663	83427
6667	627911
6676	70325
6689	341284
6709	524007
6722	362834
6723	215009
6731	570236
6745	481758
6760	122537
6771	16991
6784	748940
6808	464690
6809	353559
6816	1184339
6820	10990
6821	68184
6834	200951
6847	29386
6861	134973
6890	481576
6916	1263167
6918	456890
6920	1304548
6923	829557
6931	146089
6939	114711
6946	529176
6952	320377
6953	79224
6974	380276
6986	1521
6987	10851
6988	2320411
6990	964132
6997	734946
7005	295485
7007	270037
7013	786411
7014	26765
7045	355263
7052	96659
7058	124030
7066	503168
7084	106122
7098	408117
7108	140865
7119	65978
7144	53261
7158	784545
7166	137874
7176	680
7179	195304
7183	34024
7190	647389
7222	652404
7237	1336725
7258	467396
7264	764725
7299	23087
7301	2179957
7306	1438173
7312	29386
7327	1352350
7333	63514
7338	121071
7346	56949
7353	428575
7385	836
7411	77305
7425	113824
7426	116973
7428	79958
7430	382827
7443	61517
7455	338732
7462	1952
7469	63514
7496	87371
7498	558850
7499	97918
7503	913695
7511	138490
7525	358772
7536	419910
7540	2885109
7546	112221
7562	29386
7580	129705
7583	128408
7590	77138
7606	63514
7611	334393
7637	2935090
7648	719270
7649	26765
7659	1914
7688	1295
7692	342082
7701	96639
7709	111609
7714	122761
7719	110123
7733	133402
7738	189300
7739	732419
7741	127883
7760	1014415
7761	39386
7773	363742
7776	319957
7777	331010
7791	321597
7808	134973
7816	337093
7829	337382
7832	41677
7834	367630
7854	84565
7863	63514
7882	42775
7887	83735
7900	107889
7918	162994
7919	1477968
7923	327268
7926	333285
7933	172772
7937	334385
7938	89413
7987	191289
7993	286136
8006	765
8007	836
8013	59726
8018	851418
8019	647660
8031	967
8042	1312078
8044	252846
8061	222722
8071	43685
8083	327174
8096	59653
8097	957078
8101	744331
8117	135647
8120	528834
8148	117106
8153	165206
8160	262915
8163	306528
8170	327
8172	1902
8189	76375
8203	26631
8207	101614
8219	376433
8236	1529
8244	1170602
8245	175672
8247	324660
8255	310720
8286	32298
8297	782740
8312	187169
8321	95699
8336	459539
8378	262693
8394	87848
8397	875115
8413	1333959
8415	12437
8430	99123
8431	169237
8438	382827
8447	853210
8450	460564
8455	444136
8459	194395
8462	227395
8463	675925
8465	20393
8488	11650
8489	55603
8500	1489
8505	214293
8510	182827
8526	196221
8553	282849
8561	405991
8571	1718
8579	111794
8582	336976
8589	235283
8600	24549
8603	63514
8623	762755
8635	329
8636	1783
8641	99694
8656	354
8657	2965
8662	57865
8663	111749
8665	473
8674	192572
8675	1122535
8677	211089
8691	304473
8698	263929
8702	11650
8709	76606
8710	7441
8723	722
8730	9470
8742	137943
8745	864018
8746	455100
8751	50647
8759	881081
8761	407731
8768	548027
8771	187176
8782	287933
8789	105124
8792	210525
8795	644296
8796	2311703
8805	220198
8827	9470
8832	145236
8833	16688
8850	106282
8862	9470
8885	210158
8898	202612
8919	2747
8921	251128
8928	657469
8950	1055692
8964	388663
8965	5323
8974	3011
8986	44405
8999	128119
9007	3732
9012	80306
9019	429719
9020	150043
9026	882886
9027	618212
9040	253788
9043	13843
9045	205139
9047	621256
9052	164060
9077	1039
9079	645863
9094	848
9095	57922
9106	127883
9108	738805
9119	880925
9155	329749
9173	24197
9178	17781
9209	65362
9214	533553
9226	207696
9228	44911
9232	3616
9238	618350
9248	153352
9260	5759
9265	12252
9267	499545
9269	79983
9270	169272
9287	117293
9288	264611
9291	1000790
9299	29386
9317	301194
9327	280213
9338	234012
9341	58716
9345	536814
9348	12503
9367	376307
9383	256929
9410	378534
9449	532254
9458	654003
9466	96134
9474	1718
9485	281428
9495	541432
9504	151399
9519	186206
9534	204283
9539	147986
9541	140027
9554	836
9577	131598
9578	32726
9583	360212
9587	1118501
9602	119057
9603	112107
9617	21688
9621	191099
9625	767754
9636	132908
9638	1008
9648	764169
9652	93694
9655	3980
9657	222267
9661	193225
9668	118444
9670	274894
9678	193225
9683	83272
9692	4313
9716	962
9718	338166
9721	657724
9722	340459
9729	137685
9732	161094
9735	630137
9741	142041
9744	852
9748	341537
9752	464212
9758	320921
9759	357916
9770	417513
9772	592730
9774	9205
9779	683095
9790	63652
9793	394581
9794	210114
9798	2747
9806	84530
9808	465294
9810	396272
9811	854667
9813	23484
9827	2747
9846	60882
9851	1015
9853	178216
9864	1001039
9870	254089
9878	171804
9880	321445
9902	981137
9922	436390
9930	119411
9944	618383
9950	517658
9951	356907
9954	28434
9960	401469
9961	80208
9986	1999743
9990	231866
10007	362043
10008	176264
10018	157329
10021	1476
10026	6779
10033	618383
10037	199671
10052	12309
10054	1113250
10061	405115
10070	980005
10071	188442
10075	87841
10076	1492
10079	118259
10086	358727
10088	1460673
10091	199881
10107	412808
10112	22522
10121	57757
10122	68184
10123	8302
10127	219906
10128	675925
10134	1404488
10145	148647
10167	50899
10171	140865
10172	282319
10187	1207537
10195	348813
10203	883076
10205	462556
10206	2635
10209	92034
10212	1066766
10213	351647
10228	2755
10233	23350
10236	415099
10245	141175
10254	159470
10262	52424
10264	514459
10269	294104
10276	123021
10282	53961
10286	140270
10287	142092
10293	173199
10296	87841
10298	71884
10301	235577
10307	16408
10317	1395966
10322	704050
10323	160407
10324	1050290
10326	32882
10331	91615
10334	175785
10335	508335
10336	62863
10341	244281
10346	49842
10347	917
10350	62075
10356	462042
10357	1495801
10363	144044
10374	839742
10376	533553
10393	66847
10405	235703
10406	432573
10410	215723
10436	48917
10444	512269
10447	73481
10472	2074237
10493	178757
10540	512111
10607	103828
10610	1334243
10633	105913
10664	107187
10672	74659
10685	524007
10694	204204
10702	19305
10704	2747
10713	43042
10716	176888
10727	144788
10739	97749
10743	101847
10765	1257
10766	1665
10772	52729
10774	216631
10806	160761
10814	1106694
10819	294747
10833	863034
10838	75214
10844	228676
10845	55187
10872	61477
10875	32882
10879	32882
10882	4527
10891	41007
10900	332503
10905	537804
10907	44235
10908	475425
10912	336327
10914	1314567
10918	1583764
10925	1658073
10928	427021
10936	172629
10938	15306
10967	195957
10969	42895
10980	48342
10983	35248
10997	197903
10998	505722
11004	143243
11009	576478
11011	180234
11021	6208
11031	522481
11032	999396
11036	511004
11040	867789
11053	241246
11056	35800
11060	471800
11061	229404
11067	463276
11075	161126
11077	514252
11089	237516
11093	501076
11099	271537
11101	161923
11102	805755
11106	269195
11109	367176
11114	123104
11120	84959
11123	98004
11124	418881
11125	298644
11129	648
11131	210525
11140	1120376
11141	863
11163	194249
11167	286696
11169	245573
11172	220040
11173	539227
11177	98299
11188	44010
11193	162322
11195	278064
11197	134938
11209	18292
11214	68270
11216	132275
11225	154142
11226	92601
11228	381708
11233	509330
11236	1712053
11237	530940
11242	26941
11243	151499
11249	179391
11250	200521
11257	1879099
11263	206464
11291	513155
11297	263231
11299	1691255
11300	51787
11311	134524
11320	21844
11322	1068421
11326	285222
11329	178017
11331	349140
11335	89973
11343	135332
11344	20739
11349	65760
11351	2747
11363	69397
11366	174925
11371	706121
11378	81011
11379	69202
11386	466481
11396	254326
11399	16291
11405	32882
11410	301310
11414	282112
11415	439653
11417	475430
11419	80892
11425	682900
11430	21983
11433	35264
11436	100573
11445	175513
11458	757999
11459	114321
11463	327728
11464	84360
11465	111825
11481	159817
11482	532198
11484	259644
11486	385322
11487	817001
11490	515418
11491	349443
11493	73800
11497	130933
11498	80593
11499	72103
11500	38564
11504	289982
11505	172628
11507	216765
11511	21293
11513	18299
11516	78403
11518	971845
11524	626470
11529	420747
11541	141348
11542	190655
11544	161621
11546	106833
11547	318315
11548	290036
11561	106738
11564	93573
11574	213563
11575	1718777
11579	420148
11585	182300
11590	116701
11591	230798
11592	32882
11614	1128183
11617	6128
11619	315788
11620	65519
11625	6907
11627	99673
11628	261515
11636	135534
11638	231431
11643	448446
11646	585131
11647	265697
11650	585131
11652	9406
11653	496761
11657	585131
11659	713821
11670	1719355
11671	265099
11679	520692
11680	132958
11685	83003
11691	2425439
11694	170445
11695	92002
11696	35884
11704	27180
11713	251300
11724	32882
11726	275265
11727	210237
11728	782706
11734	442331
11739	1244287
11741	1712053
11743	40690
11744	283278
11765	113080
11775	384540
11780	182633
11783	563
11786	50841
11787	573
11789	989
11800	42636
11801	522025
11805	36403
11807	65606
11810	3793
11812	9740
11821	83594
11826	36403
11829	46322
11831	503114
11832	583854
11842	1173029
11847	634
11856	84497
11873	359653
11893	277927
11897	560379
11900	226359
11908	436653
11911	180032
11912	207095
11917	230309
11922	1144565
11924	132948
11938	650802
11944	534071
11946	33819
11954	65001
11963	43327
11964	18274
11969	380797
11987	355260
11996	513094
12003	1035834
12008	1067611
12011	73661
12013	460
12016	17392
12019	1177095
12024	1872766
12025	6303
12027	346285
12035	419109
12038	243787
12041	412351
12044	181274
12045	1041698
12047	237960
12048	412637
12049	25089
12050	2548
12054	1370542
12060	38316
12064	10987
12069	579356
12083	1016876
12087	273028
12088	17805
12091	194786
12092	56282
12095	231411
12100	433111
12102	422670
12106	182286
12109	210954
12111	100194
12125	194820
12136	1775
12137	568348
12146	273678
12157	56244
12163	204454
12166	175672
12222	298723
12262	143095
12269	35993
12275	94905
12293	12776
12305	139268
12316	124054
12325	171313
12327	2073
12331	585131
12334	5950
12341	2557246
12343	166304
12345	132043
12350	177194
12351	64375
12354	141844
12370	667198
12373	954384
12379	113555
12383	345140
12384	781679
12387	460499
12388	135226
12391	6744
12396	154675
12402	230518
12404	1443485
12412	56135
12417	264981
12421	1443485
12426	125660
12428	124916
12429	124916
12430	124916
12431	795003
12434	2671
12435	136202
12452	284204
12459	272598
12463	18537
12464	311844
12468	587785
12469	151139
12470	350345
12478	880865
12479	35808
12484	418917
12485	255866
12490	96539
12491	164601
12492	550502
12493	127653
12497	566
12500	434640
12501	96146
12502	1392841
12513	120538
12515	158608
12517	2954350
12527	15701
12530	123316
12531	982860
12534	117960
12551	211362
12553	231464
12556	54295
12570	83566
12575	630049
12576	918983
12579	1522592
12582	326142
12583	120598
12589	50457
12595	131890
12602	522110
12606	209
12610	23524
12619	118344
12624	752
12625	965
12637	389442
12646	42981
12662	1341572
12668	943782
12670	38471
12672	218046
12682	142357
12683	358028
12686	31811
12688	101124
12690	915
12698	66496
12699	191011
12701	741264
12707	316329
12711	32202
12717	7674
12729	1187
12734	33658
12737	11070
12741	585131
12762	187999
12765	14508
12766	17084
12767	162414
12779	1318278
12783	184231
12790	546021
12805	56117
12810	1227239
12817	128421
12822	7478
12829	98340
12833	915
12845	126883
12846	481166
12847	165601
12852	71311
12853	154135
12857	406568
12863	569743
12865	149029
12866	61592
12877	590
12878	84497
12891	426692
12892	713
12898	115057
12900	179760
12901	197942
12904	283593
12905	30490
12907	1542074
12921	298847
12925	215320
12934	501750
12936	819189
12944	382344
12947	3074
12949	1630880
12950	364271
12955	455605
12957	261429
12958	646495
12973	2213667
12975	222699
12977	179251
12987	2971
12988	101038
12992	33519
12998	1570226
13006	171635
13010	1644
13011	147449
13021	339041
13023	184842
13026	48291
13029	44195
13033	302843
13042	7673
13048	359824
13050	51594
13053	107889
13054	32882
13058	550502
13059	268448
13063	419829
13067	302
13070	496470
13071	920311
13073	177980
13075	10325
13086	48541
13088	1903
13092	47641
13096	32094
13097	254379
13098	717730
13103	285594
13111	1638
13116	290100
13127	686938
13136	711510
13137	545321
13143	1211229
13148	310848
13151	17794
13157	302143
13167	281660
13172	259481
13173	84833
13175	193319
13177	1479241
13179	35499
13189	246422
13192	485192
13199	18060
13203	65606
13204	3061133
13206	177186
13213	22907
13236	404332
13244	292957
13246	810343
13251	635196
13252	814732
13253	362854
13254	710678
13256	187309
13258	16039
13267	1272
13273	16407
13277	518154
13278	1738
13287	513092
13288	106322
13295	13374
13304	283992
13313	1028631
13315	459730
13316	1850089
13328	173980
13336	95388
13338	276678
13347	31372
13350	21279
13361	622638
13375	140951
13382	29965
13383	17182
13389	96159
13392	40739
13399	356749
13407	1923314
13427	1489
13430	1766864
13432	54805
13452	8400
13459	123697
13465	283483
13466	752858
13471	5160
13483	254419
13488	60852
13490	3723404
13498	486146
13500	673537
13511	401629
13519	330734
13523	3803687
13525	301802
13526	354687
13533	464827
13542	884524
13547	85457
13550	134155
13560	194531
13567	578
13577	110532
