geneid	dist
582	2110795
602	308
631	494
992	45777
1032	1222
1238	1222
1430	40569
2011	4732062
2929	4393
3124	406638
3855	5379
3911	355974
4104	3148936
4202	5379
4208	996896
4275	5379
4374	5379
4378	67197
4475	1004222
4513	5379
4548	1776
4676	182413
4714	1776
4716	415190
4717	5379
4747	5379
4772	996896
4828	996896
4841	996896
4857	662
4881	109485
4901	213269
4919	178019
5007	12583
5051	5017629
5059	1330213
5085	5005587
5098	1158360
5143	2748148
5151	7753128
5161	3038017
5197	578576
5198	1601984
5216	9691676
5234	9393701
5242	1385663
5249	2773999
5264	234753
5266	4084338
5280	3131793
5291	9292172
5302	8109491
5305	9426238
5331	4296190
5345	8050161
5362	5112380
5369	8856859
5397	10309
5401	519571
5467	1007065
5468	2308
5470	9998555
5471	501178
5505	10700
5506	2210341
5522	5623579
5546	176421
5557	8090971
5562	8373754
5597	328687
5599	835793
5608	5798931
5631	5024345
5659	3246421
5670	344816
5691	476956
5697	7032877
5705	1275904
5730	441437
5740	635162
5748	6965549
5772	938910
5780	2672836
5785	3082449
5798	219274
5820	5575028
5837	502213
5841	1233224
5843	1950195
5854	726388
5877	258968
5879	5933108
5895	1143554
5898	279902
5913	5637441
5914	5370362
5916	792801
5921	1102973
5930	215338
5939	5169186
5951	724081
5977	4296190
5993	2610313
6004	1562861
6012	44200
6050	658875
6054	286130
6055	965558
6061	74258
6095	47649
6101	1159636
6106	1550776
6117	277391
6120	1918620
6121	5516599
6137	2174838
6138	1529870
6144	7079242
6160	2524588
6179	1855717
6201	519571
6204	234649
6206	5527442
6215	34880
6228	1582945
6230	5698755
6266	417125
6267	6735834
6276	7086281
6278	7610316
6291	1712111
6304	165357
6308	2430005
6316	8786024
6329	44200
6338	11824
6351	2483916
6360	2330384
6401	846235
6416	1002323
6441	2750191
6469	669034
6470	846235
6474	964700
6504	2130998
6514	754798
6530	1356952
6538	3565580
6552	1446027
6567	796741
6597	7904029
6635	1356952
6639	22957
6653	1783703
6658	947
6659	1356952
6663	2421606
6667	881423
6676	1332424
6689	798971
6709	205547
6723	261611
6731	1486409
6745	1586194
6760	5725903
6764	373766
6771	1221126
6784	5902497
6795	2308
6808	8529780
6809	3320317
6813	7821
6816	2079397
6820	623704
6821	477619
6826	1015024
6834	696445
6839	39553
6850	132691
6855	7821
6861	846235
6863	298932
6890	9795708
6898	3364644
6902	22957
6905	3275214
6913	132691
6916	127336
6917	881386
6918	1271713
6920	3402592
6923	2033054
6926	889608
6931	1942228
6936	12431
6938	12431
6939	1589911
6946	6366236
6953	1181150
6974	6015382
6986	4153930
6988	1366179
6990	1755486
6997	7826120
7005	237875
7007	586476
7013	949798
7014	586981
7045	740873
7057	1039012
7058	669205
7066	5112380
7084	2110407
7094	12431
7098	131638
7108	4785635
7111	945528
7114	290980
7119	33612
7144	5408402
7151	146395
7158	1905723
7162	1284677
7166	535248
7176	2054873
7179	1833424
7183	2823662
7190	2737521
7199	1356952
7222	3147667
7237	264397
7258	943182
7264	5767460
7299	849418
7301	1186762
7327	4402700
7333	103768
7338	5730935
7346	5397548
7353	848245
7366	2234
7385	1957314
7387	670449
7411	727071
7425	5656366
7426	421974
7428	1492102
7430	328888
7435	12431
7443	2983841
7455	530194
7461	585827
7462	6685862
7469	140406
7496	4428858
7497	681862
7498	2620240
7499	4811514
7503	781520
7511	1018415
7525	7363701
7536	1145822
7540	3425761
7546	4119815
7562	1291131
7583	784804
7590	3356897
7595	630740
7606	176304
7611	2146645
7621	263490
7637	3161658
7648	4375896
7649	529568
7659	6142433
7675	755975
7688	3358224
7692	4182
7701	1520083
7709	1050296
7714	713
7719	1088268
7733	323
7738	543445
7739	5507255
7741	452118
7760	2460468
7761	2226478
7773	3837786
7776	3503257
7777	6731704
7783	1075516
7791	9408929
7808	846235
7816	286666
7832	9508109
7834	658023
7854	530118
7882	2494540
7883	5440363
7887	4734156
7900	595928
7907	132691
7910	612788
7918	1076139
7919	62394
7923	370617
7926	349651
7933	1662929
7937	851712
7938	3013945
7983	2048471
7987	637163
7988	132691
7993	808716
8002	132691
8006	549754
8007	1937286
8013	968530
8018	2166787
8019	1480597
8029	2428523
8031	472376
8042	6448257
8044	647647
8061	7606
8071	2448363
8074	6901299
8082	135861
8083	3467360
8090	959192
8096	21759
8097	2779816
8101	5883784
8117	5609348
8120	5673387
8143	3975495
8147	801580
8148	2009776
8153	6654423
8160	897454
8163	845221
8164	2304158
8170	3724623
8172	5521277
8189	2316844
8203	163351
8207	474280
8219	574351
8229	12431
8234	696379
8236	2695317
8245	499021
8247	1311626
8255	3315043
8286	143385
8297	1611789
8321	3939828
8332	1010358
8336	9998555
8338	13850066
8339	13777845
8360	652997
8378	669457
8394	1371752
8411	4001261
8413	123817
8417	761219
8430	313031
8431	400415
8438	328888
8441	3884545
8447	837162
8450	9063259
8455	1864700
8458	2702317
8459	144060
8462	5436842
8463	422771
8465	166537
8481	2333581
8488	812882
8489	800518
8500	6576290
8505	854204
8510	4168120
8512	1356952
8526	7000838
8553	2697943
8557	6791
8561	118177
8562	4451113
8563	942147
8571	2096065
8577	2819994
8579	31316
8582	131190
8600	433481
8603	3054
8623	2522
8625	2342984
8635	3098
8636	1202059
8641	2869457
8653	1310035
8656	3170404
8657	4404473
8660	422002
8662	271231
8663	1282724
8665	417962
8673	8197261
8674	47315
8675	4699483
8677	844926
8691	1307393
8698	4964277
8702	688957
8708	297049
8709	321113
8710	10717440
8716	1661329
8731	921676
8742	715220
8745	737844
8746	5935159
8751	588157
8759	1038925
8761	1162162
8768	1071595
8771	1755138
8775	1552064
8782	1004222
8789	6071861
8792	319915
