geneid	dist
559	3686
564	4933
572	6858
575	7686
579	7515
582	7354
590	6674
594	5823
602	5409
605	5119
614	3545
619	1732
624	1139
631	9804
992	7239
1024	5954
1032	1252
1238	1252
1430	1002
2929	430
3124	2385
4208	620
4378	76384
4475	67694
4772	620
4828	620
4841	620
4881	42757
5051	5957
5059	121362
5098	239514
5143	6282
5151	99972
5161	191147
5197	5125
5198	13887
5216	101933
5234	188076
5242	54867
5249	51762
5264	12306
5280	35067
5291	37081
5302	2292
5331	68219
5345	4696
5357	51891
5362	76409
5369	31434
5401	11134
5467	311019
5470	72487
5471	47301
5506	210322
5522	134691
5546	1658
5557	5176
5562	266669
5599	93663
5608	17516
5631	209929
5659	51206
5670	27812
5691	95332
5705	178186
5730	186
5740	96719
5748	200721
5772	33628
5780	131538
5785	85162
5798	180461
5820	58081
5837	74922
5841	45756
5843	96149
5854	47127
5874	83822
5879	133458
5895	761
5898	216513
5913	133462
5916	71401
5921	171102
5930	54361
5939	196838
5951	109748
5977	68219
5993	325514
6004	94126
6012	7515
6050	129343
6054	141018
6055	468
6061	65056
6095	56489
6101	137748
6106	69814
6117	3688
6120	41863
6121	235605
6138	162072
6144	79912
6160	4202
6179	354095
6198	254
6201	11134
6204	12594
6206	19533
6215	37008
6228	98507
6230	197435
6266	470715
6267	266650
6276	675459
6278	109400
6291	170774
6295	83822
6304	295082
6308	30218
6316	130752
6351	243313
6360	27636
6390	114846
6416	15166
6441	26949
6469	130604
6474	57492
6504	384613
6514	893
6538	110327
6552	179310
6567	599207
6597	145651
6658	941
6661	191
6676	32505
6689	428581
6709	8999
6722	15438
6723	49007
6731	75467
6745	13101
6760	30530
6764	491
6771	677
6808	208925
6809	177491
6813	4903
6821	108909
6826	16457
6834	107094
6839	7936
6850	227
6855	4903
6890	29880
6898	440
6905	188645
6913	227
6916	156572
6917	155493
6918	17552
6920	199403
6923	181603
6931	560
6939	196473
6946	24987
6952	102222
6953	136566
6974	271286
6986	842
6988	22369
6990	39916
6997	251958
7005	206302
7007	73381
7013	1024
7014	363862
7045	887
7058	231197
7066	76409
7084	13814
7098	4808
7108	121951
7111	5364
7114	422
7119	5200
7144	93616
7158	11403
7162	8208
7166	245383
7179	50327
7183	93551
7190	16754
7222	48958
7237	99036
7258	1007
7264	333940
7301	34980
7306	90171
7327	360317
7338	33184
7346	52780
7353	404157
7411	29920
7428	286664
7430	7167
7443	136333
7455	5905
7461	76783
7462	2271
7496	155252
7497	210591
7498	113300
7499	104015
7503	28285
7511	13579
7525	50730
7536	291477
7540	171730
7546	49722
7583	126264
7590	96177
7595	102719
7611	134960
7621	17609
7637	44551
7648	98424
7649	455622
7659	10656
7688	61592
7692	2885
7701	160464
7719	31416
7733	917
7739	194752
7741	10675
7760	152406
7761	18118
7773	320
7777	136016
7791	40265
7816	23034
7832	19952
7834	237694
7854	66975
7882	95595
