geneid	dist
992	173232
1024	160719
1430	510595
2011	75544
2929	3768
3124	506989
3855	20724
3911	306264
4202	20724
4208	542105
4275	20724
4374	20724
4378	1233743
4416	7874
4448	29336
4475	2342
4513	20724
4676	88160
4716	87027
4717	20724
4734	29336
4747	20724
4750	29336
4772	542105
4827	29336
4828	542105
4841	542105
4857	13833
4867	7874
4901	70717
4919	154902
5051	2723319
5059	52462
5085	256670
5098	555407
5143	92817
5151	2545299
5161	223753
5198	151672
5216	481760
5249	596899
5264	29641
5266	450389
5291	12213
5302	189891
5305	5642
5357	426850
5362	2720692
5401	420072
5467	8641
5470	502287
5471	134153
5505	83168
5506	706445
5522	115892
5546	999051
5562	2644522
5599	199464
5608	106166
5654	135062
5670	798672
5691	9488
5697	2511538
5705	222090
5740	855211
5748	170173
5780	18522
5785	602783
5798	994233
5820	2111006
5837	939077
5854	1429
5877	1959767
5879	1051676
5898	241116
5912	100701
5913	186605
5914	170314
5916	113746
5921	607933
5930	269035
5939	898993
5951	488149
5993	1108494
6004	707658
6012	112076
6050	164009
6054	85984
6061	231817
6095	747117
6101	190888
6106	781884
6117	4321
6120	250655
6121	2104908
6144	251549
6160	98224
6179	814691
6195	7445
6198	337346
6201	420072
6204	194170
6206	137284
6228	789660
6230	3220308
6267	149348
6276	83039
6278	106006
6291	244128
6304	32736
6308	106688
6316	67935
6329	112076
6338	18219
6351	185055
6360	146652
6390	445766
6391	572326
6401	79987
6416	172921
6429	285712
6441	1433491
6469	114487
6470	79987
6474	575208
6504	679691
6514	205041
6538	3304318
6552	251201
6567	658033
6597	45967
6653	135569
6658	54040
6663	796672
6667	110028
6676	91149
6689	116500
6709	4026
6722	155877
6723	1764993
6731	238288
6745	113834
6760	982485
6771	946453
6784	47588
6808	2684771
6809	929765
6816	104464
6820	84687
6821	22811
6834	210801
6839	34423
6847	48718
6861	79987
6890	454690
6916	270897
6918	35470
6920	413606
6923	744666
6931	403102
6939	857643
6946	253241
6952	156028
6953	526302
6974	1273930
6986	1253383
6987	337509
6988	356164
6997	781051
7005	30503
7007	459531
7013	185518
7014	307526
7045	152328
7052	246631
7058	152699
7066	2720692
7084	251942
7098	4943
7108	74783
7119	378134
7144	912060
7158	46566
7166	497075
7176	380314
7179	457732
7183	11470
7190	1712540
7222	92619
7237	1038150
7258	2308909
7264	2635654
7299	36293
7301	413587
7306	879383
7312	48718
7327	256783
7333	195244
7338	474953
7346	57873
7353	128568
7385	2800
7411	100993
7425	951830
7426	17351
7430	297812
7443	269034
7455	159801
7462	472858
7469	195244
7496	102683
7498	175100
7499	49797
7503	160841
7511	156990
7525	2521707
7536	37455
7540	1209726
7546	969895
7562	48718
7580	1292489
7583	172241
7590	204776
7595	40755
7606	195244
7611	348615
7637	1169312
7648	72545
7649	307526
7659	220594
7688	956318
7692	36298
7701	282482
7709	190026
7714	356252
7719	200072
7733	382844
7738	202262
7739	2643057
7741	1185528
7760	577274
7761	22287
7773	425277
7776	119099
7777	2491238
7791	26221
7808	79987
7816	143652
7829	1298490
7832	192297
7834	882225
7854	329616
7863	195244
7882	177523
7887	56575
7900	1301
7918	66951
7919	1251852
7923	6161
7926	140865
7933	61513
7937	52928
7938	1252318
7987	16577
7993	254011
8006	790933
8007	2800
8013	322530
8018	101179
8019	1007569
8031	604727
8042	79454
8044	1888
8061	879936
8071	72719
8082	520030
8083	128890
8096	131139
8097	653002
8101	42675
8117	461301
8120	419177
8153	9817
8160	193650
8163	245414
8170	281535
8172	172282
8189	168022
8203	180699
8207	346684
8219	228943
8236	1416092
8244	854503
8245	79455
8247	10551
8255	231122
8286	178031
8297	794596
8312	116466
8321	988116
8336	502287
8378	41455
8394	732408
8397	80535
8411	162862
8413	9055
8415	378238
8430	475924
8431	1145548
8438	297812
8447	36777
8450	41169
8455	277177
8459	1089943
8462	2091025
8463	9051
8465	276494
8481	7805
8488	187083
8500	79644
8505	517774
8510	779275
8526	310944
8553	248080
8561	277026
8563	564853
8571	184870
8579	1123906
8582	605549
8600	61119
8603	195244
8623	2537
8635	189375
8636	521001
8641	109493
8656	24466
8657	65770
8662	555836
8663	81673
8665	1830
8674	143967
8675	715316
8677	529453
8691	958563
8698	1304327
8702	187083
8709	308745
8710	86127
8723	751499
8730	194527
8742	172363
8745	783066
8746	12915
8751	7596
8759	85206
8761	1247568
8768	393794
8771	210556
8782	2342
8789	508990
8792	279842
8795	113746
