geneid	dist
559	3835
564	5096
572	7043
575	7890
582	7473
590	6790
594	5933
605	5224
614	3631
619	1731
624	1140
992	5050342
1024	912694
1430	2128534
2011	4503908
2932	346997
3124	1836767
3152	346997
3855	892021
3911	1864461
4202	892021
4208	18708818
4275	892021
4374	892021
4378	24582581
4416	12836630
4448	18201076
4475	10037883
4513	892021
4544	11092383
4546	11092383
4548	12472437
4676	7123750
4714	12472437
4716	15833
4717	892021
4734	18201076
4746	2372045
4747	892021
4750	18201076
4772	18708818
4827	18201076
4828	18708818
4841	18708818
4857	4910201
4867	12836630
4901	1782403
4919	1188255
5051	5910621
5059	2427207
5085	1103736
5098	2471084
5143	2097907
5151	5609186
5161	1462331
5197	6736359
5198	1674673
5216	215735
5234	22199782
5242	2389504
5264	1609519
5266	14268444
5280	1377625
5291	175206
5302	1891820
5305	189772
5357	15005310
5362	5906545
5369	99993
5401	16099048
5467	15023576
5470	5948919
5471	7706447
5505	302962
5506	2245976
5522	21484768
5546	17991287
5557	5680159
5562	5753502
5599	7791692
5608	21577452
5654	5714798
5659	858885
5670	15412725
5691	15322056
5697	5470488
5705	14995353
5740	18504860
5748	5457327
5780	6514245
5785	14531297
5798	18008181
5820	841322
5837	4349166
5854	4318494
5877	16086904
5879	1786414
5898	15292378
5912	15116732
5914	21387283
5916	6012326
5921	18890623
5930	20791805
5939	1498967
5951	5370239
5993	13237391
6004	15763020
6012	15194767
6050	7770029
6054	2144
6061	15326724
6095	18415037
6101	15462714
6106	470710
6117	10428362
6120	15342311
6121	828284
6138	14915028
6144	13498810
6160	14803696
6179	436006
6195	11376160
6198	2469665
6201	16099048
6204	18019149
6206	21456313
6215	15201898
6228	462765
6230	11157301
6266	927172
6267	272197
6276	7866087
6278	5558440
6291	1971156
6304	17986465
6308	14814133
6316	55618
6329	15194767
6338	2756638
6351	6475376
6360	14866456
6390	15829510
6391	25138894
6401	6837030
6416	25167335
6429	10813851
6441	9150852
6469	15105502
6470	6837030
6474	2076052
6504	14847603
6514	9397916
6538	121129
6552	163305
6567	18186967
6597	26261131
6653	3343374
6658	7833722
6663	14678496
6667	5250981
6676	5307539
6689	745830
6709	212969
6722	388534
6723	5019804
6731	2348676
6760	1638752
6771	18201167
6808	5789301
6809	881624
6813	54784
6816	5436229
6820	561596
6821	4470129
6834	518124
6855	54784
6861	6837030
6863	18440902
6890	5984045
6905	34081891
6916	15347752
6917	6339130
6918	5099275
6920	34344193
6923	3661274
6931	18230621
6936	11587621
6938	11587621
6939	459539
6942	11587621
6946	13684749
6952	16248135
6953	1454016
6974	13171003
6986	34449520
6987	8088491
6988	18880440
6990	3524845
6997	12623697
7005	2940946
7007	15800419
7013	5447448
7014	1657732
7045	3279902
7052	17715431
7058	15549577
7066	5906545
7084	19083317
7094	11587621
7098	19994052
7108	16200655
7119	6567953
7144	1539010
7146	11587621
7148	11587621
7158	15800821
7166	3904043
7176	18165736
7179	22404627
7183	22287785
7190	8753446
7222	4051457
7237	4155795
7258	12671585
7264	7650497
7299	4583599
7301	18830151
7306	5819577
7327	14445085
7333	5835642
7338	6703828
7346	3695870
7353	10892165
