geneid	dist
559	4979
564	6257
572	8163
575	7069
582	6145
590	5466
594	4602
605	3889
614	2299
619	518
624	1191
636	156
1024	7323
2011	34152
2735	160
3124	8160
3361	160
4378	3163
4416	6089
4448	10136
4475	10558
4536	3132
4540	3132
4542	3132
4544	3000
4545	3132
4546	3000
4559	3132
4580	3132
4595	3132
4623	3132
4734	10136
4750	10136
4827	10136
4856	109
4867	6089
5051	2445
5059	263238
5143	12790
5151	12989
5161	194040
5198	3750
5234	9386
5242	48006
5264	2527
5266	5982
5401	95314
5471	188248
5506	102496
5546	5253
5557	7554
5562	36228
5599	12373
5697	1007
5705	12712
5740	556330
5785	12319
5820	4683
5837	4692
5843	3546
5854	7455
5913	9561
5914	846
5930	11179
5939	73046
5993	23575
6054	6350
6120	78996
6121	170441
6144	2161
6160	38988
6179	447006
6198	4645
6201	95314
6206	170416
6276	104709
6278	15125
6291	75686
6304	75215
6316	6251
6338	88615
6360	197650
6401	2780
6416	16358
6429	11228
6441	20670
6469	1868
6470	2780
6504	11909
6567	1445
6597	43927
6676	37435
6731	8359
6760	18459
6821	157986
6861	2780
6939	15725
6946	663114
6974	8869
6986	5826
6988	198854
6990	42347
7007	7932
7052	1439
7058	14179
7084	12028
7119	58744
7144	11829
7151	3242
7158	94584
7179	29005
7190	4784
7222	31617
7237	9072
7264	77245
7301	52800
7306	21907
7346	47829
7353	11107
7428	3984
7462	40206
7496	9605
7499	28866
7525	27132
7540	4613
7580	9848
7611	15128
7621	4212
7637	14437
7648	72435
7688	6303
7701	6361
7719	3122
7760	208199
7776	5511
7808	2780
7816	300014
7832	10046
7854	132445
7882	34263
7887	14363
7919	1703
7923	7760
7926	5523
7938	24136
8019	10880
8044	12884
8061	20226
8074	14781
8083	23523
8097	15059
8120	9561
8153	14214
8189	1986
8203	21329
8245	9420
8247	9103
8297	2472
8415	108297
8431	4843
8441	96665
8450	318747
8455	440583
8458	83387
8462	43749
8463	100591
8481	4374
8489	14665
8505	1746
8510	134572
8526	4513
8553	10004
8563	4571
8571	25099
8579	16271
8600	18922
8625	5752
8641	4053
8662	63514
8675	2937
8677	11973
8691	19986
8709	3260
8716	76083
8730	32820
8742	7229
8759	5172
8782	10558
8792	4076
8796	14840
8805	18313
8827	32820
8832	37739
8833	922
8850	2151
8862	32820
8885	3358
8919	10257
8999	180402
9007	5325
9026	19135
9067	5167
9077	494680
9095	215601
9119	7522
9155	6960
9173	647
9178	23576
9228	5315
9232	5093
9238	98174
9260	7225
9270	3231
9317	3934
9348	53919
9407	433333
9408	175
9412	433333
9414	2197
9415	4791
9429	104
9433	44539
9466	7866
9474	25099
9495	2726
9539	16763
9541	125305
9577	2994
9583	1651
9587	16107
9625	15683
9636	18901
9652	11668
9655	6011
9661	7480
9668	2301
9678	7480
9692	4923
9721	4013
9729	7989
9744	8873
9748	6485
9758	16913
9770	94109
9772	32681
9790	18445
9798	10257
9811	94982
9827	10257
9846	5858
9864	8093
9878	28025
9922	2793
9961	199511
9990	8548
10007	272080
10018	7898
10052	389920
10054	58620
10061	42670
10070	5925
10076	71451
10079	96839
10107	8751
10121	37507
10122	157986
10127	40797
10128	100591
10145	4692
10167	22970
10206	31801
10213	8520
10228	3012
10264	24271
10269	3578
10282	174070
10296	19754
10298	5260
10307	15059
10323	10274
10326	16160
10336	6588
10346	114265
10357	24102
10363	28228
10393	8288
10447	20207
10462	4871
10479	334647
10489	45995
10540	30246
10566	135
10608	2404
10610	5342
10611	4017
10612	2404
10613	2199
10614	1984
10655	433333
10672	145066
10694	28788
10702	29567
10704	10257
10716	8169
10722	83
10727	5152
10765	5520
10772	7611
10814	2443
10844	85953
10845	3890
10875	16160
10879	16160
10891	2190
10908	18154
10913	8282
10914	25174
10919	8770
10925	6694
10936	5324
10951	10668
10969	17418
10998	2445
11004	2379
11021	88164
11036	79475
11038	5607
11040	28129
11053	55727
11056	20418
11061	17848
11101	2275
11106	22532
11114	14324
11124	45858
11125	8598
11131	4076
11140	4097
11141	230952
11172	18630
11173	18105
11177	15261
11197	813
11226	9200
11228	7606
11236	6133
11237	4438
11242	8811
11249	2690
11263	40313
11289	21489
11297	4413
11300	11227
11310	3542
11311	4683
11320	10503
11322	67458
11329	47465
11335	110216
11351	10257
11399	58800
11405	16160
11410	1670
11419	220027
11425	358807
11430	378
11433	16130
11458	8772
11459	741
11463	6556
11464	6643
11482	35042
11487	179603
11490	19259
11491	52467
11497	8127
11500	26850
11518	18194
11524	5099
11542	6299
11543	61623
11547	8672
11548	10450
11561	973
11564	37878
11574	12983
11575	21525
11590	19060
11592	16160
11620	10206
11628	16213
11636	2378
11646	13876
11647	38269
11650	13876
11652	1721
11657	13876
11659	140899
11671	28779
11679	29272
11680	3454
11685	2364
11696	2351
11704	5900
11713	39401
11724	16160
11726	109241
11727	7242
11728	17038
11734	15491
11741	6133
11744	210742
11765	247274
11775	12104
11783	2575
11789	26944
11800	4166
11801	23195
11810	9061
11812	384124
11821	2176
11832	4044
11856	4115
11897	7833
11908	1711
11911	10157
11912	656
11917	1664
11922	50244
11924	812
11935	4716
11946	52374
11948	57629
11964	14272
11996	6300
12008	838
12011	15301
12020	5042
12024	48849
12025	866
12027	6986
12035	6126
12038	5169
