geneid	dist
559	837
564	5911
572	7849
575	8275
579	7519
582	7358
590	6678
594	5825
602	5409
605	5119
614	3543
619	1739
624	1139
991	3616047
992	117676
1005	484702
1032	1220
1238	1220
2010	366590
2011	415773
2014	367571
2735	173
2929	426
3124	331532
3159	1951
3361	173
4104	4011818
4208	5006480
4378	74464
4475	773639
4529	4044605
4544	6516301
4546	6516301
4566	10189800
4716	782556
4772	5006480
4828	5006480
4841	5006480
4881	157631
5007	724568
5051	3184094
5059	654006
5085	3163005
5098	518203
5143	736576
5151	6100121
5161	1042899
5197	408371
5198	7147116
5216	8616720
5234	7517878
5242	543714
5249	768501
5264	430934
5266	14548356
5280	1149634
5291	8959255
5302	227599
5331	14368917
5345	6437815
5357	8253815
5362	3288749
5369	9430919
5397	3512827
5401	500127
5467	8230955
5468	3484579
5470	6794641
5471	12627667
5505	1203184
5506	139438
5522	1462161
5546	889089
5557	6480578
5562	6782415
5597	768504
5599	12214335
5608	1347287
5631	635014
5654	36601
5659	351638
5670	15413296
5691	6379192
5697	5336114
5705	8508792
5706	4668759
5730	83772
5740	1574714
5748	5284562
5772	88904
5780	3955125
5785	15635984
5798	873744
5820	1074943
5837	523597
5841	12416
5843	3185682
5854	2745895
5874	225787
5877	3245369
5879	1695654
5895	129758
5898	6768276
5901	134
5912	7689766
5913	1405965
5914	1690894
5916	2697156
5921	12018990
5930	3418883
5939	790041
5951	12322003
5977	14368917
6004	16756145
6012	7192067
6023	13957513
6050	12356367
6055	262637
6061	5044457
6095	934501
6101	5651613
6106	286590
6117	3511321
6120	16817342
6121	1011911
6137	1845617
6144	11360157
6160	4146387
6179	204895
6195	9129369
6201	500127
6204	844443
6206	1598596
6215	7173315
6228	266977
6230	7556586
6253	284636
6266	1973530
6267	8312088
6276	6424638
6278	5963665
6290	176038
6291	272358
6295	225787
6304	964594
6308	4282985
6316	9593455
6329	7192067
6338	769284
6351	3727742
6360	4445557
6390	4232783
6401	1298638
6416	9014560
6441	839376
6469	7874516
6470	1298638
6474	682874
6504	16745177
6514	893
6538	9765347
6552	2250480
6567	387820
6597	1041453
6639	249935
6653	361223
6658	6564166
6661	136503
6663	16277294
6667	2638380
6676	215103
6688	231472
6709	1301412
6722	18926
6723	3484423
6731	457816
6745	8874534
6760	1346575
6764	153119
6771	58188
6784	17396938
6795	3484579
6808	6975961
6809	236334
6810	220621
6813	2165
6816	2269454
6820	457734
6821	621797
6826	1189609
6834	564615
6839	3474566
6850	320
6855	2165
6861	1298638
6863	1226869
6890	6977664
6898	3639647
6902	249935
6905	5576554
6913	320
6916	5102298
6917	8139986
6918	112504
6920	3679669
6923	13266959
6931	3090912
6936	340679
6938	340679
6939	1730516
6942	387087
6946	12114756
6952	1877819
6953	1334056
6974	17509592
6986	4456331
6987	5100370
6988	7592871
6990	12983190
6997	1307
7005	292731
7007	4325300
7013	1915793
7014	700782
7045	601569
7052	4305884
7057	1222064
7058	3012835
7066	3288749
7084	2228400
7094	340679
7098	176449
7108	2421979
7114	1338985
7119	9413595
7144	1017105
7151	122580
7158	16829129
7162	123466
7166	679424
7176	3193178
7179	6175817
7183	233814
7190	3917292
7222	14483636
7237	2243784
7258	3787365
7264	7266713
7299	145573
7301	7835194
7306	25485
7327	17022574
7333	1180534
7338	10573330
7346	6853675
7353	2375055
7385	14359905
7387	1745742
7411	734670
7425	1309255
7426	12517136
7428	390326
7430	12406212
7435	340679
7443	782375
7455	3137433
7461	1925129
7462	10059901
7469	1200737
7496	17053859
7497	1462715
7498	96396
7499	6195155
7503	4508337
7511	13273804
7525	5682245
7536	2578839
7540	3708090
7546	2938683
7562	132599
7580	6027503
7583	275220
7590	5495573
7595	642346
7606	1230357
7611	3279517
7621	6686052
7637	3439718
7648	2676328
7649	623389
7659	7693723
7688	2798290
7692	1621884
7701	297759
7709	170056
7714	4960154
7719	210551
7733	3763035
7738	10621263
7739	6974952
7741	3036759
7760	845072
7761	4545844
7773	14786782
7776	3799158
7777	5025974
7783	197342
7791	7389101
7808	1298638
7816	395741
7829	17268192
7832	7981713
7834	1489336
7854	4185549
7882	13786523
7883	6897851
7887	6113958
7900	383964
7910	2864274
7918	10115178
7919	77489
7923	432748
7926	458101
7931	3814769
7933	12882928
7937	754839
7938	4264273
7983	14474093
7987	5949004
7988	320
7993	825463
8002	320
8006	15621557
8013	1419635
8018	4495672
8019	8737266
8029	14894770
8031	590981
8042	6681166
8044	11923392
8061	38748
8071	9817184
8074	73775
8082	2860030
8083	3756002
8090	1241985
8094	1660059
8096	2247496
8097	818514
8101	17374374
8117	10446841
8120	3860155
8143	10268998
8147	3060239
8148	7228031
8153	197368
8160	12095978
8163	894104
8164	2209916
8170	771888
8172	17006839
8184	225787
8189	4639283
8203	144866
8207	4273021
8219	11822001
