geneid	dist
559	7690
572	3387
575	4186
582	2369
590	6578
605	5288
614	1734
624	5245
971	1722792
1024	1348689
1430	2250883
2011	92453
3124	2065434
3855	8569
3990	861887
4104	1495815
4202	8569
4208	157700
4275	8569
4374	8569
4416	395939
4513	8569
4548	1474432
4676	1406107
4714	1474432
4716	62896
4717	8569
4747	8569
4772	157700
4828	157700
4841	157700
4857	21676
4867	395939
4919	55536
5059	140652
5085	232041
5143	332257
5198	126050
5234	2343
5266	3270
5291	3132291
5305	2130425
5357	3040564
5362	831526
5369	401535
5401	41065
5467	2135831
5471	674262
5505	94940
5506	2430560
5562	121799
5599	4001640
5705	333883
5740	522823
5748	2037291
5785	75631
5798	858315
5820	2491324
5837	146521
5854	1478541
5912	10012
5916	2606259
5921	82349
5930	3013707
5951	6329
5993	34942
6012	1376038
6054	31623
6061	55740
6095	1107565
6120	1354975
6121	2257060
6138	2267241
6141	1722792
6179	90780
6198	33977
6201	41065
6204	311924
6215	8794
6230	96851
6264	718406
6276	68266
6291	429955
6308	619464
6316	73880
6329	1376038
6338	2118186
6429	2127308
6469	2356655
6504	1921
6514	245416
6567	257893
6597	2746372
6653	314805
6658	2359445
6663	1352
6667	181761
6676	80283
6689	993492
6709	861493
6722	89782
6723	1108062
6760	1387496
6784	56381
6809	204625
6821	1154431
6863	94940
6905	35018
6931	285645
6946	241068
6952	1971942
6953	303576
6974	356910
6986	1899980
6987	2304425
6988	1810862
6990	1310974
6997	2541649
7007	882003
7045	4369234
7052	1045533
7058	925559
7066	831526
7084	1122928
7114	615776
7119	59014
7144	890137
7176	285645
7179	2340433
7222	4460400
7237	281259
7258	2179617
7264	27360
7299	2990193
7301	6066
7306	1578761
7338	100244
7353	5201
7411	2513487
7425	4453526
7443	2119463
7461	410694
7496	1095256
7499	395467
7511	389743
7525	17752
7540	3583
7580	9159
7590	1936841
7595	2284667
7611	1233776
7637	2094148
7648	155666
7659	1854204
7688	959317
7692	320912
7701	176547
7719	319494
7733	1716100
7741	18707
7760	3133509
7761	52600
7776	887479
7816	2804653
7829	2413385
7832	677851
7854	22234
7883	1402
7887	1577678
7933	2334699
7987	9568
8013	2462610
8019	431973
8029	11435
8042	1026243
8044	41415
8071	43521
8082	1893133
8083	1969837
8096	4761048
8097	63476
8120	1108304
8143	5690
8148	4342
8170	2333596
8172	1964790
8189	827110
8207	3261
8219	2126542
8236	1637994
8245	2738224
8247	2219566
8297	1518119
8341	1722792
8378	2105676
8394	116981
8415	2595196
8447	1590180
8450	65889
8455	118847
8459	557826
8462	873167
8463	10426
8526	1976628
8553	2196221
8577	185228
8579	446626
8589	4428496
8636	926791
8657	772316
8662	968660
8665	646775
8675	859203
8698	168093
8709	1744188
8710	640969
8716	83063
8730	2268523
8742	247304
8746	1693916
8771	1825647
8789	2429150
8792	3353906
8827	2268523
8832	557826
8853	1390845
8862	2268523
8885	19027
8919	31744
8921	83928
8950	373929
8965	722165
8973	86216
9007	42889
9012	659381
9019	2961528
