geneid	dist
992	26720
1024	3909
1430	4981
1711	152
1712	152
2932	452
3124	27723
3152	452
3911	121348
4104	41741
4208	904
4378	37576
4416	3397
4448	33015
4475	65296
4525	106
4534	102
4539	102
4544	11462
4546	11462
4548	1494
4714	1494
4734	33015
4741	105
4750	33015
4772	904
4827	33015
4828	904
4841	904
4856	108
4867	3397
4881	18814
4901	10603
4919	68113
5007	134
5051	3706
5059	79716
5085	106393
5098	104751
5143	519
5151	35112
5161	64945
5198	13714
5216	43271
5234	117685
5242	14857
5249	16684
5264	308
5266	3868
5280	21535
5291	61127
5305	340
5331	47114
5362	50345
5369	33123
5401	18544
5467	32625
5471	42890
5505	11109
5506	40273
5522	21171
5546	5669
5557	5873
5562	70751
5599	38945
5608	65470
5654	5364
5659	53499
5691	27144
5697	1004
5705	62196
5740	90773
5748	34163
5780	51118
5785	33933
5798	22983
5820	43012
5837	22141
5854	18938
5877	82905
5879	72553
5898	135131
5912	5522
5913	1840
5914	5465
5916	33632
5921	84625
5930	18441
5939	16890
5951	24895
5977	47114
5993	92702
6004	19965
6012	11747
6054	59517
6061	36252
6095	63457
6106	17629
6117	4292
6120	30948
6121	24540
6137	1667
6144	44158
6160	4711
6179	192615
6195	31367
6201	18544
6204	16243
6206	29748
6215	9489
6228	58662
6230	48075
6267	110080
6276	149008
6278	33334
6291	98934
6304	60719
6308	14573
6316	82251
6329	11747
6338	308
6351	109091
6360	19938
6390	78906
6401	6182
6416	17993
6441	12373
6469	29876
6470	6182
6504	93801
6538	53417
6552	75624
6567	74144
6597	162278
6653	3232
6663	20217
6667	13278
6676	45173
6689	69660
6709	12770
6722	9809
6723	38252
6731	30508
6745	17525
6760	5067
6771	677
6784	4802
6808	153066
6809	6511
6813	15160
6820	24775
6821	48254
6834	51937
6855	15160
6861	6182
6863	98701
6890	4555
6898	48098
6905	62661
6916	44468
6917	34853
6918	6687
6923	103597
6931	1951
6939	131737
6946	36570
6952	39258
6953	78915
6974	19739
6990	82192
6997	59418
7005	1529
7007	51252
7014	16641
7045	1009
7052	2097
7058	169815
7066	50345
7084	16935
7108	62098
7119	8315
7144	17722
7158	13162
7166	66061
7176	1985
7179	44930
7190	16184
7222	45267
7237	21170
7264	139773
7299	35458
7301	26444
7338	27842
7346	36662
7353	149476
7425	63935
7428	91543
7430	2555
7443	77859
7455	8988
7461	28849
7462	1949
7496	15849
7498	15551
7499	89865
7503	10893
7511	15828
7536	134571
7540	14642
7546	24985
7580	38036
7583	12496
7590	45699
7595	61925
7611	21994
7621	11741
7637	44691
7648	105166
7649	29278
7659	21678
7688	9237
7701	17680
7709	2002
7714	707
7719	27181
7733	31288
7738	132750
