geneid	dist
559	413
582	353
992	1574811
1024	567882
1430	346133
2011	1398508
2932	716
3124	143535
3152	716
3855	549688
3911	247396
4202	549688
4208	4488
4275	549688
4374	549688
4378	484667
4448	192254
4475	224951
4513	549688
4676	1768383
4716	62872
4717	549688
4734	192254
4747	549688
4750	192254
4772	4488
4827	192254
4828	4488
4841	4488
4857	61997
4901	266155
4919	255622
5051	571775
5085	427848
5098	144837
5143	33605
5161	859697
5198	20713
5216	366405
5242	98688
5249	29764
5264	72381
5266	307090
5291	334143
5302	204712
5305	346565
5362	40169
5369	179465
5401	2537002
5467	2819818
5470	137186
5471	128271
5505	102958
5506	48080
5522	91400
5546	1761618
5562	8812
5599	160915
5608	141165
5654	900612
5670	227773
5691	267352
5697	6437
5705	234826
5740	1820318
5748	12530
5772	498288
5780	598990
5785	444925
5798	1772114
5820	1396116
5837	24396
5854	7497
5877	141480
5879	194234
5898	2949691
5912	2875256
5913	300695
5914	32005
5916	871049
5921	88112
5930	229238
5939	37567
5951	348172
5993	325951
6004	335763
6012	256725
6050	621087
6054	487742
6061	2235097
6095	931253
6101	3042713
6106	3606834
6117	26075
6120	476448
6121	1388899
6144	75603
6160	238493
6179	3597099
6195	167359
6198	1795
6201	2537002
6204	1073485
6206	55402
6228	3601911
6230	82201
6267	979057
6276	294975
6278	2886
6291	383860
6304	1100491
6308	393157
6316	249054
6329	256725
6351	628806
6360	216180
6390	3249474
6401	942717
6416	42294
6429	10928
6441	54777
6469	249627
6470	942717
6474	348053
6504	3230
6514	3492804
6538	396906
6552	439399
6567	1037279
6597	122779
6653	101883
6658	1862
6663	514155
6667	545546
6676	44422
6689	421557
6709	63761
6722	473145
6723	428371
6731	70795
6745	232912
6760	120540
6784	17213
6808	48911
6809	321582
6816	1164196
6820	227327
6821	52348
6834	116729
6861	942717
6863	915840
6890	84295
6905	813723
6916	2246302
6917	837022
6918	157460
6920	89422
6923	3453005
6931	253922
6939	1199153
6946	72238
6952	602004
6953	492856
6974	1002610
6986	657303
6987	3351
6988	978284
6990	317060
6997	590576
7005	141131
7007	356636
7013	477191
7014	1302633
7045	1217
7052	68049
7058	478050
7066	40169
7084	300184
7098	2013685
7108	887706
7119	120430
7144	55417
7158	347162
7166	574973
7176	221902
7179	159611
7183	15130
7222	560964
7237	298699
7258	362710
7264	67745
7299	102330
7301	161932
7306	109280
7327	593383
7333	760230
7338	217199
7346	33115
7353	155059
7385	2567
7411	2425618
7425	86734
7426	294676
7428	40362
7430	432698
7443	209693
7455	350516
7462	384897
7469	760230
7496	691978
7498	46431
7499	96792
7503	199631
7511	831440
7536	408863
7540	717826
7546	3325938
7580	1756586
7583	448066
7590	793252
7595	67408
7606	760230
7611	229469
7637	759984
7648	324248
7649	1302633
7659	7782
7688	3344540
7692	81858
7701	24483
7709	462612
7714	17802
7719	469664
7733	109080
7738	207297
7739	72686
7741	483976
7760	3365998
7761	345081
7773	326582
7776	708435
7777	21139
7791	56056
7808	942717
7816	892229
7829	731
7832	586759
7854	52491
7863	760230
7882	188391
7887	83515
7900	1266649
7918	338456
7919	299446
7923	880725
7926	909396
7933	3391869
7937	2784614
7938	888152
7987	59324
7993	171519
8006	261511
8007	2567
8013	4699
8018	71804
8019	176647
8029	26972
8031	1050786
8042	351137
8044	790433
8071	251551
8083	703312
8096	134308
8097	3326212
8101	34133
8117	586604
8120	74665
8143	1014927
8148	124644
8153	24539
8160	152683
8163	164317
8170	510378
8189	1282112
8203	2483362
8207	38012
8219	302949
8236	288904
8244	302816
8245	321628
8247	153163
8255	1222649
8286	1411969
8297	455840
8312	291698
8321	776490
8336	137186
8378	100624
8394	1206010
8397	41205
8413	1155715
8415	194869
8417	229612
8430	155659
8431	234649
8438	432698
8447	480062
8455	494444
8458	1879556
8459	1460054
8462	1378036
8463	2524127
8465	744055
8481	501040
8488	6310
8500	15878
8505	97036
8510	3332455
8526	9154
8547	80280
8553	52108
8561	99618
8563	306900
8571	2118509
8579	1066792
8582	129990
8600	1252604
8603	760230
8623	2483
8635	308
8636	602438
8641	911691
8656	39533
8657	419796
8662	63599
8663	61938
8665	3034
8674	274850
8675	1763034
8677	2885381
8691	575356
8698	855738
8702	6310
8709	168588
8710	66638
8716	615712
8723	182435
8730	31364
8742	2358289
8745	145546
8746	46144
8751	183860
8759	435395
8761	133783
8768	108200
8771	137943
8782	224951
8789	538704
8792	444086
8795	857267
8796	578622
