geneid	dist
559	3283
582	12318
619	3981
992	34492
1024	676259
1430	222841
2011	1700691
2929	438
2932	499
3124	25736
3152	499
3855	1514211
3911	805169
4202	1514211
4208	165377
4275	1514211
4374	1514211
4378	406808
4416	3194
4475	71123
4513	1514211
4529	39143
4676	164954
4716	301975
4717	1514211
4747	1514211
4772	165377
4828	165377
4841	165377
4857	61352
4867	3194
4901	29493
4919	311009
5051	1377017
5059	1064488
5085	288874
5098	174014
5143	232992
5151	1265546
5161	33461
5198	35808
5216	60940
5242	224790
5249	6188
5264	474283
5266	144021
5291	222896
5302	3155
5305	232431
5357	449228
5362	1374766
5401	144663
5467	57913
5470	765784
5471	98505
5505	101527
5506	310759
5522	61799
5546	227903
5562	1303272
5599	3103
5608	99001
5654	491793
5670	7242
5691	504527
5697	1232805
5705	459190
5740	96485
5748	757289
5780	3474
5785	122498
5798	218887
5820	95305
5837	821337
5854	100916
5877	30515
5879	780026
5898	3846
5912	575926
5913	2650
5914	17318
5916	58838
5921	63389
5930	8819
5939	892472
5993	35327
6004	167082
6012	451570
6054	2120
6061	31310
6095	87301
6101	131579
6106	616724
6117	401308
6120	501378
6121	103536
6144	17948
6160	316301
6179	630506
6195	94172
6198	1040680
6201	144663
6204	87613
6206	8256
6228	620964
6230	58371
6267	6057
6276	145917
6278	8590
6291	32731
6304	95468
6308	312754
6316	196741
6329	451570
6338	96657
6351	28933
6360	830776
6401	995685
6416	53726
6429	615038
6441	166602
6469	2792
6470	995685
6474	239492
6504	84632
6514	150213
6538	121723
6552	31210
6567	199940
6597	450672
6653	87253
6658	467989
6663	163119
6667	1042313
6676	12144
6689	188667
6709	3157
6722	42988
6723	393943
6731	88032
6745	341801
6760	813362
6771	173496
6784	7889
6808	1339144
6809	567826
6816	21237
6820	74828
6821	190605
6834	4862
6861	995685
6890	794419
6916	48809
6917	40056
6918	8985
6920	109466
6923	575634
6931	49288
6939	13825
6946	6880
6952	542450
6953	70601
6974	577819
6986	286034
6987	351602
6988	562111
6990	461969
6997	263372
7005	659588
7007	88737
7014	27990
7045	440425
7052	1322
7058	62622
7066	1374766
7084	104443
7098	4743
7108	3648
7119	4911
7144	879768
7158	566
7166	48614
7176	30883
7179	129612
7183	103121
7190	788565
7222	121380
7237	576549
7258	515227
7264	979573
7299	43417
7301	33398
7306	307429
7327	423205
7333	168703
7338	61786
7346	47089
7353	559025
7385	2339
7411	645194
7425	849117
7426	464
7428	1049753
7443	51819
7455	387473
7462	1955
7469	168703
7496	5890
7498	382465
7499	7045
7503	855684
7511	1692186
7525	1240426
7536	23979
7540	243895
7546	64409
7580	242276
7583	898474
7590	257972
7606	168703
7611	10147
7637	212164
7648	29730
7649	27990
7659	6282
7688	51680
7692	36878
7701	1058408
7709	915933
7714	393336
7719	931033
7733	99226
7738	85694
7739	949174
7741	86130
7760	467046
7761	5731
7773	122977
7776	89081
7777	1210132
7791	18297
7808	995685
7816	76689
7832	293746
7834	970081
7854	148914
7863	168703
7882	61320
7887	3433
7900	7705
7918	5444
7919	59807
7923	67362
7926	91749
7933	309003
7937	440110
7938	439831
7987	444757
7993	3807
8006	1809
8007	2339
8013	772808
8018	370500
8019	280237
8031	211176
8042	22160
8044	1638438
8061	4285
8071	865927
8083	97595
8096	48058
8097	535466
8101	3013
8117	37637
8120	40579
8148	152762
8153	6753
8160	11385
8163	28784
8172	2055
8189	1038
8203	485963
8207	146696
8219	442232
8236	346740
8244	173391
8245	6860
8247	41079
8255	394832
8286	55752
8297	629805
8312	8222
8321	81919
8336	765784
8378	86209
8394	194559
8397	389342
8411	563315
8413	1098059
8430	945119
8431	69927
8447	208191
8450	206796
8455	28320
8459	51440
8462	136464
8463	143460
8465	1622616
8488	23631
8489	16435
8500	49880
8505	805481
8510	46915
8526	13083
8547	775841
8553	88971
8561	330723
8563	233764
8571	370367
8579	1114084
8582	339791
8600	146223
8603	168703
8623	767432
8635	204264
8636	12780
8641	169959
8656	52788
8657	206213
8662	146320
8663	10774
8665	5934
8674	152860
8675	74693
8677	820910
8691	170758
8698	747012
8702	23631
8709	155832
8710	6654
8723	177439
8730	253266
8742	8100
8745	52342
8746	4025
8751	153976
8759	177717
8761	281867
8768	263626
8771	195147
8782	71123
8789	6511
8792	472101
8795	47858
8796	138444
8805	3377
8827	253266
8832	48373
8833	71451
8850	32591
8862	253266
8885	6535
8898	74748
8919	50066
8921	785475
8928	369021
8950	66829
8964	307977
8965	144516
8974	20209
8986	4776
8999	255119
9007	82112
9012	25907
9019	185410
9020	291956
9026	48236
9027	191408
9040	422818
9043	243013
9045	60293
9047	160951
9052	309002
9077	60865
9079	399631
9094	42110
9095	58457
9106	86130
9108	18736
9119	42161
9155	96729
9178	48388
9209	85147
9214	43505
9226	401640
9228	414389
9232	101233
9238	2378
9248	16362
9260	16214
9265	12048
9267	137880
9269	408575
9270	18360
9287	380075
9288	22815
9291	213885
9317	3415
9327	19927
9338	789851
9341	7442
9345	169707
9348	73687
9367	1761062
9383	52730
9410	566137
9449	862052
9458	892181
9466	48198
9474	370367
9485	223619
9495	878152
9504	73798
9519	10422
9534	171368
9539	90948
9541	262710
9554	2339
9577	35630
9578	1142
9583	139973
9602	55887
9603	307681
9617	947
9621	40898
9625	293797
9636	9960
9638	64158
9648	166337
9652	89848
9655	258124
9657	799602
9661	33387
9668	32257
9670	237159
9678	33387
9683	50798
9692	16946
9716	217425
9718	18566
9722	23099
9729	721581
9732	413827
9735	225917
9741	93103
9744	57739
9748	16785
9752	770289
9758	358662
9759	271628
9770	310961
9772	415885
9779	111745
9790	573137
9793	5710
9794	431626
9798	50066
9806	209925
9808	364913
9810	160712
9811	70988
9813	22908
9827	50066
9851	110050
9853	3518
9864	480004
9870	1863057
9878	754760
9880	3091
9902	273799
9922	41787
9930	340649
9944	395950
9950	13460
9951	109068
9954	41408
9960	14587
9961	8921
9986	281896
9990	162071
10007	147808
10008	4942
10018	276684
10026	357879
10033	395950
10037	114494
10052	16912
10054	411977
10061	4962
10070	507245
10071	114780
10075	102981
10076	25540
10079	452084
10086	401308
10088	268922
10091	391782
10107	280669
10112	10982
10121	51973
10122	190605
10123	27979
10127	1140135
10128	143460
10134	795585
10145	821337
10167	124086
10171	3648
10172	108931
10187	503651
10195	38085
10203	799207
10205	135180
10206	300598
10209	37359
10212	366840
10213	1546093
10228	1485
10233	14017
10236	1774432
10245	1148437
10254	337838
10262	42056
10264	838756
10269	10357
10276	44816
10282	24586
10286	644154
10287	63397
10293	90858
10296	96480
10298	27396
10301	31029
10307	10226
10317	179253
10323	52682
10324	236710
10326	72915
10331	63556
10334	878286
10335	554365
10336	8325
10341	146083
10347	384920
10350	1154
10356	489726
10357	691018
10363	20068
10374	212252
10376	43505
10393	37787
10405	161550
10406	481528
10410	329367
10436	834161
10444	160979
10447	59419
10472	416523
10493	1196226
10607	67275
10610	270440
10633	63314
10664	1715
10672	118968
10685	3157
10694	685528
10702	13572
10704	50066
10713	69260
10716	149814
10727	86262
10739	9311
10743	1126
10765	217056
10766	494190
10774	637406
10806	3310
10814	42780
10819	882864
10833	237051
10838	8685
10844	365846
10845	7365
10872	297958
10875	72915
10879	72915
10882	16596
10891	9462
10900	352857
10905	117923
10907	164219
10908	279180
10912	55990
10914	748305
10918	1643248
10925	66571
10928	330102
10936	355412
10938	5806
10967	18042
10969	38275
10980	68560
10997	29787
10998	1377017
11004	2140
11009	57068
11011	51866
11021	313833
11031	4769
11032	26615
11036	279406
11040	22114
11048	230039
11053	244016
11056	572690
11061	18582
11075	7951
11077	179182
11089	256956
11093	40900
11099	237267
11101	847109
11102	38199
11106	54239
11109	977578
11114	820293
11120	295031
11123	218105
11124	1066677
11125	408234
11131	472101
11140	191182
11141	4572
11163	103537
11167	79062
11169	664698
11172	29055
11173	103476
11177	398145
11188	580570
11193	267129
11195	1275173
11197	400032
11209	17879
11214	102866
11216	138167
11225	51847
11226	397059
11228	1747765
11233	47823
11236	120111
11237	89444
11242	24771
11243	30474
11249	155354
11250	1712553
11257	610066
11263	210828
11291	147226
11297	362452
11299	98725
11300	20400
11311	844233
11320	362477
11322	33566
11326	313729
11329	1047301
11331	100327
11335	198158
11343	1139791
11344	9498
11349	283756
11351	50066
11363	616559
11366	1185116
11371	445065
11378	831316
11386	11450
11396	91636
11399	19559
11405	72915
11410	95843
11414	403224
11415	129021
11417	22419
11419	302665
11425	23260
11430	482363
11433	44498
11436	137990
11445	272454
11458	1297523
11459	412178
11463	154426
11464	950653
11465	39899
11481	192262
11482	21583
11484	221077
11486	884333
11487	360659
11490	255245
11491	844985
11493	105538
11497	1089385
11498	24872
11499	88550
11500	64129
11504	1045433
11505	300111
11507	717888
11511	44418
11513	93645
11518	88102
11524	420629
11528	336429
11529	13054
11541	138270
11542	2034
11543	29761
11544	380479
11546	212097
11547	29138
11548	430376
11555	1670
11574	3159
11575	116643
11579	334783
11585	14242
11590	734918
11591	158292
11592	72915
11614	25670
11617	61744
11619	510968
11620	108932
11625	523689
11627	794918
11628	637118
11636	138671
11638	2616
11646	353890
11647	6765
11650	353890
11652	3267
11653	816736
11657	353890
11659	1568622
11670	481593
11671	21609
11679	139595
11680	164910
11685	384260
11691	336434
11694	7201
11695	593868
11704	269442
11713	381881
11716	527239
11724	72915
11726	1745565
11727	2726
11728	153171
11734	496675
11739	526975
11741	120111
11743	333139
11744	74867
11765	41452
11775	142346
11783	100087
11786	8832
11787	192805
11789	169414
11800	29519
11801	9070
11805	1744373
11807	237880
11810	136262
11812	23659
11821	165939
11826	1744373
11829	672904
11831	250691
11832	417541
11842	451678
11847	2710
11856	78109
11873	3753
11893	33083
11897	450432
11900	684369
11908	203008
11911	697429
11912	437500
11917	27112
11922	171651
11924	126848
11938	108558
11944	100153
11945	234142
11946	1304
11954	3821
11963	228402
11964	415359
11969	33254
11987	131880
11996	780708
12003	8156
12008	135438
12011	868065
12013	5389
12016	162812
12019	209715
12024	661274
12025	479593
12027	1349807
12035	672134
12038	888483
12041	664891
12044	348409
12045	226944
12047	98263
12048	22629
12049	58997
12050	128123
12054	1420871
12060	38833
12064	334253
12069	1076970
12083	1316539
12087	130422
12088	7953
12091	133429
12092	246121
12095	264336
12100	13109
12102	1943
12106	369633
12109	409736
12111	165999
12125	439943
12136	676795
12137	628651
12146	208157
12157	59850
12166	6860
12222	1590231
12262	247605
12269	651123
12275	149288
12293	148031
12316	198251
12325	714936
12327	4126
12331	353890
12334	195683
12341	485757
12343	791412
12345	6794
12350	4325
12351	416358
12354	7199
12370	68137
12373	79922
12379	84913
12383	682202
12384	750581
12387	44536
12388	405032
12389	189825
12391	6669
12396	7557
12402	213767
12404	716477
12412	316869
12415	457239
12417	1019
12421	716477
12426	3320
12428	83394
12429	83394
12430	83394
12431	766772
12434	26764
12435	215646
12452	16150
12463	569428
12464	198902
12469	35194
12470	8096
12478	894439
12479	15401
12485	363295
12490	744905
12491	911368
12492	42403
12493	8194
12497	98864
12500	281849
12501	959788
12502	23174
12513	516008
12515	231715
12517	186058
12527	1031893
12530	169309
12531	1434882
12534	32792
12551	189520
12553	108972
12556	118323
12570	17895
12575	157448
12576	795
12579	241585
12582	50368
12583	84871
12589	689416
12595	299615
12602	155108
12606	157945
12610	572383
12619	6228
12624	751347
12625	1387824
12637	437203
12646	857321
12662	159074
12668	142149
12670	585203
12672	72554
12682	4528
12683	5628
12686	917780
12688	196555
12690	147931
12698	73616
12699	1397132
12701	6838
12707	363612
12711	90670
12717	18044
12729	33311
12734	1013935
12737	305239
12741	353890
12762	8317
12765	31726
12766	4746
12767	792869
12779	376025
12783	153884
12790	254067
12805	69034
12810	116947
12817	2505
12822	13752
12829	616528
12833	2638
12845	81699
12846	116185
12847	147783
12852	129816
12853	186358
12857	660063
12863	101527
12865	361672
12866	528138
12877	63031
12878	78109
12891	28768
12898	4624
12900	88779
12901	80214
12905	512391
12907	144663
12921	2225669
12925	314307
12934	88041
12936	645575
12944	1514211
12947	169690
12949	23215
12950	618427
12955	206796
12957	81373
12958	218780
12973	960933
12975	39519
12977	74199
12987	255648
12988	14852
12992	334303
12998	87253
13006	192867
13010	278777
13011	144956
13021	135692
13023	3539
13026	4124
13029	254966
13033	44961
13042	880631
13048	702819
13050	50966
13053	7705
13054	72915
13058	42403
13059	182687
13063	393451
13070	1812209
