geneid	dist
977	3955971
978	3955971
992	7037208
1024	2828406
1430	5621990
1711	3955971
1712	3955971
2011	5730970
2929	1933452
3124	4910315
3855	2270382
3911	10408797
4202	2270382
4208	7608411
4275	2270382
4374	2270382
4378	3286116
4416	914990
4448	6230110
4475	902188
4513	2270382
4527	9506
4544	7017411
4546	7017411
4548	6319406
4676	2389952
4714	6319406
4716	1039881
4717	2270382
4734	6230110
4747	2270382
4750	6230110
4772	7608411
4827	6230110
4828	7608411
4841	7608411
4857	1384265
4867	914990
4901	10352904
4919	9961520
5051	3750611
5085	6420593
5098	9095400
5143	13254451
5151	3625255
5161	2373298
5198	3861528
5216	10352424
5242	13444686
5249	13251301
5266	14993286
5291	4012418
5302	4469163
5305	8323494
5362	3746692
5401	14508897
5467	3772650
5468	2587454
5470	8963162
5471	13200548
5505	10131295
5506	13371044
5522	83133
5546	1967521
5562	3642330
5599	2029682
5654	1282777
5670	62318
5691	911286
5705	10117967
5740	2169602
5748	3596849
5780	2679095
5785	2552388
5798	1964595
5820	4125324
5837	5898098
5854	10696538
5877	2844192
5879	11923197
5898	968568
5914	134639
5916	10007408
5921	1304830
5930	1596419
5939	11782011
5951	382687
5993	3677466
6004	1445769
6012	980691
6054	10566687
6061	14661542
6101	797030
6106	13112309
6117	11873072
6120	12044734
6121	4118845
6144	15087348
6160	2586609
6179	1710484
6195	2206898
6198	1335914
6201	14508897
6204	8061486
6206	7377419
6228	13109153
6230	5136433
6267	11024619
6276	6922300
6291	8225699
6304	12300368
6308	2579468
6316	8387368
6329	980691
6338	243478
6351	6666675
6360	7215249
6391	8417484
6401	7325372
6416	8426298
6429	10479358
6441	1414150
6469	1049529
6470	7325372
6474	3128180
6504	2489396
6514	928102
6538	5229223
6552	11866284
6567	2014521
6597	12878775
6653	6593237
6658	12200578
6663	3713683
6667	262292
6676	5982021
6689	11703463
6709	14784202
6722	1945918
6723	11298557
6731	10432501
6745	9320707
6760	11868487
6771	2018636
6795	2587454
6808	3683150
6816	2778679
6820	13544843
6821	9139362
6834	13584549
6847	564364
6861	7325372
6905	2366195
6916	14682611
6917	2010891
6918	3475999
6920	673397
6923	13186208
6931	1202397
6939	13231450
6946	14038774
6952	12135250
6953	5150769
6974	2725155
6986	2305428
6987	11018064
6988	1638956
6990	10856771
7005	5684264
7014	9992455
7045	1723257
7052	1321775
7058	4827093
7066	3746692
7084	2748956
7098	9561407
7108	12824347
7119	2214842
7144	11803365
7158	704132
7166	11064402
7176	1224464
7179	3322295
7183	6010236
7237	12586450
7258	3467675
7264	13732316
7299	631181
7301	1684431
7306	9526618
7312	564364
7327	9546257
7333	780253
7338	2334673
7346	2961220
7353	12214519
7385	1095070
7411	14857635
7425	11833545
7426	156833
7428	4106335
7430	9177021
7443	1689533
7462	2859080
7469	780253
7496	7580157
7498	12452674
7499	8826736
7503	7194681
7511	1331062
7540	13626904
7546	6952048
7562	564364
7580	3432614
7583	8761384
7590	2358798
7606	780253
7611	1257617
7637	13577282
7648	12705594
7649	9992455
7659	8430305
7688	7301898
7692	11410979
7701	4080237
7709	8709916
7714	1581218
7719	8703376
7733	1130410
7738	890771
7739	13691914
7741	11052025
7760	924886
7773	3830070
7776	2287040
7777	3577709
7791	5083079
7808	7325372
7816	3461851
7829	2744462
7832	1653951
7854	1145141
7863	780253
7882	6418876
7887	8995055
7900	9242012
7918	205102
7919	4620114
7923	5723631
7933	11515689
7937	9015195
7938	1496624
7987	12253706
8006	1551158
8007	1095070
8013	3550009
8018	6680415
8019	2551570
8031	1952809
8042	8459191
8044	1285854
8071	382666
8083	2280841
8096	11914728
8097	10584
8117	2314847
8120	5227612
8148	5461498
8153	7341057
8170	12737731
8172	974011
8189	9203418
8203	14770066
8207	1184976
8219	9230736
8236	3717756
8244	4074130
8245	217147
8247	592772
8255	7572774
8286	11972549
8297	7750304
8321	1854637
8336	8963162
8378	650455
8394	1487923
8397	6702800
8411	1488810
8413	12694362
8415	10503559
8417	860655
8430	10609170
8431	73294
8438	9177021
8447	2046473
8455	1808177
8458	2626852
8459	3393980
8462	4103337
8463	14823953
8465	1418883
8488	818232
8489	8232151
8500	3295445
8505	10738492
8510	679906
8526	3029988
8547	10723734
8553	7821034
8561	3609318
8563	1919562
8571	5204509
8579	5269744
8582	10725733
8589	10847215
8600	9049341
8603	780253
8623	11723094
8635	11422238
8636	5317525
8641	3921686
8656	2192174
8657	1472285
8663	13682091
8665	934093
8674	248458
8675	3415394
8677	10733647
8691	13898748
8698	2829945
8702	818232
8709	969376
8710	231380
8716	5148192
8723	3911162
8730	9495906
8742	12501471
8745	2261542
8746	1103567
8751	1112530
8759	1256806
8761	2232429
8768	2556524
8771	9200179
8782	902188
8789	2382329
8792	12020027
8795	10012000
8805	10195502
8827	9495906
8832	163290
8833	11988092
8850	2416449
8853	8327396
8862	9495906
8885	6726496
8898	6721182
8919	2150680
8921	2861858
8928	7263917
8950	10722494
8964	3668947
8965	8087820
8986	7719180
8999	9147454
9007	11991815
9012	52730
9019	4149685
9020	3408919
9026	15684220
9027	8724524
9043	3041041
9045	9583221
9047	2452325
9052	3387116
9077	244004
9079	5558450
9094	5240478
9095	4768252
9106	11052025
9108	15395105
9119	2251648
9132	965484
9155	238213
9173	3844074
9178	6719635
9196	3167813
9209	10308280
9214	14806771
9226	2130029
9228	7430429
9232	12809739
9238	16210239
9248	428986
9260	5611183
9265	13172190
9267	3869070
9269	3070068
9270	6464338
9287	9569205
9291	1906105
9299	564364
9317	15473862
9327	5470908
9338	10839474
9341	7062624
9345	4944131
9348	3866417
9366	3955971
9367	8882048
9376	3955971
9379	3955971
9383	5565398
9390	3955971
9408	3721703
9410	14563118
9458	13335522
9466	9670749
9474	5204509
9485	8363812
9495	12586522
9504	7153897
9519	6704803
9534	4355736
9539	12506569
9541	5567816
9554	1095070
9577	497235
9578	2819312
9587	762756
9603	7358130
9617	3424805
9625	6586548
9636	161761
9638	6712918
9648	9936896
9652	6546049
9655	1565284
9661	7686358
9668	10165388
9670	11444906
9678	7686358
9683	8426273
9692	7738550
9716	15857896
9718	615514
9721	2810142
9722	13318550
9729	4518536
9732	10171898
9735	5412400
9741	7896587
9744	102882
9748	634721
9752	8966896
9758	1483425
9770	3637900
9772	5153149
9779	2685621
9790	3106866
9793	3431089
9794	8737897
9798	2150680
9806	7338719
9808	9299970
9811	2278460
9813	10305777
9821	7173956
9827	2150680
