geneid	dist
559	4690
564	5949
572	7885
575	8308
582	7384
590	6701
594	5845
605	5136
614	3543
619	1723
624	1137
636	4775078
992	3540071
1024	7920090
1430	1088267
2011	9955519
2932	14323965
3124	4125740
3152	14323965
3855	10043226
3911	1672066
4202	10043226
4208	13254199
4275	10043226
4374	10043226
4378	13441211
4416	14032290
4448	7467407
4475	605
4513	10043226
4527	179
4544	10532848
4546	10532848
4676	1773179
4716	2416998
4717	10043226
4734	7467407
4747	10043226
4750	7467407
4772	13254199
4827	7467407
4828	13254199
4841	13254199
4857	260951
4867	14032290
4901	1628134
4919	12633589
5051	4660837
5059	733061
5085	10831197
5098	13409833
5143	1082474
5151	5094556
5161	1210851
5198	10608749
5216	5661948
5242	1241409
5249	1075055
5264	4462852
5266	10706759
5291	11103462
5302	2932568
5305	1579340
5357	3771889
5362	4686494
5401	2505033
5467	772846
5470	5422834
5471	7613648
5505	4834925
5506	1178986
5522	4874275
5546	11754438
5562	4776139
5599	7548842
5608	4862857
5659	8809401
5670	329543
5691	11652638
5697	5040184
5705	3766589
5740	11264651
5748	762357
5780	6428821
5785	2460958
5798	11748023
5820	1130175
5837	9056441
5854	5054525
5879	7142185
5898	11633172
5912	11539407
5913	4107207
5914	6129381
5916	4996378
5921	10025900
5930	6196358
5939	6380954
5951	6997195
5993	5644446
6004	4578602
6012	11572297
6050	14117055
6054	2727038
6061	2850208
6095	8102615
6101	11724708
6106	5782934
6117	4410240
6120	9977341
6121	1140849
6144	10236279
6160	7982817
6179	3807376
6195	5611466
6198	5619356
6201	2505033
6204	8881167
6206	4910009
6228	5779379
6230	1958287
6267	13671409
6276	323339
6278	780038
6291	6926637
6304	11219760
6308	7976765
6316	1774473
6329	11572297
6338	6041542
6351	6402370
6360	7941116
6391	8373887
6401	423502
6416	8386225
6429	9440881
6441	1165021
6469	782936
6470	423502
6504	2368906
6514	15120399
6552	1192602
6567	8971463
6597	7978461
6653	6559459
6658	5928897
6663	9339220
6667	8681549
6676	5302936
6689	1438591
6709	8917618
6722	1275038
6723	10095328
6731	8257294
6745	11169306
6760	7044625
6771	11771557
6784	1802178
6808	4749438
6809	9356551
6816	1520863
6821	7094345
6861	423502
6890	10842380
6905	11613148
6916	2798553
6918	6071832
6920	1489778
6923	5910240
6931	15064594
6936	3785025
6938	3785025
6939	14134995
6942	3785025
6946	10253995
6952	10115803
6953	837350
6974	782177
6986	5529725
6987	4052301
6988	3737455
6990	6318534
6997	4741262
7005	6624120
7007	11922985
7045	5011999
7052	6417345
7058	7843784
7066	4686494
7084	1572078
7094	3785025
7098	2551766
7108	5784578
7119	2588095
7144	6396269
7146	3785025
7148	3785025
7158	11358445
7166	7832177
7176	6296219
7179	7972966
7183	1966815
7190	9619292
7222	5348941
7237	456965
7258	5342009
7264	7464945
7299	2181802
7301	5913203
7306	734
7327	6122236
7333	6511873
7353	6652066
7385	923
7411	3460327
7425	3227
7426	11138393
7428	5438586
7430	537992
7435	3785025
7443	4220561
7455	2528811
7462	4903214
7469	6511873
7496	1511019
7498	6083171
7499	1722154
7503	7903682
7511	2956305
7525	5058208
7536	3898452
7540	5583677
7546	1353445
7580	605765
7583	10200316
7590	11628133
7595	13589030
7606	6511873
7611	6327302
7637	5623537
7648	6038278
7659	3405903
7688	1330010
7692	11565189
7701	16210963
7709	10137703
7714	43186
7719	10132554
7733	11732279
7734	3785025
7738	7276045
7739	7477472
7741	2743204
7760	17694038
7761	883667
7773	10717036
7776	11694010
7777	5015604
7791	7160988
7808	423502
7816	5081337
7829	801528
7832	10091109
7854	11778212
7863	6511873
7882	8938130
7887	1713243
7900	13269386
7918	18575
7919	4120471
7923	1202951
7926	5171823
7933	1579522
7937	8706097
7938	14888870
7987	5993735
7993	2803460
8006	4547571
8007	923
8013	3785050
8018	1747080
8019	731559
8031	8916303
8042	2987186
8044	2989014
8061	4475240
8071	1431657
8083	11705855
8096	12454439
8097	17718344
8101	1807109
8120	8718395
8148	9476889
8153	8745039
8160	7562187
8163	5849742
8170	4695085
8172	1898690
8189	9913595
8203	3130165
