geneid	dist
992	494
1430	2262620
2011	5663928
3124	416809
3855	8735412
3911	6371264
4202	8735412
4208	3300965
4275	8735412
4374	8735412
4378	9627110
4416	5519691
4448	428406
4475	252581
4513	8735412
4544	5134579
4546	5134579
4676	5764012
4716	2312335
4717	8735412
4734	428406
4747	8735412
4750	428406
4772	3300965
4827	428406
4828	3300965
4841	3300965
4857	3990971
4867	5519691
4901	71565
4919	1423912
5051	9629666
5059	4609585
5085	2313499
5098	2231101
5143	1770197
5151	9507812
5161	356235
5198	8574047
5216	4745202
5249	1897603
5264	1374623
5266	12289795
5291	11813066
5302	322420
5305	9644541
5357	10745571
5362	9625860
5401	9057135
5467	192184
5470	1636315
5471	3708535
5505	8628135
5506	2040916
5522	1475298
5546	8442020
5562	9552964
5599	2208889
5608	1466970
5654	8140561
5670	7928133
5691	6630311
5697	9471339
5705	10742566
5740	8629663
5748	9470739
5780	2708638
5785	8978600
5798	8447095
5820	3581441
5837	338139
5854	19805
5877	3625140
5879	68619
5898	255998
5912	11338270
5913	8467654
5914	1522251
5916	1172172
5921	7647211
5939	641034
5993	2680407
6004	7808136
6012	6134
6050	3679114
6054	7381967
6061	7206699
6095	8608699
6101	244159
6106	12083527
6117	11546386
6120	13440808
6121	3575503
6144	12082033
6160	3588233
6179	12061814
6195	3099575
6198	473337
6201	9057135
6204	12114437
6206	1499477
6228	12082586
6230	5259485
6267	1029701
6276	1238898
6278	55298
6291	1238898
6304	12753191
6308	3582921
6316	9551361
6329	6134
6338	12687219
6351	3302808
6360	3545633
6390	4795800
6391	321687
6401	6672185
6416	338631
6429	1448365
6441	7089263
6469	160586
6470	6672185
6474	5801789
6504	8922284
6514	23887
6538	5355790
6552	5077145
6567	8493875
6597	8160870
6653	4117234
6658	3847016
6663	12558757
6676	427174
6689	5367145
6709	1244148
6722	12038816
6723	10817716
6731	2361683
6745	833741
6760	731837
6771	8499306
6784	81396
6808	9585856
6809	1308203
6816	2698076
6821	7072655
6834	151084
6847	175002
6861	6672185
6863	12936935
6890	1575906
6916	7334295
6917	2427317
6918	1205967
6920	430971
6923	12154382
6931	8504275
6939	2169604
6946	12082417
6952	13328958
6953	12237931
6974	8684026
6986	1600014
6987	10841626
6988	11533307
6997	17615781
7005	107219
7007	2805057
7013	727745
7045	6961433
7052	8386504
7058	401906
7066	9625860
7084	1546712
7098	6917083
7108	8456959
7119	2596592
7144	651459
7158	461266
7166	1899136
7176	8487583
7179	5897093
7183	2493915
7222	442147
7237	852289
7258	7332745
7264	9655471
7299	107758
7301	5511065
7306	7444102
7312	175002
7327	122402
7333	4776114
7338	2705435
7346	3298577
7353	11741255
7385	2449431
7411	9596289
7425	697706
7426	861915
7428	8662555
7430	4312490
7443	2262978
7455	3046534
7462	2796367
7469	4776114
7496	423639
7498	8452938
7499	3801932
7503	3525708
7511	6293140
7525	9479911
7536	5025591
7540	1656555
7546	8492084
7562	175002
7580	7418761
7583	8879903
7590	1526032
7606	4776114
7611	8485715
7637	1701442
7648	13230187
7659	3987000
7688	7360211
7692	4462538
7701	8651026
7709	8861766
7714	11540444
7719	8856260
7733	5707530
7738	7143676
7739	9666849
7741	9332940
7760	1318229
7761	3234
7773	12251071
7776	4123005
7777	9451274
7791	97769
7808	6672185
7816	10779931
7829	8704026
7832	7984994
7834	439498
7854	5644308
7863	4776114
7882	373585
7887	3793469
7900	3181066
7918	925470
7919	1066
7923	61846
7926	10794641
7933	5523514
7937	7928576
7938	10110870
7987	3607031
7993	12426833
8006	7916524
8007	2449431
8013	9727764
8018	14788014
8019	8301714
8031	8455745
8042	7609125
8044	6152965
8061	12361281
8071	494541
8083	4114236
8096	5907507
8097	1584259
8101	90424
8117	2687033
8120	10018493
8148	7293136
8153	6119733
8160	2220911
8163	12436632
8170	8261649
8172	1552899
8189	3222233
8203	9410993
8207	5670679
8219	956500
8236	2406958
8244	9484861
8245	942702
8247	2384752
8255	922456
8286	9420514
8297	12074009
8312	180574
8321	7379181
8336	1636315
8378	2306164
8394	7848017
8397	14806964
8413	106715
8415	6301372
8430	6170829
8431	9117759
8438	4312490
8447	283525
8450	11819916
8455	237764
8458	6056425
8459	12325977
8462	3560447
8463	640366
8465	6403759
8488	386232
8489	2743297
8500	1491
8505	6021944
8510	12918995
8526	2139
8553	6118497
8561	2282092
8563	12400974
8571	135881
8579	4094537
8582	4684946
8600	3791728
8603	4776114
8623	4707321
8635	11200837
8636	1117119
8641	459
8656	7936595
8657	50078
8662	9148289
8663	40633
8665	700
8674	482990
8675	5377756
8677	6050924
8691	28578
8698	8813232
8702	386232
8709	5638591
8710	1597924
8723	2945949
8730	4097
8742	325966
8745	8036348
8746	629174
8751	7504696
8759	266058
8761	3501165
8768	9510417
8771	519537
8782	252581
8789	2727573
8792	13476757
8795	3194716
8796	221947
8805	1787004
8827	4097
8832	2084784
8833	9404835
8850	198056
8862	4097
8885	2624304
8898	2631878
8919	83161
8921	8850675
8928	447534
8950	248697
8964	8414278
8965	7218423
8974	4311740
8986	393345
8999	7278405
9007	9392986
9012	122362
9019	8770211
9020	9983034
9026	6411606
9027	3128277
9040	4834167
9043	8509080
9045	5456598
9047	9392468
9052	10004747
9077	6727640
9079	8999648
9094	2570032
9095	10950210
9106	9332940
9108	6175065
9119	8013612
9155	6275669
9173	2563503
9178	3606834
9209	3352972
9214	1234926
9226	9830509
9228	12754288
9232	349480
9238	14201357
9248	7264364
9260	3163755
9265	2188126
9267	9562885
9269	1237234
9270	2104320
9287	331451
9288	155946
9291	12380604
9299	175002
9317	1972735
9327	161127
9338	6007596
9341	161827
9345	3928669
9348	3180247
9367	7870137
9383	149795
9410	7912704
9414	561136
9415	546765
9442	927999
9448	2026573
9449	1094641
9458	9654761
9466	12907499
9474	135881
9485	6463232
9495	1104532
9504	8594
9519	2667466
9534	5787959
9539	369148
9541	8987185
9554	2449431
9577	1464828
9578	1460095
9583	45911
9602	8038
9603	12805614
9617	374526
9621	12911682
9625	14708659
9636	5328779
9638	2647212
9648	17650417
9652	1990220
9655	7933207
9657	6017243
9661	12905471
9668	145809
9670	10456871
9678	12905471
9683	6763433
9716	6587012
9718	11675670
9722	16021830
9729	10506389
9732	5506682
9735	2149841
9741	12961426
9744	6450232
9748	3249606
9752	1585982
9758	4784992
9759	8377850
9770	8465706
9772	2335266
9779	2336436
9790	436396
9793	1620592
9794	14215099
9798	83161
9806	1235740
9808	856869
9810	13008672
9811	8047902
9813	2040448
9827	83161
9851	340391
9852	4835726
9853	10883985
9864	276810
9870	8012497
9878	10539900
9880	6637214
9902	11965107
9922	475
9930	5541460
9944	948183
9950	2280477
9951	2056543
9954	5272497
9960	4306277
9961	377040
9986	6607141
9990	1607284
10007	149851
10008	2675461
10018	3731377
10021	9148462
10026	10841626
10033	948183
10037	1837030
10054	12415473
10061	4286309
10070	1287217
10071	9131738
10075	1981495
10076	3235069
10079	1508715
10086	11546386
10088	12698506
10091	9848686
10107	11778852
10112	2297511
10121	8709884
10122	7072655
10123	211006
10127	6369422
10128	640366
10134	4705309
10145	338139
10167	13460560
10171	8456959
10172	6288343
10187	12512019
10195	7405758
10203	10658714
10205	8675779
10206	8811779
10209	345862
10212	12379715
10213	8705772
10228	6447043
10233	225278
10236	163474
10245	3929484
10254	3504587
10262	169055
10264	1053204
10269	179309
10276	3834984
10282	430267
10286	5857059
10287	23785
10293	30828
10296	1983616
10298	59378
10301	7577721
10307	3153289
10317	8230740
10322	5558973
10323	1877079
10324	679146
10326	20912
10331	168118
10334	4795788
10335	7272930
10336	1929491
10341	6336906
10346	4965212
10347	4727374
10350	1627631
10356	907090
10357	4619134
10363	2597130
10374	761700
10376	1234926
10393	3283
10405	6345725
10406	7515181
10410	1390756
10436	6339822
10444	96702
10447	2609834
10472	11253680
10489	9484997
10493	3875689
10540	6240184
10561	1069861
10566	4684829
10567	438822
10607	8717496
10610	8534210
10613	8534613
10633	8718993
10637	10629978
10651	7910770
10664	157693
10665	7551112
10672	3476403
10685	1244148
10694	30200
10704	83161
10713	3724358
10716	13362765
10727	351673
10739	3789739
10743	2427063
10765	6683830
10766	91283
10772	268025
10774	8852019
10806	604286
10814	27392
10819	1965827
10833	888488
10838	4384219
10844	9646037
10845	406660
10872	478820
10875	20912
10879	20912
10882	306629
10891	150046
10900	4764178
10905	4158070
10907	440161
10908	9711136
10912	226704
10914	3413677
10918	1104988
10925	1254074
10928	12541357
10936	4792632
10938	4300377
10967	2922216
10977	7034465
10980	3324584
10983	10160257
10997	7338012
10998	9629666
11004	4601300
11009	12033992
11011	12925971
11021	146852
11031	927354
11032	10779699
11036	4971754
11038	3199615
11040	8262452
11053	12388587
11056	84158
11060	917862
11061	188219
11075	6651615
11077	8562999
11089	12395043
11093	14431721
11099	3315602
11101	8347626
11102	7446679
11106	134386
11109	7460647
11114	1374925
11120	5702562
11123	1740557
11124	5239641
11125	64211
11131	13476757
11140	7836857
11141	15807
11163	1977538
11167	4039468
11169	3203925
11172	12896910
11173	2518539
11193	3487107
11195	6013350
11209	11036190
11214	2283306
11216	13936543
11225	6093119
11226	1292836
11228	7858718
11233	14438747
11236	11216075
11237	2505925
11242	4317056
11243	9631
11249	1689167
11250	8525337
11257	11030718
11263	6674169
11289	7016104
11291	1723708
11297	4831147
11299	11186676
11300	5073092
11311	294968
11320	6631109
11322	10592713
11326	6603527
11329	4830537
11331	2001517
11335	1242666
11343	3939072
11344	2000407
11349	5493316
11351	83161
11363	165216
11366	3917638
11371	6454
11378	16885156
11379	2248093
11386	1309195
11396	2076204
11399	6734880
11405	20912
11410	4014811
11414	2977058
11415	9954996
11417	3762172
11419	8552642
11425	4754137
11430	10211630
11433	1678366
11436	8683282
11445	347253
11458	6638585
11459	3981684
11463	10495889
11464	4977191
11465	4548529
11474	2152
11481	7344212
11482	11735613
11484	12367034
11486	30792
11487	3926272
11490	9758461
11491	84592
11493	8958229
11497	8647872
11498	2594471
11499	6000409
11500	2595108
11504	13146395
11505	2498530
11507	54832
11511	12193092
11513	6255399
11518	8696446
11524	8982958
11528	15424
11541	434170
11542	955592
11543	9962388
11544	127449
11546	8755964
11547	3215585
11548	365457
11564	365727
11574	12869688
11575	11237403
11579	3946477
11585	3767573
11590	84514
11591	9272900
11592	20912
11604	17681434
11614	3067241
11617	10004459
11619	3109822
11620	1437579
11625	1334344
11627	1491152
11628	34900
11636	6578713
11638	3123706
11643	1282439
11646	113160
11647	2074193
11650	113160
11652	2565740
11653	1547353
11657	113160
11659	75718
11670	4994525
11671	546220
11679	7689656
11680	7311371
11685	66435
11691	69382
11694	5985192
11695	5733425
11696	1411998
11704	6007663
11713	2974273
11716	3101714
11724	20912
11726	5914168
11727	4515937
11728	4161258
11734	900179
11739	12535737
11741	11216075
11743	878553
11744	43604
11765	736697
11775	1936684
11780	6322014
11783	129964
11786	2729390
11787	9025818
11789	2586178
11800	1270367
11801	5512765
11805	3348809
11807	2654132
11810	838910
11812	1685205
11821	9532015
11826	3348809
11829	2759333
11831	6314997
11832	936796
11847	1874202
11856	6748892
11873	3126637
11893	9708938
11900	6407673
11908	4594
11911	119617
11912	6647705
11917	10629277
11922	3683505
11924	1882718
11938	8780053
11946	2386912
11954	4891124
11963	9710951
11964	10790241
11969	7237739
11987	4432162
11996	10208398
12003	10814575
12008	7777294
12011	673671
12016	9030337
12019	3655943
12024	11023052
12025	1163765
12027	11871240
12035	10957104
12038	4999671
12041	10951808
12044	10277754
12045	673078
12047	1874855
12048	8376356
12049	3563140
12050	266610
12054	970447
12060	349876
12064	2745509
12069	6456252
12083	449997
12087	1130858
12088	7032583
12091	11185964
12092	8972441
12095	5348404
12100	36382
12102	2194764
12106	9891983
12109	8394621
12111	5655531
12125	8442672
12136	3373029
12137	4228423
12146	630197
12157	1457725
12166	942702
12210	10220
12211	3370264
12222	8124482
12262	6997143
12269	3418068
12275	6854538
12280	7053678
12293	7803615
12294	10220
12316	5689403
12325	137694
12327	8115498
12331	113160
12334	3361757
12341	1847823
12343	254060
12345	4375863
12350	510801
12351	6983465
12370	7973218
12373	12103695
12379	3778011
12383	8260922
12384	5505550
12387	5038082
12388	10235389
12391	2906089
12392	2310
12396	2019411
12402	5408595
12404	3132934
12412	6580749
12417	1873215
12421	3132934
12426	5322500
12428	2285280
12429	2285280
12430	2285280
12431	5521393
12434	106969
12435	5588061
12452	7671764
12459	4454407
12463	8281309
12464	5205254
12468	4219065
12469	8810628
12470	902655
12478	3479384
12479	15659609
12484	4277193
12485	6677744
12490	319822
12491	16801926
12492	12378566
12493	5625569
12497	1294374
12500	2156787
12501	9379497
12502	2003111
12513	11423022
12515	3622255
12527	8672701
12530	1589210
12531	1167
12534	2479092
12551	9757209
12553	2268178
12556	3510858
12570	6264856
12575	1505287
12576	6431787
12579	11690202
12582	488
12583	4769417
12589	383237
12595	10972811
12602	3910856
12606	3348321
12610	8488882
12619	13452880
12624	289839
12625	352088
12637	11586821
12646	11692448
12662	3446085
12668	8764557
12670	8476848
12672	49768
