geneid	dist
582	263
991	1544844
992	298913
1024	280820
1032	1382
1238	1382
2010	249446
2011	214162
2014	248433
2929	317
3124	385061
3152	3323
3911	162983
4104	336443
4145	4744
4208	669705
4340	4744
4378	816085
4390	4744
4434	4744
4452	4744
4475	229077
4548	1570
4676	35934
4714	1570
4716	683
4723	4744
4772	669705
4828	669705
4841	669705
4857	4931
4881	181947
4919	189250
5007	3997050
5051	91571
5059	267151
5085	240010
5098	109506
5143	1807523
5151	3350685
5161	2051982
5197	187710
5198	2356775
5216	1026592
5234	6096762
5242	337160
5249	1832631
5264	418186
5266	574448
5280	2145359
5291	676350
5302	2806
5331	807143
5345	3018931
5362	76617
5369	176094
5397	1486342
5401	246161
5467	43177
5468	1501677
5470	5392334
5471	1954278
5505	733296
5506	1202906
5522	24133
5546	1296210
5557	2962249
5562	2809031
5597	1179039
5599	2319625
5608	240635
5631	217133
5659	203602
5670	28590
5691	34815
5697	3029897
5705	223503
5730	306806
5740	1671904
5772	380
5780	98134
5785	31999
5798	1282031
5820	220705
5837	268770
5841	194136
5843	689144
5854	2196376
5874	5419
5877	1785639
5879	506865
5895	92008
5912	21121
5913	57226
5914	4225
5916	2253708
5921	2354820
5930	1037744
5939	206780
5951	2189941
5977	807143
5993	3397260
6004	378962
6012	16758
6023	726664
6050	2151663
6055	42794
6061	61264
6095	1087052
6101	106522
6106	14523
6117	4409
6120	418901
6121	258569
6137	80346
6144	590706
6160	497088
6179	331901
6195	95550
6198	436491
6201	246161
6204	1259073
6228	66235
6230	1302978
6253	503277
6267	4041009
6276	1042154
6278	3454634
6287	12434
6290	53709
6291	664127
6295	5419
6304	1385205
6308	396203
6316	121769
6329	16758
6338	1833401
6351	249542
6360	326732
6390	196432
6391	17934
6401	359204
6416	5639
6441	264592
6470	359204
6474	1343671
6504	353562
6514	1119849
6538	595887
6552	169142
6567	796646
6597	121664
6639	518
6653	434170
6658	58501
6663	661410
6667	2364436
6676	1069696
6709	539052
6722	385706
6723	1076747
6731	432113
6745	211922
6760	152168
6764	372963
6771	146226
6784	4297489
6795	1501677
6808	2667893
6809	114093
6813	18423
6816	536023
6820	579677
6821	348069
6826	1173221
6834	638151
6839	1514859
6850	10796
6855	18423
6861	359204
6863	1325174
6890	5581642
6891	314
6898	1921558
6902	518
6905	3736587
6913	10796
6916	108674
6917	2296313
6918	116362
6920	1972293
6923	8190454
6931	697058
6936	556
6938	556
6939	172614
6942	40395
6943	314
6946	1299366
6949	1511
6952	1974865
6953	681526
6974	4215833
