geneid	dist
559	4844
564	6096
572	8023
575	8277
579	7520
582	7359
590	6679
594	5826
602	5410
605	5120
614	3544
619	1740
624	1139
631	393
992	34925
1032	1187
1238	1187
2011	1522241
3124	379002
3911	114167
4104	240357
4208	24015382
4378	757502
4475	3278210
4548	20355
4676	12935
4714	20355
4716	628252
4772	24015382
4828	24015382
4841	24015382
4857	665
4881	94952
4901	151994
4919	142482
5007	970306
5051	4617697
5059	695159
5085	4603399
5098	504438
5143	2235774
5151	7276257
5161	2566996
5197	2114829
5198	8239847
5216	7532954
5234	10023194
5242	765197
5249	2260697
5264	1776422
5266	2020833
5280	2659161
5291	7190768
5302	34171
5331	2226864
5362	4675764
5369	6757969
5401	2179296
5467	8085215
5468	4884739
5470	9412545
5471	4138198
5505	1730984
5506	1628788
5522	9565375
5546	9594765
5557	7633896
5562	7904717
5597	9489727
5599	4490475
5608	9827867
5631	1478184
5659	219769
5670	1568054
5691	9824472
5697	6588043
5705	7931953
5730	7866566
5740	6653123
5748	6524651
5772	613973
5780	12403776
5785	1024626
5798	9581573
5820	9936411
5837	2197753
5841	8607326
5843	11708008
5854	5578175
5877	5119786
5879	2430810
5895	8505464
5898	9624525
5904	7958884
5913	9592071
5914	9335290
5916	5641438
5921	4727217
5930	7913232
5939	1570312
5951	4378651
5977	2226864
5993	12856894
6004	525981
6012	9004320
6050	4315942
6054	5146744
6061	3078121
6095	7175302
6101	10425370
6106	3347865
6117	5999313
6120	51744
6121	9978673
6179	3600294
6195	1011293
6201	2179296
6204	9553010
6206	9485649
6215	9043679
6228	3373066
6230	18400332
6266	1092425
6267	12611567
6276	17042142
6278	7151171
6291	1737870
6304	9666118
6308	11641948
6316	6684102
6329	9004320
6338	2261456
6351	12199070
6360	11546006
6390	5001579
6401	845661
6416	1076984
6441	629462
6469	8406066
6470	845661
6474	982623
6504	151092
6514	241925
6552	5585965
6567	9152842
6597	12446475
6639	71199
6658	2784421
6663	412275
6667	5705418
6689	2618518
6709	1538009
6722	3650457
6723	7831427
6731	869227
6745	7490947
6760	2155563
6764	7804893
6771	8560160
6784	7109144
6795	4884739
6808	8055597
6809	112673
6813	3631669
6816	5615978
6820	3154576
6821	2265632
6826	2566880
6834	3095621
6839	4924269
6850	161847
6855	3631669
6861	845661
6863	6973629
6890	9566500
6902	71199
6905	5605115
6913	161847
6916	3120796
6917	3370359
6918	1257862
6920	6874403
6923	10957017
6926	2445254
6931	865486
6936	53640
6938	53640
6939	5151128
6942	44601
6946	4273156
6952	6341995
6953	650012
6974	7022403
6986	6652672
6987	4113558
6988	3752143
6990	11101380
6997	16542017
7005	3898245
7007	4875604
7013	6290364
7014	4241004
7057	2526093
7058	5462751
7066	4675764
7084	5577275
7094	53640
7098	6140
7108	9289195
7114	281417
7119	2016209
7144	1814256
7158	63015
7162	1274433
7166	451426
7179	6041091
7183	6305724
7190	11940664
7222	9752974
7237	203410
7258	14478264
7264	2602174
7301	3529207
7327	5144824
7333	127223
7338	922188
7346	2561668
7353	7539541
7366	19640
7385	3057242
7387	148560
7411	732435
7425	2082927
7426	1492813
7430	1410030
7435	53640
7443	605298
7455	963468
7461	65138
7462	1949
7469	148716
7492	7958884
7496	5469588
7498	9230415
7499	1991710
7503	4677845
7511	2078318
7525	6899417
7536	6006862
7540	6898875
7546	8878751
7580	1834899
7583	111395
7590	5685518
7595	648088
7606	175842
7611	761936
7621	5528341
7637	6638734
7648	9117444
7649	4186897
7659	1985484
7688	8934482
7692	563708
7701	259539
7709	138586
7719	129950
7733	1951878
7739	2648736
7741	3043182
7760	354722
7761	11443898
7773	1793805
7776	6976965
7777	6279097
7783	8440012
7791	9909628
7808	845661
7816	399458
7832	8100835
7834	2234651
7854	2412040
7882	10369223
7883	2605408
7887	1928718
7900	2093232
7907	161847
7910	1031759
7918	243120
7923	4001297
7926	450223
7933	11347462
7938	180246
7983	3142608
7987	3408080
7988	161847
7993	815138
8002	161847
8018	424932
8019	7662334
8029	3518306
8031	9346512
8042	17665278
8044	1058444
8061	81329
8071	6721858
8074	11751771
8082	3882195
8083	6938797
8090	2508450
8096	1579247
8097	660693
8101	7138601
8117	1145318
8120	5209099
8143	2291820
8147	832293
8148	2006906
8153	11283173
8160	4558446
8163	842307
8164	13035383
8170	11766362
8172	7658871
8189	540135
8203	208713
8207	2477242
8229	53640
8234	96368
8236	12714098
8245	919644
8247	2365974
8255	3636271
8286	5339966
8297	3406272
8321	8670889
8332	5250800
8336	9412545
8339	926
8360	128332
8378	1736831
8394	647936
8397	359776
8411	2270494
8413	1543466
8417	892175
8431	1516663
8438	1410030
8441	2430162
8447	2077416
8450	6955223
8455	2277454
8458	2683246
8459	212508
8462	10155290
8463	447367
8465	593991
8481	1726136
8488	920327
8489	3189544
8500	7480
8510	8923778
8519	970306
8526	4911550
8553	6170844
8557	1133989
8561	3403274
8562	1835380
8563	1068709
8571	5972615
8577	7623746
8579	70857
8582	3888515
8600	545829
8603	44938
8623	2522
8625	609172
8635	1162223
8641	4682
8653	7380782
8656	1214662
8657	1903156
8660	7849321
8662	374793
8665	1488877
8674	390942
8675	1899516
8677	953270
8691	2690273
8698	8012132
8702	806296
8708	316068
8709	1336665
8710	2964333
8716	2353116
8723	7532
8731	39639
8742	5568280
8745	1184954
8746	381956
8759	1865539
8761	3109100
8768	7018655
8771	1001829
8775	952719
8782	3278210
8789	829756
8792	1594741
8795	9706645
8796	11079
8805	2849126
8832	434001
8833	5173413
8853	6941468
8885	730285
8898	709317
8921	8175855
8950	5610777
8964	2192218
8965	19569806
8969	6973987
8974	782784
8986	3429139
8994	1315467
8999	2057277
9007	5114707
9012	802825
9019	9008776
9020	2413238
9026	3978461
9027	7787583
9043	33118
9045	1046695
9047	7476366
9052	2327716
9067	3639756
9077	1197386
9079	3561913
9094	250809
9106	3043182
9108	2863341
9119	1174682
9132	1265630
9155	3512897
9173	2831390
9178	2471022
9195	7020686
9196	2023503
9203	7395705
9209	11323308
9210	6938275
9214	1512444
9226	1582461
9228	3676487
9232	12135289
9238	264924
9248	2301371
9251	3152386
9260	1317465
9265	4276404
9267	5262438
9269	4577568
9287	3475398
9291	1037767
9324	7530459
9327	4910062
9338	112466
9341	942609
9345	707009
9348	12203231
9367	6215100
9383	4803097
9449	618265
9458	1295611
9466	59866
9474	5972615
9485	242058
9495	662042
9504	108576
9513	1008493
9519	533332
9534	1947037
9539	3301164
9541	3532921
9554	2608394
9574	18156621
9577	3257240
9578	7863781
9587	506942
9588	1478267
9596	3438799
9600	32734
9602	260260
9617	366849
9625	3770557
9633	1946039
9636	8356857
9638	647141
9648	16975298
9652	3517477
9655	7976
9657	64546
9670	7915053
9678	6455997
9683	1427475
9692	3320841
9716	5163932
9721	2366594
9722	7036583
9725	1734622
9729	3695014
9735	2331839
9741	7184427
9744	9533754
9745	974352
9748	812865
9752	9428442
9759	1955554
9770	2316306
9772	2727987
9779	12456080
9790	8608586
9793	495963
9794	5912657
9806	7020992
9808	1445401
9810	9831369
9811	1482092
9813	3505015
9821	85128
9851	12164076
9853	2511460
9864	10983577
9866	7343105
9878	2020529
9880	99122
9893	4924269
9897	1816552
9902	2809910
9922	2416729
9930	11076215
9933	2530653
9944	1945521
9950	3280600
9951	1260364
9954	7559425
9961	1985886
9963	6952464
9986	6380640
9990	547933
9994	1651157
10007	2041266
10008	493861
10018	3498
10026	4100994
10033	2025633
10052	1493606
10054	619837
10061	1155726
10070	393316
10071	3233669
10075	3456212
10076	832068
10079	2210354
10086	5999313
10088	4643422
10091	1611265
10107	7910835
10112	875569
10117	18129040
10121	5711980
10122	2265632
10123	2113101
10127	2676399
10128	447367
10133	91150
10143	384097
10145	2197753
10167	2150819
10171	9209169
10172	2746833
10187	300735
10195	92894
10204	4204231
10205	6956397
10206	22622
10209	341459
10212	790853
10228	9525300
10233	2014520
10236	10052476
10240	2367495
10245	1982918
10254	2563774
10262	962389
10264	512258
10269	5029771
10282	1163008
10286	9893272
10287	306783
10293	10080
10296	3498217
10298	4177254
10306	7712474
10307	1610392
10317	19889
10322	17686798
10323	1752631
10324	5657968
10326	1302
10331	10137589
10334	2193449
10335	14831129
10336	1170162
10341	6931986
10347	1879246
10350	17570999
10356	1478592
10357	801488
10359	1832125
10363	5478419
10374	2146533
10376	1512444
10393	266404
10405	23701
10406	13776427
10410	206888
10415	10035127
10436	56888
10444	10209451
10447	13003792
10472	5703822
10479	1440223
10489	7002500
10540	467599
10607	1524685
10633	1540294
10637	297943
10651	7355344
10664	1569512
10672	3369130
10684	20228466
10685	1538009
10694	5369701
10702	2265216
10704	1220763
10713	3896619
10716	511884
10718	3893213
10720	3865435
10727	3443585
10739	2993043
10743	4048806
10765	3576385
10766	128062
10771	5738617
10772	3353065
10774	2254818
10806	5657764
10819	3458267
10833	2344908
10845	3557357
10872	3426521
10875	4234409
10879	10162933
10882	399221
10891	2184535
10900	4033805
10906	1405092
10908	2218607
10912	6457326
10913	3671527
10914	421973
10925	260679
10935	15318647
10936	2169493
10938	871131
10951	146238
10953	18217103
10967	3750325
10969	3940139
10980	11396561
10983	889012
10997	2744970
10998	4617697
11004	1549869
11009	5615035
11015	5503153
11021	71650
11031	1369699
11032	3349857
11036	3082882
11038	5482739
11040	12103801
11053	1550633
11055	3511778
11056	572839
11060	1393789
11061	1107948
11067	1099082
11075	3129864
11077	12334606
11089	1543024
11093	3673516
11099	3185228
11101	3701927
11102	1913930
11106	4614786
11109	2486054
11114	3428298
11123	334706
11124	17551456
11125	603244
11129	4923923
11131	1594741
11140	1124593
11141	233412
11167	3694909
11172	6437564
11173	2498508
11177	6118266
11187	338054
11188	503170
11193	2496748
11195	322393
11197	4086378
11198	3076765
11207	355415
11217	849254
11225	2137054
11226	521875
11228	6231927
11233	3658203
11236	254271
11237	2464041
11242	762969
11243	6618470
11249	3213981
11257	7641283
11263	3634413
11289	6394974
11291	3149712
11297	3619484
11299	71031
11301	1050037
11305	19308732
11311	2048548
11320	205260
11322	3200252
11326	4201606
11329	50501
11331	56127
11332	513485
11334	4890132
11335	6780500
11343	2131581
11344	1004804
11349	621507
11366	1785532
11371	2029071
11374	3216481
11378	1055205
11379	597352
11386	6694111
11395	1231531
11396	192810
11399	4283480
11400	3584287
11405	2884
11410	3610559
11414	624427
11415	1763
11417	727761
11418	261734
11419	823198
11430	699221
11432	1913944
11433	594195
11436	5403636
11443	1497062
11445	8574591
11458	2173309
11459	424520
11463	2471054
11464	833339
11465	115795
11481	1754194
11482	582923
11484	1697462
11487	7322943
11490	2092147
11493	955460
11498	4738977
11499	320135
11500	2954636
11503	181656
11504	7550067
11505	2326985
11511	979241
11513	36665
11516	423258
11518	2866520
11524	3214009
11525	97538
11528	362950
11529	323482
11542	977946
11543	30779
11544	54054
11546	911506
11547	845084
11561	666671
11564	260619
11573	1996570
11574	8271735
11575	260282
11579	3342125
11582	7013841
11585	2995265
11590	254974
11591	1070636
11592	7998
11604	4375439
11614	7137649
11617	1196999
11620	923882
11627	4671926
11628	7074016
11636	4150291
11638	1680781
11643	336257
11646	298860
11647	2940175
11650	298860
11652	1675412
11653	465653
11656	680056
11657	298860
11658	862177
11661	7426537
11670	1193958
11671	899216
11673	2006039
11679	6554818
11680	1947586
11683	6986104
11691	17491875
11694	931994
11695	10211518
11696	882766
11704	5544605
11713	845011
11714	862177
11716	3769114
11726	1041719
11727	1469865
11728	818250
11732	939537
11733	955995
11734	1000096
11739	8990086
11741	254271
11743	3980314
11744	5041728
11747	1043899
11759	337273
11765	4270595
11766	6243083
11775	433492
11778	8843932
11780	5923399
11786	82017
11788	1807686
11789	8813993
11794	560331
11801	379070
11805	8810989
11807	329044
11812	1474286
11821	1528185
11825	244805
11826	8810989
11827	1982114
11829	1075193
11831	3090034
11832	1151278
11842	427253
11847	7653382
11856	3511174
11869	1751019
11873	1292380
11890	211189
11893	4037268
11897	1300198
11900	3675
11908	5512772
11911	5493260
11912	869412
11913	2478118
11917	408346
11922	194032
11924	3307097
11935	4236481
11938	5297662
11940	2021467
11944	2481289
11945	3684699
11946	4031133
11948	2435814
11951	15324
