geneid	dist
559	3699
564	4949
572	6874
575	7701
579	7517
582	7356
590	6676
594	5822
602	5407
605	5117
614	3541
619	1734
624	1137
977	152
978	152
992	13849
1024	18607
1430	12831
1711	152
1712	152
2011	5257
3124	3457
3855	2081
4202	2081
4208	22678
4275	2081
4374	2081
4513	2081
4717	2081
4747	2081
4772	22678
4828	22678
4841	22678
4919	91212
5051	2072
5059	126806
5085	213756
5098	219961
5143	4673
5151	65788
5161	137281
5197	6701
5198	53749
5216	68082
5234	118385
5242	268361
5249	19066
5264	55469
5266	60688
5280	34535
5291	80008
5302	13814
5331	138912
5345	1379
5362	56431
5369	154193
5401	4846
5467	208697
5470	21317
5471	37749
5505	3854
5506	332916
5522	81124
5546	1799
5557	26872
5562	166015
5599	55673
5608	158415
5631	71936
5659	216055
5670	83704
5691	99152
5705	248669
5730	185
5740	134836
5748	118633
5780	196617
5785	158996
5798	40025
5820	40275
5837	8868
5841	742
5843	144837
5854	116360
5874	589
5877	110935
5879	116161
5895	41444
5898	197027
5912	15177
5913	30799
5914	2981
5916	70730
5921	440087
5930	9305
5939	204255
5951	110293
5977	138912
5993	255260
6012	20390
6050	142766
6054	73723
6055	145032
6061	66768
6095	55928
6101	37403
6106	327345
6117	4005
6120	1874
6121	60024
6137	1701
6138	182805
6144	214766
6160	52758
6179	195070
6198	627
6201	4846
6204	19623
6206	26429
6228	57319
6266	133805
6267	269982
6276	543438
6278	15035
6291	140231
6295	589
6304	132139
6308	94732
6316	125219
6329	20390
6351	243695
6360	24910
6390	223895
6416	97276
6441	15900
6474	144796
6504	192007
6552	346597
6567	231860
6597	182638
6658	947
6663	8307
6667	17498
6676	57355
6689	200901
6709	7590
6722	4531
6723	104930
6731	130301
6745	260821
6760	14175
6764	497
6784	66293
6808	360741
6809	32582
6813	202468
6816	15622
6820	62668
6821	41163
6826	57829
6834	26514
6850	5670
6855	202468
6863	179607
6890	1532
6898	164731
6905	26409
6913	5670
6916	112648
6917	128333
6918	11404
6920	74348
6923	150346
6926	41473
6939	112168
6946	21969
6952	40324
6953	128017
6974	156635
6986	8902
6987	49770
6988	75848
6990	65105
6997	259205
7005	241559
7007	170140
7014	244326
7045	13210
7057	41183
7058	167649
7066	56431
7084	38619
7108	133416
7114	422
7119	5501
7144	19981
7151	1286
7158	12337
7162	299
7166	96730
7179	48809
7183	69236
7190	23102
7222	71247
7237	35090
7258	82353
7264	179717
7301	107317
7306	36753
7327	370400
7338	23753
7346	120121
7353	404224
7385	4022
7387	6817
7411	9160
7425	155600
7426	147469
7428	71757
7430	228644
7443	105984
7455	238569
7461	112252
7496	151360
7497	52710
7498	94203
7499	66417
7503	21918
7511	45808
7525	532318
7536	54675
7540	9354
7546	326761
7580	17951
7583	171107
7590	46093
7595	51254
7611	125529
7621	23782
7637	100434
7648	108222
7649	287996
7659	14746
