geneid	dist
559	969
636	954595
992	3879416
1024	4024513
1430	48024485
1711	152
1712	152
2011	1564220
2929	431
2932	290
3150	305
3152	290
3911	1997771
3990	10788609
4104	5173482
4208	12011102
4378	6788899
4416	908659
4448	439349
4475	2409264
4529	30215308
4536	5579986
4540	5579986
4542	5579986
4544	699
4545	5579986
4546	699
4548	9926563
4559	5579986
4580	5579986
4595	5579986
4623	5579986
4714	9926563
4734	439349
4750	439349
4772	12011102
4827	439349
4828	12011102
4841	12011102
4867	908659
4881	8130378
4901	2111514
4919	1559506
5007	7893157
5051	6562674
5059	1332392
5085	2120183
5098	1497202
5143	5320
5151	4555008
5161	434367
5197	549409
5198	5290761
5216	5907866
5234	3683364
5242	1216161
5249	57781
5264	988730
5266	1232238
5280	499988
5291	5638982
5302	6295
5305	5721558
5357	1975702
5362	2215226
5369	5395036
5401	461576
5467	2008778
5468	3377873
5470	4065492
5471	74121
5493	305
5505	246093
5506	518405
5522	33608616
5546	67695
5557	4846169
5562	5060576
5597	186404
5599	242152
5608	33808925
5654	13066366
5659	26236559
5670	1996242
5691	3325413
5697	3930242
5705	1904756
5740	1607341
5748	3866773
5780	84009
5785	214728
5798	93275
5820	33884686
5837	444052
5841	698203
5843	677677
5854	2710933
5877	3139404
5879	28747777
5898	3215700
5912	2362132
5913	1180406
5914	33374232
5916	2577811
5921	625629
5930	32495182
5939	27995655
5951	134137
5993	36170296
6004	1500969
6012	2672744
6050	82340
6061	4719753
6095	1154495
6101	3785336
6106	2614787
6117	4315959
6120	1117524
6121	33937643
6137	1652
6144	4000393
6160	5008740
6179	2930848
6195	707451
6198	30481890
6201	461576
6204	112334
6206	33527259
6228	2690307
6230	42576244
6266	831116
6267	1417285
6276	445409
6278	4436157
6291	649334
6304	56974
6308	4971155
6316	5321451
6329	2672744
6338	84428
6351	509262
6360	4887076
6401	943807
6416	766166
6429	40090541
6441	25800225
6470	943807
6474	526518
6504	899470
6514	24891405
6538	41003225
6552	4319958
6567	482744
6597	3815732
6639	504
6653	956556
6658	7822771
6663	462104
6667	2476599
6676	757171
6689	2126380
6709	562798
6722	2993410
6723	32456317
6731	1125929
6760	28421178
6771	707652
6784	19816225
6795	3377873
6808	5203692
6809	26292753
6813	551
6816	2035805
6820	2982895
6821	408744
6834	2912699
6839	3362500
6847	1349
6850	1204
6855	551
6861	943807
6863	1306533
6890	3988895
6891	932
6902	504
6905	7309946
6913	1204
6916	4688771
6917	9203790
6918	85960
6920	6146169
6923	20062739
6931	3135797
6936	520
6938	520
6942	520
6943	932
6946	3431598
6952	1889970
6953	1584659
6974	19741478
6986	6580522
6987	6624046
6988	8818523
6990	19813796
6997	389202
7005	3375192
7007	6077770
7013	1904326
7014	134745
7045	2869193
7052	4007951
7058	2922040
7066	2215226
7084	1928930
7094	520
7104	30924555
7108	6122666
7119	9890054
7144	28200515
7146	520
7148	520
7158	1140146
7162	3983
7166	2754921
7176	3214001
7179	9503666
7183	3953609
7190	5238576
7222	21133344
7237	571271
7258	37160280
7264	6862254
