geneid	dist
559	4753
564	6015
572	7949
575	8324
582	7398
590	6715
594	5858
605	5149
614	3553
619	1733
624	1140
992	19188
1024	2377299
1430	14796
2011	575348
3124	4880
3855	901703
3911	107774
4202	901703
4208	2771
4275	901703
4374	901703
4378	48410
4416	1545725
4448	28358
4475	227
4513	901703
4676	56015
4716	5652
4717	901703
4734	28358
4747	901703
4750	28358
4772	2771
4827	28358
4828	2771
4841	2771
4857	1492
4867	1545725
4901	21598
4919	2914
5007	2349626
5059	226233
5085	206589
5098	375929
5143	1193
5151	7456
5161	50308
5198	16737
5216	10532742
5242	9205469
5249	9173
5264	3811451
5266	3323182
5291	10343777
5302	260178
5305	10297361
5357	3345007
5362	3084505
5369	2358
5401	44728
5470	6040006
5471	6552940
5505	392067
5506	77900
5522	403566
5562	8978
5599	6709162
5608	339359
5654	32260
5659	10625
5670	617
5691	181930
5697	247169
5705	844
5740	1758891
5748	165554
5780	69216
5785	73181
5798	6430
5820	1369034
5837	6537166
5854	4673918
5877	545277
5879	1823
5898	160651
5913	6854
5914	4074
5916	2540155
5921	258310
5930	8949
5939	27712
5951	4644926
5993	32486
6004	52370
6012	70173
6050	7804685
6054	5648841
6061	273710
6095	1240606
6101	117720
6106	24282
6117	321492
6120	18840
6121	1326197
6144	1462843
6160	255950
6179	33138
6195	27463
6198	1340
6201	44728
6204	4198543
6206	7845935
6228	21683
6230	12505
6267	173608
6276	5065
6278	27475
6291	3849512
6304	18061
6308	243988
6316	24869
6329	70173
6338	93381
6351	20343
6390	4621002
6401	212309
6429	2690945
6441	1863
6469	10505
6470	212309
6474	28787
6504	364608
6514	5527006
6538	3630105
6552	42005
6567	97293
6597	3210
6653	47498
6658	114675
6663	382635
6676	27382
6689	12000
6709	339857
6722	3715
6723	5637
6731	17591
6745	48730
6760	42401
6771	812
6784	49148
6808	64039
6816	179560
6820	77851
6821	5280010
6834	30342
6861	212309
6890	3202527
6905	2191
6916	4353
6917	2250578
6918	20375
6920	9214626
6923	145784
6931	9637
6936	22430
6938	22430
6939	6744714
6942	22430
6946	1875
6952	42391
6953	5306
6974	21669
6986	890
6987	371919
6988	21753
6990	268718
6997	7405793
7005	3236
7007	5626
7014	1043060
7045	365009
7052	284306
7058	5325
7066	3084505
7084	6645
7094	22430
7098	662
7108	68258
7119	2022617
7144	15398
7146	22430
7148	22430
7158	7787213
7166	183195
7176	14044
7183	118052
7190	941534
7222	24771
7237	5703
7258	46326
7264	599739
7299	571805
7301	2304211
7306	14703
7333	998584
7338	367537
7346	225623
7353	75993
7385	2208
7411	5565553
7425	1807
7426	922085
7428	2842
7435	22430
7443	15606
7455	261186
7462	2817471
7469	998584
7496	5040435
7498	267660
7499	4318156
7503	301286
7511	281972
7525	24020
7536	59575
7540	48121
7546	52166
7580	71567
7583	1122100
7590	38044
7595	32713
7606	998584
7611	434182
7637	159993
7648	1819958
7649	1043060
7659	675944
7688	28585
7692	80105
7701	5188525
7709	16803
7719	126093
7733	8412
7734	22430
7738	37809
7739	225798
7741	7447025
7760	9121
7761	296012
7773	3149742
7777	6162
7791	104044
7808	212309
7816	10894822
7829	728
7832	2489
7854	112718
7863	998584
7882	41784
7887	4153625
7900	30855
7918	2580
7919	7515608
7923	79842
7926	891519
7933	3929038
7937	2633
7938	354353
7987	1654618
7993	5598
8006	1597
8007	2208
8013	69666
8018	162855
8019	3957856
8031	445859
8042	114578
8044	319297
8061	168498
8071	893306
8083	223918
8096	5651780
8097	55950
8101	452262
8117	10658152
8120	16125
8148	2047
8153	198766
8160	6579278
8163	117474
8170	2190622
8172	37047
8189	1681769
8203	36854
8219	3388
8229	22430
8236	3145
8244	2630
8245	965578
8247	6865
8286	1625847
8297	11493
8312	12300188
8321	122988
8336	6040006
8378	113264
8394	3204205
8397	5714
8411	241444
8413	3197892
8415	8203194
8430	17811
8431	71011
8447	8285200
8450	10330699
8455	2360
8458	55862
8459	251837
8462	2444269
8463	44465
8465	9742644
8488	8092
8489	1987744
8500	6474
8505	89279
8510	36393
8519	2349626
8526	5139
8547	51361
8553	44843
8561	40569
8571	16273
8582	5317639
8589	1147
8600	62010
8603	998584
8623	3235
8635	115367
8636	4217
8641	9973
8656	22577
8657	5219865
8663	172397
8665	6082309
8674	75460
8675	251449
8677	80533
8691	496075
8698	118807
8702	8092
8709	7918998
8710	102310
8723	16271
8730	82148
8742	30814
8745	4440457
8746	81895
8751	839188
8759	2516
8761	110138
8768	44160
8771	43341
8782	227
8789	349877
8792	5782
8795	47472
8796	91862
8805	705822
8827	82148
8832	4068218
8833	74581
8850	106261
8853	5163286
8862	82148
8885	1714
8898	1725
8919	1846496
8921	113025
8928	5561931
8950	407842
8964	3438395
8965	2592
8974	226257
8986	422217
8999	38231
9012	4273787
9019	8040119
9020	1766233
9026	1006712
9027	3467
9040	124185
9043	6644
9045	19108
9052	34415
9077	5225509
9079	254722
9094	165624
9095	430804
9106	7447025
9108	4082027
9119	4421698
9132	91971
9155	2917
9173	386544
9178	6623725
9209	17089
9226	7669
9228	199252
9232	101990
9238	7873563
9248	265174
9265	6404272
9267	15604
9269	140349
9270	894368
9287	92074
9288	179799
9291	1580329
9317	4530215
9327	190662
9338	131497
9341	164948
9345	1759
9348	757574
9383	2630
9449	104056
9458	8323382
9466	4819718
9474	16273
9485	184296
9495	3125
9504	252164
9519	36701
9539	5971202
9541	112917
9554	2208
9577	67488
9578	97069
9583	219649
9603	89603
9617	1870990
9621	567634
9625	20849
9636	424726
9638	22277
9648	140802
9652	821081
9657	171265
9661	561764
9668	81439
9670	358814
9678	561764
9683	199322
9716	5382
9718	37005
9721	10484
9722	304045
9729	865743
9732	94436
9735	1576
9741	3699426
9744	16018
9748	223342
9752	269020
9758	6654
9770	498729
9772	199479
9774	24415
9779	990243
9790	18889
9793	100470
9794	310303
9798	1846496
9806	6140
9808	72720
9810	3574531
9813	32720
9821	71925
9827	1846496
9846	177180
9851	41082
9853	5883073
9864	39090
9880	7371236
9902	18423
9922	39076
9930	21542
9933	1599
9944	174104
9950	4066160
9951	2672319
9954	243645
9960	125725
9961	198866
9986	92856
9990	25297
10007	149139
10008	24934
10018	6246971
10021	43169
10026	47743
10033	174104
10037	80035
10052	334641
10054	195218
10061	3972843
10070	38345
10071	4470
10075	988547
10076	38547
10079	6295620
10086	321492
10088	1187049
10091	62134
10107	5452572
10112	2820887
10121	7629
10122	5280010
10123	5318
10127	1054897
10128	44465
10134	1346
10145	6537166
10156	4748
10167	22403
10171	68258
10172	425203
10187	440674
10195	114812
10203	2359
10205	199990
10206	2366
10209	14344
10212	33481
10213	11367367
10228	10146483
10233	13885
10236	193716
10245	1284
10254	411606
10262	3999682
10264	110370
10269	193553
10276	944
10282	2655
10286	278831
10287	246912
10293	3261
10296	170484
