geneid	dist
559	356
564	5082
572	7066
575	7909
582	6055
590	6728
594	5872
605	5164
614	3570
619	1521
624	1140
992	916750
1024	16855
1430	2199260
2011	505101
2932	4233
3124	555397
3152	4233
3855	321205
3911	526634
4202	321205
4208	1650863
4275	321205
4374	321205
4378	3895251
4416	70001
4448	179531
4475	282458
4513	321205
4676	4312339
4716	181340
4717	321205
4734	179531
4747	321205
4750	179531
4772	1650863
4827	179531
4828	1650863
4841	1650863
4857	116477
4867	70001
4901	39241
4919	666702
5051	551856
5085	260282
5098	579506
5143	523836
5151	397259
5161	88818
5198	424
5216	1842138
5242	527830
5249	274289
5264	188818
5266	496052
5291	87357
5302	500809
5305	64932
5357	1003524
5362	549385
5401	530919
5467	13433
5470	988396
5471	2638642
5505	3992101
5506	438689
5522	1889257
5546	2186962
5562	461176
5599	425717
5608	1923975
5654	133742
5670	1073900
5691	174397
5697	371122
5705	220985
5740	2047941
5748	89673
5772	4865
5780	112284
5785	728704
5798	2180513
5820	246192
5837	1129688
5854	115609
5877	238350
5879	2156204
5898	235910
5913	9186197
5914	1844959
5916	203009
5921	1779035
5930	2646181
5939	2326711
5951	163364
5993	1464620
6004	1885337
6012	105571
6054	52280
6061	5167119
6095	1213516
6101	190374
6106	4557549
6117	1817543
6120	1674642
6121	255979
6144	3139
6160	267574
6179	1596
6195	9163134
6198	2486264
6201	530919
6204	1052690
6206	1881141
6228	4556525
6230	831616
6267	523639
6276	548599
6278	48734
6291	39023
6304	1276235
6308	273230
6316	121665
6329	105571
6338	7500755
6351	93404
6360	310441
6391	639955
6401	441026
6416	1865870
6429	4119380
6441	4247861
6469	135735
6470	441026
6474	2257044
6504	895111
6514	836063
6538	915202
6552	1602756
6567	1335468
6597	265499
6653	280049
6658	1520387
6663	816262
6667	1930861
6676	759130
6689	1469793
6709	95000
6722	1506276
6723	1557775
6731	221597
6745	116322
6760	2236647
6771	2136475
6784	16995
6808	511250
6809	1932978
6816	3785805
6820	7753605
6821	446678
6834	404309
6847	28685
6861	441026
6863	1206489
6890	1053389
6916	5189441
6918	1488768
6920	647906
6923	4600745
6931	457752
6939	5800134
6946	299829
6952	1723812
6953	5297536
6974	4237997
6986	2538106
6987	1092638
6988	227928
6997	5626735
7005	363723
7007	915230
7013	1796579
7014	6589631
7045	459200
7052	881
7058	1635232
7066	549385
7084	2182180
7098	2156439
7108	3930961
7119	356371
7144	2313440
7158	1320513
7166	1787426
7176	436778
7179	2359358
7183	373035
7190	3265904
7237	869112
7258	2164290
7264	2602980
7299	2756661
7301	287203
7306	1040439
7312	28685
7327	785349
7333	2167779
7338	455972
7346	67649
7353	1969052
7385	4282
7411	4065088
7425	2274662
7426	91983
7428	518180
7430	971653
7443	351628
7455	210197
7462	514969
7469	2167779
7496	1592549
7498	2311076
7499	335486
7511	160133
7525	376555
7536	1647733
7540	2585329
7546	318084
7562	28685
7580	1534306
7583	405680
7590	183118
7606	2167779
7611	2695672
7637	2632877
7648	4068625
7649	6589631
7659	532267
7688	308061
7692	3326
7701	520310
7714	354870
7719	427543
7733	5970147
7738	773284
7739	2614681
7741	7979624
7760	1222841
7761	1394965
7773	471295
7776	3929350
7777	343674
7791	297574
7808	441026
7816	175888
7829	4179918
7832	1757564
7834	6549380
7854	6025499
7863	2167779
7882	15915
7887	327636
7900	2099513
7918	42770
7919	2352057
7923	46441
7926	172327
7933	1283504
7937	171418
7938	314108
7987	1483749
7993	5033203
8006	1170090
8007	4282
8013	4252037
8018	156241
8019	4524851
8031	1361681
8042	4375889
8044	1988
8061	337726
8071	213903
8083	3939893
8096	78985
8097	1287289
8101	11428
8117	442026
8120	1087149
8148	9319536
8153	137596
8160	419246
8163	5023551
8170	443989
8172	695890
8189	24219
8203	3826078
8207	6019554
8219	635
8236	1619865
8244	417537
8245	26845
8247	273
8255	1754719
8286	3150107
8297	4551971
8312	542254
8321	337121
8336	988396
8378	5138
8394	1910317
8397	135741
8413	474006
8415	585022
8430	685705
8431	1155275
8438	971653
8450	90267
8455	1128901
8459	383642
8462	287129
8463	66053
8481	1137798
8488	263211
8500	40772
8505	800228
8510	1176285
8526	353585
8553	2587472
8561	89411
8563	1169015
8571	3237647
8579	1791916
8582	3880857
8589	822750
8600	190863
8603	2167779
8623	2020516
8635	1430850
8636	274247
8641	1182263
8656	1064100
8657	23206
8662	1014566
8665	607960
8674	1562094
8675	3367219
8677	793116
8691	21331
8698	4096461
8702	263211
8709	6033861
8710	833131
8723	1883268
8730	9389
8742	1655589
8745	4749456
8746	714460
8751	428976
8759	577087
8761	1547294
8768	1259979
8771	513515
8782	282458
8789	491299
8792	1648560
8795	193207
8796	1718268
8805	2149006
8827	9389
8832	100018
8833	3165459
8850	2778002
8862	9389
8885	2693673
8898	7864
8919	595274
8921	4076696
8928	440556
8950	550415
8964	3756051
8965	18757
8986	1439331
8999	2120428
9007	3172126
9012	290360
9019	23245
9020	191303
9026	4318489
9027	878519
9040	2749448
9043	432245
9045	217943
9047	3612
9052	208672
9077	4316093
9079	6339615
9094	129903
9095	79720
9106	7979624
9108	4171722
9119	4766902
9155	182878
9173	456913
9178	5711331
9209	14278
9214	108859
9226	863980
9228	1267375
9232	149826
9238	4432403
9260	4020693
9265	404936
9267	117319
9269	2228537
9270	5449509
9287	7647051
9288	1047166
9291	1180246
9299	28685
9317	270118
9327	1066497
9338	819615
9341	254036
9345	5033178
9348	533444
9367	2460970
9383	837081
9410	351542
9449	1166422
9458	8008271
9466	3975165
9474	3237647
9485	219124
9495	1175964
9504	132927
9519	3084117
9534	349652
9539	10326
9541	1415214
9554	4282
9577	5705
9578	816610
9583	127611
9587	2732806
9602	13697
9603	1377319
9617	114616
9625	248247
9638	12381
9648	5520334
9652	5531728
9655	4015
9657	808216
9661	1163816
9668	855777
9670	1931164
