geneid	dist
559	2635
572	5445
575	3623
590	6449
605	6766
614	1581
624	5621
992	3610841
1430	801971
2011	6211885
3855	8379319
3990	4811983
4202	8379319
4208	5458609
4275	8379319
4374	8379319
4416	7084682
4448	799922
4475	175989
4513	8379319
4548	3100158
4676	6559322
4714	3100158
4716	4511449
4717	8379319
4734	799922
4747	8379319
4750	799922
4772	5458609
4827	799922
4828	5458609
4841	5458609
4857	3511529
4867	7084682
4919	3270496
5085	4175651
5098	1887924
5143	4172223
5151	14926
5161	7361013
5216	4346050
5266	2295098
5302	1749153
5305	5818132
5369	3516049
5471	7561664
5505	4008831
5506	2761044
5562	3961839
5599	4021956
5654	2421816
5691	5677646
5705	1920447
5740	6424155
5748	3128885
5785	5279505
5820	708608
5837	5653648
5854	410961
5912	1877148
5913	3835165
5916	6679848
5921	6489507
5930	5721791
5951	137217
5993	5902517
6061	1825967
6095	4602666
6121	790065
6144	2448696
6198	2885432
6204	1093920
6215	1366768
6228	746935
6230	2858418
6264	4646931
6276	83831
6278	1181883
6291	1529641
6304	3192857
6316	5794857
6351	5116866
6391	6614139
6429	3503711
6469	1899277
6474	3577312
6567	2419877
6597	6033457
6653	1806859
6663	5922154
6667	2471972
6689	821730
6709	362634
6723	7393260
6760	7289762
6784	2113103
6809	4419098
6821	1923088
6863	4008831
6905	3701476
6918	254062
6923	6524568
6931	566414
6946	4383635
6952	6413162
6974	3077329
6987	5568383
6997	4890672
7052	6681573
7058	359713
7084	1615612
7114	2931361
7119	7237130
7144	7370329
7176	566414
7179	436216
7222	314989
7258	4372138
7264	10173753
7301	10270314
7306	7468346
7333	6045671
7353	83831
7385	5423858
7411	2454479
7428	1264983
7461	5391557
7469	6045671
7511	3729063
7525	4004601
7536	6816132
7540	5911699
7546	2315583
7580	7961751
7590	8605469
7606	6045671
7611	1119921
7637	7207699
7648	6609356
7659	4173988
7688	2398221
7692	425679
7701	5307030
7709	6045671
7719	749476
7741	5429908
7776	909902
7816	7227767
7829	3511529
7832	37313
7854	8139994
7863	6045671
7883	1476790
7887	4705881
7910	1085357
7926	7953548
7937	2570746
8007	5423858
8013	7012690
8019	2947152
8042	5536688
8044	7104492
8094	5697308
8096	8722662
8097	7166518
8101	6065150
8143	4010101
8147	1085357
8148	91519
8170	2884770
8172	5545766
8189	3867098
8219	4670924
8234	2902892
8236	6333987
8245	2449646
8247	4811495
8286	410033
8297	7382201
8321	2315583
8378	5695428
8394	8221316
8431	3630368
8447	3893309
8455	3270906
8459	4949332
8462	4744321
8463	4263048
8481	10145922
8489	3552969
8526	3363409
8553	4775133
8582	7938589
8603	6045671
8636	6494316
8653	7672972
8656	925076
8665	600366
8674	4473330
8675	823124
8698	3001382
8709	714478
8742	4328736
8746	3233294
8751	279940
8768	9302158
8771	4040636
8782	175989
8789	3021843
8795	2189457
8805	5581979
8832	4949332
8833	1049312
8885	1128288
8919	1301999
8921	5735934
8950	3690192
8969	7672972
9012	3740479
