geneid	dist
614	515
992	9321266
1024	9327329
1430	1285792
2010	7995656
2011	363993
2014	7996651
2929	1215924
3124	920026
4104	43785
4208	3611402
4378	43450
4475	20588
4529	2229044
4772	3611402
4828	3611402
4841	3611402
5051	1136110
5085	1117295
5098	3811706
5143	593038
5151	4674656
5161	1748256
5198	425
5216	7600764
5234	302117
5242	3633051
5249	1920632
5264	605098
5266	2849689
5280	1514645
5291	8012512
5302	2586631
5345	5020403
5362	1198369
5369	8601207
5401	4224920
5467	3760153
5470	1192072
5471	177544
5505	3011894
5506	2773016
5546	168797
5557	5079644
5562	5414093
5599	3562722
5608	3921757
5654	208925
5659	133849
5670	327604
5691	451
5697	3686332
5705	3603606
5730	25576
5740	1534780
5748	3607278
5772	907977
5780	3074409
5785	1487685
5798	212589
5820	3680007
5837	5807234
5841	476943
5843	2193636
5854	713204
5877	196847
5879	99398
5898	3443036
5912	4312908
5913	3992649
5914	4332296
5916	781621
5921	3833213
5930	5427038
5939	793004
5951	3399019
5993	591217
6004	1968251
6012	4003709
6023	1066851
6054	173422
6061	2694693
6095	835356
6101	2290930
6106	245
6117	2673252
6120	1338047
6121	480437
6144	6765759
6160	324281
6179	1667460
6201	4224920
6204	228684
6206	4171663
6215	3983125
6230	11103868
6267	1465158
6276	12745968
6278	4493089
6291	7326566
6304	103171
6308	212071
6316	8763871
6329	4003709
6338	1891205
6351	2810872
6360	557939
6390	7349808
6391	585747
6401	1798824
6416	607808
6441	424999
6470	1798824
6474	8379777
6504	229630
6514	49088
6538	8721310
6552	4533524
6567	1215745
6597	18545705
6653	9564921
6658	10334365
6663	629017
6667	863457
6676	7883930
6689	424240
6709	3164688
6722	1723136
6723	5371281
6731	96961
6745	3042520
6760	3216313
6764	473
6771	412731
6784	1261773
6808	5620433
6809	74267
6813	73049
6816	2606221
6820	532653
6821	5886038
6834	93873
6839	198017
6850	10037370
6855	73049
6861	1798824
6863	1095878
6890	883257
6898	4213252
6905	6489892
6913	10037370
6916	2671314
6917	3872444
6918	2189452
6920	4261905
6923	3391210
6931	4887841
6939	2030938
6946	1063
6952	1590569
6953	1140982
6974	1376366
6986	5258074
6987	8399479
6988	4326097
6990	3539460
6997	13534340
7005	409291
7007	7446455
7013	1541410
7014	841040
7045	35671
7052	5863167
7057	1762559
7058	603027
7066	1198369
7084	2550081
7098	268125
7108	14585643
7114	3642889
7119	2338955
7144	1012108
7151	196180
7162	2209628
7166	7238513
7176	4982720
7179	119489
7183	341
7190	20740
7222	2111893
7237	2448993
7258	1243652
7264	3722693
7299	10832601
7301	4068376
7327	1971338
7333	3547052
7338	789992
7346	3892663
7353	2959483
7387	364722
7411	165028
7425	1192598
7426	3050430
7428	2277702
7430	526631
7443	303361
7455	3612706
7461	259010
7462	330985
