geneid	dist
631	4399
992	3745565
1032	259006
1238	259006
2011	711135
2929	22862
3124	267963
4104	21864
4208	1169511
4378	2495
4475	2921006
4716	695
4772	1169511
4828	1169511
4841	1169511
4881	2602367
5051	539698
5059	910987
5085	720502
5098	709793
5143	4964253
5151	33729
5161	843009
5197	957650
5198	819542
5216	1257151
5234	510492
5242	930559
5249	557909
5266	915031
5280	941302
5291	904480
5302	1610344
5345	141757
5362	522467
5369	460039
5401	1019784
5467	3487169
5468	1218476
5470	231336
5471	690550
5505	1573309
5506	152944
5522	11472414
5546	4798259
5557	180712
5562	467648
5597	4942494
5599	384617
5608	11366904
5631	7327893
5659	5568101
5691	2288007
5697	19641
5705	3320503
5740	3010060
5748	101457
5780	1875502
5785	33568
5798	4829510
5820	11110606
5837	1033973
5843	2667395
5854	1921149
5877	1500686
5879	8320207
5898	2661187
5912	3506142
5914	11688392
5916	1988545
5921	173795
5930	13330811
5939	7473411
5951	453025
5993	8129502
6012	3068972
6050	491229
6061	497258
6095	3525097
6101	1600042
6117	6440
6120	142010
6121	11055035
6137	2034284
6138	2950041
6144	1254891
6160	219201
6179	1461093
6195	972922
6198	10855802
6201	1019784
6204	4845141
6206	11574584
6215	3051293
6228	1230231
6230	1421091
6253	1997854
6266	131604
6267	973758
6276	2813164
6278	46208
6291	2106333
6304	4776271
6308	338179
6316	393120
6329	3068972
6338	569360
6351	2187796
6360	496338
6390	2273881
6401	891829
6416	1061160
6441	5109962
6469	3690972
6470	891829
6474	2871917
6504	335690
6514	3964051
6538	685178
6552	334692
6567	5406778
6597	6881672
6639	359
6653	1933742
6658	4516033
6663	611012
6667	2067697
6676	2468747
6689	423762
6709	1755740
6722	1362783
6723	13383051
6731	879460
6745	2879705
6760	8001680
6764	4201902
6771	5000180
6784	3002961
6795	1218476
6808	653733
6809	5642527
6813	5233
6816	2206087
6820	481288
6821	1095986
6826	1090728
6834	556858
6850	2088
6855	5233
6861	891829
6863	3347256
6890	27186
6902	359
6905	2477822
6913	2088
6916	472670
6917	4917451
6918	1391314
6920	581281
6923	6928537
6931	3543718
6936	580
6938	580
6939	1681399
6946	1946963
6952	2711328
6953	1739482
6974	2923583
6986	1335266
6987	3117545
6988	4384357
6990	7071942
6997	3498901
7005	436489
7007	2359259
7014	680025
7045	585263
7052	5188127
7058	1793563
7066	522467
7084	2168300
7094	580
7098	185732
7108	3618470
7114	1786319
7119	6054
7144	7701380
7151	242836
7158	112555
7162	1403525
7166	553354
7179	288925
7190	22872
7222	5728897
7237	2559035
7258	6421257
7264	4969404
7299	873511
7301	4629764
7306	21685
7327	8204525
7333	1629632
7338	1173189
7346	5212457
7353	378209
7366	8556
7385	10563550
7387	2091904
7411	1166887
7425	7951164
7426	12081707
7428	183420
7430	12172860
7435	580
7443	5335086
7455	3191330
7461	2255037
7462	2151167
7469	1648259
7496	8127533
7497	1432377
7498	2237
7499	5813034
7503	2561052
7511	11515434
7525	107456
7536	665928
7540	599841
7546	3193028
7562	1409666
7583	825511
7590	2408452
7595	1097677
7606	1672876
7611	3754119
7621	59591
7637	337669
7648	3449271
7649	632342
7659	2911924
7688	1362815
7692	2071208
7701	264193
7709	374846
7714	552490
7719	363000
7733	1901797
7738	13367424
7739	5097859
7741	1640706
7760	4838327
7761	589681
7776	677985
7777	165240
7791	390365
7808	891829
7829	3110949
7832	1538645
7834	1454404
7854	1303440
7882	6332613
7883	4735013
7887	5832548
7900	944099
7907	2088
7910	2707528
7918	63061
7919	61231
7923	477239
7926	270928
7931	696908
7933	7357414
7937	704502
7938	5168967
7983	10469592
7987	3919002
7988	2088
7993	1264858
8002	2088
8007	10591008
8013	1785021
8018	4321776
8019	3024120
8029	10103508
8031	5099498
8042	2193327
8044	12578617
8061	33443
8071	2150098
8074	6141858
8082	175147
8083	645761
8094	2083385
8096	2141868
8097	5135767
8101	3038396
8117	1057676
8120	14387
8143	34103
8147	2898072
8148	2426083
8153	5650473
8160	247254
8163	1312222
8164	7829379
8170	9205388
8172	3569871
8189	4418786
8203	603238
8207	1220130
8219	12600946
8229	580
8234	13212915
8236	8257672
8244	1013
8245	12676087
8247	11219822
8255	636726
8286	287426
8297	1260360
8312	3458660
8321	2965534
8332	341752
8336	231336
8338	196818
8339	214620
8360	2111225
8378	11857890
8394	609548
8397	4230065
8411	10905
8413	2240634
8415	123405
8417	2759522
8430	340515
8431	7907
8438	12172860
8441	11463
8447	1978663
8450	673981
8455	1984573
8458	2518575
8459	136885
8462	10980954
8463	867001
8465	13008617
8481	1451381
8488	808558
8489	4968079
8500	2613169
8505	844184
8510	3239083
8526	1810173
8553	1787194
8557	1317837
8562	521928
8563	937896
8571	240468
8577	1895902
8579	28861
8582	622472
8589	128945
8600	147260
8603	1557324
8623	1476743
8625	4489275
8635	2477172
8636	1236620
8641	172418
8653	5970799
8656	1000860
8657	459917
8662	280610
8663	6004398
8665	12079822
8673	4097626
8674	13216935
8675	5895747
8677	835636
8691	1749531
8698	3948151
8702	685307
8709	2309176
8710	6580731
8716	2068725
8723	186351
8731	313800
8742	1910949
