geneid	dist
559	3847
564	5171
572	7151
575	7991
582	7558
590	6863
594	5874
605	5166
614	3570
619	1735
624	1140
992	4231359
1024	8715858
1430	5511640
2011	7372480
2932	9432214
3124	7570937
3152	9432214
3855	633246
3911	5281387
4202	633246
4208	3646757
4275	633246
4374	633246
4378	11376211
4416	2594520
4448	118518
4475	7322006
4513	633246
4544	1083194
4546	1083194
4676	12496001
4716	6048313
4717	633246
4734	118518
4747	633246
4750	118518
4772	3646757
4827	118518
4828	3646757
4841	3646757
4857	957241
4867	2594520
4901	884726
4919	2073517
5051	2864790
5059	2996983
5085	2124895
5098	3679647
5143	2578259
5151	2760327
5161	12278206
5198	7289025
5216	1101938
5242	3643898
5249	3440413
5264	913325
5266	6617559
5291	6269130
5302	1024588
5305	6253523
5357	7692493
5362	2862005
5401	9194042
5467	1073134
5470	13299438
5471	7058209
5505	7927018
5506	3570413
5522	6970163
5546	8526695
5562	2793686
5599	4876890
5608	123867
5654	7636179
5670	8247654
5691	5059703
5697	2729544
5705	7700800
5740	8653738
5748	2723548
5780	4335794
5785	5337340
5798	8532401
5820	8151890
5837	9161744
5854	7536098
5877	11759789
5879	4905477
5898	278948
5912	8552311
5913	10955534
5914	1334407
5916	11774010
5921	8079808
5930	1189926
5939	5049252
5951	323470
5993	9363449
6004	8167570
6012	301829
6050	7077390
6054	6837508
6061	8578573
6095	4894229
6101	1812748
6106	138619
6117	7022586
6120	10688164
6121	8145534
6144	6453817
6160	9195161
6179	4829932
6195	4345092
6198	5178611
6201	9194042
6206	1361764
6228	135318
6230	9022495
6267	11677962
6276	1530139
6278	2026045
6291	6701123
6304	11126161
6308	9190152
6316	6295682
6329	301829
6351	4311945
6360	11297260
6390	6385802
6391	1000934
6401	7073737
6416	993840
6429	7934301
6441	7356175
6469	8558129
6470	7073737
6474	6667393
6504	5222847
6514	1495217
6538	9090064
6552	6220208
6567	4810591
6597	4002539
6653	14496959
6658	2728137
6663	5243126
6676	248274
6689	169356
6709	7897382
6722	4838522
6723	10620715
6731	2309964
6745	9045043
6760	4980632
6771	8565193
6784	6859138
6808	2829363
6809	4793413
6816	10475829
6820	1925573
6821	4814397
6834	942241
6847	3443969
6861	7073737
6890	13252633
6916	8587721
6917	10876797
6918	1320268
6920	8891843
6923	179066
6931	7888239
6939	2867287
6946	6458169
6952	10761991
6953	11945763
6974	9394693
6986	7540227
6987	7611158
6988	4911382
6990	5217653
6997	9350562
7005	2136722
7007	6397156
7014	1116592
7045	396577
