geneid	dist
559	4213
564	5462
572	7418
575	8215
579	7524
582	7363
590	6683
594	5831
602	5420
605	5130
614	3553
619	1741
624	1140
631	15411656
636	33919667
971	242607
991	39942567
992	32328533
1005	241423
1024	32314729
1032	29017741
1238	29017741
1274	236544
1711	29815194
1712	29815194
2011	2034174
2932	305
3124	2278646
3150	1038
3152	1295793
3855	631243
3901	6096184
3911	2078918
3990	4845130
4104	1132923
4145	596227
4202	631243
4208	60642
4275	631243
4340	596227
4374	631243
4378	63368451
4390	596227
4416	4643270
4434	596227
4448	1795947
4452	596227
4475	4466998
4513	631243
4525	64560350
4527	63400040
4530	2647176
4536	2426953
4538	63194103
4540	2426953
4541	63194103
4542	1999439
4543	59844137
4544	59959025
4545	1999439
4546	59959025
4548	2145150
4580	1999439
4595	1999439
4676	5138283
4714	2145150
4717	631243
4723	596227
4734	1795947
4746	3170395
4747	631243
4750	1795947
4756	666400
4772	60642
4827	1795947
4828	60642
4841	60642
4857	82261
4867	149447
4881	289188
4901	2124702
4919	2576656
5007	2641634
5009	6096184
5051	3781819
5059	94005
5085	3784040
5098	4384779
5143	95015
5151	6891024
5161	1777532
5197	2498153
5198	7886399
5216	9374808
5234	28588991
5242	1365192
5249	80374
5264	9499133
5266	15326053
5280	1870369
5291	9723733
5302	7208622
5305	6523980
5331	15180617
5345	7149415
5357	23585351
5362	4147394
5369	10211565
5397	12146682
5401	2593073
5467	23534778
5468	12167350
5470	29349470
5471	28251987
5505	3309584
5506	765931
5522	12527877
5546	17665942
5557	7188572
5562	7501175
5597	17536298
5599	27904712
5608	12794602
5631	3598656
5659	2939140
5691	21686210
5697	6096617
5705	23833051
5740	14189575
5748	6043005
5772	29702565
5780	21028326
5785	16424876
5798	17645804
5820	12872954
5837	2620556
5843	20200580
5854	12974199
5874	16213132
5877	12493964
5879	4748387
5895	16391924
5898	22064517
5912	22954495
5913	12542507
5914	12224949
5916	13047490
5921	27661046
5930	10668423
5939	3773198
5951	27959233
5977	15180617
5993	16388261
6004	18316670
6012	22467381
6023	29557725
6050	28165375
6055	16196821
6061	10215116
6095	14838736
6101	20904679
6105	22796771
6106	40913787
6117	40150518
6120	17762570
6121	12929535
6137	6677548
6138	24126849
6144	12065109
6160	31339628
6179	40833292
6195	34869103
6198	7432788
6201	2593073
6204	17614245
6206	12407082
6215	22441030
6228	40893547
6230	27070962
6264	35236196
6266	44053778
6267	25857337
6276	28653231
6278	6728434
6290	16348807
6291	31637995
6295	16254501
6304	17738636
6308	31232786
6316	10363039
6338	54350
6351	20777954
6360	19711244
6390	36048725
6391	34933719
6401	28667022
6416	34968385
6429	39961405
6441	1084026
6469	23129608
6470	28667022
6474	33469606
6504	17686827
6538	24682009
6552	38345030
6567	17139170
6597	34008146
6653	31396476
6658	33235744
6663	17150988
6676	32096075
6689	42187659
6709	3578370
6723	10607962
6731	1323318
6745	24217943
6760	35846168
6764	15628474
6771	16464972
6784	19044402
6795	12167350
6808	7705356
6809	2840875
6813	34567859
6816	37280374
6820	33952216
6821	2719998
6826	33137982
6834	33866217
6847	35503578
6850	29638877
6855	34649292
6861	28667022
6863	14638316
6890	29078604
6898	38850805
6905	41028718
6913	29638877
6916	10282348
6917	43578104
6918	27950421
6920	38914607
6923	14473517
6926	33024474
6931	45011539
6938	29861585
6939	36665146
6942	29854149
6943	30081296
6946	12825605
6949	30159228
6952	13789966
6953	20832281
6974	19182027
6986	39766656
6987	34951289
6988	43009336
6990	14188095
6997	29434057
7005	34999430
7007	35895249
7013	13742006
7014	35434173
7045	33799083
7052	46141479
7057	33094297
7058	12836452
