geneid	dist
559	3682
564	4926
572	6847
575	7669
579	7523
582	7362
590	6682
594	5830
602	5411
605	5121
614	3549
619	1741
624	1142
633	7856322
977	152
978	152
991	5454090
992	674678
1024	683149
1325	9236911
1430	11443398
1711	152
1712	152
2010	35231182
2011	35194468
2014	35230159
2929	460
3124	317151
3150	50065518
3152	309157
4104	28469070
4208	89744
4378	691066
4534	13615643
4539	13615643
4548	2702054
4714	2702054
4741	11504312
4772	89744
4828	89744
4841	89744
5007	19259843
5051	4652427
5059	8881074
5085	4643040
5098	8988177
5143	275
5151	28367973
5161	7470338
5197	6750290
5198	29287180
5216	30320690
5234	8460445
5242	8775902
5249	7583459
5264	35447972
5266	21929778
5280	7312989
5291	30613820
5302	11312601
5331	21812454
5345	28650520
5362	4720687
5369	31029765
5401	6671004
5467	14169035
5468	26446030
5470	89971
5471	116050
5505	6137960
5506	8128291
5546	3392366
5557	28683766
5562	28968020
5597	3296142
5599	6056944
5608	3481232
5654	16603823
5659	16566356
5670	464701
5691	45484
5697	27906266
5705	14388296
5730	1448583
5740	185500
5748	27618746
5780	5952346
5785	22576800
5798	3379630
5820	2380246
5837	6663375
5841	2321948
5843	5339467
5854	25797951
5877	26224443
5879	1498960
5898	12817350
5912	13738490
5913	3220284
5914	334780
5916	25755845
5921	17395718
5930	258435
5939	23925338
5951	6131602
5977	21812454
5993	6809932
6004	23690712
6012	13261336
6023	135245
6050	6162017
6054	26196340
6055	1958433
6061	28132842
6095	710990
6101	698368
6106	6241381
6117	6584653
6120	23336873
6121	3594026
6144	537911
6160	458629
6179	6435297
6198	2550474
6201	6671004
6204	3350112
6206	256673
6230	14470816
6253	522609
6266	4198064
6267	6428530
6276	2307647
6278	28280527
6287	2006796
6291	656749
6304	3419702
6308	353621
6316	31154061
6329	13261336
6338	7566140
6351	5777660
6360	274132
6390	10169673
6391	6944073
6401	9006476
6416	6974295
6441	16197383
6470	9006476
6504	23291082
6514	15468787
6538	12333060
6552	8323871
6567	2917983
6597	19148287
6653	457677
6658	12105557
6663	23017226
6667	25696960
6676	976746
6709	5962666
6722	6496947
6723	297162
6731	8712438
6745	14668494
6760	930237
6764	1363465
6771	2270743
6784	5524181
6795	26446030
6808	29143614
6809	16632102
6813	14551
6816	2918249
6820	2072568
6821	6649211
6826	1525897
6834	2012531
6839	26434878
6855	14551
6861	9006476
6863	552789
6890	8870750
6898	4094808
6905	5864866
6916	28101652
6917	8137754
6918	8627055
6920	4124083
6923	2193618
6931	1632132
6939	2383362
6946	5479
6952	25120020
6953	3143807
6974	5589845
6986	4855771
6987	10876082
6988	7670037
6990	1959601
6997	1930779
7005	1073872
7007	10234588
7014	1460086
7045	1958797
7052	2561151
7057	1505829
7058	26019029
7066	4720687
7084	2878948
7108	7184359
7114	328294
7119	9284045
7144	23723383
7151	8539374
7158	23346913
7162	8605433
7166	2657676
7176	1722063
7179	10086007
7183	3600261
7190	681030
7222	3101767
7237	2179169
7258	8639209
7264	5095258
7299	2558096
7301	7903120
7327	351032
7333	222761
7338	8664835
7346	4719456
7353	6244603
7385	11690045
7387	2603313
7411	3681479
7425	23602506
7426	15131991
7428	182486
7430	15027903
7443	16363193
7455	1233467
7461	2494242
7462	7740070
7496	376098
7497	1366211
7498	4069222
7499	4202586
7503	10357241
7511	15665298
7525	28110570
7536	8716666
7540	4141182
7546	7581823
7583	534615
7590	5798443
7595	3796763
7606	236860
7611	1800371
7621	10493835
7637	3901153
7648	7372542
7649	1377821
7659	440366
7688	7466911
7692	510210
7701	110448
7709	429367
7714	28236431
7719	417412
7733	29077343
7738	13622363
7739	4843353
7741	26036043
7760	16009104
7761	181366
7773	22058569
7776	4206094
7777	27816368
7791	8483682
7808	9006476
7816	8202351
7829	5404147
7832	29780096
7834	1338277
7854	28757187
7882	2603190
7883	4760014
7887	4149886
7900	6770375
7910	58847
7918	13153221
7919	8404953
7923	1180005
7926	8193445
7931	4219131
7933	1888293
7937	1862125
7938	2534794
7983	219622
