geneid	dist
992	29233
1024	2099
1430	42481
2011	64974
2932	1058
3124	70642
3152	1058
3855	11954
3911	82571
4202	11954
4208	3303
4275	11954
4374	11954
4378	760323
4416	31396
4448	91542
4475	26438
4513	11954
4548	40784
4676	94916
4714	40784
4716	129729
4717	11954
4734	91542
4747	11954
4750	91542
4772	3303
4827	91542
4828	3303
4841	3303
4857	136548
4867	31396
4901	52170
4919	464363
5051	80139
5085	201942
5098	153279
5143	27040
5151	9369
5161	14800
5198	743538
5216	37236
5249	23145
5264	42235
5266	92004
5291	51887
5302	92936
5305	17263
5357	357332
5362	72047
5369	1469
5401	1277
5467	209272
5470	422733
5471	15283
5505	43697
5506	94884
5546	236587
5562	14419
5599	188301
5608	33702
5654	1659
5659	235199
5670	190859
5691	290118
5697	30022
5705	353603
5740	146543
5748	290
5780	202633
5785	132591
5798	245448
5820	32187
5837	39440
5854	31965
5877	44331
5879	235406
5898	313529
5912	364390
5913	375162
5914	53825
5916	469352
5921	34908
5930	124161
5951	469754
5993	26305
6004	72518
6012	345467
6054	130366
6061	197188
6095	104137
6101	236156
6106	113664
6117	504088
6120	269251
6121	40135
6144	146954
6160	28424
6179	397148
6195	5384
6198	129033
6201	1277
6204	47957
6206	176126
6215	179624
6228	117990
6230	247166
6267	591751
6276	17885
6278	12105
6291	16885
6304	24826
6308	50353
6316	98830
6329	345467
6338	22743
6351	230206
6360	74329
6391	436773
6401	75786
6416	444525
6429	2510
6441	110819
6469	192504
6470	75786
6474	110440
6504	221874
6514	28336
6538	217127
6552	525284
6567	19213
6597	102891
6653	387923
6658	78698
6663	611038
6667	7085
6676	394931
6689	92695
6709	4720
6722	407026
6723	235207
6731	163365
6745	447748
6760	176033
6771	194548
6784	216595
6808	37857
6809	11778
6816	187951
6820	160991
6821	35012
6834	231841
6861	75786
6863	300695
6890	145398
6905	555476
6916	6238
6918	708523
6923	45516
6931	348682
6936	608414
6938	608414
6939	252707
6942	608414
6946	140048
6952	180557
6953	166340
6974	7322
6986	513086
6987	1480
6988	300508
6990	195826
6997	222682
7005	25167
7007	105011
7013	230841
7045	15188
7052	374810
7058	391777
7066	72047
7084	484994
7094	608414
7098	42391
7108	372981
7144	201753
7146	608414
7148	608414
7158	240784
7166	8096
7176	373694
7179	11656
7183	2858
7190	13263
7222	93473
7237	42251
7258	120858
7264	843830
7299	32158
7301	271956
7306	68485
7327	132956
7333	286791
7346	74209
7353	66033
7385	2623
7411	395270
7425	166704
7426	548
7428	90853
7430	14288
7435	608414
7443	261591
7455	2331
7462	1949
7469	286791
7496	418022
7498	52412
7499	49691
7503	88096
7511	65783
7525	25729
7536	264769
7540	528793
7546	20646
7580	896456
7583	302473
7590	548625
7606	286791
7611	443301
7637	506843
7648	787886
7659	16022
7688	2006
7692	39946
7701	968752
7709	276918
7714	201179
7719	276795
7733	146374
7734	608414
7738	243686
7741	138182
7760	38545
7761	167327
7773	98932
7777	51148
7791	136901
7808	75786
7816	43682
7829	700
7832	196387
7854	115123
