geneid	dist
559	3708
564	4965
572	6908
575	7744
579	7510
582	7349
590	6669
594	5816
602	5401
605	5111
614	3535
619	1725
624	1139
992	26616
1024	5216
1430	745
2011	6120
2014	70
2932	305
3124	92217
3150	305
3152	299
3159	499
4104	71716
4208	14559
4378	34777
4475	17257
4772	14559
4828	14559
4841	14559
4881	27499
5007	134
5051	75779
5059	81089
5085	202591
5098	98825
5143	335
5151	258225
5161	14362
5197	14881
5198	46929
5216	54925
5234	141663
5242	114378
5249	123383
5266	382001
5280	32780
5291	97205
5302	80926
5305	4068
5331	674473
5357	449371
5362	48339
5369	73666
5397	231034
5401	9566
5467	418041
5470	76403
5471	20055
5493	305
5505	230276
5506	404315
5522	27740
5546	152721
5557	87180
5562	384393
5597	195272
5599	156244
5608	36274
5631	2137
5659	48570
5670	12772
5691	48696
5697	711854
5705	718721
5706	399785
5711	60463
5730	191
5740	114603
5748	648707
5780	131881
5785	34658
5798	189844
5820	288026
5837	33566
5843	118288
5854	64113
5877	151483
5879	210728
5898	150620
5912	210014
5914	299751
5916	16268
5921	153646
5930	32403
5939	192660
5951	123766
5977	674473
5993	241253
6004	391001
6012	54685
6023	409172
6050	65424
6061	15698
6095	38995
6101	200144
6105	331603
6106	325357
6117	3824
6120	66315
6121	3606
6138	540433
6144	463595
6160	51914
6179	720499
6195	1137
6197	75558
6201	9566
6204	208743
6206	146259
6215	31148
6228	523296
6230	107851
6266	353118
6267	1631796
6276	575215
6278	373561
6291	307557
6295	515
6304	117856
6308	88721
6316	112273
6351	229270
6360	85072
6390	96305
6401	205316
6416	19037
6441	832
6469	140728
6470	205316
6474	108518
6504	199361
6538	37895
6552	203804
6567	78467
6597	133351
6658	1062
6661	113036
6663	16381
6667	40839
6676	97181
6689	417623
6722	456123
6723	82229
6731	73294
6745	407609
6760	136993
6784	23476
6808	137457
6809	20728
6810	65982
6813	26998
6816	64729
6820	387176
6821	114542
6834	319177
6839	194030
6850	320
6855	26998
6861	205316
6863	123338
6890	303973
6898	129341
6905	46830
6913	320
6916	70562
6917	224178
6918	23868
6920	187297
6923	531741
6926	4055
6931	2904
6936	87592
6938	87592
6939	104850
6942	48892
6946	5747
6949	1590
6952	41113
6953	511161
6974	70272
6986	9526
6988	254154
6990	389409
6997	66919
7005	1706
7007	55839
7014	146630
7057	1622
7058	356974
7066	48339
7084	14208
7094	87592
7098	55828
7108	77336
7114	178313
7119	8972
7144	68751
7146	311
7148	73211
7158	85999
7162	1319
7166	56673
7179	38701
7183	39734
7190	21400
7222	667198
7237	39236
7258	295202
7264	57477
7301	412491
7327	27721
7333	61366
7338	300161
7346	128114
7353	473333
7385	102538
7387	127123
7411	38162
7425	133410
7426	180400
7428	283439
7430	640
7435	565
7443	212681
7455	61457
7461	29632
7462	1949
7496	61397
7497	132177
7498	91078
7499	76638
7503	18856
7511	144476
7525	716948
7536	126381
7540	161258
7546	38695
7580	308437
7583	69485
7590	122589
7595	112146
7606	84556
7611	79061
7621	113766
7637	55584
7648	311261
7649	234649
7659	652
7688	39825
7692	351366
7701	162395
7709	8134
7719	36961
7733	201006
7734	311
7738	104982
7739	6371
7741	641
7760	189488
7761	110874
7776	103073
7777	394743
7791	151595
7808	205316
7816	48482
7832	221476
7834	99262
7854	186523
7863	2880
7882	42523
7883	7445
7887	99502
7900	34024
7907	320
7910	117492
7918	560311
7919	114567
7923	136710
7926	103586
7931	72035
7933	277627
7938	107589
7983	4732
7987	270499
7988	320
7993	74534
8002	320
8013	500801
8018	43397
8019	615267
8028	30547
8029	3796
8031	218246
8042	87186
8044	67611
8061	25553
8071	293833
8074	52267
8082	10291
8083	148437
8096	47835
8097	248140
8101	53730
8117	141253
8120	298911
8143	18647
8147	197351
8148	142587
8153	10071
8160	49685
8163	147978
8170	108036
8172	163099
8184	515
8189	194830
8203	77200
8207	40512
8219	1005
8229	87592
8234	936624
8236	229704
8245	96697
8247	251967
8255	403491
8286	139053
8297	549151
8317	23380
8321	12657
8332	8302
8336	76403
8360	107362
8378	17861
8394	80652
8397	1381
8411	47512
8413	96949
8417	545979
8438	640
8441	129635
8447	232424
8450	194862
8455	189878
8458	274351
8459	252600
8462	214627
8463	378818
8465	135955
8481	33308
8489	39631
8500	7379
8510	143447
8519	11510
8526	694856
8553	100588
8557	5885
8561	611
8562	115158
8571	215589
8577	81488
8582	330193
8591	126344
8600	155465
8623	2525
8625	274005
8635	327439
8641	4830
8653	1182
8656	82088
8657	59976
8660	263
8662	116932
8663	146176
8665	189013
8673	260953
8674	149349
8675	154834
8691	280917
8698	124344
8709	1127
8710	32189
8716	272775
8731	605245
8742	110787
8745	82798
8746	189532
8751	2478
8759	485251
8761	137929
8771	166776
8775	11151
8782	17257
8789	275223
8795	18485
8805	32255
8832	168192
8833	52091
8853	189193
8885	24425
8898	21840
8919	13276
8921	26198
8950	51908
8964	73935
8965	43339
8969	14793
8986	281386
8994	39975
8999	34867
9007	11822
9012	35026
9019	233865
9020	272505
9026	160697
9027	273961
9040	258716
9043	33482
9045	112830
9052	323417
9067	541209
9079	148299
9106	641
9108	68796
9119	51889
9132	297215
9155	80919
9173	42036
9178	90520
9195	2630
9196	91945
9203	131076
9209	246479
9214	15499
9216	226103
9226	183870
9228	64075
9232	158358
9238	5417
9248	206834
9251	326689
9260	582797
9265	44225
9267	30204
9269	485568
9270	17633
9287	244812
9324	294682
9327	319653
9338	34443
9341	156926
9345	23467
9348	84148
9367	70558
9383	192031
9420	63
9449	65825
9466	23963
