geneid	dist
559	2785
564	4949
572	6920
575	7747
582	263
590	6659
594	5810
602	296
605	5102
614	3525
619	1717
624	1139
992	1358004
1005	1953313
1274	176101
1430	713846
2011	881374
2929	311
3124	662825
3911	1752319
4104	2703662
4208	4089995
4378	346642
4416	7264
4448	1674060
4475	1484041
4525	4776780
4529	4067256
4534	543826
4539	543826
4544	9983455
4546	9983455
4548	81327
4714	81327
4734	1674060
4741	2470205
4744	100
4750	1674060
4772	4089995
4827	1674060
4828	4089995
4841	4089995
4856	4718707
4867	7264
4881	5986038
4901	1456998
4919	1565577
5007	1539027
5051	881008
5059	2186944
5085	858442
5098	2031886
5143	2024364
5151	4366697
5161	1813552
5197	2748533
5198	2427838
5216	5753803
5234	2837182
5242	2255252
5249	1976105
5264	777371
5266	884689
5280	1514707
5291	5208592
5302	1888046
5305	5417620
5331	220907
5345	4788772
5362	1036836
5369	4490598
5401	2962690
5467	2473112
5468	6078857
5470	929676
5471	408550
5505	1615668
5506	2865395
5522	1444149
5546	2171888
5557	4827591
5562	5161334
5599	890106
5608	1266100
5654	2926607
5659	5128826
5670	1998318
5691	189002
5693	187778
5697	3219688
5705	2754847
5711	182509
5730	23140
5740	3611299
5748	3118342
5780	437653
5785	44211
5798	2209041
5820	965540
5837	3013964
5841	208602
5854	5034103
5877	5696959
5879	1273770
5898	759863
5901	174701
5912	1834601
5913	319970
5914	1732400
5916	4986516
5921	1150318
5930	1092394
5939	2318120
5951	721069
5977	220907
5993	2972841
6012	1121882
6050	661054
6061	1162293
6095	4740077
6101	366988
6106	3617682
6117	2947888
6120	1680583
6121	892729
6137	1115178
6144	2360929
6160	571077
6179	3513683
6195	1239957
6198	765415
6201	2962690
6204	2229973
6206	1556409
6215	1091582
6228	3594523
6230	6900814
6253	915098
6266	7322684
6267	2526432
6276	4474362
6278	4165815
6291	1060024
6304	2136488
6308	708542
6316	4436983
6329	1121882
6338	1958152
6351	1614675
6360	885755
6390	2042257
6391	1309697
6401	218736
6416	1346793
6441	5734456
6469	2028699
6470	218736
6474	4333723
6504	1599734
6514	7026296
6538	6754662
6552	645858
6567	1346282
6597	10357572
6639	89137
6658	950
6663	979536
6667	4901093
6676	173668
6689	5139020
6709	1426594
6722	3172610
6723	1062573
6731	2373218
6745	3241177
6760	1571953
6771	9257424
6784	1276267
