geneid	dist
559	2316
992	522272
1024	863
1430	9299
2011	800478
2929	461
2932	365
3150	4762
3152	365
3911	233207
3990	778318
4104	339179
4208	239976
4378	797726
4416	59581
4448	17712
4475	17653
4529	37636
4544	179522
4546	179522
4548	318797
4714	318797
4734	17712
4750	17712
4772	239976
4827	17712
4828	239976
4841	239976
4867	59581
4881	19909
4901	26568
4919	71178
5007	51867
5051	3336
5059	123089
5085	508936
5098	108374
5143	171003
5151	1110009
5197	336424
5198	635113
5216	32822
5234	377330
5242	33536
5249	121903
5264	16302
5266	9072
5280	27753
5291	123096
5302	8487
5305	23940
5357	42498
5362	366799
5369	401590
5401	251146
5467	68971
5468	137469
5470	3820
5471	239109
5493	4762
5505	541761
5506	231564
5522	167267
5546	138467
5557	1146872
5562	1025897
5599	68168
5608	404510
5654	1043794
5659	379896
5670	293151
5691	164856
5697	442626
5705	31090
5740	87291
5748	377425
5772	146516
5780	8720
5785	95408
5798	163974
5820	46160
5837	234937
5854	114067
5877	61301
5879	567703
5898	417528
5912	428602
5913	12298
5914	4383
5916	70441
5921	204399
5930	31758
5939	31427
5951	42105
5993	142516
6004	740320
6012	760607
6050	42654
6061	88356
6101	23458
6106	3292
6117	7778
6120	319167
6121	553018
6137	54917
6144	12111
6160	3803
6179	87388
6195	34549
6201	251146
6204	187124
6206	97541
6215	785425
6228	45732
6230	106665
6266	176490
6267	296838
6276	96750
6278	990715
6291	441140
6304	126856
6308	58460
6316	568944
6329	760607
6338	88125
6351	217107
6360	119873
6401	743650
6416	122273
6429	84538
6441	118143
6470	743650
6474	528107
6504	6167
6514	890407
6538	77161
6552	569192
6567	138940
6597	642081
6639	102399
6653	5604
6658	66837
6663	295432
6667	23835
6676	558829
6689	414870
6709	224741
6722	21345
6723	57013
6731	119140
6760	227774
6771	420204
6784	250400
6795	137469
6808	897107
6809	303530
6813	1337581
6816	380811
6820	1030556
6821	200486
6834	987575
6850	125391
6855	1337581
6861	743650
6863	440846
6890	24041
6891	1017
6898	182299
6902	102399
6905	581572
6913	125391
6916	48746
6917	903101
6918	178932
6920	227691
6923	169501
6931	924294
6936	39239
6938	39239
6939	575890
6942	39239
6943	1017
6946	27921
6952	211522
6953	141358
6974	168754
6986	4136
6987	1929
6988	548338
6990	338551
6997	1391103
7005	1442105
7007	262968
7013	4989
7014	93954
7045	908281
7052	1542
7058	6326
7066	366799
7084	412805
7094	39239
7108	403512
7119	168684
7144	30458
7146	39239
7148	39239
7158	351769
7162	253389
7166	466601
7176	838640
7179	139703
7183	260571
7190	5103
7222	917124
7237	38428
7258	1302783
7264	430396
7299	2331383
7301	745202
7306	154758
7327	82801
7338	494900
7346	552227
7353	133323
7380	1017
7385	271371
7411	145706
7425	102414
7426	247537
7428	64492
7430	119436
7435	39239
7443	389711
7455	214568
7461	207959
7462	1949
7496	159613
7498	104068
7499	897491
7503	112843
7511	16137
7525	785410
7536	852350
7540	260902
7546	486408
7580	962890
7583	600801
7590	528419
7595	87672
7611	829935
7637	66833
7648	695753
7649	12653
7659	91753
7688	533732
7692	289252
7701	3813
7709	374974
7714	72724
7719	349483
7733	165799
7734	39239
7738	87226
7739	477549
7741	195904
7760	160704
7761	198389
7773	132821
7776	305818
7777	110471
7791	293579
7808	743650
7816	200623
7829	334709
7832	24563
7834	586513
7854	331568
7882	436785
7883	2200
7887	919346
7900	385768
7907	125391
7918	625346
7919	316100
7923	1475117
7926	182980
7931	319232
7933	279984
7937	834005
7938	346963
7983	214017
7987	761135
7988	125391
7993	204923
8002	125391
8006	478269
8007	271371
8013	10046
8018	403474
8019	49734
8031	32280
8042	82186
8044	221333
8071	32173
8074	105091
8082	186300
8083	292995
8096	13305
8097	170696
8101	282292
8117	388539
8120	57207
8148	441659
8153	182814
8160	15005
8163	257130
8170	735275
8172	273687
8189	277029
8203	96006
8207	177008
8219	236505
8229	39239
8234	225438
8236	18292
8245	337944
8247	140716
8255	3167
8286	56277
8297	28730
8312	600940
8321	343639
8336	3820
8338	37383
8360	116178
8378	293172
8394	853313
8397	335021
8411	118693
8413	265893
8415	58190
8417	10991
8430	10574
8431	360485
8438	119436
8441	45838
8447	49572
8450	234142
8455	262039
8458	201345
8459	542380
8462	140149
8463	111794
8465	19112
8481	747030
8488	41135
8489	823462
8500	587988
8505	1073
8510	517687
8519	51867
8526	620784
8547	98494
8553	193760
8561	611
8563	66068
8571	258323
8577	162098
8579	171844
8582	104559
