geneid	dist
559	4582
564	5837
572	7782
575	8357
582	7433
590	6750
594	5895
605	5187
614	3589
619	1748
624	1137
992	132585
1024	999647
1430	4711154
2011	131141
3855	261158
3911	1348827
4202	261158
4208	2523820
4275	261158
4374	261158
4378	305808
4448	28176
4475	78234
4513	261158
4676	971669
4716	69299
4717	261158
4734	28176
4747	261158
4750	28176
4772	2523820
4827	28176
4828	2523820
4841	2523820
4857	159466
4901	121535
4919	197625
5051	1923016
5059	10166
5085	970603
5098	557761
5143	20332
5151	2044567
5161	24236
5197	52639
5198	209933
5216	2602076
5249	248613
5264	68889
5266	483456
5291	75425
5302	125830
5305	58045
5357	29498
5362	1940857
5401	1533404
5467	829796
5470	260888
5471	1821481
5505	749535
5506	396179
5522	511695
5546	1846778
5562	2010971
5599	413385
5608	540323
5654	173287
5670	23952
5691	1389484
5697	2067207
5705	26724
5740	1726481
5748	146252
5780	29838
5785	646023
5798	1841893
5820	783848
5837	69860
5854	45055
5877	926597
5879	2144561
5898	147672
5912	57337
5913	2211
5914	481722
5916	251170
5921	1401733
5930	2511589
5939	2278492
5951	7684
5993	690103
6004	1520755
6012	174816
6050	1797141
6054	182821
6061	116561
6095	1749573
6101	370138
6106	3116615
6117	889473
6120	1572636
6121	778707
6144	279986
6160	159043
6179	3147746
6195	794990
6198	7354
6201	1533404
6204	1202873
6206	508126
6228	3120316
6230	181321
6267	443484
6276	37916
6278	36211
6291	151492
6304	1399901
6308	173486
6316	108526
6329	174816
6338	2957532
6351	63253
6360	214119
6390	2638520
6391	458162
6401	323677
6416	6964
6429	260010
6441	3439222
6469	19429
6470	323677
6474	2077526
6504	801637
6514	22332
6538	116590
6552	2480875
6567	1237523
6597	243191
6653	836336
6658	6994
6663	727884
6676	25070
6689	2298680
6709	167857
6722	2349636
6723	1193203
6731	20117
6745	586901
6760	2205761
6771	1806234
6784	133064
6808	1992586
6809	2008071
6816	1924179
6820	218010
6821	1092860
6834	471179
6839	144321
6847	35332
6861	323677
6890	294249
6916	129123
6918	7718
6920	712364
6923	3079556
6931	508350
6939	252417
6946	284111
6952	1652308
6953	1802624
6974	1176101
6986	2506624
6987	148215
6988	13593
6997	530075
7005	28657
7007	108607
7013	1657
7014	80615
7045	146642
7052	1504
7058	52423
7066	1940857
7084	3371812
7098	2921224
7108	556972
7119	50656
7144	2269544
7158	236141
7166	97459
7176	1616
7179	1965793
7183	904784
7190	3009321
7222	208245
7237	149722
7258	920567
7264	4360162
7299	126576
7301	26516
7306	38646
7312	35332
7327	8717
7333	199907
7338	59621
7346	620466
7353	1040189
7385	1123825
7411	951822
7425	2245396
7426	561176
7428	99213
7430	1705489
7443	1680483
7455	399804
7462	179913
7469	199907
