geneid	dist
992	2593
2011	16570
4104	40635
4208	11509
4378	158675
4475	133037
4716	707
4772	11509
4828	11509
4841	11509
4881	23891
5051	6950
5059	56985
5085	143224
5098	77666
5143	3388
5151	26328
5161	34518
5197	5012
5198	14017
5216	38040
5234	105528
5242	11771
5249	18626
5264	30165
5266	5850
5280	23898
5291	24015
5302	6112
5331	32810
5345	8076
5362	47145
5369	23091
5401	6801
5467	30655
5470	62446
5471	77562
5505	5942
5506	60733
5522	70450
5546	64078
5557	38704
5562	116357
5597	179072
5599	50790
5608	147153
5631	56581
5654	9207
5659	45994
5670	14466
5691	29693
5705	110812
5730	324638
5740	259378
5748	34897
5772	380
5780	119943
5785	34195
5798	93912
5820	61555
5837	24838
5841	90251
5843	91819
5854	155469
5874	25070
5877	71702
5879	105963
5895	767
5898	165284
5904	254
5913	19879
5914	1920
5916	112302
5921	108735
5930	66922
5939	122999
5951	70349
5977	32810
5993	161563
6004	51091
6012	6645
6050	60771
6054	31842
6061	16040
6095	86188
6101	29711
6106	240409
6117	3532
6120	3204
6121	17202
6138	119902
6144	152030
6160	5301
6179	179899
6195	22251
6198	644
6201	6801
6204	107502
6206	144916
6228	228850
6230	80556
6253	802
6266	228301
6267	176051
6276	745711
6278	10530
6287	515
6290	9555
6291	108231
6295	25070
6304	55106
6316	51902
6329	6645
6338	5598
6351	197878
6360	108453
6390	151251
6401	9678
6416	22240
6441	54286
6469	106101
6470	9678
6474	93515
6504	140973
6514	893
6538	102290
6552	161297
6567	419238
6597	118542
6653	23097
6658	941
6663	9901
6667	46144
6676	56753
6689	353265
6709	8613
6722	14870
6723	29480
6731	75094
6745	91252
6760	119533
6764	273370
6771	52253
6784	23802
6808	146429
6809	9461
6813	34702
6816	10207
6820	151573
6821	95225
6826	2379
6834	105788
6847	8455
6850	1885
6855	34702
6861	9678
6863	94947
6890	3042
6898	58195
6905	37692
6913	1885
6916	34092
6917	155782
6918	28160
6920	27552
6923	150056
6926	7118
6939	139159
6946	14064
6952	29939
6953	168628
6974	30956
6986	9318
6987	54087
6988	15402
6990	42408
6997	244637
7005	78142
7007	52030
7014	62017
7045	55946
7057	12084
7058	154298
7066	47145
7084	8461
7098	9826
