geneid	dist
631	18251
1430	10077
2929	442
4208	9188
4475	34603
4772	9188
4828	9188
4841	9188
4881	7831
5007	1023
5059	62151
5085	84929
5098	84250
5151	32873
5161	71046
5198	13796
5216	42782
5234	110308
5242	21915
5249	16470
5264	17186
5266	10053
5280	18214
5291	24156
5302	6278
5305	2406
5331	18036
5357	19378
5362	25678
5369	21399
5401	6027
5467	27074
5470	15271
5471	45244
5505	8322
5506	33456
5522	30293
5546	2850
5562	73742
5599	41347
5670	13017
5691	34007
5697	1004
5705	83121
5730	191
5748	25095
5780	33221
5785	31260
5798	19623
5820	26662
5841	674
5843	34726
5854	32799
5874	404
5877	8942
5898	107668
5913	410
5914	2048
5916	31632
5921	62847
5930	32675
5939	34047
5951	24462
5977	18036
5993	99666
6012	5830
6050	15384
6054	1220
6061	18255
6095	47524
6101	37600
6106	20904
6117	4795
6120	22219
6121	41177
6137	1778
6138	28683
6144	8341
6179	76667
6195	14464
6198	467
6201	6027
6204	10309
6215	7418
6228	27165
6230	43926
6266	85012
6267	84978
6276	175085
6287	525
6290	659
6291	35761
6295	404
6304	42696
6308	21762
6316	61338
6329	5830
6338	308
6351	120160
6360	34343
6390	62241
6441	506
6552	71284
6567	177366
6597	126551
6667	19933
6689	141167
6709	5884
6722	776
6723	41432
6731	42382
6745	746
6760	21289
6764	401
6784	16585
6808	161399
6809	9230
6813	8425
6821	50366
6826	2821
6834	2353
6847	4866
6855	8425
6863	47862
6890	16538
6898	13231
6905	37878
6916	24663
6917	57630
6920	7580
6923	80138
6939	84514
6946	18144
6952	36215
6953	26181
6974	22506
6986	8463
6988	13871
6990	46379
7007	34694
7057	1741
7058	138578
7066	25678
7098	7198
7108	44805
7111	3470
7114	422
7119	5589
7144	15825
7151	1627
7158	5981
7166	60701
7179	18992
7183	11830
7190	800
7222	3017
7237	24414
7258	46530
7264	97016
7301	32769
7312	4866
7327	56938
7333	230
7338	28285
7346	13927
7353	255746
7411	20104
7425	65331
7428	6818
7443	61130
7455	4533
7461	16273
7496	24400
7498	35930
7499	54009
7503	23978
7525	17132
7536	149469
7540	10875
7546	32744
7580	11270
7583	4628
7590	45280
7606	1419
7611	61233
7621	10704
7637	48485
7648	93575
7675	2489
7688	9579
7692	2625
7701	6240
7714	710
7733	14846
7739	26528
7741	9138
7760	68760
7761	22641
7777	62967
7791	45726
7816	1927
7829	996
7832	12504
7834	7785
7854	25497
7882	24381
7883	5514
7887	25464
7918	50382
7923	14358
7926	30782
7931	7165
7933	68051
7938	211227
7987	46505
8013	605
8018	61105
8019	37041
8028	29261
8031	16528
8042	13122
8044	15165
8071	47228
8074	17877
8082	60957
8083	34516
8090	1889
8096	13467
8097	15569
8101	23683
8117	91205
8120	41583
8143	12642
8148	4209
8153	6464
8160	43912
8163	20247
8164	10071
8170	60439
8172	159747
8184	404
8189	26579
8203	48799
8207	79659
8234	25441
8236	33212
8244	4261
8245	14229
8247	11184
8255	259093
8286	11343
8297	32438
8332	5902
8336	15271
8338	933
8360	1364
8394	50442
8411	20614
8413	20003
8417	16178
8431	26059
8441	25465
8447	21761
8450	7025
8455	67284
8458	142479
8459	76150
8462	89958
8463	77428
8481	22291
8489	26520
8500	6757
8505	569
8510	12754
8519	1023
8526	26383
8553	26266
8557	5563
8561	374
8562	34525
8571	144111
8577	28462
8579	6969
8582	8912
8623	3009
8641	14435
8656	39846
8657	11180
8662	85113
8665	422
8673	10060
8675	35935
8691	31113
8698	48665
8709	1127
8710	34779
8716	181823
8730	7969
8742	33817
8745	2603
8746	21631
8768	29714
8771	1524
8775	10789
8782	34603
8789	60479
8792	63230
8795	10008
8796	476
8805	74364
8827	7969
8832	121804
8833	25257
8853	16499
8862	7969
8885	32237
8898	19155
8921	135906
8928	3320
8965	41201
8986	8102
8999	18558
9007	12945
9012	27111
9019	24426
9026	319174
9045	93313
9077	14482
9079	22786
9106	9138
9119	12522
9132	55911
9173	54027
9178	46347
9203	1857
9209	39310
9226	16884
9232	15551
9248	56914
9251	23752
9260	9957
9265	24479
9269	34170
9270	13125
9287	15907
9291	10019
9299	22199
9324	11906
9327	5352
9338	30666
9341	40034
9345	37182
9348	21180
9367	53358
9420	64
9449	28256
9466	13214
9474	144111
9485	4313
9495	3588
9504	22676
9519	19429
9534	6800
9539	434
9575	18660
9577	12223
9578	21056
9583	53689
9587	11046
9588	10039
9600	2480
9602	5972
9603	5551
9617	69093
9621	20443
9625	63142
9633	43144
9636	12448
9638	23291
9648	27626
9652	10680
9655	7284
9657	21045
9668	20629
9670	46711
9683	5909
9716	43730
9718	12538
9721	24096
9722	204906
9725	19395
9729	58404
9735	1204
9745	15572
9748	16106
9752	8639
9759	18708
9770	20408
9772	8474
9774	1788
9779	11491
9790	41783
9794	61664
9806	82957
9811	40224
9851	21085
9852	17368
9864	166037
9878	87860
9897	20067
9902	23412
9933	9022
9944	34889
9950	32985
9951	59623
9954	5252
9960	36467
9963	1848
9986	27451
9990	33800
10007	13551
10018	797
10026	38517
10052	137
10054	37811
10070	20974
10075	33066
10076	2856
10086	4795
10088	79608
10091	37258
10107	12376
10112	55388
10121	95214
10122	50366
10127	107931
10128	77428
10133	19656
10167	37601
10171	15542
10187	53307
10195	434
10205	182410
10206	11718
10212	28588
10228	34693
10233	18613
10245	9886
10254	23452
10262	12019
10264	32732
10269	15138
10286	75692
10287	5260
10296	30506
10306	44213
10307	35268
10317	6440
10322	2303
10323	8132
10324	8855
10331	67212
10335	31479
10336	92724
10347	18244
10350	18190
10356	15602
10359	16795
10363	1346
10393	4783
10406	124692
10410	33689
10415	5139
10437	5440
10444	22924
10447	545
10479	11591
10516	92
10540	12869
10607	624
10633	6251
10672	40076
10684	93002
10685	5884
10702	830
10713	1424
10716	89107
10727	23289
10739	46852
10743	28201
10765	14920
10766	905
10771	14446
10772	110677
10774	11521
10806	1571
10819	3973
10833	11216
10845	13003
10872	18890
10891	899
10900	46370
10906	1980
10908	70313
10913	20796
10918	12688
10919	12905
10925	55918
10935	42360
10936	37972
10967	71075
10969	90225
10980	7867
11011	9283
11023	3704
11053	8321
11055	8136
11060	9785
11067	35842
11077	20504
11089	36686
11093	2454
11101	16360
11109	9441
11114	71433
11124	63589
11129	371
11131	63230
11141	16326
11169	13568
11172	74768
11173	31051
11177	4148
11183	8136
11188	48564
11197	26258
11209	6138
11214	17668
11226	31526
11228	4932
11236	2949
11237	26462
11243	45298
11257	32057
11263	21168
11289	3824
11297	21192
11299	28059
11301	14847
11305	5876
11310	16316
11320	7877
11322	93369
11329	2708
11331	28976
11332	25073
11335	9920
11344	51895
11349	14976
11366	39856
11371	8835
11374	5538
11379	75372
11400	13896
11414	41824
11417	22426
11418	25876
11432	5953
11433	33356
11436	20976
11463	989
11464	54941
11465	12800
11474	263
11481	43892
11482	31388
11484	6303
11490	115320
11493	88006
11498	5250
11499	5193
11500	54543
11503	545
11505	3433
11511	13500
11525	917
11528	35428
11542	8227
11544	27010
11547	5919
11548	245233
11555	11986
11564	13342
11574	9687
11575	1135
11579	167380
11585	44129
11614	30452
11617	3824
11619	60408
11627	31821
11628	31247
11638	7246
11643	9641
11646	7409
11647	7548
11650	7409
11654	2049
11657	7409
11670	35477
11673	52026
11679	22756
11683	31756
11685	476
11691	36248
11694	45449
11695	208578
11704	46760
11713	126499
11728	121123
11734	21659
11739	70391
11741	2949
11743	13810
11744	181420
11747	33995
11765	11789
11775	53732
11778	3253
11786	29185
11789	12365
11801	21279
11805	25563
11810	123717
11812	24176
11826	25563
11842	43582
11847	5724
11869	31396
11890	5324
11897	26047
11908	3019
11911	22752
11912	761
11913	55427
11917	10613
11922	42296
11924	212253
11935	20823
11938	69375
11944	26087
11946	57432
11954	6097
11963	6868
11964	50863
11987	70277
12003	13916
12011	29719
12013	4850
12016	99551
12019	127972
12020	7234
12024	71086
12025	1468
12037	37791
12038	42482
12039	23285
12045	18544
12046	10316
12047	86903
12048	124144
12049	20809
12050	38070
12060	43930
12064	40225
12087	61126
12088	6761
12090	12346
12111	25649
12116	5968
12131	27056
12136	46778
12137	21662
12146	69059
12157	47811
12166	14229
12222	13597
12269	2701
12275	1265
12293	101359
12305	452
12325	31432
12331	7409
12334	12298
12341	45421
12350	57204
12354	33896
12370	8428
12373	6331
12379	2145
12384	24157
12387	34370
12389	52682
12395	5129
12402	1067
12404	1941
12421	1941
12426	5672
12428	7675
12429	7675
12430	7675
12431	16050
12452	1931
12459	8306
12464	93766
12473	9968
12478	9983
12479	53206
12484	26019
12491	7077
12498	48952
12500	18504
12502	44102
12515	7071
12531	94567
12534	20081
12536	20637
12553	12326
12556	20248
12570	65090
12573	19918
12575	84603
12576	1013
12583	11824
12589	1977
12595	30037
12602	6320
12610	1408
12618	3324
12619	26082
12624	8078
12637	47535
12646	25000
12660	13591
12670	36030
12672	55529
12682	26743
12683	32326
12686	24282
12688	10279
12690	25090
12698	471
12701	9730
12707	14509
12711	53531
12717	45724
12720	338
12741	7409
12762	37733
12766	12422
12767	46636
12778	248
12790	25399
12805	24288
12810	45035
12812	52179
12817	23409
12822	12722
12829	46948
12835	2564
12845	3368
12847	112730
12852	144845
12863	8322
12866	63092
12873	3778
12877	35137
12891	55410
12895	18079
12898	36746
12899	8444
12900	18958
12905	57774
12907	6027
12921	16811
12925	74831
12934	30415
12936	15654
12947	4605
12949	143874
12950	3240
12955	16488
12957	806
12958	52726
12973	38321
12975	19884
12977	31881
12992	64406
12995	20068
13021	11523
13023	69081
13026	59076
13029	31209
13042	15215
13048	86602
13059	45494
13063	55096
13070	3042
13071	46773
13075	53582
13086	5137
13088	2392
13097	130498
13098	38266
13115	46126
13126	25134
13137	101090
13140	49077
13142	14242
13148	64222
13157	186922
13161	3673
13167	11857
13172	45719
13177	25105
13189	103505
13192	24430
13199	44148
13206	18447
13244	32455
13246	437
13247	952
13251	1711
13253	12345
13256	49373
13258	1067
13277	24074
13278	21384
13279	16988
13295	10726
13304	11459
13315	51640
13316	36436
13336	13681
13338	64966
13361	701
13365	341
13375	5125
13382	12633
13383	20653
13389	98321
13392	698
13419	1153
13427	3717
13430	68867
13432	36319
13441	26000
13442	44776
13459	93977
13471	45727
13478	5647
13490	105578
13498	21947
13500	3813
13503	12378
13510	11569
13511	41117
13519	12859
13523	98931
13525	230673
13526	8463
13532	43779
13533	7765
13539	4632
13542	43100
13567	323
13587	11157
13593	14944
13619	55228
13654	2966
13671	1043
13674	1853
13686	4871
13695	38081
13697	84016
13714	20799
13715	17039
13718	12122
13721	31967
13729	45494
13745	19166
13747	6169
13778	34837
13785	16468
13808	24191
13811	139302
13828	20376
13830	12289
13831	7543
13834	16588
13835	14538
13842	1681
13843	17884
13857	785
13861	55235
13876	32983
13877	653
13885	24811
13896	68098
13898	59000
13901	7552
13906	1210
13909	36349
13910	2963
