geneid	dist
559	19294961
992	15030617
1024	15065576
1430	31490305
1711	21553013
1712	21553013
2011	35518685
2735	7947644
3361	7947644
3911	17153893
3990	25058571
4104	30924059
4208	21258007
4378	5041091
4416	86844
4448	69143913
4475	32680762
4544	116144
4546	116144
4548	17230186
4714	17230186
4734	69143913
4750	69143913
4772	21258007
4827	69143913
4828	21258007
4841	21258007
4867	86844
4881	23357063
4901	17002370
4919	15959916
5007	28920057
5051	19199508
5085	19191799
5098	17248145
5143	17953139
5151	20453687
5161	18094311
5197	15320792
5198	20919364
5216	21541249
5234	4307850
5242	17311915
5249	17968009
5264	9369168
5266	24288167
5280	18229993
5291	21687148
5302	44691411
5305	21625368
5357	29356003
5362	19267159
5369	21789903
5401	15265209
5467	29385219
5468	10546836
5470	4040321
5471	27598249
5505	14782312
5506	17673257
5522	49078444
5546	8480176
5557	20614011
5562	20754633
5599	27757210
5608	49008030
5654	16227197
5659	84233050
5670	26369363
5691	30307533
5697	20129383
5705	29316531
5740	9488315
5748	20097150
5780	6997432
5785	24875253
5798	8501200
5820	48900764
5837	15256210
5843	7408112
5854	10087172
5877	10368501
5879	85856652
5898	30229714
5913	20215267
5914	49214179
5916	9993179
5921	27911070
5930	49846034
5939	85418537
5951	27689165
5993	47665828
6004	25905080
6012	29820837
6050	27666390
6054	10338772
6061	11407622
6095	9228639
6101	30636181
6106	40718385
6117	35096077
6120	25651275
6121	48875200
6144	22597048
6160	31349569
6179	40877246
6195	24223016
6198	51085423
6201	15265209
6204	8514771
6206	49159657
6215	29830604
6228	40733005
6230	43206513
6266	39286886
6267	5596455
6276	68456722
6278	20380690
6291	9656152
6304	8475898
6308	31323802
6316	21865146
6329	29820837
6338	17969855
6351	7280577
6360	31273890
6401	10376248
6416	24172000
6429	24857132
6441	83962922
6470	10376248
6474	9714833
6504	25559010
6514	83398513
6538	44264037
6552	41863223
6567	8830072
6597	5335106
6658	44135566
6663	25287887
6667	9966190
6676	10285674
6689	40339456
6709	14591244
6722	40915942
6723	49861594
6731	17377489
6760	85654236
6771	8919839
6795	10546836
6808	20857871
6809	84264482
6813	1188457
6816	3191523
6820	1090937
6821	15236114
6834	1077610
6850	9850237
6855	1188457
6861	10376248
6863	9324936
6890	4087807
6898	11968962
6905	5327414
6913	9850237
6916	11386135
6917	6456300
6918	9916187
6920	11907855
6923	51088927
6931	808280
6936	9852404
6938	9852404
6939	2171684
6942	9852404
6946	22948535
6952	9656193
6953	14360218
6974	51041236
6986	4837765
6987	43294117
6988	6222045
6990	50954717
6997	8054024
7005	1220860
7007	42847353
7013	9662052
7014	47035
7045	1070787
7058	10247860
7066	19267159
7084	3115002
7094	9852404
7104	50784128
7108	3522648
7119	6939987
7144	85541583
7146	9852404
7148	9852404
7158	25660892
7162	9879617
7166	1112469
7176	768756
7179	1418428
7183	2176250
7190	31470376
7222	51634689
7237	14009860
7258	46861516
7264	8902141
7299	2195018
7301	6340095
7306	5588391
7327	14599676
7338	7323327
7346	13029254
7353	34590062
7411	11076706
7425	85634793
7426	13324589
7428	13553806
7430	13233090
7435	9852404
7443	84108966
7455	237598
7461	14143164
7462	7655957
7496	14399039
7498	33567239
7499	12888116
7503	42921116
7511	13687605
7525	20253166
7536	42063325
7540	11893995
7546	1316692
7580	12831478
7583	13219213
7590	5294964
7611	765002
7637	12046558
7648	3481404
7649	13230
7659	8673009
7688	1445552
7692	1077457
7701	12458614
7709	13260709
7714	11430123
7719	13276755
7733	12143081
7734	9852404
7738	12478702
7739	8922523
7741	10257216
7760	83854435
7761	31185912
7773	24406967
7776	11861256
7777	19988295
7791	4249335
7808	10376248
7816	2956041
7829	51129515
7832	21309379
7834	986251
7854	11832505
7882	51283865
7883	13046370
7887	12865612
7907	9850237
7918	12016990
7919	2577046
7923	1231909
7926	2982619
7931	4599133
7933	50817013
7937	1055908
7938	566290
7983	14198817
7987	43795517
7988	9850237
7993	11123722
8002	9850237
8006	26300853
8013	14256188
8018	4296007
8019	29171426
8031	8614193
8042	68020141
8044	13042053
8071	28739246
8074	4933793
8082	36723254
8083	11878767
8096	821004
8097	83966264
8101	51101224
8117	7248220
8120	19533886
8147	640893
8148	31228587
8153	61246
8160	27779664
8163	11156927
8164	47535987
8170	48107722
8172	51439584
8189	3034366
8203	10840860
8207	11802654
8219	13025644
8229	9852404
8236	47698158
8244	471153
8245	12988470
8247	13828996
8255	557675
8286	1175608
8297	40759403
8312	3492974
8321	2948707
8336	4040321
8360	14165991
8378	13511012
8394	25977419
8397	4250244
8411	45208
8413	808053
8417	12567951
8430	35599583
8431	26348995
8438	13233090
8441	22025
8447	34010598
8455	32057703
8459	2681146
8462	48844758
8463	10951300
8465	12826032
8481	31742162
8488	179997
8489	6499424
8500	276260
8505	34954604
8519	28920057
8526	22740149
8547	35002965
8553	2245299
8561	69902195
8562	6167
8563	34875856
8571	1399115
8577	2290782
8579	35940380
8582	33358507
8600	4504444
8623	46888104
8625	1971607
8635	37935205
8636	34685871
8641	30576173
8656	31361949
8657	23970
8663	5071559
8665	13315640
8673	48564
8674	12748478
8675	12851633
8677	34994897
8691	31873371
8698	51642597
8702	35133031
8709	12299962
8710	83892982
8716	31649042
8723	30526422
8730	17857878
8742	10111782
8745	27848851
8746	307696
8751	13445208
8759	34182400
8761	15963710
8768	2007459
8771	2613632
8782	32680762
8789	7440583
8792	26391478
8795	8444674
8796	21242560
8805	477643
8827	17857878
8832	47726499
8833	1116709
8862	17857878
8885	43773578
8898	43752128
8919	797278
8921	51726542
8928	3046926
8950	10077418
8964	18175911
8965	44429745
8974	18697627
8986	32871636
8999	2988226
9007	1078162
9012	47347966
9019	3127533
9020	25728694
9026	46195405
9027	5319602
9040	34158029
9043	27216652
9045	47144000
9047	2210451
9052	25758923
9067	33170270
9077	24733970
9079	446172
9094	12696247
9095	1389815
9106	10257216
9108	45507075
9119	27829895
9132	12367817
9155	25044199
9173	83974919
9178	3244843
9209	7578977
9214	14564447
9216	8140787
9226	30997
9228	527380
9232	47930669
9238	348822
9248	26719072
9251	562512
9260	5664288
9265	27643119
9267	19103555
9269	59287526
9270	3904225
9287	15290992
9288	24378744
9291	34895360
9317	45677160
9327	24330582
9338	43135704
9341	5887700
9345	11069211
9348	47901558
9367	5563899
9383	24598452
9408	21529464
9410	24078230
9414	3684148
9415	3719026
9442	29155173
9448	30688386
9449	13983361
9466	6325619
9474	1399115
9485	1136558
9495	14012572
9504	6247739
9513	640893
9519	43586289
9534	13637921
9539	11299383
9541	339692
9578	51526209
9583	10788970
9587	43519811
9588	59595
9600	43079977
9602	45707679
9603	404808
9617	82572292
9621	9537396
9625	578294
9633	2992287
9636	11791257
9638	43652627
9648	8301984
9652	3731309
9655	25622310
9657	43110942
9661	9557173
9668	45039594
9670	3438979
9678	9557173
9683	13276018
9692	32691743
9716	47074247
9718	43838185
9721	11381922
9722	2560332
9725	84492942
9729	3854876
9732	43475802
9735	70426635
9741	9192508
9744	49091900
9745	5833849
9748	43831494
9758	33687647
9759	18061624
9770	18269182
9772	31896657
9774	16677973
9779	6957564
9790	81176860
9793	26926567
9794	5762601
9798	797278
9806	2828548
9808	13283585
9810	2168066
9811	28011875
9813	34198690
9821	59517497
9827	797278
9851	47917083
9852	12921436
9853	25684307
9864	50643120
9870	7011612
9878	5448180
9880	11817964
9902	11581547
9922	13848163
9930	50683653
9944	14920841
9950	70104096
9951	44262803
9954	5158462
9960	13217439
9961	15046389
9986	116683
9990	83950909
9994	31025953
10007	31270092
10008	42726
10018	403959
10021	8385143
10026	43324366
10037	344209
10052	7062816
10054	43627854
10061	11173593
10070	83901221
10071	32586194
10075	3702495
10076	43866163
10079	15176814
10086	35096077
10088	49562273
10091	16691
10107	21413847
10112	44043748
10121	5833526
10122	15236114
10123	3091770
10127	84153915
10128	10951300
10133	82213237
10134	26095870
10143	27006659
10145	15256210
10156	59559754
10167	11945253
10171	3522648
10172	25536861
10187	43311691
10203	20551011
10204	27611141
10205	51000918
10206	6291664
10212	43817256
10213	33231990
10233	3038622
10236	604055
10245	36094391
10254	18327415
10262	5848864
10264	13940491
10269	24303012
10276	20950804
10282	66616
10286	49846160
10287	6200143
10296	3723148
10298	164054
10306	20654437
10307	5612977
10317	59491639
10322	67972861
10323	613740
10324	47328802
10326	65944
10331	51574196
10335	46696161
10336	5783769
10341	23414633
10347	26038161
10350	62888109
10356	14485996
10357	26853004
10363	50815125
10374	60888324
10376	14564447
10405	23389187
10406	47342597
10410	16078839
10436	17246993
10444	30517123
10447	47572417
10462	24190970
10472	79456238
10479	7043259
10488	20302555
10489	20303072
10540	20923490
10561	1914047
10566	57800859
10567	34718657
10607	36129314
10610	49406383
10612	49406702
10613	49406833
10614	49406952
10627	13188994
10633	36132327
10664	14618990
10665	139415
10670	38263
10672	3665350
10685	14591244
10694	28203271
10702	192658
10704	797278
10713	27493407
10716	6712075
10718	27485598
10722	27463764
10727	11292366
10739	26986255
10743	37259717
10765	37796920
10766	59557460
10771	9942553
10772	36857409
10806	9966449
10814	4616915
10819	37029774
10833	60818208
10838	19027554
10844	4619212
10845	33016761
10872	37007486
10875	65944
10879	65944
10882	164145
10891	36069887
10900	33497105
10907	36693348
10908	36503775
10912	23649755
10914	26953945
10918	60499812
10919	19875275
10925	39626969
10928	11600310
10935	46473499
10936	25938415
10938	18661787
10951	13722689
10967	33225860
10969	51547457
10980	7504052
10983	11172269
10997	26864781
10998	19199508
11004	13341797
11009	22203380
11011	9413859
11015	22273030
11021	21126858
11031	14421066
11032	25160788
11036	545615
11038	722859
11040	47990754
11048	24497039
11053	24572794
11056	11017049
11060	14431220
11061	96457
11067	44414200
11069	8951586
11075	7267608
11077	7033692
11089	24605343
11093	6894236
11099	15773258
11101	539106
11102	4970718
11106	10689790
11109	11745188
11114	4060671
11120	5958837
11123	262490
11124	63035211
11125	6263811
11129	10527515
11131	26391478
11140	5765311
11141	63723
11163	6777070
11167	4067126
11172	9623341
11173	7889143
11177	5584264
11188	10970238
11193	18294486
11195	6579124
11197	6732644
11209	5257910
11214	12179351
11216	233971
11217	5986603
11225	13723386
11226	16246920
11228	5530287
11233	6900437
11236	39309630
11237	7868407
11242	18719910
11249	16826673
11257	80631097
11263	37778417
11289	120776
11291	17299540
11297	34129627
11299	39524399
11301	14569656
11306	26614356
11310	2692002
11311	26555629
11320	12652092
11322	69806201
11326	1481547
11329	14315345
11331	31395936
11335	2736322
11343	36069838
11344	955640
11349	12705166
11351	797278
11363	182895
11366	36187417
11371	4843049
11374	38133968
11378	6122199
11379	12762398
11386	27932291
11395	85624
11396	6865279
11399	1370538
11400	37089337
11405	65944
11410	4136278
11414	40912265
11415	132387
11417	3140738
11419	6116988
11425	4952178
11433	41505777
11436	5938943
11445	20623248
11458	13754339
11459	15959340
11463	7872556
11464	41605386
11465	17271219
11481	31110615
11482	6384533
11484	24467397
11486	1465664
11487	19346781
11490	36446281
11491	1461577
11493	25053764
11498	297463
11499	12715517
11500	42612579
11503	7231806
11504	5133211
11505	31609985
11507	1491402
11513	1353503
11518	31986184
11524	579050
11527	1577979
11528	12823260
11529	1516894
11542	13021464
11543	4249251
11544	12984962
11546	19054734
11547	43874541
11548	13203818
11561	18439310
11564	16513589
11574	20934493
11575	39296764
11579	4631052
11582	20311556
11585	14133757
11590	1475010
11591	6722399
11592	65944
11614	28936625
11617	6617468
11619	13700171
11620	36274282
11625	1289367
11627	6405982
11628	28908095
11636	37476528
11638	17990524
11643	20017359
11646	2214844
11647	10909049
11650	2214844
11652	35238115
11653	13867949
11656	1834866
11657	2214844
11659	35275777
11661	29059908
11670	15875853
11671	14182240
11679	20899704
11680	31205606
11685	5572306
11691	66703720
11694	4476016
11695	50107571
11696	36538625
11704	79369243
11713	40868864
11716	33244670
11724	65944
11726	36205731
11727	13298416
11728	60220003
11732	14197244
11734	14230720
11739	49230197
11741	39309630
11744	5774730
11747	14253999
11765	59435287
11775	31191160
11780	19352582
11783	39672968
11786	40391485
11787	18528912
11788	35051198
11789	49145760
11800	13251962
11801	21476528
11805	49131455
11807	4627536
11810	401989
11812	7056095
11821	710556
11826	49131455
11827	34981736
11829	14268137
11831	14160142
11832	14312076
11842	43403201
11847	27404472
11856	34167395
11873	13172759
11893	17351278
11897	14379965
11900	31380158
11908	28247760
11911	28242006
11912	31055339
11913	10018883
11922	404756
11924	29794802
11935	59462034
11938	28167840
11940	31240958
11946	18918315
11948	7855218
11954	7306524
11963	15293637
11964	43708817
11969	61578702
11987	7753000
12003	18019501
12008	5693895
12011	85569966
12013	4102408
12016	24160203
12019	475075
12020	31520115
12024	80886133
12025	12717382
12027	6522017
12035	1518918
12037	8271472
12038	15229440
12039	3114204
12041	1509093
12044	1652942
12045	47380024
12046	5710937
12047	30810285
12048	424443
12049	2189718
12050	20373779
12054	59885969
12060	484948
12064	47864238
12069	1130913
12073	7855218
12083	35872743
12087	417524
12088	84529814
12091	19332032
12092	18740698
12095	1903157
12100	1584312
12103	17221631
12106	10617212
12109	6908196
12111	4018563
12116	700587
12125	16778848
12131	585790
12136	31536445
12137	16932426
12146	29307209
12157	51564387
12163	51591409
12166	12988470
12210	586279
12211	48472365
12212	48469235
12222	24621
12268	67922989
12269	31689945
12275	2785043
12293	40198791
12294	586279
12305	28205616
12316	4077813
12325	28278071
12327	16377775
12331	2214844
12334	31240598
12341	2659297
12345	35041045
12350	11690608
12351	4613874
12354	5123110
12370	15749316
12373	37244
12379	30044254
12383	18044077
12384	2590527
12387	41931016
12388	1611494
12389	29323260
