geneid	dist
559	3703
564	4963
572	6895
575	7722
579	7517
582	263
590	6676
594	5822
602	296
605	5117
614	3541
619	1734
624	1138
631	26958
636	153
992	429896
1005	62659649
1024	53653037
1274	66627519
1430	67519199
1711	152
1712	152
2011	43610692
2932	859
3124	315864
3152	859
3159	510
4378	28004293
4475	39822525
4716	29708663
5007	16484395
5051	40861434
5059	45034067
5085	41037517
5098	45239808
5143	43536558
5151	636672
5161	43330454
5198	815002
5216	702322
5234	17486770
5242	44947848
5249	43479936
5264	15714366
5266	639466
5280	43084491
5291	1085161
5302	1052694
5331	909413
5345	993079
5362	40843640
5369	1606491
5467	50138548
5468	1189605
5470	18377813
5471	2670641
5505	1243
5506	44198418
5522	53662536
5546	5500378
5557	1034214
5562	1339239
5570	3535328
5597	5344532
5599	3047300
5608	53468206
5631	51965150
5654	50078568
5659	49947323
5670	15224
5691	52040615
5697	38486180
5705	50020339
5740	1457331
5748	38600590
5780	9083206
5785	588822
5798	5484658
5820	53227914
5841	4156935
5843	8195264
5854	407492
5874	3861673
5879	53178667
5895	4013640
5898	51861872
5901	3368894
5904	3071236
5912	50634795
5913	53591839
5914	53928116
5916	360975
5921	2890880
5930	55876575
5951	2929977
5977	909413
5993	50040838
6004	1585580
6012	51152687
6023	1219394
6050	2873280
6054	935663
6055	3811895
6061	597834
6095	2054502
6101	52792348
6105	50874884
6106	37646324
6117	48801955
6120	1940820
6121	53166914
6137	13783615
6138	49594586
6144	3824081
6160	54266125
6179	37573955
6197	3740021
6198	56100265
6204	5444384
6206	32026287
6215	51203287
6228	37629153
6230	39026912
6266	40695957
6267	14400714
6276	37875280
6278	498855
6291	5190009
6295	3861673
6304	5586289
6308	54138044
6316	2036084
6329	51152687
6351	8787500
6360	54120863
6390	32465331
6391	37789994
6401	282094
6416	37777788
6441	49438331
6470	282094
6474	111327
6504	1901886
6514	48281573
6538	41356877
6552	34934244
6567	4842598
6597	31876302
6653	5438892
6658	29537139
6663	1315978
6667	290542
6676	190960
6689	38963004
6722	37297001
6723	55948247
6731	44908443
6745	49465958
6760	52678038
6764	2869402
6771	4114036
6784	15288399
6795	1189605
6808	1174227
6809	50049478
6813	8978398
6816	11034911
6820	8472225
6821	17289
6826	7908518
6834	8406036
6839	1176566
6850	8507
6855	8978398
6861	282094
6863	1857897
6890	18052754
6898	12312363
6905	28310223
6913	8507
6916	557290
6917	25788826
6918	42550
6920	12366948
6926	7869467
6931	15137490
6939	10532096
6942	4802010
6946	3363744
6949	4729557
6953	3381974
6974	15426169
6986	29450262
6987	31271165
6988	26195672
6990	10857638
6997	36932287
7005	9192650
7007	32316396
7013	1072575
7014	9553737
7045	8439246
7057	7900260
7058	684652
7066	40843640
7084	11002547
7098	4747525
7104	56895439
7108	28230583
7114	13606358
7119	24309484
7144	52341473
7148	4796747
7151	4710915
7158	1891892
7162	24832
7166	656970
7179	24767802
7183	11720324
7222	11994550
7237	560337
7258	21282848
7264	18998075
7301	26006153
7306	272373
7327	3201871
