geneid	dist
559	3763
564	5014
572	6930
575	7766
579	7496
582	7332
590	6652
594	5798
602	5384
605	5094
614	3522
619	1711
624	1139
978	59630627
992	227862
1024	165719
1430	640716
2011	1980496
2929	14639823
2932	14647877
3124	19982095
3152	14647877
3911	10323742
4104	5960328
4208	29628138
4378	5707570
4416	17061191
4448	1032017
4475	7807891
4527	15872076
4536	34518730
4540	34518730
4542	34518730
4544	19091152
4545	34518730
4546	19091152
4548	21168926
4559	34518730
4580	34518730
4595	34518730
4623	34518730
4714	21168926
4734	1032017
4750	1032017
4772	29628138
4827	1032017
4828	29628138
4841	29628138
4856	2252574
4867	17061191
4881	10985130
4901	10176926
4919	8993771
5007	3952745
5051	1311917
5085	1288913
5098	61307
5143	547939
5151	2334131
5161	709754
5197	8366926
5198	2794752
5216	3162233
5234	19577529
5242	43575
5249	556595
5264	1219158
5266	5478226
5280	762855
5291	3295356
5302	16031851
5305	3226873
5331	5382712
5362	1361370
5369	3441607
5401	8292489
5467	10113650
5468	20882773
5470	20018232
5471	8302650
5505	7791747
5506	363948
5522	27809243
5557	2474103
5562	2618734
5599	8481705
5608	28092938
5654	1148180
5659	17620300
5670	7124213
5693	17124878
5697	2048234
5705	10091463
5730	17182724
5740	17408922
5748	2014817
5772	19747203
5773	17603934
5780	18129357
5785	5913103
5798	17788043
5820	28171873
5837	8282514
5841	17632627
5843	18025920
5854	20601738
5874	17079181
5879	14500656
5898	15055103
5913	14797002
5914	7643829
5916	20552575
5921	8609989
5930	8983936
5939	15371095
5951	8395621
5977	5382712
5993	20540015
6004	6580367
6012	10433773
6061	21761425
6095	17346224
6101	14279850
6106	41395641
6117	51147904
6120	6401343
6121	23765080
6138	9883515
6144	4106129
6160	58542746
6179	41313006
6195	2209713
6198	11879033
6201	8292489
6204	17972453
6206	27696886
6215	13007255
6228	41377990
6230	14067509
6266	44178970
6267	18688458
6276	3467754
6278	2233502
6287	17057792
6291	1403058
6295	17079181
6304	17806678
6308	58628098
6316	3483252
6329	10433773
6338	557227
6351	18154903
6360	58763169
6390	37103580
6401	22076630
6416	2237664
6429	19064043
6441	18070245
6469	10268809
6470	22076630
6504	6366065
6514	18973205
6538	15500568
6552	39171323
6567	17693598
6597	56512875
6658	29300067
6663	6176087
6667	20484237
6676	1715187
6689	42761439
6709	7580551
6722	41015047
6723	9023693
6731	113705
6760	14699079
6771	17624947
6784	20555328
6795	20882773
6808	2714319
6809	17529006
6813	2628209
6816	20864192
6821	8221005
6839	20876953
6850	1762347
6855	2628209
6861	22076630
6890	19702817
6905	14025068
6913	1762347
6916	21737327
6917	15591180
6918	7245314
6920	12692489
6923	13460221
6931	88926904
6936	1842243
6938	1842243
6939	21893441
6942	1842243
6946	4405439
6952	17584385
6953	21625974
6974	20601844
6986	13239437
6987	28744774
6988	15221268
6990	13577251
6997	60775753
7005	2723310
7007	36901285
7013	17590292
7014	2764181
7052	87842251
7058	20761547
7066	1361370
7084	20792793
7094	1842243
7104	11202396
7108	53118176
7119	16368369
7144	15031098
7146	1842243
7148	1842243
7158	6412038
7162	7200580
7166	3725262
7176	88829895
7179	65426101
7183	4946538
7190	58370746
7222	12517507
7237	2401513
7258	19031247
7264	19188154
7299	62616217
7301	15366192
7327	11029020
7338	16958373
7346	19329521
7353	52395442
7366	2016603
7411	23853698
7425	14832223
7426	8274205
7428	29913798
7430	8173187
7435	1842243
7443	18014127
7455	5912980
7462	17471999
7496	11059674
7498	54240477
7499	19624716
7503	28213945
7511	8785559
7525	2145411
7536	38772029
7540	12708115
7546	61785855
7580	86716172
7583	90595668
7590	13973742
7595	23742662
7611	88796950
7637	12533655
7648	51222238
7649	2729348
7659	18888439
7688	50987905
7692	89875659
7701	29971505
7709	90683090
7714	21770070
7719	29481551
7733	4887575
7734	1842243
7738	6983290
7739	19206819
7741	20772262
7760	18367717
7761	58878960
7773	5576173
7776	12759602
7777	1958270
7791	19583680
7808	22076630
7816	38941414
7829	20434004
7832	2962072
7854	4594825
7882	12933349
7883	19258041
