geneid	dist
631	3612
977	153
978	153
992	683571
1024	7671808
1430	2123110
1711	153
1712	153
2011	28214
2735	3502
2929	74929
3124	620889
3361	3502
3855	129847
3911	3084623
4104	680767
4202	129847
4208	49353
4275	129847
4374	129847
4378	11942809
4416	4638517
4448	11758999
4475	460809
4513	129847
4527	177
4544	10442889
4546	10442889
4676	6125046
4716	2284017
4717	129847
4734	11758999
4747	129847
4750	11758999
4772	49353
4827	11758999
4828	49353
4841	49353
4857	6080
4867	4638517
4901	3041475
4919	2594957
5051	21829999
5059	12435
5085	8569672
5098	9684644
5143	13624273
5151	22050972
5161	13696265
5198	9641885
5216	12812916
5242	13833287
5249	13622859
5264	204778
5266	959092
5291	12787438
5302	6518272
5305	1028988
5357	7467517
5362	21856989
5369	1108571
5401	7291
5467	8854423
5470	11987777
5471	7593152
5505	5440583
5506	13769016
5522	12735261
5546	2734424
5557	19436
5562	21951632
5599	12023989
5608	12703533
5654	14514720
5659	6225949
5670	24669
5691	189006
5697	22074577
5705	7458600
5740	101588
5748	1150824
5780	62192
5785	640857
5798	2717320
5820	174695
5837	13223527
5854	1864118
5877	15061128
5879	12992286
5898	158706
5912	3478
5913	18283131
5914	17900919
5916	730250
5921	4707482
5930	17738960
5939	12095186
5951	11157911
5993	25890
6004	4955634
6012	37497
6050	9748792
6054	246315
6061	338904
6095	3503564
6101	308676
6106	6303051
6117	11198922
6120	8793
6121	153349
6144	1651522
6160	1230903
6179	7542676
6195	17847985
6198	7394679
6201	7291
6204	3902144
6206	12822271
6215	8806027
6228	6296799
6230	334690
6267	1121024
6276	26819
6278	1178080
6291	418663
6304	9414088
6308	1219389
6316	1250162
6329	37497
6338	13272
6351	22840
6360	12575261
6391	2005155
6401	17173479
6416	2022616
6429	6041613
6441	11825253
6469	17356026
6470	17173479
6474	17355502
6504	812716
6514	11318619
6538	436005
6552	2089806
6567	2771163
6597	3977315
6653	2161607
6658	556
6663	3114085
6676	1585361
6689	1800012
6709	5528273
6722	1879637
6723	14559322
6731	11977176
6745	8301028
6760	12847445
6771	2774891
6784	8861157
6808	21929288
6809	10257280
6816	414411
6820	6911539
6821	12285979
