geneid	dist
559	3773
564	5026
572	6957
575	7780
582	7361
590	6678
605	5114
614	3528
619	1736
624	1145
992	73372
1024	6803
1430	2794370
2011	952173
2929	471
2932	344
3150	335
3152	344
3911	402454
3990	254100
4104	46792
4208	872244
4378	184317
4416	115521
4448	2850580
4475	448558
4529	1460829
4544	1124
4546	1124
4734	2850580
4750	2850580
4772	872244
4827	2850580
4828	872244
4841	872244
4867	115521
4881	544474
4901	81788
4919	1841832
5007	942521
5051	1803383
5059	85030
5085	3095061
5098	260946
5143	1223123
5151	862472
5161	1473808
5197	2495107
5198	40224
5216	393745
5234	3089058
5242	46361
5249	1268073
5264	38321
5266	244040
5280	1649196
5291	678981
5302	1747
5305	574655
5362	3184791
5369	735757
5401	2583252
5467	158061
5468	2715324
5470	61794
5471	632447
5493	335
5505	3315963
5506	716615
5522	1586243
5546	49163
5557	520127
5562	371055
5599	331136
5608	1505141
5654	22621
5659	735781
5670	1092567
5691	1567123
5697	1444141
5740	1537616
5748	1542932
5780	1167141
5785	53597
5798	80648
5820	1329128
5837	2622347
5843	607557
5854	2649970
5877	2967523
5879	1150768
5898	1471100
5913	219009
5914	1816741
5916	2502138
5921	154595
5930	2796699
5939	1773385
5951	411443
5993	113832
6004	1746882
6012	847528
6050	452429
6054	2997246
6061	1346146
6095	1130178
6101	1554175
6106	947712
6117	1068359
6120	1328037
6121	1293130
6137	2289
6144	577493
6160	308942
6179	864242
6195	1446378
6198	1150807
6201	2583252
6204	107461
6206	1731843
6215	862045
6228	938072
6230	540860
6266	861389
6267	4144895
6276	275643
6278	952181
6291	144414
6304	42534
6308	365688
6316	631875
6329	847528
6338	1279986
6360	552141
6390	918945
6401	60320
6416	1515297
6429	7566615
6441	321369
6470	60320
6474	228233
6504	1151997
6514	524070
6538	93497
6552	71092
6567	454388
6597	133122
6639	80614
6653	3455
6658	6561
6663	752447
6667	2407744
6676	52918
6689	1987813
6709	3662127
6722	685298
6723	2829873
6731	162747
6760	1308921
6771	672855
6784	410731
6795	2715324
6808	283373
6809	786217
6813	140552
