geneid	dist
636	1520794
977	229764
978	229764
992	6823014
1024	2526098
1430	2157793
1711	229764
1712	229764
2011	12357839
2735	9015344
2932	120439
3124	8510706
3152	120439
3361	9015344
3855	9883151
3911	9003359
4202	9883151
4208	7970705
4275	9883151
4374	9883151
4378	8493051
4416	438267
4448	34848
4475	6272952
4513	9883151
4544	6441959
4546	6441959
4548	669973
4676	11440532
4714	669973
4716	11401517
4717	9883151
4734	34848
4747	9883151
4750	34848
4772	7970705
4827	34848
4828	7970705
4841	7970705
4857	1019056
4867	438267
4901	9021570
4919	9217550
5051	3540093
5085	8541808
5098	26452796
5143	1401261
5151	818749
5161	26367893
5198	75137
5216	14292743
5242	1564778
5249	1399931
5264	364010
5266	14885889
5291	14318372
5302	8354900
5305	14305116
5357	6999503
5362	934762
5369	3856537
5401	12748327
5467	6994177
5470	16315197
5471	10976088
5505	12368589
5506	13186712
5522	5744836
5546	5449150
5562	872850
5599	22877568
5608	5732942
5654	5025792
5659	4686369
5670	5945010
5691	7824410
5697	797540
5705	7665803
5740	5253453
5748	792672
5780	2734228
5785	4862204
5798	5445395
5820	8240374
5837	2302696
5854	2994352
5877	2219913
5879	1685428
5898	6906394
5912	6942770
5913	1034890
5914	5817606
5916	14190410
5921	6180302
5930	6045614
5939	1800372
5951	14813975
5993	10406245
6004	6072370
6012	7753447
6050	22863076
6054	12579258
6061	12454799
6101	6781216
6106	6216238
6117	4582913
6120	16393419
6121	8238918
6144	14511724
6160	5248340
6179	6238951
6195	11130674
6198	1971347
6201	12748327
6204	15654765
6206	5800968
6228	6221882
6230	3143300
6267	2891423
6276	9320787
6278	812138
6291	309127
6304	15668328
6308	5254709
6316	3916261
6329	7753447
6338	4121026
6351	2752586
6360	9159081
6390	6575530
6391	1851971
6401	2875262
6416	1846378
6429	464848
6441	5868326
6470	2875262
6474	164817
6504	4961916
6514	6279225
6538	3413985
6552	6374316
6567	5404902
6597	16756
6653	9123231
6658	3867344
6663	15099470
6667	5927907
6676	2636909
6689	6157098
6709	12405797
6722	6247045
6723	5013391
6731	1541248
6745	2501982
6760	1720025
6771	5355478
6784	11476133
6808	900863
6809	1507334
6816	4691978
6820	8469704
6821	2320718
6834	8435945
6861	2875262
6863	15473995
6890	16370778
6905	8763502
6916	12474290
6917	2315958
6918	3891117
6920	11686714
6923	5995705
6931	5355285
6939	2884534
6946	14515736
6952	16267112
6953	1367531
6974	2859400
6986	8804930
6987	3954329
6988	21579512
6990	5933427
6997	3218369
7005	2255033
7007	6590853
7013	5861099
7014	9395522
7045	7759594
7052	5077051
7058	12563251
7066	934762
7084	10165919
7098	12502685
7108	11434694
7119	2134879
7144	1788319
7158	9266239
7166	1496978
7176	5318294
7179	57746
7183	372667
7222	2372157
7237	7688776
7258	10739021
7264	1420060
7299	20607499
7301	11517833
7306	3892317
7327	213052
7333	8110083
7338	2024610
7346	4397015
7353	4819063
7385	9933208
7411	5851409
7425	1758673
7426	2549269
7428	7365017
7430	11340092
7443	5237602
7455	5226770
7462	1885047
7469	8110083
7496	8511213
7498	4999612
7499	10133917
7503	5285855
7511	2005416
7536	6439753
7540	18266977
7546	17178462
7580	5841704
7583	7769435
7590	8773092
7595	1787683
7606	8110083
7611	13087840
7637	18311023
7648	2133463
7649	9395522
7659	1450944
7688	17138138
7692	1361812
7701	7336308
7709	7802758
7714	7082909
7719	7813003
7733	17040248
7738	1249248
7739	1391667
7741	12828634
7761	7981269
7773	14905514
7776	8837638
7777	782793
7791	38229
7808	2875262
7816	1539998
7829	11500510
7832	5868118
7854	17086225
7863	8110083
7882	12032955
7887	10142625
7900	7546148
7918	2609222
7919	32754
7923	2291544
7926	1554784
7933	5913177
7937	8536705
7938	5181800
7987	3894318
7993	203489
8006	5976159
8007	9933208
8013	1886656
8018	7120340
8019	9118195
8029	8484252
8031	5424249
8042	9342918
8044	2042866
8061	472379
8071	2099028
8083	8849052
8096	11155678
8097	6086430
8101	2847471
8117	2052238
8120	203463
8148	13587589
8153	1612524
8160	11000371
8163	234448
8170	7743638
8172	11577112
8189	10448942
8203	5776192
8207	17110557
8219	2641939
8236	11511262
8244	7536043
8245	2623555
8247	1458757
8255	128777
8286	9026541
8297	8305802
8312	12803396
8321	10442214
8336	16315197
8378	1372963
8394	6037007
8397	15246143
8411	10507228
8413	7706379
8415	8950644
8417	16893716
8430	8900916
8431	9443213
8438	11340092
8447	6485797
8455	8484780
8458	24470638
8459	110210
8462	8223506
8463	5743272
8465	1889653
8488	1618596
8500	180603
8505	5315357
8510	17145092
8526	4236777
8547	26291312
8553	3730700
8561	3936759
8563	8014878
8571	9742572
8579	20653317
8582	17290883
8589	5340332
8600	360132
8603	8110083
8623	3606486
8635	4203677
8636	4117020
8641	9746050
8656	6097629
8657	10558148
8663	8272722
8665	1004097
8674	2277629
8675	5855002
8677	5305990
8691	5606058
8698	10728225
8702	1618596
8709	16955580
8710	2062349
8723	9731383
8730	14082122
8742	12522089
8745	5973056
8746	10864434
8751	818304
8759	6526526
8761	9004162
8768	12651486
8771	19613252
8782	6272952
8789	2006043
8792	16427083
8795	14195198
8796	1824429
8805	12936274
8827	14082122
8832	993105
8833	9009812
8850	23046985
8862	14082122
8885	14827664
8898	14817462
8919	7673806
8921	11645462
8928	7651505
8950	2986659
8964	21524138
8965	12958705
8974	9264695
8999	10521899
9007	8991535
9012	9052919
9019	17131534
9020	20958381
9026	12123431
9027	2411409
9040	19064462
9043	10013387
9045	6881297
9047	11963090
9052	20993891
9077	5899914
9079	7439182
9094	9856440
9095	1553026
9106	12828634
9108	24394848
9119	5987553
9132	16949440
9155	507772
9173	334025
9178	12425250
9196	1971042
9209	14418568
9214	12390989
9226	337187
9228	9104561
9232	285269
9238	16577683
9248	2166998
9260	11904687
9265	10990637
9267	14568898
9269	9983175
9270	12252355
9287	8755285
9288	412837
9291	8000160
9317	12196348
9327	407416
9338	8820838
9341	2195944
9345	1373591
9348	7885354
9366	229764
