geneid	dist
559	3707
564	4961
572	6894
575	7718
579	7531
582	7370
590	6690
594	5836
602	5417
605	5127
614	3550
619	1731
624	1139
992	916643
1024	894852
2010	310694
2011	348446
2014	311621
3124	431561
3159	112260
4104	1408860
4378	668516
4475	4090089
4716	12349
5051	1577048
5059	1333995
5085	1566893
5098	1160089
5143	826151
5151	494514
5161	638005
5197	269191
5198	300889
5216	1799715
5242	1375884
5249	809791
5264	259171
5266	587955
5280	457273
5291	2121235
5302	87776
5331	845708
5345	175071
5357	5711198
5362	1656066
5369	2522863
5397	294773
5401	180101
5467	5754510
5470	838101
5471	1560058
5505	11740
5506	1709451
5522	2799667
5546	145415
5557	143722
5562	152504
5597	310238
5599	1191496
5608	2683518
5654	7327417
5659	628580
5670	772028
5705	5389954
5706	3747197
5740	2273122
5748	64622
5772	782318
5780	300747
5798	174856
5820	2490527
5837	169797
5854	1052518
5877	604010
5879	1034604
5898	5237819
5912	6201357
5914	3046739
5916	1116664
5921	1043085
5930	4664864
5939	1046875
5951	1317907
5977	845708
5993	3839304
6004	1651074
6012	5738604
6023	2711608
6050	1357764
6061	312742
6095	2887686
6101	4061465
6106	1375775
6117	350595
6120	1119684
6121	2413928
6138	5100475
6144	855231
6160	2507432
6179	1655282
6195	388241
6198	1325297
6201	180101
6204	191165
6206	2884035
6215	5712410
6228	1405255
6230	1545579
6253	130416
6266	345174
6276	507829
6278	582780
6291	122635
6295	1719941
6304	113315
6308	2632891
6316	2536785
6351	780954
6360	2765677
6390	674859
6391	306595
6401	53634
6416	301638
6441	1114769
6469	6276773
6470	53634
6474	155609
6504	1051501
6538	3058881
6552	589707
6567	1167554
6597	1057134
6658	1320406
6661	2683370
6663	602615
6667	1178103
6676	71641
6689	416800
6722	1774601
6723	4711364
6731	1469199
6745	4996320
6760	1273601
6784	1586236
6808	325154
6809	517457
6813	975183
6816	988741
6820	1659861
6821	147055
6826	2252274
6834	1730910
6839	329293
6847	439372
6850	172165
6855	975183
6861	53634
6863	2689197
6890	566113
6898	2407489
6905	1828068
6913	172165
6916	277866
6917	577754
6918	688169
6920	2482899
6923	1546942
6931	3014
6936	234441
6938	234441
6939	478313
6942	195353
6946	52624
6952	1922313
6953	608329
6974	1482582
6986	3007459
6987	1709632
6988	19598
6990	5217
6997	6356
7005	893584
7007	819911
7013	1871368
7014	510486
7052	941952
7057	2284073
7058	937751
7066	1656066
7084	948640
7094	234441
7098	215496
7104	2110620
7108	1862305
7114	964388
7119	651107
7144	1256050
7146	224927
7151	161375
7158	1130851
7162	663776
7166	522231
7176	1986
7179	28345
7183	1751255
7190	2341590
7222	249436
7237	1161242
7258	2015870
7264	1500674
7299	120715
7301	270991
7312	439372
7327	2658787
7333	811099
7338	1956662
7346	1150951
7353	398320
7385	172497
7387	98965
7411	197014
7425	1406677
7426	1081581
7428	1412034
7430	1172288
7435	234441
7443	975014
7455	1911665
7462	3091875
7496	2691289
7497	2480672
7498	139830
7499	146149
7503	1021002
7511	511377
7525	843846
7536	247841
7540	2503724
7546	2318922
7583	803893
7590	1918417
7595	76889
7606	843031
7611	91526
7621	164626
7637	2199896
7648	2072468
7649	580877
7659	1890264
7675	2437341
7688	2192541
7692	1251929
7701	1437556
7709	1034031
7719	1069068
7733	1692803
7734	224927
7738	2686699
7739	1254332
7741	760645
7760	886936
7773	367629
7776	2570960
7777	126749
7791	35809
7808	53634
7816	446485
7829	1694687
7832	1163339
7834	2502042
7854	1149128
7863	94912
7882	933013
7883	1189056
7887	162566
7900	287017
7907	172165
7910	3355974
7918	3147088
7919	138589
7923	753037
7926	492073
7931	2587203
7933	2029795
7937	1894190
7938	912947
7983	272489
7987	2016353
7988	172165
7993	306354
8002	172165
8006	950894
8013	392298
8018	1782912
8019	5194309
8028	97573
8029	650706
8031	522793
8042	766536
8044	1569476
8061	109833
8071	4206870
8074	290198
8082	186698
8083	2537536
8090	2290000
8096	3205109
8097	1108002
8101	1614550
8117	1830610
8120	1183429
8143	3792854
8147	3111930
8153	9634
8160	1125000
8163	366265
8170	424925
8172	2225777
8184	1719941
8189	1625623
8203	342145
8207	1041615
8219	1604519
8229	234441
8234	2885739
8236	143978
8244	2358824
8245	1686666
8247	218308
8255	2979056
8286	424494
8297	1448840
8312	1952615
8317	2341559
8321	2491900
8332	488370
8336	838101
8360	79875
8378	859030
8394	1750293
8397	1791976
8411	3834129
8413	3292063
8415	46440
8417	2599541
8430	225387
8431	807499
8438	1172288
8441	3675684
8447	1841665
8450	2331475
8455	3325013
8458	2532896
8459	263125
8462	2328820
8463	285972
8465	1971765
8481	2779682
8488	73762
8489	634739
8500	4017237
8510	2209188
8526	764366
8547	79394
8553	1565233
8557	5853
8561	611
8562	4305775
8563	276913
8571	177355
8577	1769795
8579	13459
8582	398020
8591	2111685
8600	589001
8603	712079
8625	1535801
8635	3098
8636	740877
8641	1178423
8653	663658
8656	2255391
8657	4261613
8662	424964
8663	680277
8665	1084376
8673	2433098
8674	2237637
8675	219644
8677	109294
8691	155684
8698	1661955
8702	67631
8708	139909
8709	2118033
8710	283605
8716	55925
8742	1042277
8745	1211132
8746	4625586
8751	915211
8759	1507272
8761	853020
8768	1082200
8771	158904
8775	1508908
8782	4090089
8789	2397841
8792	1491812
8795	11478
8796	1600696
8805	177340
8832	300253
8833	600624
8850	1039617
8853	2365121
8885	209579
8898	227040
8919	3156580
8921	1568581
8950	1086037
8964	1029628
8965	2761803
8969	814063
8973	2399557
8986	183895
8994	3203904
8999	66123
9007	632818
9012	495001
9019	2172678
9020	1044422
9026	4019808
9027	323083
9043	80972
9045	949268
9047	1579451
9052	896724
9067	406144
9077	3026099
9079	44571
9094	2358872
9106	760645
9108	2682576
9119	1176198
9132	2370278
9173	445905
9178	3124080
9195	804729
9196	557481
9203	695572
9209	1433745
9210	789700
9214	276407
9216	668442
9226	2343959
9228	170259
9232	22740
9238	634168
9248	3354363
9251	368722
9260	2283204
9265	1410011
9267	27855
9269	216132
9270	337544
9287	127281
9291	239123
9317	3006959
9324	581765
9327	3144578
9338	32183
9341	1253447
9345	167263
9348	57255
9367	122638
9383	3034858
9420	169123
9449	29883
9466	1958621
9474	177355
9485	295571
9495	71167
9504	1789253
9513	3333497
9519	76637
9525	304348
9534	606438
9539	3238
9541	5052
9574	1267363
9575	790991
9577	49700
9578	1876773
9583	303430
9587	28531
9588	2490818
9602	2320787
9603	44907
9617	134102
9621	2172839
9625	281140
9633	3395151
9638	152553
9648	4672
9652	2620
9655	1084291
9661	2043362
9668	2060734
9670	3488640
9683	1150818
9692	63065
9716	4615039
9722	779266
9725	39611
9729	284379
9732	47188
9735	1425765
9741	883126
9744	2817363
9745	1183193
9748	138691
9751	294773
9752	771507
9758	28901
9759	1199246
9770	918598
9772	131575
9774	89588
9779	201513
9790	1094972
9793	578450
9794	249122
9806	141737
9808	1141120
9811	1199961
9813	98496
9821	204311
9851	12949
9852	1789520
9853	1002810
9864	2583826
9866	695229
9870	1043
9878	2815993
9880	2571654
9893	329293
9897	144342
9902	600181
9922	175138
9930	2113784
9933	879092
9944	188445
9950	268425
9951	722611
9954	537863
9960	1235705
9961	175914
9963	800866
9986	247156
9990	1105982
10007	362800
10008	14923
10021	137675
10026	1756620
10033	124495
10037	628691
10052	3177908
10054	128207
10061	1333298
10070	947094
10071	33603
10075	41014
10076	95138
10079	1522
10086	350595
10088	3341
10091	2298559
10107	1387618
10112	69520
10117	1250026
10121	374492
10122	147055
10123	3309375
10127	758135
10128	285972
10133	98173
10143	462952
10145	169797
10156	277099
10167	1408931
10171	1907540
10172	683513
10187	185139
10195	1067203
10203	279676
10205	1405311
10206	1921853
10209	409021
10212	182765
10213	589296
10228	2849757
10233	3344998
10236	188011
10245	404862
10254	624062
10262	1201644
10264	108002
10269	3282411
10276	1177290
10282	291907
10286	1669813
10287	1717639
10293	1856631
10296	72456
10298	1468033
10301	1054576
10306	93824
10307	2532920
10317	137702
10322	778573
10323	3490458
10324	3339559
10326	1219151
10331	627095
10334	771849
10335	1686210
10336	2181406
10341	1020547
10347	340281
10350	655398
10356	359189
10357	759128
10359	3428437
10363	1949419
10374	12921
10376	276407
10385	332783
10393	36857
10405	961360
10406	3009586
10410	2052749
10415	4527142
10436	68993
10444	4324847
10447	3609288
10472	1501104
10479	3131511
10493	84657
10520	133742
10540	140447
10607	3226070
10664	200019
10670	2373272
10672	2423087
10684	3435647
10694	259335
10702	716399
10716	2728029
10718	1713879
10727	42925
10730	1784060
10739	2591028
10743	1363010
10765	686186
10771	1207685
10772	2240498
10774	701265
10814	760251
10819	1891101
10833	189838
10838	163411
10844	736187
10845	323760
10872	1949977
10882	495254
10891	608905
10900	254662
10905	387163
10906	607155
10907	2481074
10908	3109266
10912	1731685
10913	446431
10914	511797
10918	695348
10919	714211
10925	1942571
10928	2088869
10935	1290545
10936	736686
10938	44864
10951	538082
10953	1336656
10967	530595
10969	208744
10980	1447269
10983	421501
10997	2836611
10998	1577048
11004	1043902
11009	1496678
11011	2334005
11015	1424111
11021	600004
11025	6409
11031	454249
11032	102388
11036	434039
11040	133678
11048	250950
11053	71264
11055	56046
11056	18009
11060	412400
11061	233282
11067	5531
11075	108957
11077	526889
11089	64156
11093	230740
11099	473262
11101	198627
11102	2458274
11106	49651
11109	459958
11114	158875
11120	1332809
11123	592191
11124	636004
11125	1053450
11131	1491812
11140	1543782
11141	204157
11163	560687
11167	4148745
11172	2027808
11173	2637377
11177	16712
11184	583
11187	2236599
11188	105812
11193	654706
11195	734273
11197	656612
11198	716
11207	798073
11209	417736
11214	3042977
11216	423811
11217	1283183
11225	459017
11226	2456313
11233	191514
11236	2503439
11237	2596067
11242	125711
11249	170556
11250	300756
11257	2366792
11263	741112
11289	262027
11291	260449
11297	46545
11299	2304706
11301	1512998
11305	2303164
11310	13242
11311	3577455
11320	2409015
11322	42184
11326	836847
11329	932556
11331	1181577
11332	1701130
11334	1635628
11335	258384
11343	568383
11344	1155001
11349	2773148
11366	298663
11371	2584463
11378	856634
11379	2595961
11386	533038
11395	371815
11396	537304
11399	930475
11400	1810733
11410	4231379
11414	332326
11415	1643332
11417	1382272
11418	708135
11419	1143245
11425	2495397
