geneid	dist
992	143419
1024	918764
1430	990274
2011	95642
2929	533502
2932	590077
3124	106126
3152	590077
3855	277226
3911	1928317
4202	277226
4208	537765
4275	277226
4374	277226
4378	316653
4416	138408
4448	3455
4475	29018
4513	277226
4676	1014336
4716	93018
4717	277226
4734	3455
4747	277226
4750	3455
4772	537765
4827	3455
4828	537765
4841	537765
4857	231146
4867	138408
4901	140611
4919	309523
5051	558471
5059	192438
5085	53961
5098	244822
5143	24257
5151	722276
5161	449369
5198	55952
5216	290375
5242	223388
5249	60840
5264	41254
5266	2967044
5291	2362998
5302	210898
5305	292175
5357	607127
5362	584840
5401	1577828
5467	279350
5470	635740
5471	627237
5505	589628
5506	108434
5522	138029
5546	268972
5562	665728
5599	326289
5608	178041
5654	455799
5670	49087
5691	1876979
5697	747473
5705	285896
5740	419838
5748	622945
5780	390721
5785	339324
5798	275007
5820	1776652
5837	99816
5854	44345
5877	1180623
5879	209597
5898	171798
5912	183809
5913	139270
5914	89650
5916	126955
5921	347242
5930	29131
5939	390562
5951	132608
5993	974173
6004	214623
6012	78575
6023	528008
6054	221277
6061	162955
6095	405951
6101	57903
6106	1391807
6117	4079
6120	2557034
6121	1761281
6138	1166127
6144	2659984
6160	197355
6179	1426634
6195	15038
6198	185707
6201	1577828
6204	1747907
6206	123957
6228	1396724
6230	816901
6267	83539
6276	8227
6278	50401
6291	121261
6304	1978792
6308	190616
6316	256349
6329	78575
6351	372863
6360	133204
6390	326023
6401	310050
6416	10365
6429	1571727
6441	5492
6469	20833
6470	310050
6474	749345
6504	429136
6514	1393821
6538	737654
6552	576342
6567	300133
6597	475389
6653	81982
6658	711509
6663	3305288
6667	107875
6676	378137
6689	889346
6709	89217
6722	687406
6723	1147571
6731	73419
6745	27857
6760	287000
6771	311736
6784	420307
6808	643792
6809	15722
6816	1411229
6820	258642
6821	1408084
6834	200033
6861	310050
6890	571844
6917	243203
6918	19202
6920	403998
6923	1339785
6931	21960
6939	289006
6946	2661663
6952	2467059
6953	107101
6974	1529675
6986	152169
6987	508817
6988	346062
6997	371884
7005	153707
7007	190003
7013	7995
7014	5614
7045	116832
7052	290838
7058	320737
7066	584840
7084	94312
7098	459104
7108	7492
7119	10390
7144	377930
7158	12924
7166	32912
7176	12580
7179	579705
7183	40967
7190	644054
7222	76302
7237	826233
