geneid	dist
559	4258
564	5506
572	7437
575	8265
582	7348
590	6668
594	5816
602	5411
605	5121
614	3544
619	1735
624	1140
633	671
636	19114679
971	38301579
992	2458075
1005	246741
1024	2442976
1152	100
1274	239581
1326	255738
2008	50903838
2010	1817417
2011	1777791
2014	1816476
2256	100
2929	731
2932	315191
3124	1903950
3150	283994
3152	985629
3901	6939618
3911	626098
3990	2483164
4145	16003
4208	32643
4340	16003
4374	18077
4378	49571653
4390	16003
4416	2352380
4434	16003
4448	1739
4452	16003
4475	4104698
4525	50741837
4527	49553023
4530	1260837
4533	22815001
4534	106
4536	159
4538	3122580
4539	106
4540	159
4541	3122580
4542	155
4543	26999562
4544	26885520
4545	155
4546	26885520
4548	881623
4580	155
4595	155
4610	22815001
4676	2668114
4714	881623
4723	16003
4734	1739
4741	1926786
4742	1902717
4746	1794690
4750	1739
4772	32643
4827	1739
4828	32643
4841	32643
4857	928303
4867	32376
4881	128638
4901	706092
4919	1188253
5009	6939618
5051	4108117
5059	4468505
5085	3726746
5098	4316842
5143	72524
5151	6733880
5161	1713644
5197	2282772
5198	7783037
5216	9198111
5234	16060447
5242	1295823
5249	58843
5266	14993562
5280	1812784
5291	9546319
5302	7107068
5305	46792252
5331	14834381
5345	7045976
5362	4085375
5369	10026449
5397	32474317
5401	2372440
5467	23081424
5468	32454071
5470	15254996
5471	27711358
5505	3052201
5506	688388
5522	12299107
5546	27049682
5557	7087285
5562	7405910
5597	27208996
5599	27314318
5608	12589757
5631	3530159
5659	2899499
5670	19160773
5691	21239025
5697	5990124
5705	23384036
5711	28531369
5730	28944175
5740	30522656
5748	5931662
5773	28310509
5780	23696738
5785	16095791
5798	27085579
5820	12664376
5837	2398529
5841	28187856
5843	24610770
5854	31657591
5874	28470797
5877	32193205
5879	4621415
5895	28303835
5898	21545310
5912	22493523
5913	12336388
5914	12029529
5916	31612681
5921	27121008
5930	10489781
5939	3705846
5951	27411466
5977	14834381
5993	16144339
6004	17979398
6012	22006418
6050	27451009
6061	9876133
6095	29859325
6101	20494670
6105	22340243
6106	40275809
6117	39189206
6120	17426839
6121	12720261
6137	6429147
6138	23674020
6144	11797596
6160	30606926
6179	40201139
6191	28545277
6195	1419656
6198	7327001
6201	2372440
6204	27105077
6206	12200580
6215	21985595
6228	40257571
6230	26671825
6264	1055693
6266	43305131
6267	19179904
6276	28239268
6278	6611713
6290	28342021
6291	4797396
6295	527
6304	27029696
6308	30501550
6316	10179037
6338	32566
6351	24219297
6360	19303113
6390	35496159
6391	1324771
6416	1313280
6429	37682096
6441	1067005
6469	22673003
6474	6573058
6504	17300363
6514	881
6530	34961622
6538	24321734
6552	37731634
6567	27720802
6597	33501388
6635	34961622
6653	4555806
6658	32759582
6659	34961622
6663	16823910
6665	28646883
6667	31555001
6676	5167139
6689	41527705
6709	3306502
6723	10454041
6731	1230034
6745	23776100
6760	4270962
6764	29016045
6771	28240330
6784	18717491
6795	32454071
6808	7607967
6809	2794050
6810	28537118
6813	35279528
6816	34887779
6820	34687578
6821	2495079
6826	35346259
6834	34635864
6839	32438316
6847	36224223
6850	3000173
6855	35372370
6863	30125412
6890	15483202
6891	3198455
6898	32381395
6905	30146284
6913	3000173
6916	9940618
6917	27602793
6918	6899788
6920	32224204
6923	14257910
6926	35658640
6931	39755867
6938	3209694
6939	34335923
6942	3202168
6946	12545134
6949	3463363
6952	30877448
6953	13798702
6974	18843355
6986	31360901
6988	28123501
6990	13973898
6997	28686084
7005	35721318
7007	35343819
7013	30890079
7014	36155495
7045	34576970
7052	40896110
7057	35311258
7058	31955159
7066	4085375
7098	3426422
7108	35404626
7114	37896067
7119	40860168
7144	3897860
7151	3485863
7158	17438506
7162	6871051
7166	8600359
7176	39876555
7179	31181706
7183	32969152
7190	30810980
7199	34961622
7222	15473845
7237	12725233
7258	17811146
7264	43962553
7301	27944496
7306	7865934
7312	36224223
7327	15414885
7338	42201859
7346	43579252
7353	37951107
7366	3142228
7385	14854878
7387	13147494
7411	14321998
7425	4168100
7426	12997474
7430	12874833
7435	3311176
7443	1293715
7455	11677208
7461	13007296
7462	43257296
7469	37240871
7496	15323956
7497	35868322
7498	35519023
7499	42823716
7503	35148875
7511	13694994
7525	9390126
