geneid	dist
559	110946
582	1040348
602	846
992	110599
1032	671427
1238	671427
2929	29444
3911	340759
4104	148535
4208	2445721
4378	1474048
4475	2492589
4548	19176
4676	40912
4714	19176
4716	728087
4772	2445721
4828	2445721
4841	2445721
4857	629
4881	134481
4901	241377
4919	187372
5051	3443004
5085	3422813
5098	466922
5143	1113233
5151	3215988
5161	1397728
5197	1378502
5198	2219539
5216	948215
5234	125387
5242	694107
5249	1136925
5264	370805
5266	4413359
5280	1493008
5291	584610
5302	7194
5331	4241132
5357	3597421
5362	3526546
5369	134356
5397	2092443
5401	1448720
5467	3636732
5468	2064275
5470	752759
5471	544900
5505	1029746
5506	525186
5522	986921
5546	1583696
5557	2834630
5562	2680623
5597	1465096
5599	165137
5608	1014113
5659	234449
5670	3210397
5691	5380547
5697	3881487
5705	3487071
5711	214580
5730	106750
5740	302196
5748	3972928
5772	87397
5773	405285
5780	4531924
5785	5456260
5798	1568131
5820	772224
5837	1467992
5841	518624
5843	3810818
5854	1355190
5874	298814
5877	1830761
5895	413109
5898	5191425
5901	134
5912	4118012
5913	1014470
5914	783030
5916	1308589
5921	145400
5930	49286
5939	764839
5951	255735
5977	4241132
5993	2373344
6004	4480156
6012	4562764
6023	1814861
6050	287924
6055	249567
6061	3930615
6095	290981
6101	6026358
6106	2654084
6117	1940775
6120	4754344
6121	712339
6144	1375098
6179	2924543
6195	3077346
6201	1448720
6204	1539455
6206	900586
6215	4595257
6228	2681953
6230	1762724
6266	270370
6267	2659026
6276	3118790
6278	3319651
6290	368216
6291	238426
6295	298814
6304	1657635
6308	5683948
6316	82354
6329	4562764
6338	1137629
6351	4312513
6360	5841374
6390	1000604
6391	2985759
6401	719464
6416	2975911
6441	692512
6469	643231
6470	719464
6474	492841
6504	4962464
6514	368710
6538	113560
6552	2985103
6567	1095960
6597	1214303
6639	31953
6653	305354
6658	1339472
6661	132652
6663	5254366
6667	1241192
6676	59294
6688	219789
6689	1877700
6709	820283
6722	2979973
6723	113496
6731	799737
6745	3017123
6760	1293646
6764	167853
6771	472628
6784	4512638
6795	2064275
6808	2466510
6809	118528
6813	4224
6816	1527048
6820	498778
6821	1539004
6826	1106739
6834	572454
6839	2046973
6850	9818
6855	4224
6861	719464
6863	63139
6890	557772
6898	308827
6902	31953
6905	1103267
6913	9818
6916	3897133
6917	3593712
6918	79399
6920	193350
6923	603816
6931	3870194
6936	46571
6938	46571
6939	1590759
6942	211579
6946	2094127
6952	569542
6953	1375500
