geneid	dist
590	8987864
636	3562
992	19711
1430	211306
2929	441
2932	3116
3124	846860
3152	427519
3159	369417
4104	12751
4208	2593514
4378	5520927
4475	3909
4548	395895
4714	395895
4772	2593514
4828	2593514
4841	2593514
4881	2610699
5007	3591892
5051	1912968
5059	3594547
5085	5085265
5098	3885885
5143	5278666
5151	719574
5161	5477962
5197	4559
5198	40406
5216	985365
5234	568915
5242	3469825
5249	5312519
5264	237954
5266	3338040
5280	5762943
5291	1313427
5302	2161
5331	3559445
5345	775587
5362	1884732
5369	1806928
5401	317080
5467	5919360
5468	10642
5470	15333
5471	8624199
5493	771
5505	8916
5506	4493144
5522	113972
5546	128404
5557	731834
5562	539946
5599	8170189
5608	27620
5631	1776025
5654	4864185
5659	587951
5670	8769028
5691	4068601
5697	13450
5705	2208812
5740	13643
5748	94020
5780	915435
5785	1618712
5798	69323
5820	49095
5837	306802
5841	674
5843	1429846
5854	191906
5877	13953
5879	2526489
5898	4374984
5913	70328
5914	4310
5916	145626
5921	7945261
5930	249701
5939	1853662
5951	8310106
5977	3559445
5993	7069
6012	4892786
6050	8352346
6054	34050
6061	133797
6095	40225
6101	3247439
6106	5702
6117	3931
6120	3038738
6121	88958
6137	375877
6144	3511252
6160	1701719
6179	1054037
6201	317080
6204	118783
6206	112638
6215	4866664
6228	1121574
6230	39760
6266	122604
6267	285329
6276	4704867
6278	558508
6291	754093
6304	124265
6308	1836261
6316	1965379
6329	4892786
6338	5313175
6351	1196417
6360	1973008
6390	2084548
6391	94446
6416	137622
6441	249614
6504	2922596
6514	3706
6538	1490056
6552	75847
6597	6657991
6653	616233
6663	1106466
6667	94672
6676	595111
6689	803551
6709	56880
6722	804068
6723	286707
6731	3362545
6745	6612546
6760	2269517
6784	1845289
6795	10642
6808	389947
6809	620865
6813	2102
6816	1260775
6820	1168977
6821	286762
6826	1751393
6834	1221199
6850	1637
6855	2102
6890	164291
6898	256151
6905	35051
6913	1637
6916	110334
6917	1522228
6918	259306
6920	177289
6923	209129
6926	1877008
6931	155321
6936	138788
6938	138788
6939	983566
6942	679
6946	2709606
6952	69435
6953	250498
6974	1934314
6986	478064
6987	2893813
6988	1046960
6990	63506
6997	5164659
7005	273944
7007	2159996
7014	93983
7045	1249598
7057	1773412
7058	262300
7066	1884732
7084	1291669
7094	138788
7098	218129
7108	4342766
7111	1822841
7114	1088174
7119	2681551
7144	2068229
7146	643
7151	227723
7162	277126
7166	42459
7179	1762530
7183	648630
7190	1486958
7222	52006
7237	256063
7258	82700
7264	690370
7299	92460
7301	1246783
7327	2040829
7333	1087218
7338	3773922
7346	446567
7353	1447021
7366	10885
7385	2723
7411	132297
7425	2224574
7426	157918
7428	213861
7430	246102
7435	138788
7443	387023
7455	594168
7461	101327
7462	3335090
7469	3659
7496	2014126
7498	224160
7499	74940
7503	2284930
7511	6185
7525	327406
7536	529762
7540	160611
7546	3964300
7583	643795
7590	129403
7595	81574
7606	1129736
7611	295841
7621	1468773
7637	404836
7648	4196543
7649	35499
7659	1160896
7688	4035715
7692	883488
7701	149388
7709	491674
7719	476390
7733	32349
7734	643
7738	49685
7739	565755
7741	1794
7760	69111
7761	2095854
7776	91127
7777	399072
7791	465580
7816	126593
7832	323778
7834	2033420
7854	1476
7882	547563
7883	461527
7887	90302
7900	391889
7907	1637
7910	3227570
7918	501918
7919	3293
7923	13313
7926	118092
7931	62275
7933	28257
7938	964008
7983	456201
7987	3700372
7988	1637
7993	82197
8002	1637
8013	194346
8018	2262938
8019	6425868
8029	740483
8031	8534
8042	4200732
8044	290795
8061	43804
8071	5986631
8082	288538
8083	146353
8090	1784635
8094	844018
8096	2697441
8097	269737
8101	1823182
8117	3654236
8120	1338486
8147	3377256
8148	9523
8153	5854382
8160	8058091
8163	72487
8170	733219
8172	1479889
8189	2118009
8203	141297
8207	379489
8219	232143
8229	138788
8234	163444
8236	22029
8244	40048
8245	162712
8247	54513
8255	14950
8286	1320048
8297	1088140
8312	4209134
8321	3803221
8332	1251762
8336	15333
8338	2038417
8360	361
8378	24265
8394	7507512
8397	2269264
8411	166066
8413	2770291
8417	375104
8431	8726521
8438	246102
8441	296632
8450	1578632
8458	1860746
8459	103525
8462	236979
8463	49193
8465	27399
8481	7466
8489	1571171
8500	2053130
8510	4025988
8519	3591892
8526	3434903
8553	833591
8561	3448698
8562	248090
8571	1731752
8577	3003207
8582	217824
8600	17317
8603	1048911
8623	2509688
8625	2010413
8635	3098
8641	137232
8657	212469
8660	260
8662	196862
8663	958910
8665	159643
8673	3327244
8674	13669
8675	152353
8691	2813
8698	959560
8708	266201
8709	3385
8710	3109376
8716	102732
8723	143621
8731	7188921
8742	218694
8745	2455694
8746	1557254
8761	5333
8768	2457352
8771	7396
8775	3250293
8782	3909
8789	3983378
8792	8832093
8795	70356
8796	1012
8805	448
8832	409834
8833	1199372
8853	1637318
8885	185557
8898	219944
8921	883463
8928	3461
8950	180885
8964	42878
8965	1728681
8973	2674303
8974	25535
8986	16822
8994	3498985
8999	517508
9007	1136205
9012	36873
9019	4100819
9020	1688736
9026	3234831
9027	607853
9040	17267
9043	3408100
9045	415486
9047	2881349
9052	1775307
9067	76611
9077	3294965
9079	3659086
9094	121420
9106	1794
9108	2111933
9119	2500012
9132	104218
9155	697805
9173	2992653
9178	8544
9203	965321
9209	1268591
9214	87729
9216	336404
9226	3388308
9228	3591923
9232	100277
9238	8410
9248	9528460
9251	173826
9260	529471
9265	8408678
9267	160521
9269	1801227
9270	1480276
9324	855122
9327	551182
9338	74369
9341	735857
9345	118437
9348	158509
9367	2040509
9383	448600
9420	810499
9449	12992
9458	3488073
9466	270027
9474	1731752
9495	75132
9504	139630
9513	3240402
9519	442212
9525	262291
9534	29788
9539	58597
9541	3668613
9554	2192
9574	123572
9577	50015
9578	1065392
9583	66191
9587	452449
9588	40332
9596	3756250
9600	2459
9602	2422539
9603	3734977
9617	935923
9625	3499155
9633	3366656
9636	905416
9638	317229
9648	4726310
9652	1252302
9657	31617
9661	4984
9668	1566453
9670	237248
9678	4984
9683	224342
9716	3743377
9718	53990
9722	1192778
9725	2034863
9729	1568629
9732	429857
9735	4027781
9741	2537
9744	130491
9745	804099
9748	84472
9752	48757
9759	230198
9770	314655
9772	17674
9774	700201
9779	1686
9790	31996
9793	3478035
9794	2386100
9806	25789
9808	6685
9811	2355431
9813	8611
9821	505395
9846	138531
9851	120344
9852	57795
9853	1620530
9864	381286
9866	8401
9870	855696
9878	156741
9880	859572
9897	2102786
9902	314099
9922	102001
9930	106679
9944	118530
9950	3691323
9951	521464
9954	811660
9960	303991
9961	81819
9963	1236605
9986	1877581
9990	1772
10007	7129
10008	462238
10018	554037
10021	2948
10026	2948235
10033	95170
10037	970
10052	243092
10054	367061
10061	320
10070	126781
10071	6157
10075	1810879
10076	19443
10079	195558
10086	3931
10088	1224717
10091	3416243
10107	569420
10112	84806
10117	139240
10121	2307003
10122	286762
10123	3091976
10127	2780246
10128	49193
10133	523708
10134	2593824
10143	3642705
10145	306802
10167	104716
10171	4279369
10172	1354112
10187	251787
10195	290466
10204	8474238
10206	242883
10209	3592440
10212	143117
10213	744609
10228	151109
10233	90530
10236	5099437
10245	29622
10254	611836
10262	773724
10264	33032
10269	669996
10276	4065874
10282	938000
10286	389704
10287	15982
10293	199449
10296	1766558
10301	7954707
10306	702157
10307	329354
10317	548884
10323	3544543
10324	4404449
10326	1028
10331	338233
10334	1858969
10335	32942
10336	977508
10341	2484536
10347	2170037
10350	4227227
10356	131558
10357	3266366
10359	3449565
10363	1851153
10374	11827
10376	87729
10385	900069
10393	1078842
10405	2529414
10406	3317
10410	1247764
10415	3787747
10436	1746746
10444	3507640
10447	11675
10462	797784
10472	1749731
10479	340931
10516	94
10520	1231689
10540	1089999
10607	198914
10633	174155
10664	30707
10672	1915101
10684	1119989
10685	56880
10694	6980813
10702	1580
10704	3354757
10713	8796761
10716	263932
10718	8803164
10727	96088
10739	38594
10743	1862351
10765	1298153
10766	477412
10771	81903
10772	1157258
10774	183981
10806	113042
10814	274656
10819	1250298
10833	111629
10844	315934
10845	10657
10872	1194709
10875	901658
10891	115510
10900	107737
10905	1268772
10906	723837
10907	616820
10908	676821
10912	1993005
10913	105894
10914	3524918
10918	412532
10919	9182677
10925	1274594
10928	764206
10935	1843
10936	1919669
10938	34422
10951	100789
10953	4895
10967	163511
10969	3161742
10980	1329384
10983	12663
10997	10040433
10998	1912968
11004	111826
11009	2885136
11021	10502289
11025	263293
11031	207240
11032	831915
11036	254476
11040	71934
11055	826947
11056	42279
11060	179970
11061	1010683
11067	1148027
11075	1052902
11077	960690
11089	932245
11093	639241
11099	6805
11101	3523349
11109	398783
11114	3833327
11123	28710
11124	4266021
11125	4495
11129	371
11131	8832093
11140	19587
11141	1392320
11163	535
11169	783242
11172	23604
11173	590878
11177	2076234
11187	1478049
11188	17428
11193	522053
11195	5414
11197	333533
11198	719
11207	1012584
11209	703112
11214	275551
11216	1742823
11226	1593677
11228	1969005
11233	673934
11237	617101
11242	4150
11243	176112
11249	55255
11250	924338
11257	430919
11263	1380614
11289	1845684
11291	153878
11297	16091
11299	1607950
11301	10096173
11305	1847157
11310	150710
11311	9322948
11320	134667
11322	3322519
11326	513846
11329	9265165
11331	5879296
11332	982492
11334	1348
11335	52830
11343	81431
11344	422400
11349	226153
11366	175815
11371	9125
11378	452582
11379	212490
11386	4285571
11395	2060
11396	36543
11399	616283
11400	1340276
11410	13654
11414	220084
11415	9154472
11417	1878163
11418	902808
11430	2906761
11432	104112
11433	250899
11436	2034540
11443	3264956
11445	21872
11458	10283
11463	598619
11464	31239
11465	1648185
11474	158911
11481	42632
11482	27545
11484	3303057
11486	160156
11487	1293
11490	500978
11491	148371
11493	1910022
11497	123391
11498	195449
11499	62464
11500	2462324
11503	1213319
11504	835642
11507	183021
11511	583499
11513	8032
11516	78880
11524	112282
11527	303723
11528	20468
11529	232447
11542	226124
11543	2609991
11544	188213
11546	2926085
11547	27219
11548	103929
11555	3207373
11561	10504846
11564	1119663
11574	12526
11575	1340348
11582	442184
11585	328018
11590	173074
11591	1198928
11592	1289669
11614	6669405
11617	1094515
11619	169078
11627	1503787
11628	6593964
11636	1877516
11638	359890
11643	1119924
11646	696499
11647	263190
11650	696499
11653	24843
11654	944258
11656	319885
11657	696499
11661	6753049
11670	8582507
11671	162514
11673	10305
11679	986673
11680	4014152
11683	6442211
11685	2061386
11691	4313541
11694	1718628
11695	82395
11696	7405
11704	1938037
11713	161314
11724	1349343
11726	772435
11727	196731
11728	172179
11732	93577
11733	79479
11734	22013
11739	1121843
11741	1350568
11743	378244
11744	64140
11747	67328
11759	1147519
11765	1602550
11775	6348884
11778	1135740
11780	629936
11783	1073662
11787	6975966
11789	1154547
11794	621619
11800	237701
11801	122255
11805	1182957
11807	30094
11810	521756
11812	300302
11821	436351
11826	1182957
11827	12637
11829	83541
11831	412311
11832	140970
11842	385494
11847	3507118
11856	9309
11869	2044316
11873	362296
11890	1683345
11893	3060949
11897	256476
11900	5899751
11911	77658
11912	6740712
11913	41089
11917	94630
11922	94858
11924	6881231
11935	1574980
11938	7229116
11940	9428
11944	585662
11945	1970
11946	4265481
11948	650075
11951	463
11954	1056834
11962	3271521
