geneid	dist
559	143068
614	19066
992	1518271
1024	1683701
1430	10583
2011	3042969
2932	29289
3124	16373
3152	29289
3911	1323381
3990	5062137
4104	2327926
4208	2982141
4378	183049
4416	118367
4448	294025
4475	41816
4529	157440
4544	859
4546	859
4548	13560658
4714	13560658
4734	294025
4750	294025
4772	2982141
4827	294025
4828	2982141
4841	2982141
4867	118367
4881	1082212
4901	987837
4919	1170338
5007	1708399
5051	20532
5059	323592
5085	2827
5098	821083
5143	1571545
5151	534999
5161	2051852
5197	28549
5198	2090476
5216	429148
5234	224416
5242	274440
5264	936162
5266	602212
5280	1761925
5291	168300
5302	9037
5305	53958
5331	975308
5345	1087279
5362	60754
5401	146246
5467	15377
5470	144899
5471	769948
5505	1316536
5506	778085
5522	1524940
5546	1122222
5557	1188437
5562	1584516
5599	349767
5608	1106810
5654	258881
5659	417918
5670	67025
5691	28491
5697	75113
5705	404748
5740	2509793
5748	243222
5780	123934
5785	2616342
5798	1194828
5820	971863
5837	190864
5843	761357
5854	628292
5877	19616
5879	1280031
5898	431318
5913	700897
5914	1607027
5916	809856
5921	114125
5930	525856
5939	460858
5951	428043
5977	975308
5993	339394
6004	190002
6012	847539
6050	535334
6054	36267
6061	37054
6101	966761
6106	447548
6120	22686
6121	901448
6144	1382063
6160	2287350
6179	1006260
6195	2322257
6201	146246
6204	1251641
6206	1691240
6215	877254
6228	655843
6230	2541703
6266	714499
6267	392175
6276	5497552
6278	328427
6291	214341
6304	1099385
6308	2420836
6316	97673
6329	847539
6338	1655646
6351	826297
6360	2698080
6401	3674389
6416	2460858
6429	27655
6441	980328
6470	3674389
6474	123171
6504	265461
6514	257965
6538	1623985
6552	1332791
6567	1866333
6597	189604
6658	1092985
6663	23517
6667	966238
6676	3225976
6709	596818
6722	1148990
6723	569576
6731	166481
6760	969184
6771	2374554
6784	2728321
6808	1866113
6809	319997
6813	3206268
6816	1154507
6820	3478539
6821	319759
6834	3595020
6839	438888
6850	103788
6855	3206268
6861	3674389
6863	2903743
6890	36815
6891	99273
6905	1079798
6913	103788
6916	117662
6918	154810
6923	195929
6931	422765
6936	646
6938	646
6939	383216
6942	646
6943	99273
6946	47715
6952	1948419
6953	626251
6974	2798832
6986	8475
6987	1956
6988	721774
6990	70396
6997	50480
7005	3120746
7007	322739
7014	171750
7052	649023
7058	419685
7066	60754
7084	1049590
7094	646
7104	410663
7108	39488
7119	6913
7144	640174
7146	646
7148	646
7162	297033
7166	3311665
7176	608501
7179	977456
7183	464846
7190	2021121
7222	267993
7237	383268
7258	77929
7264	984057
7299	2119166
7301	1074551
7306	1425289
7327	458329
7346	70479
7353	1265974
7366	88379
7380	99273
7411	3476527
7425	797007
7426	1657218
7428	383478
7430	1957657
7435	646
7443	663289
7461	774078
7462	1025166
7496	462853
7499	215424
7503	39228
7511	427109
7525	52125
7536	750121
7540	321540
7546	582792
7580	257095
7583	170539
7590	1004346
7595	3614735
7611	795184
7637	201021
7648	130108
7649	144746
7659	347522
7688	410615
7701	255023
7709	74646
7719	548108
7733	1644896
7734	646
7738	219361
7739	1078449
7741	224964
7760	1353744
7761	2588647
7773	166918
7776	17445
7777	488956
7791	22106
7808	3674389
7816	211824
7829	2555135
7832	1128420
7854	2119336
7882	858017
7883	122749
7887	273872
7907	103788
7918	1119651
7923	3015062
7926	461444
7933	579225
7937	3652996
7938	940297
7983	440208
7987	285147
7988	103788
7993	3337955
8002	103788
8006	185306
8013	69939
8018	879220
8019	649347
8031	1552488
8042	6859297
8044	2019057
8071	285053
8074	110078
8082	340994
8083	388873
8096	1873389
8097	957794
8101	2686973
8117	101021
8120	4497
8147	695655
8148	714721
8153	339577
8160	189597
8163	3321555
8170	1132813
8172	2105951
8189	419321
8203	4427402
8207	2197607
8219	1967125
8229	646
8236	135657
8244	992824
8245	1831051
8247	29190
8255	2128244
8286	2153295
8297	770784
8312	69306
