geneid	dist
602	230284
636	1715361
971	10441
992	35510
1024	510
1032	2714
1238	2714
2008	64294
2010	1910880
2011	2498285
2014	1909939
2929	30735
2932	97813
3119	1114
3124	615158
3152	58002
3154	1114
3159	67633
3990	14796674
4378	3016972
4475	4653485
4716	1774485
5007	326928
5051	3065
5059	310392
5085	663706
5098	162324
5143	40977
5151	1901413
5161	1770799
5197	2378777
5198	839391
5216	506567
5234	9647230
5242	1362273
5249	24344
5264	630100
5266	6441760
5280	1867464
5291	860473
5302	1516534
5331	6233079
5345	1571999
5362	175976
5369	1344611
5401	2471025
5467	7209351
5468	3960588
5470	8824059
5471	2558025
5505	3184681
5506	698260
5522	5609674
5546	1524505
5557	1531512
5562	1362952
5570	17903
5597	1422853
5599	2948368
5608	5528429
5631	3132184
5659	3853533
5670	10658557
5691	9090246
5697	1865177
5705	7013669
5740	2003438
5748	1809687
5773	240396
5780	4900470
5785	7537150
5798	1511479
5820	5320950
5837	2498155
5843	4064421
5854	3157448
5877	3700295
5879	2155892
5897	129576
5898	8907370
5904	332476
5912	7756083
5913	5597557
5914	5315332
5916	3116548
5921	3274761
5930	3745269
5939	3107773
5951	2810275
5977	6233079
5993	1902287
6004	9465994
6012	8233477
6023	1186105
6050	2755683
6061	5981319
6095	1325096
6101	9824583
6105	7986483
6106	1317085
6117	19122
6120	8891725
6121	5266288
6138	6611975
6144	3176421
6160	529970
6179	1238491
6191	283
6195	567443
6198	525569
6201	2471025
6204	1264362
6206	5489961
6215	8273627
6228	1298244
6230	8930356
6253	363279
6264	198403
6266	765843
6267	9664953
6276	10507931
6278	2017102
6291	356687
6304	1603875
6308	421846
6316	1501812
6338	308
6351	4639914
6360	10833029
6390	1443949
6391	457137
6401	30577
6416	445548
6441	438567
6469	7696613
6470	30577
6474	388739
6504	8765056
6530	4332543
6538	6532757
6552	577311
6567	997531
6597	12885891
6635	4332543
6653	473324
6658	603863
6659	4332543
6663	8271174
6676	195956
6689	1443140
6709	700273
6722	946886
6723	3711286
6731	1295963
6745	6469319
6760	2426156
6771	316599
6784	11974375
6795	3960588
6808	1198311
6809	3947270
6810	4883
6813	9082646
6816	11740967
6820	8466343
6821	2597803
6826	7660669
6834	8385775
6847	9957734
6850	863814
6855	9113546
6861	30577
6863	1591017
6890	9056079
6891	471038
6898	13328461
6905	15498477
6913	863814
6916	5942627
6917	15142392
6918	40534
6920	13389193
6923	7366046
6926	7553581
6931	3995009
6938	651223
6939	11126139
6942	664136
6946	3933481
6952	2367631
6953	6345918
6974	11968955
6986	14259588
6987	2317753
6988	15539240
6990	7081806
6997	11282866
7005	9462668
7007	1555500
7013	2399902
7014	9898829
7045	8317761
7052	5130919
7057	7621410
7058	3452468
7066	175976
7084	11673986
7098	429040
7108	9135963
7111	7588993
7114	2140134
7119	13652617
7144	2789692
7148	843778
7151	358174
7158	8904059
7162	10477
7166	1066789
7176	4116143
7179	4956406
7183	1550223
7190	734842
7199	4332543
7222	8613558
7237	5237976
7258	62076
7264	8275063
7301	15361848
7306	766358
7312	9957734
7327	5644273
7333	2001883
7338	12343595
7346	7889752
7353	1782038
7366	705532
7380	727830
7385	2535490
7387	5668171
7411	1275
7425	2561541
7426	633726
7428	295327
7430	496373
7443	365671
7455	4184026
7461	5577999
7462	11194863
7469	1689352
7496	5738070
7497	7339967
7498	3857325
7499	7104510
7503	1715058
7511	1342160
7525	1952462
7536	238441
7540	13417423
7546	8586695
7562	1340
7580	6908015
7583	1039291
7590	15429480
7595	6596129
7606	2042805
7611	4209427
7621	4354767
7637	13055700
7648	8926497
7649	9807707
7659	8754215
7675	7408627
7688	8669237
7692	2422571
7701	185799
7709	654803
7714	6032640
7719	645192
7733	7483459
7734	506406
7738	1478654
7739	8010641
7741	1285807
7760	831645
7761	10897470
7773	6675480
7776	13501536
7777	1524705
7791	9509785
7808	30577
7816	377089
7829	11838943
7832	84202
7834	7313660
7854	6828918
7863	1808838
7882	7885743
7883	7931123
7887	7003611
7900	2357788
7907	320
7910	5773622
7918	2133594
7923	9614856
7926	430454
7931	13513672
7933	6967948
7937	8156587
7938	5107208
7983	2653504
7987	1429744
7988	863814
7993	6739265
8002	863814
8006	10510693
8007	2468192
8013	6059054
8018	4116212
8019	6693260
8029	3131818
8031	1233236
8042	9830122
8044	42841
8061	31256
8071	5674490
8074	12096261
8082	6749
8090	7599798
8096	6511004
8097	410237
8101	11947421
8117	12569386
8120	589421
8143	275105
8147	5576554
8148	567684
8153	11559212
8160	3011584
8163	6723763
8164	1605443
8170	3154922
8172	11545519
8189	3948693
8203	6053440
8207	6759730
8219	13222
8229	463416
8234	1687752
8236	2050526
8244	3189626
8245	111178
8247	1681153
8255	2360172
8286	4169544
8297	1268327
8312	8953067
8317	7502564
8321	8416628
8332	3944777
8336	8824059
8341	10441
8360	5659432
8378	914931
8394	9613927
8397	4126832
8411	236789
8413	6430339
8417	7747637
8430	334995
8431	10619465
8438	496373
8441	422424
8447	2185362
8450	1116496
8455	5767482
8458	3653090
8459	197953
8462	5178395
8463	6356801
8465	524442
8481	6348657
8488	21584
8489	14936143
8500	2856985
8510	8650699
8512	4332543
8526	3468845
8547	41298
8553	12484648
8557	9742373
8561	7422805
8562	432183
8563	293479
8571	4914418
8577	6927563
8579	47917
8582	1344029
8591	148637
8600	565149
8603	1754167
8623	3411642
8625	3848103
8635	949199
8636	919497
8641	8378035
8653	2618711
8656	7161763
8657	365137
8659	2567685
8660	419375
8662	333549
8663	2690086
8665	623942
8673	4782937
8674	926681
8675	6963660
8677	105487
8691	313457
8698	10868091
8702	168919
8704	204077
8708	293079
8709	7870366
8710	7995761
8716	733833
8730	7460343
8731	6315231
8742	3210022
8745	13323328
8746	2124652
8751	823287
8759	1809208
8761	2940235
8768	6221548
8771	9562984
8775	1190427
8782	4653485
8789	12180761
8792	13305
8796	916097
8805	1030633
8827	11475479
8832	178977
8833	3860720
8850	1991622
8853	1164489
8862	7228934
8885	848585
8898	828472
8919	43324
8921	10746083
8928	6178223
8948	5956277
8950	3146962
8964	84211
8965	6214800
8969	2182184
8974	902101
8986	761147
8994	256037
8999	1953532
9007	3770086
9012	889483
9019	8784570
9020	13178720
9026	2464176
9027	2488783
9040	1995788
9043	14616638
9045	516371
9047	6735226
9052	13368575
9067	1034933
