geneid	dist
559	3816
564	5076
572	7015
575	7870
582	7412
590	6729
594	5873
605	5165
614	3567
619	1732
624	1139
992	8831
1024	146976
1430	102024
2011	809775
2929	293
2932	657
3124	80137
3152	657
3855	546182
3911	415045
4202	546182
4208	468491
4275	546182
4374	546182
4378	524956
4416	487897
4448	39486
4475	128394
4513	546182
4676	165507
4716	191394
4717	546182
4734	39486
4747	546182
4750	39486
4772	468491
4827	39486
4828	468491
4841	468491
4857	247161
4867	487897
4901	67272
4919	124742
5051	45112
5059	123594
5085	84866
5098	288349
5143	74849
5151	265133
5161	648342
5198	14470
5216	2469861
5249	361210
5264	9322
5266	161850
5291	104393
5302	75481
5305	28033
5357	513112
5362	79425
5401	340119
5467	257002
5470	1075134
5471	1601944
5505	211709
5506	474084
5522	58543
5546	76972
5562	201450
5599	1071600
5608	44824
5654	104653
5670	248457
5691	3905
5697	291992
5705	208624
5740	305275
5748	320754
5780	461756
5785	47817
5798	86310
5820	275506
5837	13643
5854	244828
5877	647293
5879	577391
5898	251902
5912	65427
5913	13370
5914	2345
5916	18127
5921	618874
5930	745752
5939	856368
5993	396512
6004	436396
6012	112854
6050	1558113
6054	81544
6061	260262
6095	154362
6101	559586
6106	1186659
6117	2528
6120	84968
6121	285926
6138	487450
6144	476823
6160	532944
6179	1240439
6195	157897
6198	738165
6201	340119
6204	829489
6206	56367
6228	1192381
6230	1274839
6267	10782
6276	159648
6278	13609
6291	125323
6304	521453
6308	525568
6316	168545
6329	112854
6338	3062
6351	124477
6360	864976
6390	2422022
6391	72869
6401	66831
6416	92569
6429	325299
6441	5820
6469	107468
6470	66831
6474	172566
6504	928
6514	52933
6538	1389159
6552	2123246
6567	135188
6597	31831
6653	65543
6658	560758
6667	91106
6676	37855
6689	1169758
6709	117695
6722	1255848
6723	126864
6731	23662
6745	117958
6760	721742
6771	151747
6784	50002
6808	167615
6809	370724
6816	102608
6820	287887
6821	478509
6834	84385
6847	1313
6861	66831
6890	1010846
6916	284698
6917	310408
6918	123659
6920	356800
6923	1117403
6931	1479773
6939	890586
6946	458927
