geneid	dist
992	6608425
1024	11799170
1430	7465757
2011	9499285
3124	1630919
3855	7481851
3911	4600206
4202	7481851
4208	10041587
4275	7481851
4374	7481851
4378	11733857
4416	3913850
4448	157920
4475	3152322
4513	7481851
4544	1972015
4546	1972015
4676	5033224
4716	1051988
4717	7481851
4734	157920
4747	7481851
4750	157920
4772	10041587
4827	157920
4828	10041587
4841	10041587
4857	3773097
4867	3913850
4901	1927469
4919	7662759
5051	8961942
5059	3118975
5085	6871794
5143	6129284
5151	8856033
5161	2955853
5198	7670682
5216	3340859
5242	200093
5249	2581687
5264	672624
5266	11495474
5291	11137281
5302	1915512
5305	9430860
5362	8959418
5401	12253087
5467	5717283
5470	4122966
5471	7341625
5505	8214681
5506	83873
5522	6494418
5546	10337429
5562	8893534
5599	2883828
5608	6539880
5654	6933716
5670	9028368
5691	4826971
5697	8828423
5705	9390255
5740	10215071
5748	8820002
5780	3468955
5785	9917178
5798	10335270
5820	3047730
5837	4758940
5854	197746
5877	9545875
5879	9354722
5898	1591555
5912	10631533
5913	10312755
5914	6453173
5916	4131869
5921	10840923
5930	6392370
5939	9455065
5951	393633
5993	3385207
6004	10749554
6012	1511374
6054	1917372
6061	8957871
6095	11792516
6101	7367920
6106	8791931
6117	10106411
6120	11418768
6121	3041635
6144	11322997
6160	6350809
6179	8821989
6195	4203720
6198	9574063
6201	12253087
6204	10790798
6206	6476662
6230	3867368
6267	1109441
6276	7668754
6278	2575869
6291	2586815
6304	10971532
6308	6358650
6316	9509146
6329	1511374
6338	6240575
6351	3503362
6360	6388081
6390	3370675
6391	1429169
6401	10376462
6416	1421532
6429	6364100
6441	9112017
6469	4072510
6470	10376462
6474	5855781
6504	9996164
6514	4983579
6538	3930006
6552	3571962
6567	10317603
6597	5077839
6653	5318493
6658	5101333
6663	11711514
6676	766136
6689	3773868
6709	1700577
6722	3651594
6723	11514790
6731	5789641
6745	5802710
6760	9384871
6771	10285864
6784	1937455
6808	8925373
6809	9194557
6816	11880564
6820	2026174
6821	4988908
6834	1691287
6861	10376462
6863	11803286
6890	4082609
6916	8970949
6918	669677
6920	5590221
6923	8756275
6931	2143041
6939	7354871
6946	11326668
6952	11342861
6953	10084039
6974	9791357
6986	4299479
6987	9487147
6988	3222648
6990	2810895
6997	603486
7005	2797161
7007	3354372
7013	1870349
7014	3622448
7045	4418119
7052	2250047
7058	3831092
7066	8959418
7084	10728072
7098	6833671
7108	11742929
7119	8696475
7144	9447329
7158	2303257
7166	3189325
7176	2161658
7179	5756108
7183	5470556
7190	10186143
7222	2613558
7237	4007717
7258	7059524
7264	10458738
7299	10130370
7301	3174328
7306	10918632
7327	4845521
7338	8784169
7346	576671
7353	10233091
7385	2910878
7411	10712459
7425	9420425
7426	5782998
7428	670596
7430	7754716
7443	4414181
7455	5716209
7462	8890974
7496	1074337
7498	9638711
7499	542922
7503	6398863
7511	1191594
7525	8835365
7536	3533311
7540	4262571
7546	6117660
7580	2887798
7590	9796462
7611	2197311
7637	4228750
7649	3622448
7659	4105262
7688	6123532
7692	1829246
7701	651866
7709	805057
7714	10808175
7719	801987
7733	5436187
7738	1906126
7739	10432797
7741	11047850
7760	5188875
7761	4119436
7773	11473791
7776	3133439
7777	8806832
7808	10376462
7816	5505632
7829	9810144
7832	10594007
7834	4604852
7854	1499106
7882	5841841
7887	486490
7900	7908781
7918	6075097
7919	1419014
7923	2769495
7926	5519827
7933	3885962
7937	8078291
7938	7690667
7987	5126595
7993	9860282
8006	9486212
8007	2910878
8013	10595077
8018	2370916
8019	9555068
8031	10329671
8042	10754745
8044	1055580
8061	12816875
8071	8152148
8083	3140644
8096	3157846
8097	5222172
8101	1942222
8117	8771027
8120	8753725
8148	4093905
8153	7108953
8160	2888269
8163	9853914
8170	7310628
8172	6276433
8189	11746323
8203	10790574
8207	5408884
8219	6109025
8236	1691602
8244	12603967
8245	6086508
8247	2903678
8255	1576470
8286	7473236
8297	8804122
8312	500725
8321	6105323
8336	4122966
8378	1695238
8394	10710146
8397	2351963
8411	1796213
8413	889063
8430	4420335
8431	9490339
8438	7754716
8447	3475274
8450	11147840
8459	12876989
8463	1482481
8465	1363496
8488	3986511
8500	3411923
8505	4302862
8510	11819383
8526	9675429
8547	9487290
8553	5596012
8561	3752577
8563	11609815
8571	686816
8579	1514238
8582	6583808
8589	4280801
8600	6234227
8623	4636810
8635	9789587
8636	843850
8641	1098217
8656	9278661
8657	6874431
8663	1732959
8665	1978747
8674	5946494
8675	11354297
8677	4310944
8691	1663978
8698	9906207
8702	3986511
8709	1502706
8710	1888585
8716	1759849
8723	1658749
8730	1049139
8742	3836291
8745	9355056
8746	3533114
8751	2121113
8759	3522723
8761	5924506
8768	7237813
8771	3070328
8782	3152322
8789	8815409
8792	11442757
8795	4134994
8796	5418718
8805	5026683
8827	1049139
8832	4693380
8833	7489242
8850	3023123
8862	1049139
8885	7929496
8898	7923918
8919	978445
8921	9904865
8928	427657
8950	492043
8964	8082300
8965	6444842
8974	6338316
8986	1160048
9007	7495000
9012	4274608
9019	6386332
9020	8734128
9026	8470581
9027	8476002
9040	6692206
9043	8136996
9045	4484231
9047	7303795
9052	8794618
9077	7630525
9079	9053841
9094	2994102
9095	10576612
9106	11047850
9108	8351481
9119	9348699
9155	4109283
9173	883766
9209	3533528
9214	1708101
9226	6966422
9228	8933182
9232	1474316
9238	13362903
9248	1372601
9260	2428753
9265	2895276
9267	5605420
9269	3100247
9287	2989114
9288	2153184
9291	11595204
9317	6005924
9338	4289300
9341	4182505
9345	12607449
9348	2994631
9367	8123638
9383	2143484
9410	8789420
9414	285079
9442	6950447
9449	4038685
9458	7198725
9466	12370293
9474	686816
9485	54419
9495	4021202
9504	4246132
9519	7911004
9534	1396391
9539	3845570
9541	8804061
9554	2910878
9577	1014984
9578	6305623
9583	181689
9587	10881473
9602	5250218
9603	8840627
9617	5206572
9621	11829038
9636	7380317
9638	7918563
9648	638908
9655	10634676
9657	4296652
9661	11830420
9668	338715
9670	8407697
9678	11830420
9683	5113545
9692	1182924
9716	8586875
9718	1369717
9722	2266027
9729	8397258
9735	3556936
9741	11782862
9744	6486666
9748	454564
9752	4088584
9758	6631237
9759	8055266
9770	8098377
9772	1949928
9779	3455174
9790	177964
9793	8459358
9794	7750896
9798	978445
9806	515067
9808	5792444
9810	6479643
9811	9369183
9813	8086216
9827	978445
9846	8132845
9851	1462611
9852	11732325
9853	9503705
9864	2796970
9870	8022202
9878	8425990
9880	4122596
9902	58857
9922	9528645
9930	3911595
9944	1997937
9950	3731972
9951	2964121
9954	2981472
9960	5445295
9961	3786223
9986	11803810
9990	5212858
10007	1637089
10008	7899215
10018	4361816
10021	8582933
10026	9484257
10033	1997937
10037	2383097
10052	1579944
10054	10890413
10061	5439878
10070	5205531
10071	8158287
10076	433361
10079	10501312
10086	10106411
10088	11087763
10091	6959021
10107	11103273
10112	2872591
10121	3515153
10122	4988908
10123	4137139
10127	6531508
10128	1482481
10134	1796835
10145	4758940
10167	6702293
10171	11742929
10172	4069727
10187	10827189
10195	4118590
10205	9784532
10206	10597685
10209	5647686
10212	10927898
10213	7508823
10228	6483506
10233	4146361
10236	10171345
10245	1469761
10254	1677334
10262	4176935
10264	4052215
10269	2177526
10276	7252978
10282	1645188
10286	4168503
10287	1245724
10293	4999023
10298	109748
10301	10849408
10307	2423445
10317	10166965
10322	11315154
10323	2354233
10324	1754572
10326	396733
10331	857632
10335	7023116
10336	2682708
10341	4035335
10346	8976768
10347	1789362
10350	1252140
10356	92067
10357	1872808
10363	529395
10374	12526406
10376	1708101
10393	2197666
10405	4025684
10406	7125730
10410	7678357
10436	4566944
10444	7340397
10447	3402601
10472	10360457
10492	4415253
10493	1425914
10540	3795329
10561	5852741
10566	4150201
10567	1037026
10607	5990770
10610	9692803
10633	5992996
10637	3962393
10664	347375
10665	3887592
10672	1870284
10685	1700577
10694	8334160
10702	2251972
10704	978445
10713	7321257
10716	12720146
10727	3839830
10739	7279296
10743	6567869
10765	6667520
10766	5518040
10772	170024
10774	11831861
10806	145525
10814	1508286
10819	11696381
10833	2340409
10838	2729308
10844	2455390
10845	1102702
10872	858717
10875	396733
10879	396733
10891	68629
10900	6623474
10905	8531931
10907	783002
10908	6778746
10912	2208213
10914	3407863
10918	2252541
10925	9763530
10928	9741853
10936	1764968
10938	2743825
10967	4189362
10969	714822
10980	3518181
10983	10233050
10997	1283357
10998	8961942
11004	7070656
11009	11280679
11011	11815818
11021	1118431
11031	51798
11032	9707819
11036	9173498
11038	7145043
11040	7315030
11048	11570376
11053	11581983
11056	3591889
11061	1270086
11077	8173402
11089	11593605
11099	2892385
11101	3225615
11102	4454505
11106	49938
11109	9176412
11114	4761818
11120	4822222
11123	2476226
11124	11391419
11125	5755475
11129	9013149
11131	11442757
11140	4719266
11141	434345
11163	6784612
11167	5616470
11169	5313354
11172	11856281
11173	7102710
11177	8967931
11188	3576494
11193	1670472
11195	1522313
11209	3550963
11214	1717831
11216	8053907
11225	1162710
11226	5254337
11228	8128816
11236	9806524
11237	7094558
11243	4162171
11249	9639428
11250	7649392
11257	10199405
11263	6660853
11291	11111126
11297	6688477
11299	9789880
11300	4451180
11311	4772566
11320	1548898
11322	9255046
11326	4145788
11329	7454395
11331	3702310
11335	5513308
11343	1483381
11344	3072758
11349	7271746
11351	978445
11363	2971261
11366	1462537
11371	5271241
11378	7404458
11379	6893910
11386	3304560
11396	568862
11399	10338671
11405	396733
11410	5598664
11414	4578716
11415	9669767
11417	772633
11419	8201729
11425	4484553
11430	8956257
11433	4901342
11436	3482665
11445	5641923
11458	1555116
11459	6857413
11463	294423
11464	4858282
11465	3198631
11481	4061109
11482	625365
11484	11564620
11486	5522591
11487	6812862
11490	6815849
11491	5490181
11493	9929113
11498	2855587
11499	6932930
11500	1990007
11504	3964881
11505	1828755
11507	5386569
11511	10103591
11513	3584530
11518	7124242
11524	4019226
11528	6919626
11541	1714132
11542	6102275
11543	3505381
11546	11055337
11547	408465
11548	3639335
11561	2428268
11564	1909660
11574	11862599
11575	9816510
11579	5558892
11585	5207067
11590	5399988
11591	3894636
11592	396733
11614	2750548
11617	3535984
11619	7130194
11620	2214244
11625	5167728
11627	4833424
11628	8368302
11636	6592178
11638	493959
11643	3130560
11646	13422518
11647	8000157
11650	13422518
11652	666535
11653	4064089
11654	6572135
11657	13422518
11659	9395978
11670	6347843
11679	11498506
11680	4087834
11691	3378337
11694	1176643
11695	4118472
11696	743349
11704	4389337
11713	4566643
11724	396733
11726	9944561
11727	7598741
11728	3858907
11734	151331
11739	10783033
11741	9806524
11743	12071813
11744	3108790
11765	7706627
11775	3670844
11780	12574451
11783	703930
11786	4413210
11787	10775275
11788	916512
11789	9815880
11800	4545341
11801	3891335
11807	5490956
11810	12567815
11812	1578036
11821	2730833
11829	810134
11831	5423194
11832	2025841
11847	349512
11856	6973366
11873	8474263
11893	4724163
11897	32257
11900	1895672
11908	5884620
11911	8316469
11912	1474229
11917	8665384
11922	4951568
11924	1414152
11938	8762354
11944	7100343
11945	5682351
11946	6800762
11954	8941053
11963	10399932
11964	9434894
11969	9243302
11987	8702842
11996	9276776
12003	9742538
12008	4671734
12011	9438419
12013	3423341
12016	9879191
12019	4981638
12024	10190326
12025	13958350
12027	1585768
12035	702591
12038	11242433
12041	696106
12044	13927907
12045	1739263
12047	7383873
12048	2266596
12049	2853152
12050	5570536
12054	2089970
12060	1176788
12064	3347091
12069	10156625
12083	9159248
12087	2502791
12088	6326816
12091	4953919
12092	10727226
12095	652762
12100	174967
12102	5919674
12106	6942101
12109	2328116
12111	7103980
12125	8289942
12136	4404442
12137	7064071
12146	14051767
12157	6324784
12163	425728
12166	6086508
12210	2487545
12222	3404880
12262	5450738
12269	4423152
12275	9259371
12293	2287372
12294	2487545
12305	14109821
12316	7079337
12325	8311091
12327	8211747
12331	13422518
12334	4398135
12341	684970
12343	199341
12345	4726026
12350	5937609
12351	8180472
12370	9928801
12379	4396206
12383	8442802
12384	7370136
12387	3548154
12388	13978939
12391	312430
12396	4758506
12402	3800422
12404	7361954
12412	8814767
12415	9383612
12417	3494466
12421	7361954
12426	7384038
12428	3288783
12429	3288783
12430	3288783
12431	7352482
12434	7770310
12435	4734044
12452	7430996
12459	7651702
12463	3501958
12464	9683194
12468	7056418
12469	7987211
12470	2391975
12478	6418805
12479	13604385
12484	7789289
12485	7993928
12490	6059616
12491	7327194
12492	11927141
12493	99679
12497	5043641
12500	3952864
12501	9794619
12502	3906231
12513	10703442
12515	7166077
12517	4207905
12530	3488687
12531	2261312
12534	3379662
12551	11827846
12553	1733471
12556	5097596
12570	6383573
12575	3437587
12576	8505802
12579	6740708
12582	5974460
12583	8895652
12589	8163890
12595	10357787
12602	12589528
12606	4394086
12610	9914506
12619	12653772
12624	8244895
12625	9220339
12637	10135660
12646	5097364
12658	11289013
12662	5116969
12668	7148391
12670	9907540
12672	3168729
12682	7373417
12683	10141144
12686	9474479
12688	4415803
12690	9890793
12698	1299082
12699	8097250
12701	6399670
12707	5785699
12711	4956582
12717	49338
12729	10431796
12734	708980
12737	5441515
12741	13422518
12762	5983332
12765	5502175
12766	9923738
12767	2341805
12778	866092
12779	4883791
12783	240420
12790	11389210
12805	5850806
12810	10827214
12817	2409606
12822	614915
12829	1311623
12833	1596596
12845	9974473
12846	3902665
12847	3727390
12852	1582572
12853	4079135
12857	692753
12863	8214681
12865	13939309
12866	7383739
12877	322336
12878	10313870
12891	6916785
12892	709004
12898	345414
12900	10796564
12901	4665594
12905	14012737
12907	12253087
12921	14415265
12925	119299
12934	10202809
12936	9519522
12944	7481851
12947	2832094
12949	9841564
12950	4981865
12955	11146255
12957	9375417
12958	890657
12973	4841701
12975	9337345
12977	4202800
12987	601774
12988	1936126
12992	55286
12998	5318493
13006	2451391
13010	5650625
13021	4074994
13023	3894810
13026	8623257
13029	2569231
13033	10442929
13042	8083843
13050	1314697
13053	7908781
13054	396733
13058	11927141
13059	5584423
13063	7146959
13067	500848
13070	9595344
13071	9451932
13073	7905769
13075	4035208
13086	4973595
13088	300770
13092	3057823
13096	5966354
13097	9966444
13098	6722054
13103	1689429
13111	12750851
13116	4583957
13127	6938478
13136	6921115
13137	4142806
13140	7305353
13143	9835021
13148	6577792
13151	9242883
13157	3876370
13167	1607061
13172	6043933
13173	1051988
13175	13896833
13177	10576429
13179	399682
13189	4804348
13192	10189193
13199	6848003
13203	5490956
13204	8407446
13206	4703584
13213	3505178
