geneid	dist
559	4939
564	6195
572	8106
575	8383
582	7471
590	6788
594	5935
605	5223
614	3634
619	521
624	1814
992	2370930
1005	83778505
1024	2395007
1430	25619948
1711	35101
1712	35101
2011	10559414
2929	130884
2932	353
3152	353
3911	74584897
4104	62844933
4208	31530249
4378	6771409
4416	1847880
4448	63834109
4475	61276535
4548	2175357
4714	2175357
4734	63834109
4750	63834109
4772	31530249
4827	63834109
4828	31530249
4841	31530249
4867	1847880
4881	68089525
4901	74632101
4919	75732772
5051	16950082
5085	16941671
5098	15225894
5143	15820117
5151	18027615
5161	16007573
5197	76162123
5198	18385952
5216	18856176
5234	86010564
5242	15265178
5249	15832652
5266	21260305
5280	16058854
5291	18984837
5302	970336
5305	18931463
5357	25543726
5362	17107358
5369	19060689
5467	25567222
5468	80359254
5470	86250988
5471	24142907
5505	76593129
5506	15597267
5522	42684626
5546	82087395
5557	18135091
5562	18247678
5599	24248991
5608	42630845
5654	1487339
5659	47031266
5670	23141972
5691	26379356
5697	17730850
5705	25516463
5740	81236303
5748	17699857
5780	83449097
5785	21793606
5798	82080742
5820	42525680
5837	76232387
5843	83110739
5854	80774272
5877	80533860
5879	45714125
5898	26333814
5913	10830279
5914	42794130
5916	80853046
5921	24353000
5930	43384095
5939	46026700
5951	24189544
5993	4781
6004	22730050
6012	25951078
6050	24174401
6054	80552883
6061	79601822
6095	81449351
6101	26683987
6106	35392943
6117	30738857
6120	22462991
6121	42519712
6138	25387745
6144	19715466
6160	27271564
6179	35560771
6195	51046503
6198	44532673
6204	82062879
6206	42715521
6215	25948654
6228	35409059
6230	37446782
6266	34138309
6267	85006845
6276	47963104
6278	17967210
6291	111729
6304	82113103
6308	27252761
6316	19106997
6329	25951078
6338	15833422
6351	83366912
6360	27212616
6390	37455847
6391	51061500
6401	3989797
6416	51078960
6441	47250189
6470	3989797
6474	50976
6504	22381195
6514	47740541
6538	38405287
6552	36482123
6567	81916917
6597	3626025
6658	38736001
6663	22164779
6667	80888903
6676	4063423
6689	35019143
6709	76743383
6722	35599473
6723	43399439
6731	15328380
6760	45794904
6771	81682587
6784	43780615
6795	80359254
6808	18351491
6809	46999547
6813	3214714
6816	2134310
6820	3295233
6821	76269373
6834	3302335
6839	80370497
6850	4397396
6855	3214714
6861	3989797
6863	81382147
6890	86190425
6898	14683680
6905	12743102
6913	4397396
6916	79629899
6917	11795430
6918	4344751
