geneid	dist
582	263
1024	58609
1430	12170
2011	15141
2929	573
2932	833
3124	32377
3152	833
4104	11824
4208	15618
4416	184500
4448	4027
4475	665
4544	10011
4546	10011
4548	11465
4714	11465
4734	4027
4750	4027
4772	15618
4827	4027
4828	15618
4841	15618
4867	184500
4881	9085
4901	15389
5007	1831
5051	43589
5059	66174
5085	103237
5098	43515
5143	4878
5151	16996
5161	38352
5198	46990
5216	41560
5234	76280
5242	9776
5249	16451
5264	59923
5266	12833
5280	42605
5291	43479
5302	2231
5305	7331
5357	12251
5362	30483
5369	23782
5401	31375
5467	33080
5468	758
5470	23437
5471	12021
5505	11437
5506	20043
5546	7994
5557	20047
5562	71994
5608	19952
5654	10460
5659	30374
5670	9662
5691	24107
5697	21358
5705	37953
5740	30688
5748	11706
5780	24908
5798	9520
5820	16527
5837	24430
5854	16331
5877	35408
5879	1331
5898	109231
5913	387
5914	8659
5916	21530
5930	22143
5939	22294
5951	16598
5993	25394
6004	1236
6012	5183
6050	34406
6061	28875
6101	35138
6117	1595
6120	18401
6121	29450
6137	1655
6144	37440
6160	3961
6179	63791
6195	45521
6198	1682
6201	31375
6204	10937
6206	22850
6215	5423
6228	8273
6230	32279
6266	34011
6267	16366
6276	14760
6278	65706
6291	83598
6304	28385
6329	5183
6338	877
6351	46905
6360	15713
6391	20541
6401	76650
6416	50462
6429	34318
6441	42876
6469	260
6470	76650
6474	10455
6514	14572
6552	44883
6567	42434
6639	4798
6658	947
6663	169504
6667	17111
6676	87380
6709	22144
6722	31374
6731	19039
6760	15144
6771	677
6784	16218
6795	758
6808	83799
6809	64788
6813	632
6816	2386
6820	34142
6834	4471
6839	8704
6855	632
6861	76650
6863	1196
6890	11887
6891	542
6898	33538
6902	4798
6905	14555
6916	31563
6920	5394
6923	20538
6936	650
6938	650
6942	650
6943	542
6946	15678
6952	5145
6953	7284
6974	6216
6986	11252
6987	1177
6988	22058
6990	26580
6997	68529
7005	11275
7007	70059
7013	901
7014	36349
7045	1113
7058	24872
7066	30483
7084	61914
7094	650
7104	322
7108	2249
7119	23946
7144	21699
7146	650
7148	650
7158	3212
7166	121201
7176	17330
7179	10090
7183	82068
7190	23770
7222	6799
7237	57776
7258	32918
7299	15316
7301	27733
7306	11297
7327	33082
7338	34727
7353	47150
7380	542
7385	28982
7411	37756
7425	1897
7426	7178
7428	18555
7430	8658
7435	650
7443	105742
7455	25473
7461	15015
7462	1946
7496	47831
7498	3426
7503	23684
7511	21651
7525	12610
7540	9310
7546	746
7580	1982
7583	767
7590	10992
7611	44995
7637	22761
7649	11059
7659	7720
7688	14431
7692	1676
7701	4662
7719	42890
7733	23708
7734	650
7738	5256
7739	11344
7741	810
7761	8677
7773	323
7776	7088
7777	15178
7808	76650
7816	3283
7829	900
7832	19887
7834	20012
7854	12321
7887	5665
7918	62893
7923	449
7931	26469
7933	28458
7937	1115
7938	133460
7983	2809
7987	34511
7993	18236
8006	39496
8007	28982
8013	4720
8018	32400
8019	110654
8031	1146
8042	248
8044	20417
8082	21613
8083	19750
8096	20712
8097	61535
8101	23901
8117	4531
8120	57056
8148	9126
8153	17568
8163	11576
8170	31242
8172	14032
8189	49445
8203	28398
8207	48447
8219	44695
8229	650
8234	377
8236	36545
8244	26224
8245	35230
8247	25265
8255	1840
8286	1726
8297	35761
8312	4503
8321	19455
8336	23437
8338	1455
8360	57170
8378	12865
8394	18697
8397	52556
8411	22505
8413	50181
8415	13829
8417	9877
8430	19214
8431	18571
8438	8658
8441	13760
8447	50061
8450	110152
8455	5648
8462	3468
8463	24321
8465	25207
8481	42734
8488	43740
8489	60106
8500	31225
8505	19535
8510	13972
8519	1831
8526	36162
8553	49513
8557	10768
8561	611
8563	6584
8571	26324
8577	29434
8579	8856
8582	44844
8589	6644
8600	15408
8623	10123
8625	22501
8635	71512
8636	58851
8641	35701
8656	591
8657	3228
8663	15890
8673	2347
8674	17766
8675	29243
8677	14744
8691	17082
8698	19804
8709	5416
8710	77153
8716	7999
8723	1309
8730	68360
8742	22024
8745	6813
8746	20108
8751	2414
8759	14987
8771	10153
8782	665
8795	10623
8796	3362
8805	4780
8827	68360
8832	126470
8833	20956
8850	1175
8853	90091
8862	68360
8885	29119
8898	17287
8919	3363
8921	22801
8928	4773
8950	39670
8964	11647
8965	7248
8974	3503
8986	45231
8999	25377
9007	16375
9012	49622
9019	22295
9020	51552
9027	11431
9040	6963
9043	618
9045	1863
9047	12677
9052	37264
9077	6691
9079	20053
9094	12788
9095	24238
9106	810
9119	11881
9132	41927
9155	12181
9173	24599
9178	30030
9209	31003
9214	28720
9216	13051
9226	22824
9228	57931
9232	35216
9238	11081
9248	37063
9251	7495
9260	7368
9265	7555
9269	16246
9270	61106
9287	11252
9288	2430
9291	27025
9317	42128
9327	25558
9338	19675
9341	16562
9345	23342
9348	40622
9367	58845
9383	49793
9410	25136
9442	3159
9448	1110
9449	24771
9466	12718
9474	26324
9495	3176
9504	34023
9513	16620
9519	15333
9534	20819
9539	31793
9541	3484
9554	28982
9577	9733
9578	566
9583	17784
9587	5183
9588	14089
9600	40021
9602	10570
9603	17111
9617	227
9636	938
9638	58192
9648	17518
9652	7102
9657	12626
9661	2485
9668	83599
9678	2485
9683	3342
9692	30873
9721	37154
9725	8369
9729	169682
9735	995
9741	9843
9744	8226
9745	18233
9748	16555
9758	15637
9759	19377
9774	7055
9779	14062
9790	17367
9793	29537
9794	47897
9798	3363
9806	7278
9808	37240
9810	33010
9811	35100
9813	16282
9821	43716
9827	3363
9846	25829
9851	61218
9864	80723
9878	16215
9880	11810
9893	8704
9902	22847
9922	30234
9930	1322
9944	23078
9950	8299
9951	60199
9954	12579
9960	18515
9961	24395
9986	87787
9990	34594
