geneid	dist
992	15798
1024	207702
1430	145373
2011	30359
2929	317
2932	308
3124	286001
3152	308
3855	7561
3911	66354
4104	1566
4202	7561
4208	33889
4275	7561
4374	7561
4378	24255
4416	52663
4448	4328
4475	570
4513	7561
4529	32733
4676	31345
4716	1406
4717	7561
4734	4328
4747	7561
4750	4328
4772	33889
4827	4328
4828	33889
4841	33889
4857	87954
4867	52663
4901	58350
4919	29562
5051	85777
5059	20974
5085	60573
5098	80356
5143	218
5151	14548
5161	345403
5198	5742
5216	25951
5242	19453
5249	263190
5264	1324
5266	69061
5291	12759
5302	2023
5305	194
5362	103604
5401	22565
5468	149573
5470	100646
5471	7661
5505	11654
5506	158025
5522	16804
5546	48080
5562	12265
5599	50156
5608	75741
5631	811
5654	351104
5659	1844
5670	26184
5691	12694
5697	40865
5705	6901
5740	2779
5748	44397
5780	22867
5785	35710
5798	37962
5820	99836
5837	14652
5854	22848
5877	44101
5879	10922
5898	82355
5912	81220
5913	6447
5914	53472
5916	4656
5921	5623
5930	55661
5939	1678
5951	22503
5993	48893
6004	1189
6012	40372
6050	16308
6054	26757
6061	65536
6095	8590
6101	15366
6106	33366
6117	21550
6120	70909
6121	90457
6138	27058
6144	1881
6160	55252
6195	2482
6198	2429
6201	22565
6204	1867
6206	114961
6215	25388
6228	40175
6230	58544
6267	104474
6276	1213
6278	7451
6291	84036
6304	1189
6308	45232
6316	320958
6329	40372
6338	271521
6351	27147
6360	124400
6390	43036
6391	1235
6401	46784
6416	5756
6429	552139
6441	460
6469	41833
6470	46784
6474	259184
6504	2011
6514	917
6538	13603
6552	362596
6567	1095
6597	13778
6653	59749
6658	302577
6663	16937
6667	49593
6676	22002
6689	5910
6709	14748
6722	4736
6723	4170
6731	48167
6745	1522913
6760	7688
6771	761
6784	41276
6795	149573
6808	23487
6809	1161
6816	22762
6821	30555
6834	839266
6847	255753
6861	46784
6863	6783
6890	142553
6905	6071
6916	92471
6918	15942
6920	443253
6923	7476
6931	114352
6939	658
6946	6849
6952	36319
6953	72946
6974	2734
6986	43143
6987	3662
6988	28118
6990	27205
6997	11351
7005	144361
7007	14696
7013	8680
7014	77747
7045	104322
7052	8567
7058	209364
7066	103604
7084	71178
7098	109064
7108	12201
7119	11089
7144	1066
7158	183028
7166	32007
7176	85478
7179	122880
7183	105976
7190	66254
7222	17668
7237	543787
7258	43275
7264	157926
7299	903
7301	54698
