geneid	dist
559	3703
564	4955
572	6888
575	7715
579	7515
582	7354
590	6674
594	5820
602	5405
605	5115
614	3538
619	1737
624	1139
991	103
992	24148
1024	7467
2010	122992
2011	165707
2014	124009
3124	580449
3152	626
4104	282424
4208	9408606
4378	681648
4475	1785208
4772	9408606
4828	9408606
4841	9408606
5007	2670770
5051	616871
5059	329971
5085	599055
5098	174022
5143	616546
5151	9068124
5161	480597
5197	173155
5198	8089314
5216	6819676
5234	119647
5242	406307
5249	605406
5264	2137369
5266	1270064
5280	316674
5291	6469544
5302	7225
5345	8741342
5362	57209
5369	5988182
5401	241668
5467	349735
5470	754642
5471	2775798
5505	784330
5506	1176729
5522	79859
5546	228863
5557	8705899
5562	8546029
5597	368028
5599	2472189
5608	350501
5659	310787
5670	1721914
5691	864299
5697	9726622
5705	199773
5730	2142655
5740	3501105
5748	120031
5772	400739
5780	103997
5785	199098
5798	255908
5820	641390
5837	264577
5841	1268629
5843	844212
5854	4507825
5877	4969782
5879	871191
5898	709663
5914	7872
5916	4466567
5921	2312862
5930	1557404
5939	1660510
5951	2576950
5993	3400637
6004	721832
6012	93951
6023	2900848
6050	2606130
6054	4931322
6061	6288839
6095	2912195
6101	581958
6106	3214056
6117	332242
6120	234804
6121	675832
6137	2453127
6144	4239359
6160	205666
6179	3488073
6198	564431
6201	241668
6204	270467
6215	69128
6228	3240907
6230	1294335
6253	1981733
6266	837471
6267	152823
6276	2551089
6278	9172656
6291	1969813
6304	205928
6308	322580
6316	5901214
6329	93951
6338	586693
6351	483085
6360	422096
6390	3794086
6391	177809
6401	791631
6441	1979798
6469	749005
6470	791631
6474	1028563
6504	165777
6514	1056364
6538	697264
6552	5675295
6567	1062265
6597	4145422
6639	47820
6653	2055343
6658	190875
6663	10878
6667	4394184
6676	1523068
6689	2286987
6709	967829
6722	3541955
6723	1596062
6731	501951
6745	285148
6760	517546
6764	2208570
6771	1314352
6784	15014408
6808	8403788
6809	373629
6813	2724133
6816	5331886
6820	2229346
6821	329355
6834	2171432
6839	5164442
6850	630251
6855	2724133
6861	791631
6863	3164515
6890	530799
6898	6670954
6902	47820
6905	8471674
6913	630251
6916	6336077
6917	9088613
6918	1320062
6920	6721267
6923	11277301
6931	349632
6936	78964
6938	78964
6939	4701030
6946	3565807
6952	3772606
6953	121887
6974	15110534
6986	7418670
6987	2859277
6988	9462713
6990	11006324
6997	2929291
7005	3288163
7007	3671847
7013	3792132
7014	3654572
7045	2106363
7052	69596
7057	1607640
7058	4751090
7066	57209
7084	5281103
7094	78964
7108	1104768
7114	2067528
7119	7729654
7144	1851467
7151	1637
7158	245577
7162	1334046
7166	521198
7179	1559053
7183	4140919
7190	14818
7222	12271964
7237	44778
7258	1734007
7264	2866294
7301	9279920
7327	7253375
7333	2089062
7338	6605247
7346	2499915
7353	350835
7387	154489
7411	583192
7425	484857
7428	531454
7430	3404212
7435	78964
7443	2157649
7455	860592
7461	69176
7462	5546392
7496	7276943
7497	1366349
7498	96567
7499	1889747
7503	3478434
7511	4010456
7525	9451293
7536	5392313
7540	6738792
7546	688893
7562	1340612
7583	1359179
7590	8412229
7595	719881
7606	2119639
7611	240804
7621	2024363
7637	6446385
7648	939581
7649	3587737
7659	635
7688	753336
7692	1784580
7701	446753
7709	870812
7714	6227337
7719	852827
7733	5239854
7738	2075257
7739	2600030
7741	4775484
7760	1744195
7761	450214
7773	1026646
7776	574
7777	192956
7791	144367
7808	791631
7816	272955
7832	7399104
7834	1343366
7854	14871
7882	11716303
7883	2538203
7887	1814163
7900	160212
7907	630251
7910	139466
7918	1631165
7923	3424182
7926	319232
7931	6807950
7933	10919702
7937	1983736
7938	97009
7983	4954881
7987	2124037
7988	630251
7993	457386
8002	630251
8006	1627500
8013	92070
8018	1269777
8019	154199
8029	5265419
8031	502514
8042	1958218
8044	3060986
8061	29077
8071	277777
8074	3480781
8082	2322225
8083	6774780
8096	666809
8097	2004863
8101	14989709
8117	6784828
8120	1025407
8143	5340970
8148	978851
8153	3047964
8160	2387195
8163	443223
8164	3129684
8170	2554187
8172	14624648
8189	1381185
8203	141216
8207	5724089
8219	2987836
8229	78964
8234	1948562
8236	3513693
8244	1728149
8245	2928418
8247	4271081
8255	4679080
8286	2265682
8297	3266257
8312	953674
8321	531361
8332	2332887
8336	754642
8338	96452
8339	78598
8360	136531
8378	3697771
8394	841244
8397	1192183
8411	5364628
8413	619980
8417	4257265
8431	1685459
8438	3404212
8441	5255790
8447	1827769
8450	6209527
8455	1395923
8458	2416349
8459	123458
8462	874601
8463	736188
8465	2626564
8481	1112557
8489	8895315
8500	6963117
8505	466232
8510	741482
8519	2670770
8526	4159953
8553	5962289
8557	1179604
8561	3421335
8562	5796540
8571	1868908
8577	78498
8582	340582
8600	430113
8603	2032149
8623	6563
8625	1454675
8635	1272450
8641	127531
8656	837320
8657	5762151
8660	2161527
8662	247357
8663	3725059
8665	3488730
8673	5487358
8674	2428682
8675	1782034
8677	458675
8691	348536
8698	14126211
8708	37589
8709	4728111
8710	2995207
8716	675162
8731	1430271
8742	4541180
8745	4323374
8746	7251395
8751	3637436
8761	1544892
8768	834452
8771	1039446
8775	549243
8782	1785208
8789	6460360
8795	135435
8796	246803
8805	3589341
8832	6833866
8833	2448644
8885	389381
8898	376382
8921	14050770
8928	2841036
8950	4497943
8964	5107254
8965	688079
8969	4062584
8973	9985454
8974	888159
8994	9072988
8999	2926396
9007	2475018
9012	7174279
9019	830761
9020	478070
9026	3574114
9027	2041844
9040	849633
9043	5565869
9045	8011305
9047	169829
9052	445183
9067	89433
9077	9490676
9079	2701507
9094	2305089
9106	4775484
9108	2542814
9119	4374755
9132	4624432
9155	717908
9173	2844187
9178	8167636
9203	3732951
9209	898182
9214	1003388
9216	2092310
9226	5440072
9228	2654589
9232	2950164
9238	357697
9248	2462052
9251	3136966
9260	3530652
9265	2650604
9267	2018204
9269	59843
9270	6800966
9287	919299
9291	526301
9324	3608514
9327	2012528
9338	59771
9341	3149514
9345	634559
9348	3032229
9367	4841715
9383	1888491
9449	1923070
9466	134733
9474	1868908
9485	305695
9495	1848472
9504	80328
9513	119997
9519	214630
9525	6322006
9534	3886950
9541	2714313
9574	1421983
9577	6591928
9578	14308932
9583	5733076
9587	173968
9588	5530009
9596	2801985
9600	2441
9602	9942475
9621	3600126
9625	2521151
9633	8555332
9636	1630
9638	308164
9648	2593161
9652	4683293
9655	205499
9657	32271
9661	3641868
9668	2056126
9670	2727618
9683	3426715
9716	4621946
9721	1519299
9722	4319704
9725	1800307
9729	7002198
9732	133080
9735	4637759
9741	2874876
9744	41840
9745	3204736
9748	465039
9752	693523
9758	641876
9759	5291891
9770	4987887
9772	325514
9774	486665
9779	17173
9790	39162
9793	6109437
9794	5172604
9806	3226041
9808	3440334
9811	4202633
9813	892224
9821	201411
9846	263046
9851	2984923
9852	2827181
9853	402708
9864	10501878
9878	4399567
9880	1068515
9893	5164442
9897	1887690
9922	4321763
9930	10605191
9933	5769218
9944	601108
9950	3699564
9951	965915
9954	3565936
9960	3358913
9961	529455
9963	4087609
9986	4690087
9990	1919608
9994	1520
10007	972484
10008	165281
10018	10079338
10021	503578
10026	2848628
10033	488514
10037	362846
10052	1513501
10054	280977
10061	59543
10070	1768766
10075	7101855
10076	502377
10079	414630
10086	332242
10088	14351704
10091	5408452
10107	7195989
10112	659111
10117	1447022
10121	5279647
10122	329355
10123	8434925
10127	2683799
10128	736188
10134	7018254
10143	5988525
10145	264577
10156	248499
10167	5404353
10171	1039529
10172	67244
10187	122490
10195	604946
10203	8846226
10205	16176943
10206	82904
10209	5935000
10212	432379
10213	574934
10233	8478309
10245	870285
10254	4676904
10262	3169146
10264	1973550
10269	2151790
10276	1359073
10282	838866
10286	9452954
10287	2568682
10293	57669
10296	7060125
10298	2731453
10301	2328535
10306	8673406
10307	3800934
10317	146254
10322	1894257
10323	8701499
10324	5134313
10331	12100242
10334	314545
10335	1363318
10336	3381526
10341	591578
10347	7508069
10350	1998622
10356	1055215
10357	6423408
10359	8623469
10363	8444
10374	2020737
10376	1003388
10385	787952
10393	502269
10405	535981
10406	2614361
10410	3247512
10436	6245794
10444	808269
10447	3178995
10472	7495
10479	1467229
10481	103
10493	1099477
10505	442774
10520	770403
10540	720727
10607	662584
10610	922219
10633	644587
10664	935296
10670	5456905
10672	7203002
10685	967829
10694	1557013
10702	538597
10713	2989088
10716	842905
10718	2997557
10724	3041555
10727	6609433
10739	3046185
10743	1264584
10765	1850292
10766	234870
10771	4337595
10772	586807
10774	557183
10806	4419732
10814	830781
10819	675579
10833	2159070
10838	808028
10844	811773
10845	14679
10875	3142135
10882	509751
10891	653504
10900	534494
10905	251100
10906	452981
10907	71159
10908	90903
10912	1125994
10913	119225
10914	6028037
10918	1879990
10919	1033092
10925	5211163
10928	646002
10935	941540
10936	271901
10938	958896
10951	2318977
10953	1358618
10967	195998
10969	484539
10977	1053905
10980	968842
10983	367533
10997	2756647
10998	616871
11004	3545279
11009	4909175
11011	3397649
11015	4825611
11023	3429811
11025	205356
11031	1167296
11032	528600
11036	3207561
11040	2908023
11048	862948
11053	1033162
11055	4366416
11056	767728
11060	1113978
11061	916984
11067	207488
11075	4063467
11077	151014
11093	4513264
11099	1207163
11101	2549711
11102	290986
11106	5445433
11109	5731885
11114	2908880
11123	435453
11124	2012028
11125	691624
11129	5151842
11140	207839
11141	99123
11167	726797
11172	3735444
11173	432460
11177	4902811
11187	3446183
11188	814209
11193	4701750
11195	828613
11197	4900707
11198	4848
11207	473883
11209	3418191
11214	1739823
11216	4554861
11217	452072
11225	4064019
11226	3619148
11228	4794686
11230	103
11233	4488878
11237	467332
11242	855175
11243	3540100
11249	319055
11250	826042
11263	1818111
11289	4649296
11291	409267
11297	838939
11299	5343854
11301	2191740
11305	403743
11310	3478916
11311	2143233
11320	2262151
11322	3234061
11326	748840
11329	1444639
11331	2331601
11332	4950732
11334	1251591
11335	3331685
11343	798679
11344	1014099
11349	4006418
11363	145462
11366	1073608
11371	227366
11374	2801311
11379	3984523
11386	2304099
11395	750768
11396	653098
11399	842011
11400	858396
11405	103187
11410	644861
11414	1810398
11415	667298
11417	1598026
11418	361760
11419	590934
11425	322906
11430	4902471
11432	1798277
11433	2084267
11436	5494722
11443	1337868
11445	584747
11458	4090197
11463	439571
11464	2315924
11465	6320156
11474	3852039
11481	714228
11482	737560
11484	884428
11486	229925
11487	9002782
11490	311406
11491	221905
11493	132836
11497	418345
11498	3465382
11499	2368573
11500	341908
11503	173830
11504	3587243
11505	751318
11507	256902
11511	876091
11513	20514
11516	3831935
11524	3069689
11525	890
11527	355582
11528	3751278
11529	294248
11542	2984202
11543	861557
11544	3469053
11546	910284
11547	514339
11548	3338498
11555	160486
11561	662382
11564	500955
11574	8064909
11575	5009441
11579	348750
11582	9305523
11585	4821291
11590	237969
11592	213474
11614	120450
11617	367005
11619	2449789
11620	245606
11627	5444003
11628	51917
11636	1346941
11638	5538905
11643	555613
11647	125711
11653	2039108
11654	844488
11656	640409
11659	31075
11661	358420
11670	705079
11671	1678607
11679	249516
11680	884684
11685	4883545
11691	2110151
11694	1817483
11695	9789638
11704	278627
11713	1723554
11716	209653
11724	110485
11726	334785
11727	3464809
11728	846640
11734	1501735
11739	8438412
11741	5019813
11743	4812027
11744	9298414
11747	1474705
11759	5037977
11765	333949
11766	3287
11775	1857861
11778	8300967
11780	90490
11783	4980648
11786	650896
11787	561121
11789	8286494
11800	3411222
11801	341270
11805	8234334
11807	385649
11810	1539691
11812	1501138
11821	699506
11825	712599
11826	8234334
11827	716590
11829	1423509
11831	4897665
11832	1387590
11842	54028
11847	3312495
11856	865820
11869	1814911
11873	3291336
11890	699890
11893	70326
