geneid	dist
992	193455
1024	27026
1430	6497397
2011	5775976
2929	365
2932	153492
3124	2374890
3152	153492
3911	1870396
3990	2022676
4104	2409860
4208	3221932
4378	2698864
4416	186921
4448	2114865
4475	4014619
4529	1066101
4544	2280415
4546	2280415
4548	11990
4714	11990
4734	2114865
4750	2114865
4772	3221932
4827	2114865
4828	3221932
4841	3221932
4867	186921
4881	2157427
4901	1944905
4919	3348603
5007	966930
5051	1888162
5059	465636
5085	1869763
5098	383279
5143	1036309
5151	2635014
5161	1159239
5197	2677303
5198	2063980
5216	1450114
5234	7359695
5242	473844
5264	126328
5266	692785
5280	1246272
5291	1325534
5302	333541
5305	1355492
5362	1979852
5369	1150874
5401	2657860
5468	2121927
5470	7536198
5471	805217
5505	2105632
5506	792681
5546	4039394
5557	2424058
5562	2297984
5608	730200
5659	3190936
5670	346443
5697	2786560
5705	19431
5740	3141142
5748	2753323
5780	5012442
5785	1319214
5798	4033698
5820	767894
5837	2645544
5854	2458507
5877	2261374
5879	2110694
5898	120308
5913	373395
5914	491111
5916	2549801
5930	19854
5939	2415397
5951	916869
5993	1986177
6004	633856
6012	126705
6050	872222
6061	1302474
6095	3341452
6101	19270
6106	1814019
6117	499020
6120	7654919
6121	788475
6137	1655
6144	591652
6160	309215
6179	1766797
6195	742599
6198	828041
6201	2657860
6204	4015273
6206	577739
6215	148926
6228	1815097
6230	2749082
6266	3174378
6267	6315358
6276	1076805
6278	2694188
6304	4077450
6316	1119201
6329	126705
6351	4964745
6360	210847
6401	582639
6416	636802
6429	4575657
6441	3381443
6469	53600
6470	582639
6474	794
6514	3838751
6538	3625803
6552	988639
6567	3874347
6597	106149
6658	947
6663	166505
6667	2608499
6676	480800
6689	2461687
6709	1919351
6722	1647067
6731	557165
6760	2191753
6771	3656243
6784	4312663
6795	2121927
6808	2163425
6809	3161941
6813	470
6816	1224
6820	8620
6821	2610305
6834	571
6839	2134189
6850	3326
6855	470
6861	582639
6863	3256712
6890	7495209
6891	1605
6898	2897352
6905	3868371
6913	3326
6916	1338957
6920	2930575
6923	4468890
6931	3045055
6936	5926
6938	5926
6939	18216
6942	5926
6943	1605
6946	358828
6952	2949755
6953	41001
6974	4268320
6986	3327631
6987	32508
6988	4892867
6990	4516531
6997	7097
7005	38117
7007	5112420
7013	2911588
7014	142123
7045	1079
7058	2402487
7066	1979852
7084	242
7094	5926
7104	558518
7108	51418
7119	5917171
7144	2335126
7146	5926
7148	5926
7158	655634
7166	357725
7176	2988076
7179	1450678
7183	94522
7190	536801
7222	3986306
7258	2812012
7264	4105458
7299	176879
7301	5038305
7306	56725
7327	9068581
7338	5921443
7353	25953
7366	11797
7380	1605
7385	10648318
7411	175334
7425	2241079
7426	9912789
7428	2491498
7430	9758882
7435	5926
7443	3315541
7455	24003
7462	5611358
7496	8890505
7498	1126597
7503	5377712
7511	10907926
7525	2779017
7536	729039
7540	2945303
7546	167105
7580	1891176
7583	1820832
7590	3852084
7611	2978695
7637	2812561
7648	14208
7649	111847
7659	4266361
7688	102470
7701	2506857
7709	958570
7714	1280470
7719	2262262
7733	792962
7734	5926
7738	8385898
7739	3982255
7741	1114892
7760	3487118
7761	120924
7773	718005
7776	2987368
7777	2694223
7791	7376654
7808	582639
7816	1800510
7829	4392269
7832	1692759
7834	7979
7854	980729
7882	4211602
7887	464806
7900	2707415
7907	3326
7918	7830736
7923	263
7926	1850735
7931	2993009
7933	4705209
7938	2515309
7983	10583255
7987	286618
7988	3326
7993	126091
8002	3326
8006	393185
8007	10648318
8013	2406
8018	465260
8019	203703
8031	3911886
8042	1325701
8044	9385992
8082	7554347
8083	2969249
8096	37327
8097	3372460
8101	4332092
8117	6027266
8120	2200087
8143	4197993
8148	1580065
8153	18750
8163	118885
8170	1463248
8172	4777745
8189	128279
8203	8596
8207	1065217
8219	9339844
8229	5926
8234	7981453
8236	1885818
8245	9255248
8247	11068614
8255	3832547
8286	1971039
8297	1800175
8312	8950
8336	7536198
8338	4648
8360	4771
8378	10574679
8394	601524
8397	485492
8411	4218963
8413	7596
8417	252784
8430	6568463
8431	362076
8438	9758882
8447	5206087
8450	1263923
8455	3373560
8458	942059
8462	885364
8463	414666
8465	8986569
8481	3010700
8488	456132
8489	5250027
8500	6133279
8505	6050148
8510	114564
8519	966930
8526	561439
8547	6104340
8553	60962
8557	1608013
8561	1010534
8563	3846658
8571	1485206
8577	282240
8579	6918587
8582	74185
8589	520449
8600	1712827
8623	2970
8625	3002224
8635	2911454
8636	5834188
8641	2197657
8656	2736176
8657	4362625
8663	3742368
8673	7298759
8674	8852541
8675	1869419
8677	6096619
8691	1036417
8698	4902517
8709	518729
8710	714933
8716	1193256
8723	28575
8730	6662679
8742	2437129
8745	95270
8746	5527789
8751	10367145
8759	5382211
8761	1305546
8768	816097
8771	64957
8782	4014619
8789	5873873
8792	328945
8795	4083306
8796	14021
8827	6662679
8832	109254
8833	2052067
8850	530198
8862	6662679
8885	53615
8898	81623
8919	3364
8921	4983936
8928	8246043
8950	2500084
8964	32615
8965	3759643
8973	601647
8974	324751
8986	248189
8994	1019
8999	48240
9007	2078837
9012	127429
9019	16909
9020	1464796
9027	4263048
9040	703053
9043	249023
9045	138999
9052	1372272
9077	1515
9079	806097
9094	8682854
9106	1114892
9119	83073
9132	476488
9155	2103753
9173	681587
9178	233528
9209	4649646
9214	1877238
9216	5456707
9226	7369103
9228	931939
9232	1603864
9238	4631
9248	74398
9260	354813
9265	854180
9267	129033
9269	293583
9270	60443
9288	2584205
9291	5995970
9317	1762556
9327	2651758
9338	557625
9341	1487976
9345	200959
9348	1655659
9367	4804322
9383	2571622
9410	168621
9442	140120
9448	904338
9449	1198514
9466	16354
9474	1485206
9495	1218001
9504	73212
9519	206176
9534	10816110
9539	1410546
9541	646117
9554	10648318
9574	139039
9577	79600
9578	4849350
9583	1965507
9587	214839
9588	7273251
9600	600443
9602	662129
9603	724109
9617	3303677
9625	1021015
9636	398806
9638	152241
9648	73415
9652	337200
9657	569164
9661	3026999
9668	1139260
9670	432487
9678	3026999
9683	9811921
9692	315096
9716	1736631
9718	3074
9722	83744
9729	320346
9732	286105
9735	1838522
9741	3351169
9744	615444
9745	1454798
9748	19528
9758	408290
9759	24691
9770	2955
9772	983027
9774	21246452
9779	5053442
9790	1683910
9793	527658
