geneid	dist
559	383
582	353
992	204272
1024	706552
1430	55575
2011	106136
3124	20941
3855	40667
3911	431379
4202	40667
4208	1281712
4275	40667
4374	40667
4378	237764
4416	159983
4448	186368
4475	26230
4513	40667
4676	290757
4716	167397
4717	40667
4734	186368
4747	40667
4750	186368
4772	1281712
4827	186368
4828	1281712
4841	1281712
4857	10785
4867	159983
4901	35773
4919	269740
5051	2466555
5059	34819
5085	50111
5143	410464
5151	2322313
5161	15568
5198	270773
5216	1667727
5242	330837
5249	567118
5264	7795
5266	146287
5291	79756
5302	101763
5305	891
5362	2454796
5401	89320
5470	893345
5471	852309
5505	484962
5506	428409
5522	157689
5546	977640
5562	2386457
5599	23276
5608	209057
5654	158564
5670	155680
5691	53370
5697	2291588
5705	255357
5740	842769
5748	470794
5772	42878
5780	366347
5785	586680
5798	971554
5820	388180
5837	31061
5854	19322
5877	259651
5879	686068
5898	45686
5912	95979
5913	1203669
5914	114687
5916	148554
5921	228079
5930	16861
5939	521657
5951	116042
5993	248588
6004	123154
6012	5276
6054	58278
6061	283406
6095	857211
6101	168013
6106	2136972
6117	318976
6120	816168
6121	376231
6144	314506
6160	51384
6179	2122857
6195	44567
6198	355545
6201	89320
6204	59334
6206	145090
6228	2135960
6230	89299
6267	418793
6276	24187
6278	1281633
6291	268244
6304	216379
6308	45869
6316	106266
6329	5276
6338	3160408
6351	412472
6391	116559
6401	35824
6416	99302
6429	219282
6469	102638
6470	35824
6474	125485
6504	670266
6514	255331
6538	177621
6552	1542326
6567	958538
6597	56108
6653	468834
6658	1293094
6663	1417386
6667	149009
6676	41518
6689	1411235
6709	67237
6722	1447393
6723	653957
6731	60410
6745	3153202
6760	612693
6771	931465
6784	16023
6808	2425377
6809	450146
6816	36819
6820	40652
6821	148494
6834	59208
6839	2356
6861	35824
6890	844969
6916	287503
6918	39101
6923	2189555
6931	283048
6939	177629
6946	319733
6952	701478
6953	303773
6974	298737
6986	1362671
6987	214045
6988	13507
6990	81779
6997	163274
7005	262426
7007	241775
7013	2603
7014	5702
7045	287655
7052	84028
7058	320201
7066	2454796
7084	406051
7098	232348
7108	217605
7119	1214265
7144	535730
7158	628426
7166	89380
7176	262115
7179	3424
7183	53572
7222	84184
7237	32772
7258	1496779
7264	98634
7299	131174
7301	420612
7327	164152
7333	1195704
7338	1119777
7346	569143
7353	479302
7385	69765
7411	429847
7425	578866
7426	12133
7430	310783
7443	165283
7455	336097
7462	989920
7469	1195704
7496	583372
7498	27168
7499	89996
7503	115399
7511	221212
7525	2299937
7536	775826
7540	1321982
7546	196618
7580	310909
7583	312423
7590	19554
7606	1195704
7611	491246
7637	1274483
7648	861626
7649	5702
7659	222361
7688	201716
7692	189322
7701	39182
7709	329407
7714	396312
7719	339884
7733	39066
7738	197294
7739	109969
7741	125407
7760	631134
7761	72199
7773	166868
7776	15051
7777	2270278
7791	101419
7808	35824
7816	221962
7829	327783
7832	736487
7834	189146
7854	104464
7863	1195704
7882	170603
7887	96452
7900	95002
7918	60630
7919	29079
7923	73804
7926	219631
7933	1226194
7937	108236
7938	71008
7987	1244217
7993	159205
8006	17248
8007	69765
8013	616914
8018	100538
8019	19660
8031	969285
8042	526046
8044	51031
8061	4664
8071	76728
8082	414237
8083	7954
8096	1151945
8097	684435
8101	9604
8117	1141766
8120	1083673
8148	235280
8153	4770
8160	10547
8163	148272
8170	596389
8172	205541
8189	66857
8203	191162
8207	98297
8219	3268953
8236	1060432
8244	341033
8245	69748
8247	18703
8255	905611
8286	95693
8297	2131154
8312	10459
8321	177475
8336	893345
8378	30574
8394	75359
8397	65989
8413	222917
8415	495697
8430	597767
8431	72860
8438	310783
8447	100958
8450	92320
8455	7696
8458	574811
8459	17930
8462	364814
8463	88857
8488	323638
8489	404
8500	80378
8505	721744
8510	1371698
8526	279510
8547	407925
8553	286804
8561	245880
8563	1376116
8571	123257
8579	1427556
8582	486820
8600	113439
8603	1195704
8623	2260207
8635	58504
8636	28109
8641	397580
8656	76040
8657	9194
8662	895553
8663	85700
8665	1420
8674	172631
8675	264049
8677	718552
8691	4461
8698	417393
8702	323638
8709	113530
8710	101875
8723	200856
8730	62848
8742	268591
8745	103725
8746	28740
8751	98516
8759	15601
8761	281436
8768	290247
8771	176281
8782	26230
8789	1104484
8792	841042
8795	135635
8796	906334
8805	319215
8827	62848
8832	151251
8833	73933
8850	179255
8862	62848
8885	65477
8898	78520
8919	121651
8921	462187
8928	160774
8950	14120
8964	269293
8965	103737
8986	431714
8999	1213461
9007	58596
9012	202132
9019	280156
9020	317119
9027	47065
9040	535751
9043	45060
9045	115448
9047	369420
9052	340221
9077	35995
9079	360965
9094	43051
9095	151435
9106	125407
9108	624432
9119	117352
9155	234008
9173	146797
9178	163440
9209	848125
9214	77932
9226	115375
9228	2070182
9232	149670
9238	85251
9248	11744
9260	13403
9265	6497
9267	3786
9269	74939
9270	690964
9288	268908
9291	1359538
9317	349362
9327	283695
9338	744658
9341	120501
9345	382309
9348	91746
9367	1600530
9383	257217
9410	734298
9449	773433
9458	15170
9466	17589
9474	123257
9485	229773
9495	742186
9504	43851
9519	401450
9534	53638
9539	248786
9541	346193
9554	69765
9577	38401
9578	169432
9583	39146
9587	122415
9602	4901
9603	1945305
9617	265578
9621	1377803
9625	184695
9636	237533
9638	105413
9648	52613
9652	597005
9655	792976
9657	732860
9661	1382910
9668	110074
9670	636557
9678	1382910
9683	937511
9692	418766
9716	346183
9718	96181
9722	376123
9729	1064189
9732	1047062
9735	612477
9741	1280435
9744	157412
9748	37032
9752	852227
9758	533354
9759	221174
9770	282139
9772	32202
9779	741422
9790	180004
9793	775339
9794	619944
9798	121651
9806	51243
9808	3175855
9810	3479598
9811	84463
9813	743513
9827	121651
9851	158819
9853	414310
9864	432
9870	1460253
9878	1100716
9880	133868
9893	2356
9902	534
9922	460104
9930	1175870
9944	195341
9950	319238
9951	128274
9954	13182
9960	329206
9961	31648
9986	214073
9990	669390
10007	204822
10008	136202
10018	834524
10026	220423
10033	195341
10037	79102
10054	115921
10061	336380
10070	657042
10071	406852
10075	587287
10076	50920
10079	5878
10086	318976
10088	476955
10091	131296
10107	12534
10112	59965
10121	139915
10122	148494
10123	22498
10127	881617
10128	88857
10134	1385734
10145	31061
10167	138585
10171	217605
10172	175358
10187	214011
10195	229172
10203	410473
10205	292327
10206	829300
10209	414
10212	56080
10213	634157
10228	150803
10233	49304
10236	650782
10245	649572
10254	19336
10262	107850
10264	792298
10269	311339
10276	955379
10282	38003
10286	921973
10287	62173
10293	28802
10296	591490
10298	42678
10301	239631
10307	29603
10317	224610
10323	167804
10324	190556
10326	29985
10331	90099
10335	1460058
10336	176547
10341	113782
10347	427172
10350	9559
10356	111440
10357	1254601
10363	31638
10374	250226
10376	77932
10393	218725
10405	100310
10406	1599361
10410	290439
10436	453919
10444	113951
10447	209397
10472	2239661
10493	709969
10540	208439
10607	834342
10608	376029
10610	376162
10633	837253
10664	123111
10672	21863
10685	67237
10694	129276
10702	161010
10704	121651
10713	865910
10716	470319
10727	265056
10739	920266
10743	15871
10765	372658
10766	210679
10772	465681
10774	151402
10806	2868
10814	131773
10819	208496
10833	229796
10838	957779
10844	410021
10845	549171
10872	481739
10875	29985
10879	29985
10882	96715
10891	3025
10900	620744
10905	28961
10907	32074
10908	1704408
10912	367376
10914	68966
10918	437620
10925	95470
10928	125325
10936	382030
10938	13427
10967	3817
10969	370864
10980	827487
10983	416890
10997	70668
10998	2466555
11004	33569
11009	260977
11011	1365438
11031	186292
11036	508292
11040	597054
11053	50264
11056	18054
11060	125970
11061	184477
11067	273526
11075	240435
11077	419451
11089	43314
11093	190277
11099	121504
11101	624348
11102	64401
11106	94051
11109	132633
11114	611811
11120	182332
11123	42832
11124	127623
11125	2802529
11129	367260
11131	841042
11140	265938
11141	20739
11163	1541283
11167	418345
11172	1411041
11173	1930399
11177	59482
11193	4524
11195	9548
11197	1239800
11209	46766
11214	46986
11216	1005194
11225	163886
11226	315342
11228	1612749
11233	195517
11236	36239
11237	1922545
11242	895432
11243	169677
11249	61362
11250	827489
11257	2449796
11263	363116
11291	38037
11297	412708
11299	83443
11300	47437
11311	3139
11320	36456
11322	703916
11326	164247
11329	729584
11331	237316
11335	251126
11343	640761
11344	163407
11349	150738
11351	121651
11363	6932
11366	684904
11371	753445
11378	185110
11379	76820
11386	172839
11395	202146
11396	696515
11399	140211
11405	29985
11410	443609
11414	463624
11415	511693
11417	97234
11418	31882
11419	3186637
11425	41249
11430	15290
11433	23506
11436	238764
11445	2673441
11458	111206
11459	64673
11463	280377
11464	92359
11465	1509206
11474	121160
11481	300364
11482	40157
11484	73033
11486	392086
11487	14646
11490	1679193
11491	359695
11493	604151
11497	34706
11498	108877
11499	275791
11500	24052
11504	19781
11505	16864
11507	217484
11513	180852
11518	53334
11524	65275
