geneid	dist
559	6401
582	18052
619	4621
992	256554
1024	8260079
1430	15540
2011	1110112
2932	2375195
3124	162795
3152	2375195
3855	366987
3911	920414
4202	366987
4208	1051199
4275	366987
4374	366987
4378	598695
4416	314646
4448	481025
4475	90829
4513	366987
4676	161479
4716	197937
4717	366987
4734	481025
4747	366987
4750	481025
4772	1051199
4827	481025
4828	1051199
4841	1051199
4857	67125
4867	314646
4901	70675
4919	223918
5051	1752805
5059	400819
5085	25461
5098	202704
5143	4271
5151	1861976
5161	2762163
5198	301703
5216	719335
5242	183348
5264	123910
5266	2056349
5291	1673566
5302	2041
5305	922878
5357	1708381
5362	1766601
5401	8579779
5467	396671
5470	3760788
5471	45110
5505	60908
5506	89043
5522	94669
5546	43448
5562	1831981
5599	119257
5608	88622
5654	262413
5670	226880
5691	636046
5697	1882953
5705	77640
5740	188266
5748	1899232
5772	195518
5780	167313
5785	430699
5798	56905
5820	1491671
5837	617231
5854	106348
5877	18958
5879	2056935
5898	76083
5912	3423
5913	925911
5914	132095
5916	44011
5921	433026
5930	196874
5939	1946155
5951	64056
5993	614150
6004	344027
6012	3265
6050	8890
6054	157518
6061	112587
6095	459426
6101	124165
6106	245811
6117	1002664
6120	7163052
6121	1484903
6138	224566
6144	1881409
6160	204082
6179	274151
6195	25833
6198	1784505
6201	8579779
6204	7837782
6206	121903
6215	49189
6228	249883
6230	2442236
6267	409916
6276	67588
6278	635239
6291	11047
6304	7646510
6308	208730
6316	895922
6329	3265
6338	64981
6351	17700
6360	1766180
6401	346922
6416	8651
6429	1082243
6441	186266
6469	2932
6470	346922
6474	2538223
6504	392174
6514	1179532
6538	2508199
6552	952770
6567	88845
6597	170523
6653	4998004
6658	543035
6663	814496
6667	200112
6676	61658
6689	235450
6709	63220
6722	9174
6723	1863057
6731	33554
6745	227544
6760	2017216
6771	92612
6784	586234
6808	1815780
6809	1893246
6816	1522940
6820	316583
6821	364432
6834	41019
6847	8054
6861	346922
6890	3714948
6916	122225
6918	128020
6920	793075
6923	208352
6931	52445
6939	118643
6946	1885359
6952	7243789
6953	3334780
6974	3568
6986	482871
6987	1605922
6988	518944
6990	65128
6997	547868
7005	1374
7007	40639
7013	87627
7014	89507
7045	118093
7052	66624
7058	404953
7066	1766601
7084	477619
7098	222609
7108	1420464
7119	134858
7144	1956558
7158	377050
7166	672034
7176	65321
7179	2420565
7183	88094
7190	1383437
7222	491422
7237	31609
7258	3743942
7264	67042
7299	3062
7301	2759
7306	7357790
7312	8054
7327	138555
7333	597415
7338	219128
7346	187847
7353	965902
7385	127638
7411	67054
7425	1990198
7426	252616
7428	55790
7430	363791
7443	539
7455	890228
7462	322550
7469	597415
7496	70108
7498	158785
7499	201761
7503	1778178
7511	129965
7525	1878922
7536	234877
7540	443022
7546	1395375
7562	8054
7580	17849
7583	8647
7590	471618
7606	597415
7611	99154
7637	411414
7648	4374936
7649	89507
7659	54781
7688	1149977
7692	3414
7701	59550
7709	24170
7719	31821
7733	6834435
7738	272510
7739	39349
7741	152857
7760	931211
7761	22911
7773	2035559
7776	14386
7777	1909237
7791	167448
7808	346922
7816	334842
7829	25736
7832	188485
7834	49864
7854	6876263
7863	597415
7882	265157
7887	206122
7900	87857
7918	285823
7919	460338
7923	17544
7926	332136
7933	1254884
7937	49796
