geneid	dist
636	153
977	119584
978	119584
992	381447
1024	299292
1430	354225
1711	119584
1712	119584
3124	157637
3911	819778
3990	761436
4104	1940563
4145	1615111
4340	1615111
4378	606254
4390	1615111
4416	460843
4434	1615111
4448	141619
4452	1615111
4475	125453
4527	408
4716	612723
4723	1615111
4734	141619
4750	141619
4827	141619
4857	284226
4867	460843
4901	339507
4919	713760
5051	583906
5085	96984
5098	195993
5143	149442
5151	1615492
5198	786920
5216	8246
5234	141440
5264	239877
5291	3939802
5369	137654
5401	379054
5467	57931
5470	80859
5471	48052
5506	17330
5546	998988
5557	709663
5562	1231634
5599	344694
5654	1965531
5670	1222502
5705	1069239
5740	154912
5785	94959
5798	329592
5820	1093383
5837	571347
5854	1534129
5877	567530
5898	1014629
5912	710166
5913	1676056
5916	157412
5921	977792
5930	2590169
5939	433532
5951	684040
5993	336556
6061	356818
6106	167664
6120	513211
6121	110010
6160	61369
6179	681157
6198	2491741
6201	379054
6204	24359
6228	212900
6230	129355
6276	235987
6278	39692
6291	390411
6304	50112
6308	1889152
6316	613187
6351	127038
6360	154815
6401	1008814
6416	481652
6429	110750
6441	164947
6470	1008814
6474	752900
6504	96635
6538	490911
6552	858045
6567	2495451
6597	4198673
6653	411606
6658	521384
6676	724480
6689	55418
6709	1413693
6723	193404
6731	490283
6760	200025
6771	1176127
6816	173851
6821	246228
6834	369199
6861	1008814
6931	3619
6946	212365
6952	604648
6974	414617
6986	92371
6987	1588
6988	13777
6990	76132
7052	1660
7058	3747970
7084	740603
7108	102512
7119	943424
7144	2474822
7166	115680
7176	2356
7179	522336
7190	124105
7222	952804
7237	531105
7258	1152860
7264	656361
7301	342800
7306	2505694
7346	1949886
7385	219302
7411	809044
7425	1696174
7428	151083
7430	1311262
7443	528141
7462	960195
7496	536323
7499	317317
7503	45449
7511	60126
7536	166211
7580	91754
7583	696552
7611	249999
7637	1949246
7648	463730
7688	1091614
7692	10720
7701	2579288
7719	541221
7733	940294
7741	596294
7760	15543
7761	152096
7776	421322
7791	1354764
7808	1008814
7816	1733635
7829	284226
7832	77954
7854	908220
7882	384259
