geneid	dist
559	3829
564	5093
572	7041
575	7879
582	7409
590	6726
594	5870
605	5162
614	3566
619	1731
624	1136
992	6051779
1024	2180732
2011	6051659
3124	538268
3855	5908298
3911	3809165
4202	5908298
4208	1453964
4275	5908298
4374	5908298
4378	14338752
4416	6299552
4448	1489672
4475	1380592
4513	5908298
4544	6785299
4546	6785299
4676	9639296
4716	6290976
4717	5908298
4734	1489672
4747	5908298
4750	1489672
4772	1453964
4827	1489672
4828	1453964
4841	1453964
4857	693162
4867	6299552
4901	27056
4919	3162324
5051	10568386
5059	3835469
5085	11281022
5098	4181777
5143	2317034
5151	10457119
5161	11384335
5198	5804422
5216	2561973
5249	4439358
5264	435834
5266	748421
5291	161069
5302	735274
5305	168478
5362	10561842
5401	4503743
5467	1254401
5470	1829
5471	1784651
5505	4670665
5506	4311148
5522	4968537
5546	6713684
5562	10493263
5599	5156731
5608	4999899
5654	2332271
5670	7014969
5691	5202623
5697	10423136
5705	521864
5740	6590151
5748	10417005
5780	4203892
5785	6345896
5798	6706343
5820	3547136
5837	5555488
5854	10726
5877	12373703
5879	6388710
5898	615097
5912	8492098
5913	2661817
5914	4922844
5916	202445
5921	7214110
5930	7684990
5939	6502763
5951	312848
5993	1246350
6004	7125644
6012	542930
6050	1758873
6054	11760
6061	5531269
6095	7150401
6101	44086
6106	19662049
6117	7104069
6120	6720153
6121	3553672
6138	6200080
6144	939344
6160	6228079
6179	19645035
6195	957339
6198	6645842
6201	4503743
6204	5979713
6206	4963862
6228	19657935
6230	2618481
6267	702638
6276	3597045
6278	8717487
6291	398389
6304	6186398
6308	6223808
6316	129146
6329	542930
6338	22352994
6351	4600271
6360	13752152
6390	2600269
6391	39555
6401	6428187
6416	52734
6429	11029983
6441	3899688
6469	60158
6470	6428187
6474	15263377
6504	6432392
6514	20462180
6538	2553888
6552	2803086
6567	6689635
6597	10603668
6653	9083355
6658	3627728
6663	7530103
6667	1231808
6676	427466
6689	3000798
6709	71686
6722	2873398
6723	21724195
6731	2723379
6745	11754188
6760	6422769
6771	6662156
6784	36902
6808	10530858
6809	6138912
6816	2586239
6820	6493062
6821	19729862
6834	6990545
6861	6428187
6890	10397704
6916	5544218
6917	11350004
6918	3291862
6920	10494892
6923	19704502
6931	4804536
6939	4749089
6946	928183
6952	6627699
6953	23194660
6974	6447902
6986	8983215
6987	428574
6988	3473579
6990	18829
6997	2734496
7005	5903590
7007	2589559
7013	52589
7014	5219888
7045	5518242
7052	1388465
7058	23484992
7066	10561842
7084	3085735
7098	8179625
7108	4782498
7119	11488665
7144	6493196
7158	1046464
7166	2800208
7176	1316206
7179	15339858
7183	2986709
7190	7305504
7222	4804820
7237	4958167
7258	1405912
7264	17843540
7299	16543506
7301	3504665
7306	3166416
7327	3608445
7333	1877424
7338	11574483
7346	12089980
7353	7303597
7385	2021354
7411	6836941
7425	6460174
7426	4196184
7428	22524
7430	4438156
7443	8575881
7455	19217666
7462	11690607
7469	1877424
7496	280648
7498	6285601
7499	182052
7503	13737755
7511	10301888
7525	10431508
7536	2768377
7540	8943859
7546	2721423
7580	10653909
7583	16999777
7590	3914
7595	11157656
7606	1877424
7611	1342411
7637	8908999
7648	24227131
7649	5219888
7659	11328292
7688	4765296
7692	840876
7701	28143
7709	5963
7714	8724172
7719	118692
7733	3065137
7738	9672600
7739	17855436
7741	6641892
7760	20783924
7761	67450
7773	770390
7776	9689438
7777	10405058
7791	502
7808	6428187
7816	6118535
7829	6466383
7832	6645848
7834	175675
7854	3110034
7863	1877424
7882	1395036
7887	204877
7900	9641514
7918	4235913
7919	6456869
7923	70799
7926	6131524
7937	204513
7938	4647502
7987	3592447
7993	23378650
8006	7036939
8007	2021354
8013	6697463
8018	3341309
8019	6194663
8031	6996270
8042	9140220
8044	10412200
8061	11014079
8071	1408491
8083	9696233
8096	7182064
8097	20815337
8101	42100
8117	11560350
8120	7157830
8148	825427
8153	5821575
8163	23395715
8170	5497770
8172	2135385
8189	10142378
8203	6796740
8207	3104999
8219	11832384
8236	1226133
8244	4123061
8245	4248072
8247	2017594
8255	1001445
8286	20483347
8297	19653870
8312	210975
8321	2706509
8336	1829
8378	1963689
8394	7082864
8397	3358409
8411	626791
8413	7765556
8430	3636117
8431	9141238
8438	4438156
8447	1801614
8450	142105
8455	1044688
8458	251637
8459	11112799
8462	3583031
8463	17850956
8465	10190339
8481	1069414
8488	52685
8489	7517225
8500	384612
8505	3509486
8510	7180867
8526	914905
8547	15807945
8553	15532621
8561	2254525
8563	9670907
8571	235695
8579	13589834
8582	5977604
8589	3476187
8600	11016134
8603	1877424
8623	4239533
8635	21701
8636	294243
8641	67452
8656	984756
8657	113895
8663	2269539
8665	2759539
8674	2557402
8675	822
8677	3525039
8691	9098945
8698	6552719
8702	520901
8709	3112672
8710	1830886
8716	5659645
8723	103012
8730	185838
8742	23491613
8745	5967340
8746	493941
8751	9309489
8759	294145
8761	5134649
8768	2969584
8771	1383301
8782	1380592
8789	11605403
8792	6752093
8795	2779
8796	5070604
8805	3020203
8827	185838
8832	4249856
8833	20467350
8850	1635999
8862	185838
8885	4262492
8898	4254093
8919	1404963
8921	6593837
8928	11145490
8950	12941404
8964	4472526
8965	4730437
8974	5654077
8999	767285
9007	20448533
9012	617486
9019	1949295
9020	1242208
9026	4992288
9027	11874194
9040	6062215
9043	1014294
9045	4426094
9047	3031420
9052	1219088
9077	7363955
9079	1212190
9094	2626959
9095	9371501
9106	6641892
9108	4833051
9119	5959156
9155	413958
9173	3729953
9178	3825580
9209	5742794
9214	63321
9226	2644404
9228	11987762
9232	259111
9238	3290365
9248	4077944
9260	4921647
9265	1768446
9267	1180275
9270	4069468
9287	2392450
9288	4497525
9291	9650199
9317	2451857
9338	3495276
9341	3932322
9345	11170577
9348	3797300
9367	9902456
9383	4483495
9408	1730484
9410	9290316
9414	11230824
9442	13239016
9448	8011397
9449	10447106
9458	8389897
9466	2074284
9474	235695
9485	890308
9495	10457367
9504	3844617
9519	4237818
9534	2181848
9539	23500805
9541	1197817
9554	2021354
9577	6101324
9578	2092027
9583	57594
9587	7859483
9602	3425335
9603	11867201
9617	1547640
9621	7190036
9625	3262843
9636	2611142
9638	4248765
9648	2758374
9652	3974405
9655	6709712
9657	3504838
9661	7195039
9668	4708218
9670	4901847
9678	7195039
9683	15091689
9692	383972
9716	5114350
9718	340113
9722	6409974
9729	8664687
9732	9158033
9735	2005854
9741	7123649
9744	7801041
9748	346461
9752	10370405
9758	6001115
9759	4434759
9770	4517256
9772	1351006
9779	5849746
9790	1495871
9793	7091324
9794	10744009
9798	1404963
9806	11080437
9808	11774714
9810	22104854
9811	5982769
9813	4624199
9827	1404963
9846	6683250
9851	273187
9852	739693
9864	8825464
9870	9795108
9878	8652649
9880	51995
9902	9216155
9922	2855197
9930	3172127
9944	1175729
9950	2229382
9951	5052228
9954	1892083
9960	4455332
9961	8270580
9986	8425147
9990	3914895
10007	5569244
10008	4226265
10018	5493487
10021	10137836
10026	435963
10033	1175729
10037	3282582
10052	3501049
10054	7854646
10061	4461154
10070	20793285
10071	1667822
10075	3959556
10076	336168
10079	8290884
10086	7104069
10088	9763460
10091	2637309
10107	160797
10112	1745466
10121	1130994
10122	19729862
10123	25415686
10127	1968509
10128	17850956
10134	13323874
10145	5555488
10167	7293321
10171	4782498
10172	377289
10187	9522952
10195	457123
10205	6443716
10206	6152788
10209	6649606
10212	7815030
10213	9185329
10228	7799518
10233	25404735
10236	7044648
10245	13624426
10254	4369462
10262	3936606
10264	10431954
10269	4533130
10276	1870595
10282	493383
10286	3367409
10287	577423
10293	3827267
10296	3963759
10298	25754
10301	7223172
10307	4897844
10317	8510029
10322	9774913
10323	6305232
10324	3626457
10326	35872
10331	787890
10334	1207416
10335	1443716
10336	160458
10341	343789
10347	1157703
10350	1192412
10356	1118237
10357	13239821
10363	6538895
10374	7999448
10376	63321
10393	58000
10405	335959
10406	1366585
10410	3100789
10436	3767464
10444	7482
10447	12078134
10472	9089293
10493	13665064
10540	4863421
10561	12476520
10566	8274957
10567	259243
10607	16653961
10610	6341758
10633	16656931
10637	6191139
10664	13207127
10665	3028430
10672	3948398
10685	71686
10694	215110
10702	20464
10704	1404963
10713	1797573
10716	2559466
10727	23495773
10739	1847982
10743	5117297
10765	7977431
10766	3847812
10772	124749
10774	12002423
10806	17204126
10814	69253
10819	4599860
10833	8019165
10838	1989697
10844	4868812
10845	299582
10872	16907
10875	35872
10879	35872
10882	4483533
10891	5981
10900	5989397
10905	11788230
10907	18313897
10908	17556355
10912	4578783
10914	7967261
10918	24267240
10925	8170230
10928	23510259
10936	1195227
10938	2008019
10967	17829472
10969	6568478
10980	5751558
10983	6242872
10997	4019285
10998	10568386
11004	4220539
11009	970364
11011	7175890
11021	3489594
11031	1081800
11032	2414912
11036	1429826
11038	5320298
11040	5502304
11053	658240
11056	131612
11061	708369
11067	2046
11077	4604536
11089	650783
11093	3013765
11099	2226921
11101	5426163
11102	8179900
11106	10491
11109	8472768
11114	2694125
11120	8576178
11123	3263971
11124	10036639
11125	11448942
11129	5593249
11131	6752093
11140	8472426
11141	47567
11163	11030707
11167	14595343
11169	9830683
11172	7224375
11173	10693836
11177	161065
11193	4357232
11195	8157900
11197	9729162
11209	1199482
11214	1955307
11216	11062345
11225	2067096
11226	3200366
11228	9906788
11233	3020364
11236	8216734
11237	10699637
11242	5658259
11243	503921
11249	157188
11250	9334245
11257	9270027
11263	7970818
11291	430257
11297	6059206
11299	8197239
11300	986032
11311	5516246
11320	91362
11322	7688000
11326	25444
11329	2856793
11331	13237587
11335	12684590
11343	13613171
11344	2891677
11349	3243506
11351	1404963
11363	6494583
11366	13657154
11371	14170519
11378	10366500
11379	11252844
11386	7047430
11396	9328470
11399	16783202
11405	35872
11410	14567810
11414	5443689
11415	16112
11419	9568792
11425	8212644
11430	1045582
11433	3117318
11436	1052313
11445	11322147
11458	9914635
11459	2253356
11463	9628893
11464	3080932
11465	2421904
11481	777766
11482	496532
11484	671804
11486	12862723
11487	2203057
11490	17598875
11491	12905489
11493	6417004
11498	3967859
11499	2100769
11500	2500404
11504	1885551
11505	5730627
11507	12987577
11511	23134978
11513	5958549
11516	11226935
11518	10165168
11524	1193129
11541	10499720
11542	4259548
11543	5055391
11544	10849739
11546	14929238
11547	320632
11548	10934829
11555	17208320
11561	683993
11564	248054
11574	7230854
11575	8226232
11579	14524536
11585	4765944
11590	12974206
11591	1022135
11592	35872
11604	2791292
11614	6319177
11617	5110505
11619	11002618
11620	7566687
11625	13164509
11627	2767799
11628	229777
11636	7891174
11638	255317
11643	12903609
11646	10203912
11647	4171
11650	10203912
11652	881441
11653	10416661
11657	10203912
11659	5934581
11670	7905951
11671	9979866
11679	16118526
11680	817805
11685	153604
11691	131092
11694	254515
11695	3324880
11704	9081377
11713	5426086
11716	3920898
11724	35872
11726	6505813
11727	748740
11728	7935523
11734	890597
11739	9543400
11741	8216734
11743	9695932
11744	9104423
11765	362941
11775	13286048
11780	14883934
11783	148897
11786	901373
11787	6350368
11789	7498991
11800	5529156
11801	6288844
11805	14094424
11807	8692722
11810	292532
11812	3499269
11821	512089
11826	14094424
11829	3152338
11831	9096579
11832	1055553
11842	9470387
11847	7416129
11856	6016902
11873	5309931
11893	190063
11897	1074142
11900	6410879
11908	2594441
11911	219171
11912	6746577
11917	5079679
11922	9471183
11924	6880492
11938	5332939
11944	10688606
11945	8120681
11946	11336120
11954	11300615
11963	6715690
11964	488515
11969	4065915
11987	11598853
11996	8104146
12003	2375980
12008	8421419
12011	6480654
12013	1671803
12016	720996
12019	9455769
12024	9317637
12025	9544325
12027	8126567
12035	9163001
12038	10182264
12041	9169706
12044	509307
12045	3655758
12047	103363
12048	1405701
12049	4936263
12050	11231477
12054	24281421
12060	12009289
12064	12008618
12069	895008
12083	5706692
12087	305071
12088	4596830
12091	745554
12092	6306277
12095	829789
12100	1735577
12102	2578248
12106	2618611
12109	3380072
12111	2292258
12125	9443453
12136	17581425
12137	2473693
12146	3279667
12157	2087518
12163	6831137
12166	4248072
12210	2207582
12212	3667044
12222	5073444
12262	1864707
12268	9781638
12269	17560530
12275	16822323
12293	7359663
12294	2207582
12305	13112541
12316	2271253
12325	194651
12327	5977182
12331	10203912
12334	12372174
12341	450347
12343	312322
12345	4989104
12350	2590235
12351	9944878
12370	5456935
12373	5966971
12379	5526842
12383	9264472
12384	1222355
12388	457535
12389	6947336
12391	5055403
12392	15638142
12396	13687674
12402	3023047
12404	363726
12412	4274491
12415	522812
12417	2213090
12421	363726
12426	2614647
12428	9493603
12429	9493603
12430	9493603
12431	1211968
12434	5173867
12435	8494065
12452	8825496
12459	4331924
12463	2338213
12464	4607061
12468	2465293
12469	9790591
12470	175338
12478	13709278
12479	12546950
12484	4475395
12485	10161284
12490	12266016
12491	10279992
12492	1609144
12493	676408
12497	6739193
12498	8497872
12500	12258923
12501	15782914
12502	3712114
12513	8591940
12515	1228525
12530	6954371
12531	991312
12534	13215492
12551	14148101
12553	1942738
12556	4724908
12570	7672396
12575	13633871
12576	5005337
12579	4997406
12582	2486273
12583	11365475
12589	36140
12595	13496544
12602	11180614
12606	12425051
12610	5808929
12619	7440107
12624	106680
12625	5777048
12637	7147590
12646	885770
12662	9295281
12668	10144199
12670	5804146
12672	2804448
12682	2604714
12683	13272447
12686	6520941
12688	5235426
12690	738025
12698	131763
12699	8806037
12701	743
12707	19292739
12711	7809998
12717	1533451
12729	6377857
12734	66868
12737	2764913
12741	10203912
12762	3922276
12765	11133409
12766	5819396
12767	259495
12779	8656161
